TOP|20101215020001|2010-12-15_0200_US_KCBS_CBS_2_News_at_6
COL|Communication Studies Archive, UCLA 
UID|0733a5a6-07ef-11e0-a340-00e0815ffae2
DUR|0:28:55.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:06:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215020005.400|20101215020100.333|SEG|Type=Story
20101215020005.400|20101215020006.500|CCO|COMING.
20101215020006.500|20101215020007.600|CCO|
20101215020007.600|20101215020008.700|CCO|AND HER VEHICLE WAS SITTING
20101215020008.700|20101215020009.800|CCO|
20101215020009.800|20101215020010.900|CCO|FLUSH OVER THE TRACKS.
20101215020010.900|20101215020012.000|CCO|
20101215020012.000|20101215020014.500|CCO|HIT HER HEAD-ON.
20101215020014.500|20101215020017.000|CCO|
20101215020017.000|20101215020019.500|CCO|>> SHE HEARD ABOUT THE CRASH AND
20101215020019.500|20101215020022.000|CCO|
20101215020022.000|20101215020022.833|CCO|DIDN'T KNOW IT WAS SISTER IN
20101215020022.833|20101215020023.667|CCO|
20101215020023.667|20101215020024.500|CCO|LAW, THE KIDS ARE MISSING THEIR
20101215020024.500|20101215020025.333|CCO|
20101215020025.333|20101215020026.167|CCO|MOM.
20101215020026.167|20101215020027.000|CCO|
20101215020027.000|20101215020027.833|CCO|>> THE CITY OF ONTARIO IS
20101215020027.833|20101215020028.667|CCO|
20101215020028.667|20101215020029.500|CCO|PLANNING ON CHANGES HERE.
20101215020029.500|20101215020030.333|CCO|
20101215020030.333|20101215020031.167|CCO|THEY WILL BUILD A BRIDGE THAT
20101215020031.167|20101215020032.000|CCO|
20101215020032.000|20101215020034.500|CCO|CARRIES THE TRAIN TRAFFIC OVER
20101215020034.500|20101215020037.000|CCO|
20101215020037.000|20101215020039.500|CCO|THE STREET.
20101215020039.500|20101215020042.000|CCO|
20101215020042.000|20101215020042.833|CCO|GREG MILLS, CBS2 NEWS.
20101215020042.833|20101215020043.667|CCO|
20101215020043.667|20101215020044.500|CCO|LAURA: DEVELOPING NEWS IN
20101215020044.500|20101215020045.333|CCO|
20101215020045.333|20101215020046.167|CCO|HOLLYWOOD.
20101215020046.167|20101215020047.000|CCO|
20101215020047.000|20101215020047.833|CCO|A MAN WAS RUSH TO THE HOSPITAL
20101215020047.833|20101215020048.667|CCO|
20101215020048.667|20101215020049.500|CCO|AFTER BEING HIT BY A REDLINE
20101215020049.500|20101215020050.333|CCO|
20101215020050.333|20101215020051.167|CCO|TRAIN.
20101215020051.167|20101215020052.000|CCO|
20101215020052.000|20101215020052.833|CCO|POLICE SAY HE FELL ON THE TRACKS
20101215020052.833|20101215020053.667|CCO|
20101215020053.667|20101215020054.500|CCO|OR JUMPED.
20101215020054.500|20101215020055.333|CCO|
