TOP|20101215030002|2010-12-15_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|690c3876-07f7-11e0-80d6-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:07:03|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215030006.444|20101215035956.000|SEG|Type=Story
20101215030006.444|20101215030007.556|CCO| GOING AND
20101215030007.556|20101215030008.667|CCO|SERVING YOUR COUNTRY AND
20101215030008.667|20101215030009.778|CCO|PUTTING YOUR LIFE ON THE LINE
20101215030009.778|20101215030010.889|CCO|--
20101215030010.889|20101215030012.000|CCO|>> SEAN: TRIPPI I'M ALMOST
20101215030012.000|20101215030013.667|CCO|UPSET THAT I GOT MAD AT YOU.
20101215030013.667|20101215030015.333|CCO|GRETA VAN SUSTEREN IS NEXT TO
20101215030015.333|20101215030017.000|CCO|GO ON THE RECORD.
20101215030017.000|20101215030018.667|CCO|SEE YOU TOMORROW NIGHT.
20101215030018.667|20101215030020.333|CCO|>> GRETA: THIS IS A FOX NEWS
20101215030020.333|20101215030022.000|CCO|ALERT.
20101215030022.000|20101215030023.429|CCO|GUNMAN OPENING FIRE AT A
20101215030023.429|20101215030024.857|CCO|FLORIDA SCHOOL BOARD MEETING.
20101215030024.857|20101215030026.286|CCO|>> JUST LISTEN TO ME FOR A
20101215030026.286|20101215030027.714|CCO|MINUTE.
20101215030027.714|20101215030029.143|CCO|I DON'T WANT ANYBODY TO GET
20101215030029.143|20101215030030.571|CCO|HURT.
20101215030030.571|20101215030032.000|CCO|I GOT A FEELING THAT WHAT YOU
20101215030032.000|20101215030033.667|CCO|WANT IS THE COPS TO COME IN
20101215030033.667|20101215030035.333|CCO|AND KILL YOU, BECAUSE YOU ARE
20101215030035.333|20101215030037.000|CCO|MAD.
20101215030037.000|20101215030038.667|CCO|WHY?
20101215030038.667|20101215030040.333|CCO|THIS ISN'T WORTH IT.
20101215030040.333|20101215030042.000|CCO|PLEASE DON'T.
20101215030042.000|20101215030047.000|CCO|PLEASE DON'T, PLEASE.
20101215030047.000|20101215030052.000|CCO|>> I'M GONNA KILL YOU.
20101215030052.000|20101215030055.333|CCO|[ SHOOTING ]
20101215030055.333|20101215030058.667|CCO|>> GRETA: INCREDIBLY NONE OF
20101215030058.667|20101215030102.000|CCO|THE HOSTAGES WAS WOUNDED.
20101215030102.000|20101215030103.667|CCO|THE GUNMAN WAS REPORTEDLY IN
20101215030103.667|20101215030105.333|CCO|THE AUDIENCE BEFORE WALKING TO
20101215030105.333|20101215030107.000|CCO|THE PODIUM AND DRAWING THE
20101215030107.000|20101215030108.667|CCO|WEAPON ON THE SCHOOL BOARD.
20101215030108.667|20101215030110.333|CCO|AFTER THE GUNMAN OPENED FIRE A
20101215030110.333|20101215030112.000|CCO|SECURITY GUARD ENTERED THE
20101215030112.000|20101215030113.250|CCO|ROOM AND WOUNDED THE GUNMAN.
20101215030113.250|20101215030114.500|CCO|THE MAN APPARENTLY SHOT
20101215030114.500|20101215030115.750|CCO|HIMSELF.
20101215030115.750|20101215030117.000|CCO|IT IS UNCLEAR WHY HE TARGETED
20101215030117.000|20101215030118.250|CCO|THE SCHOOL BOARD.
20101215030118.250|20101215030119.500|CCO|STAY WITH FOX NEWS FOR THE
20101215030119.500|20101215030120.750|CCO|LATEST.ihSxf
20101215030120.750|20101215030122.000|CCO|>> TONIGHT SENATE MAJORITY
20101215030122.000|20101215030123.111|CCO|LEADER HARRY REID JUST
