TOP|20101215190002|2010-12-15_1900_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|856f227c-087d-11e0-aff9-00e0815fe930
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:08:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215190032.000|20101215190042.000|SEG|Type=Story
20101215190032.000|20101215190034.000|CCO|>>> RIGHT NOW ON "NEWS NATION," 
20101215190034.000|20101215190036.000|CCO|LIVE PICTURES FROM THE SENATE 
20101215190036.000|20101215190038.000|CCO|FLOOR WHERE THE FINAL VOTE ON 
20101215190038.000|20101215190040.000|CCO|THE TAX CUT COMPROMISE HAS JUST 
20101215190040.000|20101215190042.000|CCO|FINISHED. 
20101215190042.000|20101215190052.000|SEG|Type=Story
20101215190042.000|20101215190043.429|CCO|>>> PLUS, THE LATEST ON THE 
20101215190043.429|20101215190044.857|CCO|BATTLE OVER EARMARKS.
20101215190044.857|20101215190046.286|CCO|CONGRESS WORKING OVERTIME WITH 
20101215190046.286|20101215190047.714|CCO|JUST DAYS TO GO IN THIS LAME 
20101215190047.714|20101215190049.143|CCO|DUCK SESSION.
20101215190049.143|20101215190050.571|CCO|WE'VE GOT LIVE COVERAGE AS THE 
20101215190050.571|20101215190052.000|CCO|VOTES ARE HAPPENING.
20101215190052.000|20101215190116.286|SEG|Type=Story
20101215190052.000|20101215190053.667|CCO|>>> I'M THE ONE THAT SIGNED THE 
20101215190053.667|20101215190055.333|CCO|PAPER, RIGHT?
20101215190055.333|20101215190057.000|CCO|OKAY.
20101215190057.000|20101215190058.667|CCO|I DON'T REMEMBER AND I DON'T 
20101215190058.667|20101215190100.333|CCO|KNOW WHO SHE IS.
20101215190100.333|20101215190102.000|CCO|BUT LET THEM GO.
20101215190102.000|20101215190104.000|CCO|>> FACING THE UNIMAGINABLE.
20101215190104.000|20101215190106.000|CCO|SCHOOL BOARD MEMBERS TRY TO 
20101215190106.000|20101215190108.000|CCO|FIGHT BACK AGAINST A MAN HOLDING
20101215190108.000|20101215190110.000|CCO|THEM HOSTIN.
20101215190110.000|20101215190112.000|CCO|NEW DETAILS INTO HOW A CALENDAR 
20101215190112.000|20101215190113.429|CCO|LEFT BY THE GUNMAN IS SHEDDING 
