TOP|20101215230002|2010-12-15_2300_US_CNN_Situation_Room
COL|Communication Studies Archive, UCLA 
UID|0c58dec4-089f-11e0-b8c4-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|sitroom.02.html
HED|Massive Defense Drill; Twenty-Seven Dead In Christmas Island Tragedy; Obama Meets with Top CEOs; Kosovo's Prime Minister Accused of Stealing Organs; Woman Fights Back Against Gunman
LAN|ENG
LBT|2010-12-15 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:09:08|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215230012.000|20101215231401.000|SEG|Type=Story
20101215230012.000|20101215230015.333|CCO|GHTER JETS STAGED A MOCK 
20101215230015.333|20101215230018.667|CCO|INVASION, AND PEOPLE RR TAKEN TO
20101215230018.667|20101215230022.000|CCO|UNDERGROUND STATIONS ALL OF THE 
20101215230022.000|20101215230023.667|CCO|RESULT OF DANGEROUSLY HIGH 
20101215230023.667|20101215230025.333|CCO|TENSION BETWEEN THE SOUTH AND 
20101215230025.333|20101215230027.000|CCO|THE NUCLEAR-ARMED NORTH KOREA, 
20101215230027.000|20101215230028.667|CCO|AND THE DRILL IS RECEIVING THE 
20101215230028.667|20101215230030.333|CCO|APPROVAL OF THE U.S. GOVERNMENT.
20101215230030.333|20101215230032.000|CCO|>> SOUTH KOREA HAS MADE CLEAR 
20101215230032.000|20101215230034.500|CCO|THAT IT IS PREPARED TO DEFEND 
20101215230034.500|20101215230037.000|CCO|ITSELF AND IT IS TAKING 
20101215230037.000|20101215230039.500|CCO|APPROPRIATE ACTIONS IN ITS 
20101215230039.500|20101215230042.000|CCO|SELF-DEFENSE. 
20101215230042.000|20101215230044.000|CCO|>> THE THREAT OF WAR BETWEEN THE
20101215230044.000|20101215230046.000|CCO|TWO KOREAS NOTCHED UP ALARMINGLY
20101215230046.000|20101215230048.000|CCO|WHEN NORTH KOREAN ARTILLERY 
20101215230048.000|20101215230050.000|CCO|FIRED ON A SOUTH KOREAN ISLAND 
20101215230050.000|20101215230052.000|CCO|LAST MONTH KILLING FOUR PEOPLE, 
20101215230052.000|20101215230053.429|CCO|AND THERE IS HEIGHTENED CONCERN 
20101215230053.429|20101215230054.857|CCO|OVER NORTH KOREA'S NUCLEAR 
20101215230054.857|20101215230056.286|CCO|PROGRAM.
20101215230056.286|20101215230057.714|CCO|PRESIDENT OBAMA'S TOP NUCLEAR 
20101215230057.714|20101215230059.143|CCO|ADVISER SAYS THAT ITS NUCLEAR 
20101215230059.143|20101215230100.571|CCO|CAPABILITIES ARE MORE ADVANCED 
20101215230100.571|20101215230102.000|CCO|THAN IRAN'S.
20101215230102.000|20101215230104.500|CCO|AMID ALL OF THIS, OUR OWN WOLF 
20101215230104.500|20101215230107.000|CCO|BLITZER IS HEADING TO NORTH KREE
20101215230107.000|20101215230109.500|CCO|EYA, AND RIGHT NOW HE IS IN THE 
20101215230109.500|20101215230112.000|CCO|BEIJING BUREAU, AND WOLF, TELL 
20101215230112.000|20101215230114.500|CCO|US ABOUT YOUR ASSIGNMENT.
20101215230114.500|20101215230117.000|CCO|>> SUZANNE, WE ARE GETTING READY
20101215230117.000|20101215230119.500|CCO|IN THE NEXT FEW HOURS TO GET ON 
20101215230119.500|20101215230132.000|CCO|A PLANE TO FLY FROM HERE FROM 
20101215230132.000|20101215230135.333|CCO|BEIJING TYONGYANG WITH 
20101215230135.333|20101215230138.667|CCO|GOVERNOR BILL RICHARDSON.
20101215230138.667|20101215230142.000|CCO|THIS IS A TENSE MOMENT AS THE 
20101215230142.000|20101215230143.429|CCO|CRISIS IS ESCALATING, GOVERNOR, 
20101215230143.429|20101215230144.857|CCO|HOW WORRIED ARE YOU THAT IT 
20101215230144.857|20101215230146.286|CCO|COULD SIMPLY GET OUT OF CONTROL?
20101215230146.286|20101215230147.714|CCO|>> WELL, I AM EXTREMELY 
20101215230147.714|20101215230149.143|CCO|CONCERNED, BECAUSE OF THE 
20101215230149.143|20101215230150.571|CCO|RHETORIC AND THE ACTIONS OF THE 
20101215230150.571|20101215230152.000|CCO|NORTH KOREANS AND THE TENSENESS 
20101215230152.000|20101215230153.667|CCO|ON ALL SIDES, AND THAT IS WHAT 
20101215230153.667|20101215230155.333|CCO|WE ARE SEEING.
20101215230155.333|20101215230157.000|CCO|I AM GOING THERE ON A PRIVATE 
20101215230157.000|20101215230158.667|CCO|MISSION.
20101215230158.667|20101215230200.333|CCO|I'M NOT REPRESENTING THE U.S. 
20101215230200.333|20101215230202.000|CCO|GOVERNMENT.
20101215230202.000|20101215230203.500|CCO|BUT THE INVITATION OF THE TOP 
20101215230203.500|20101215230205.000|CCO|OFFICER FROM DAY ONE.
20101215230205.000|20101215230206.500|CCO|I HAVE BEEN ABLE NO THE PAST TO 
20101215230206.500|20101215230208.000|CCO|SUCCEED WITH THE NORTH KOREANS 
20101215230208.000|20101215230209.500|CCO|TO GET THEM TO RELEASE AMERICAN 
20101215230209.500|20101215230211.000|CCO|PILOTS AND PRISONERS AND THE 
20101215230211.000|20101215230213.500|CCO|REMAINS OF OUR SOLDIERS FROM THE
20101215230213.500|20101215230216.000|CCO|KOREAN WAR.
