TOP|20101215230001|2010-12-15_2300_US_MSNBC_The_Ed_Show
COL|Communication Studies Archive, UCLA 
UID|0be8f92e-089f-11e0-ba4a-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:09:16|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215230005.000|20101215230021.000|SEG|Type=Story
20101215230005.000|20101215230006.000|CCO|S RIGHT 
20101215230006.000|20101215230007.000|CCO|NOW EVEN IN THESE DOWNBEAT TIMES
20101215230007.000|20101215230008.000|CCO|IS THAT THEIR VALUES REALLY ARE 
20101215230008.000|20101215230009.000|CCO|INTACT.
20101215230009.000|20101215230010.000|CCO|THEY DON'T WANT THE COUNTRY TO 
20101215230010.000|20101215230011.000|CCO|SUFFER EVEN IF IT MEANS -- EVEN 
20101215230011.000|20101215230012.429|CCO|IF IT MEANS LETTING THE OTHER 
20101215230012.429|20101215230013.857|CCO|SIDE GET ITS WAY THIS TIME.
20101215230013.857|20101215230015.286|CCO|THINK ABOUT IT.
20101215230015.286|20101215230016.714|CCO|THAT'S "HARDBALL" FOR NOW.
20101215230016.714|20101215230018.143|CCO|THANKS FOR BEING WITH US.
20101215230018.143|20101215230019.571|CCO|RIGHT NOW IT'S TIME FOR "THE ED 
20101215230019.571|20101215230021.000|CCO|SHOW" WITH MR. ED SCHULTZ.
20101215230021.000|20101215230049.333|SEG|Type=Story
20101215230021.000|20101215230022.429|CCO|>>> GOOD EVENING, AMERICANS, AND
20101215230022.429|20101215230023.857|CCO|WELCOME TO "THE ED SHOW."
20101215230023.857|20101215230025.286|CCO|TONIGHT FROM NEW YORK, THESE 
20101215230025.286|20101215230026.714|CCO|STORIES ARE HITTING MY HOT 
20101215230026.714|20101215230028.143|CCO|BUTTONS AT THIS HOUR AND ON THE 
20101215230028.143|20101215230029.571|CCO|TABLE.
20101215230029.571|20101215230031.000|CCO|WELL HERE WE GO, PRESIDENT OBAMA
20101215230031.000|20101215230033.000|CCO|IS ONE STEP CLOSER TO OWNING HIS
20101215230033.000|20101215230035.000|CCO|BIG TAX COMPROMISE WITH THE 
20101215230035.000|20101215230037.000|CCO|REPUBLICANS.
20101215230037.000|20101215230039.000|CCO|THE ONLY PERSON WHO CAN GET IN 
20101215230039.000|20101215230041.000|CCO|THE WAY NOW IS NANCY PELOSI.
20101215230041.000|20101215230042.667|CCO|CONGRESSMAN JERRY NADLER CALLED 
20101215230042.667|20101215230044.333|CCO|THE DEAL A GANGSTER GIVEAWAY.
20101215230044.333|20101215230046.000|CCO|I'LL TALK TO HIM AND KATRINA 
20101215230046.000|20101215230047.667|CCO|VANDEN HUEVEL OF THE NATION 
20101215230047.667|20101215230049.333|CCO|COMING UP. 
20101215230049.333|20101215230102.429|SEG|Type=Story
20101215230049.333|20101215230051.000|CCO|>>> HARRY REID THREW A KNOCKOUT 
20101215230051.000|20101215230052.250|CCO|PUNCH TODAY AT SOME REPUBLICANS 
20101215230052.250|20101215230053.500|CCO|WHO WERE WHINING ABOUT HAVING TO
20101215230053.500|20101215230054.750|CCO|WORK AROUND THE HOLIDAYS.
20101215230054.750|20101215230056.000|CCO|THIS IS WHY REID WON IN THE 
20101215230056.000|20101215230057.250|CCO|STATE OF NEVADA.
20101215230057.250|20101215230058.500|CCO|I MEAN WHEN IT GETS TOUGH HE 
20101215230058.500|20101215230059.750|CCO|KNOWS HOW TO FIGHT.
20101215230059.750|20101215230101.000|CCO|WAIT TILL YOU SEE THE TAPE 
20101215230101.000|20101215230102.429|CCO|YOU'RE GOING TO LOVE IT. 
20101215230102.429|20101215230113.000|SEG|Type=Story
20101215230102.429|20101215230103.857|CCO|>>> AND THE TEA PARTY 
20101215230103.857|20101215230105.286|CCO|INDOCTRINATION, WELL THAT IS NOW
20101215230105.286|20101215230106.714|CCO|IN SESSION.
20101215230106.714|20101215230108.143|CCO|MICHELE BACHMANN'S THE TEACHER 
20101215230108.143|20101215230109.571|CCO|AND SHE'S GOT A CLASS FULL OF 
20101215230109.571|20101215230111.000|CCO|EXTREMIST CLOWNS TO HELP EDUCATE
20101215230111.000|20101215230113.000|CCO|THE NEW MEMBERS OF CONGRESS. 
20101215230113.000|20101215230126.000|SEG|Type=Story
20101215230113.000|20101215230115.000|CCO|>>> AND THIS JUST IN, MOMENTS 
20101215230115.000|20101215230117.000|CCO|AGO, DON'T ASK, DON'T TELL 
20101215230117.000|20101215230119.000|CCO|PASSED THE HOUSE.
20101215230119.000|20101215230121.000|CCO|YOU WON'T BELIEVE WHAT SOME 
20101215230121.000|20101215230122.667|CCO|REPUBLICANS ON THE FLOOR WERE 
20101215230122.667|20101215230124.333|CCO|SAYING ABOUT GAY AMERICANS.
20101215230124.333|20101215230126.000|CCO|THAT'S COMING UP. 
20101215230126.000|20101215231403.000|SEG|Type=Story
20101215230126.000|20101215230127.667|CCO|>>> BUT THIS IS THE STORY THAT 
20101215230127.667|20101215230129.333|CCO|HAS ME FIRED UP TONIGHT.
20101215230129.333|20101215230131.000|CCO|PRESIDENT OBAMA IS ONE STEP 
20101215230131.000|20101215230132.667|CCO|CLOSER TO HAVING HIS $858 
20101215230132.667|20101215230134.333|CCO|BILLION TAX COMPROMISE WITH THE 
20101215230134.333|20101215230136.000|CCO|REPUBLICANS BECOME THE LAW OF 
20101215230136.000|20101215230137.667|CCO|THE LAND, AND RIGHT NOW NANCY 
20101215230137.667|20101215230139.333|CCO|PELOSI IS THE ONLY PERSON IN THE
20101215230139.333|20101215230141.000|CCO|WORLD THAT CAN STOP IT.
20101215230141.000|20101215230143.500|CCO|NOW EARLIER TODAY THE SENATE 
