TOP|20101216000001|2010-12-16_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|6dd1fc00-08a7-11e0-878d-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:09:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216000005.444|20101216002956.000|SEG|Type=Story
20101216000005.444|20101216002956.000|SEG_01|Type=Commercial
20101216000005.444|20101216000006.556|CCO|MICT9352
20101216000006.556|20101216000007.667|CCO|US TOMORROW. 
20101216000007.667|20101216000008.778|CCO|WE'RE GOING TO TALK WITH THE 
20101216000008.778|20101216000009.889|CCO|LADY WITH THAT AWESOME LEFT 
20101216000009.889|20101216000101.000|CCO|HOOK. 
20101216000101.000|20101216000102.429|CCO|WE'LL 
20101216000102.429|20101216000103.857|CCO|
20101216000103.857|20101216000105.286|CCO|
20101216000105.286|20101216000106.714|CCO| >> LIVE KCAL9 PROUDLY PRESENTS
20101216000106.714|20101216000108.143|CCO|
20101216000108.143|20101216000109.571|CCO|LAKERS BASKETBALL.
20101216000109.571|20101216000111.000|CCO|
20101216000111.000|20101216000111.833|CCO|THEY TRY TO GET THE SPLIT TO THE
20101216000111.833|20101216000112.667|CCO|
20101216000112.667|20101216000113.500|CCO|SEASON SERIES FOR THE INDIANA
20101216000113.500|20101216000114.333|CCO|
20101216000114.333|20101216000115.167|CCO|PACERS.
20101216000115.167|20101216000116.000|CCO|
20101216000116.000|20101216000116.833|CCO|JOEL MYERS ALONGSIDE STU LANCE.
20101216000116.833|20101216000117.667|CCO|
20101216000117.667|20101216000118.500|CCO|WELCOME TO DOWNTOWN
20101216000118.500|20101216000119.333|CCO|
20101216000119.333|20101216000120.167|CCO|INDIANAPOLIS.
20101216000120.167|20101216000121.000|CCO|
20101216000121.000|20101216000121.833|CCO|STU, WE HEARD ABOUT IT LAST
20101216000121.833|20101216000122.667|CCO|
20101216000122.667|20101216000123.500|CCO|NIGHT.
20101216000123.500|20101216000124.333|CCO|
20101216000124.333|20101216000125.167|CCO|THE POSSIBILITY OF LAKERS BEING
20101216000125.167|20101216000126.000|CCO|
20101216000126.000|20101216000126.833|CCO|INVOLVED IN A TRADE AND IT
20101216000126.833|20101216000127.667|CCO|
20101216000127.667|20101216000128.500|CCO|BECAME OFFICIAL TODAY.
20101216000128.500|20101216000129.333|CCO|
