TOP|20101216010002|2010-12-16_0100_US_KABC_Eyewitness_News_5PM
COL|Communication Studies Archive, UCLA 
UID|cff2be12-08af-11e0-a31c-00e0815fe92e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:09:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216010004.105|20101216015956.000|SEG|Type=Story
20101216010004.105|20101216015956.000|SEG_01|Type=Commercial
20101216010004.105|20101216010004.632|CCO|TRYING TO PIECE TOGETHER WHO
20101216010004.632|20101216010005.158|CCO|
20101216010005.158|20101216010005.684|CCO|
20101216010005.684|20101216010006.211|CCO|SHOT AND KILLED MEN BEHIND
20101216010006.211|20101216010006.737|CCO|
20101216010006.737|20101216010007.263|CCO|
20101216010007.263|20101216010007.789|CCO|THE OFFICE OF A LIFE
20101216010007.789|20101216010008.316|CCO|
20101216010008.316|20101216010008.842|CCO|
20101216010008.842|20101216010009.368|CCO|INSURANCE COMPANY, I'M TOLD
20101216010009.368|20101216010009.895|CCO|
20101216010009.895|20101216010010.421|CCO|
20101216010010.421|20101216010010.947|CCO|THEY ARE IN THEIR LATE 20s
20101216010010.947|20101216010011.474|CCO|
20101216010011.474|20101216010012.000|CCO|
20101216010012.000|20101216010012.667|CCO|OR EARLY 30s, THEY APPEAR
20101216010012.667|20101216010013.333|CCO|
20101216010013.333|20101216010014.000|CCO|
20101216010014.000|20101216010014.667|CCO|NOT TO HAVE ANY CONNECTION
20101216010014.667|20101216010015.333|CCO|
20101216010015.333|20101216010016.000|CCO|
20101216010016.000|20101216010016.667|CCO|WITH ANY OF THE BUSINESSES
20101216010016.667|20101216010017.333|CCO|
20101216010017.333|20101216010018.000|CCO|
20101216010018.000|20101216010018.667|CCO|IN THE OFFICE COMPLEX, AN
20101216010018.667|20101216010019.333|CCO|
20101216010019.333|20101216010020.000|CCO|
20101216010020.000|20101216010020.667|CCO|EMPLOYEE OF ONE THE OF
20101216010020.667|20101216010021.333|CCO|
20101216010021.333|20101216010022.000|CCO|
20101216010022.000|20101216010022.667|CCO|BUSINESSES TELL MEETEETSE
20101216010022.667|20101216010023.333|CCO|
20101216010023.333|20101216010024.000|CCO|
20101216010024.000|20101216010024.667|CCO| THEY -- TELLS ME THEY
20101216010024.667|20101216010025.333|CCO|
20101216010025.333|20101216010026.000|CCO|
20101216010026.000|20101216010026.667|CCO|TOOK A HEAD COUNT TO MAKE
20101216010026.667|20101216010027.333|CCO|
20101216010027.333|20101216010028.000|CCO|
20101216010028.000|20101216010028.667|CCO|SURE EVERYONE THAT WAS
20101216010028.667|20101216010029.333|CCO|
20101216010029.333|20101216010030.000|CCO|
20101216010030.000|20101216010030.667|CCO|ACCOUNTED FOR THEY WERE.
20101216010030.667|20101216010031.333|CCO|
20101216010031.333|20101216010032.000|CCO|
20101216010032.000|20101216010032.667|CCO|>> I GOT HERE, I SEEN THE
20101216010032.667|20101216010033.333|CCO|
20101216010033.333|20101216010034.000|CCO|
20101216010034.000|20101216010034.667|CCO|AMBULANCE AND MOTORCYCLE
20101216010034.667|20101216010035.333|CCO|
20101216010035.333|20101216010036.000|CCO|
20101216010036.000|20101216010036.667|CCO|COP, BUT NEVER THOUGHT
20101216010036.667|20101216010037.333|CCO|
20101216010037.333|20101216010038.000|CCO|
20101216010038.000|20101216010038.667|CCO|NOTHING UNTIL A POLICE SAID
20101216010038.667|20101216010039.333|CCO|
20101216010039.333|20101216010040.000|CCO|
20101216010040.000|20101216010040.667|CCO|CAME SAID THERE WERE TWO
20101216010040.667|20101216010041.333|CCO|
20101216010041.333|20101216010042.000|CCO|
20101216010042.000|20101216010042.476|CCO|DEAD BODIES THAT SHOCKED
20101216010042.476|20101216010042.952|CCO|
20101216010042.952|20101216010043.429|CCO|
