TOP|20101216010002|2010-12-16_0100_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|d016b646-08af-11e0-9439-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:09:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216010007.714|20101216010150.000|SEG|Type=Story
20101216010007.714|20101216010009.143|CCO|res Show, The THEY ARE BEING PHASED OUT.
20101216010009.143|20101216010010.571|CCO|THE GOVERNMENT IS SAYING THEY 
20101216010010.571|20101216010012.000|CCO|HAVE TO BE GONE PERIOD.
20101216010012.000|20101216010017.000|CCO|>> YOU SIMPLY LIFT UP, PUSH IN 
20101216010017.000|20101216010022.000|CCO|WITH YOUR LEG AND IT DROPS DOWN.
20101216010022.000|20101216010023.667|CCO|>> Reporter: BERGSTROM'S STOPPED
20101216010023.667|20101216010025.333|CCO|SELLING THESE CRIBS YEARS AGO.
20101216010025.333|20101216010027.000|CCO|TERRY IS EXPECTING HER SECOND 
20101216010027.000|20101216010028.667|CCO|CHILD AND SAID THE DROP DOWNS 
20101216010028.667|20101216010030.333|CCO|WERE NEVER AN OPTION.
20101216010030.333|20101216010032.000|CCO|>> YOU DON'T WANT SOMETHING THAT
20101216010032.000|20101216010034.500|CCO|IS GOING TO HURT YOUR BABY.
20101216010034.500|20101216010037.000|CCO|>> Reporter: THE CONSUMER SAFETY
20101216010037.000|20101216010039.500|CCO|COMMISSION HAS ORDERED TO BAN 
20101216010039.500|20101216010042.000|CCO|THE CRIBS.
20101216010042.000|20101216010043.667|CCO|MANY TRAPPED AND SUFFOCATED 
20101216010043.667|20101216010045.333|CCO|BECAUSE OF POORLY ASSEMBLED OR 
20101216010045.333|20101216010047.000|CCO|MALFUNCTIONING CRIBS.
20101216010047.000|20101216010048.667|CCO|THE GOVERNMENT SAID ENOUGH IS 
20101216010048.667|20101216010050.333|CCO|ENOUGH AND CONSUMERS MUST FIND 
20101216010050.333|20101216010052.000|CCO|OTHER OPTIONS.
20101216010052.000|20101216010054.500|CCO|>> THIS IS A FOUR IN ONE CRIB.
20101216010054.500|20101216010057.000|CCO|>> Reporter: WITH DROP SIDES OUT
20101216010057.000|20101216010059.500|CCO|OF FAVOR, PARENTS ARE CATCHING 
20101216010059.500|20101216010102.000|CCO|ON TO A FOUR IN ONE, CONVERTED 
20101216010102.000|20101216010104.500|CCO|ONE STEP AT A TIME INTO AN 
20101216010104.500|20101216010107.000|CCO|EVENTUAL BED.
20101216010107.000|20101216010109.500|CCO|THERE ARE SO MANY CHOICES, CRIBS
20101216010109.500|20101216010112.000|CCO|WITH LOWER OR HIGHER RAILS TO 
20101216010112.000|20101216010113.667|CCO|FIT THE PARENT THAT DROP DOWNS 
20101216010113.667|20101216010115.333|CCO|ARE OBSOLETE, BUT SHOPPERS 
20101216010115.333|20101216010117.000|CCO|SHOULD BE CAREFUL.
20101216010117.000|20101216010118.667|CCO|>> COME INTO A STORE IS THE BEST
20101216010118.667|20101216010120.333|CCO|ADVICE.
20101216010120.333|20101216010122.000|CCO|YOU CAN LOOK ONLINE.
20101216010122.000|20101216010123.667|CCO|IT IS GREAT.
20101216010123.667|20101216010125.333|CCO|YOU CAN GET GOOD INFORMATION, 
20101216010125.333|20101216010127.000|CCO|BUT THERE IS NOTHING BETTER THAN
20101216010127.000|20101216010128.667|CCO|COMING PHYSICALLY INTO THE STORE
20101216010128.667|20101216010130.333|CCO|AND LOOKING AT THE PRODUCT.
20101216010130.333|20101216010132.000|CCO|>> Reporter: THE FOLKS HERE SAY 
20101216010132.000|20101216010134.500|CCO|YOU CAN GET A GOOD AND SAFE CRIB
20101216010134.500|20101216010137.000|CCO|STARTING AT $170.
