TOP|20101216020001|2010-12-16_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|31685d5c-08b8-11e0-85c4-00e0815fe83e
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:10:01|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216020003.500|20101216021652.429|SEG|Type=Story
20101216020003.500|20101216022955.000|SEG_01|Type=Commercial
20101216020003.500|20101216020004.125|CCO|THAT EQUATES TO 3 BILLION
20101216020004.125|20101216020004.750|CCO|
20101216020004.750|20101216020005.375|CCO|
20101216020005.375|20101216020006.000|CCO|LESS FOR SAY THE COFFERS
20101216020006.000|20101216020006.625|CCO|
20101216020006.625|20101216020007.250|CCO|
20101216020007.250|20101216020007.875|CCO|WITH CALIFORNIA SO BROKE,
20101216020007.875|20101216020008.500|CCO|
20101216020008.500|20101216020009.125|CCO|
20101216020009.125|20101216020009.750|CCO|FACING A PROJECTED THERE ARE
20101216020009.750|20101216020010.375|CCO|
20101216020010.375|20101216020011.000|CCO|
20101216020011.000|20101216020011.556|CCO|28 MILLION DEFICIT OVER 18
20101216020011.556|20101216020012.111|CCO|
20101216020012.111|20101216020012.667|CCO|
20101216020012.667|20101216020013.222|CCO|MONTHS, IT MAY BE SURPRISING
20101216020013.222|20101216020013.778|CCO|
20101216020013.778|20101216020014.333|CCO|
20101216020014.333|20101216020014.889|CCO|THAT TAXES ARE BEING CUT,
20101216020014.889|20101216020015.444|CCO|
20101216020015.444|20101216020016.000|CCO|
20101216020016.000|20101216020016.556|CCO|BUT THAT IS THE DEAL BROKER
20101216020016.556|20101216020017.111|CCO|
20101216020017.111|20101216020017.667|CCO|
20101216020017.667|20101216020018.222|CCO|BETWEEN GOVERNOR
20101216020018.222|20101216020018.778|CCO|
20101216020018.778|20101216020019.333|CCO|
20101216020019.333|20101216020019.889|CCO|SCHWARZENEGGER AND LAWMAKERS
20101216020019.889|20101216020020.444|CCO|
20101216020020.444|20101216020021.000|CCO|
20101216020021.000|20101216020021.476|CCO|IN EARLY 2009.
20101216020021.476|20101216020021.952|CCO|
20101216020021.952|20101216020022.429|CCO|
20101216020022.429|20101216020022.905|CCO|>> THE TAXES WERE TEMPORARY
20101216020022.905|20101216020023.381|CCO|
20101216020023.381|20101216020023.857|CCO|
20101216020023.857|20101216020024.333|CCO|IN NATURE, BASED ON WHAT
20101216020024.333|20101216020024.810|CCO|
20101216020024.810|20101216020025.286|CCO|
