TOP|20101216020001|2010-12-16_0200_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|319ac5a8-08b8-11e0-a93a-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:10:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216020007.286|20101216020114.500|SEG|Type=Story
20101216020007.286|20101216020008.857|CCO|RS IN THE 
20101216020008.857|20101216020010.429|CCO|MAKING, SIX ACRES, 3.6 OF WHICH 
20101216020010.429|20101216020012.000|CCO|ARE DESIGNED TO LET THE 
20101216020012.000|20101216020014.000|CCO|PACHYDERMS ROAM.
20101216020014.000|20101216020016.000|CCO|SOME ARGUE IT IS LITTLE MORE 
20101216020016.000|20101216020018.000|CCO|THAN CLOSET SPACE.
20101216020018.000|20101216020020.000|CCO|>> THE ZOO IS PRESENTING A 
20101216020020.000|20101216020022.000|CCO|MISLEADING PICTURE TO THE 
20101216020022.000|20101216020024.000|CCO|PUBLIC.
20101216020024.000|20101216020026.000|CCO|THEY CAN'T WALK 100 MILES A DAY.
20101216020026.000|20101216020028.000|CCO|>> Reporter: CRITICS CLAIM IT 
20101216020028.000|20101216020030.000|CCO|LOOKS GOOD BUT ISN'T FOR THE 
20101216020030.000|20101216020032.000|CCO|ELEPHANT.
20101216020032.000|20101216020033.667|CCO|THE ZOO PATRONS I SPOKE WITH 
20101216020033.667|20101216020035.333|CCO|RECOGNIZE THE CONTROVERSY BUT 
20101216020035.333|20101216020037.000|CCO|POINT TO AN OVERALL BENEFIT.
20101216020037.000|20101216020038.667|CCO|THE NEW ELEPHANTS OF ASIA 
20101216020038.667|20101216020040.333|CCO|EXHIBIT WILL BRING.
20101216020040.333|20101216020042.000|CCO|>> THERE IS A LOT OF 
20101216020042.000|20101216020043.667|CCO|CONTROVERSY.
20101216020043.667|20101216020045.333|CCO|I THINK THE ZOO HAS GONE TO 
20101216020045.333|20101216020047.000|CCO|APPROPRIATE ENDS TO DEVELOP THE 
20101216020047.000|20101216020048.667|CCO|BEST FACILITY POSSIBLE.
20101216020048.667|20101216020050.333|CCO|IT IS GOING TO BE A STATE OF THE
20101216020050.333|20101216020052.000|CCO|ART FACILITY.
20101216020052.000|20101216020054.000|CCO|>> I HAVE A LITTLE PROBLEM WITH 
20101216020054.000|20101216020056.000|CCO|IT BECAUSE I DON'T LIKE TO SEE 
20101216020056.000|20101216020058.000|CCO|ANIMALS CAGED.
20101216020058.000|20101216020100.000|CCO|I'M SURE THEY ARE WELL TAKEN 
20101216020100.000|20101216020102.000|CCO|CARE OF.
20101216020102.000|20101216020103.667|CCO|>> NOW THIS EXHIBIT OPENED 
20101216020103.667|20101216020105.333|CCO|DESPITE YEARS OF LEGAL RANGLING.
20101216020105.333|20101216020107.000|CCO|THE OPPONENTS SAY THEY ARE NOT 
20101216020107.000|20101216020108.667|CCO|DONE.
20101216020108.667|20101216020110.333|CCO|THEY PLAN TO CONTINUE FIGHTING 
20101216020110.333|20101216020112.000|CCO|IT IN COURT.
20101216020112.000|20101216020114.500|CCO|CHRIS SCHAUBLE, CHANNEL 4 NEWS.
20101216020114.500|20101216020211.000|SEG|Type=Story
20101216020114.500|20101216020117.000|CCO|>>> NOW WHAT IS GOING ON WITH 
20101216020117.000|20101216020119.500|CCO|THE WEATHER?
20101216020119.500|20101216020122.000|CCO|A COUPLE OF DAYS AGO IT WAS HOT,
20101216020122.000|20101216020124.000|CCO|TODAY DOWN RIGHT DREARY.
20101216020124.000|20101216020126.000|CCO|>> 30 DEGREES COOLER TODAY.
20101216020126.000|20101216020128.000|CCO|WHAT WE ARE DOING IS PUTTING YOU
20101216020128.000|20101216020130.000|CCO|IN THE MOOD FOR WHAT WE EXPECT 
20101216020130.000|20101216020132.000|CCO|TO ARRIVE OVER THE WEEKEND.
20101216020132.000|20101216020133.800|CCO|THIS IS A WEAK FRONTAL SYSTEM 
20101216020133.800|20101216020135.600|CCO|THAT FORCED A STRONG ONSHORE 
20101216020135.600|20101216020137.400|CCO|FLOW, BROUGHT US DRIZZLE AND 
20101216020137.400|20101216020139.200|CCO|LIGHT RAIN.
20101216020139.200|20101216020141.000|CCO|LOOK AROUND THE AREA AND SEE 
20101216020141.000|20101216020144.333|CCO|SPOTTY AREAS EAST OF OXNARD, WE 
20101216020144.333|20101216020147.667|CCO|HAVEN'T HAD MUCH OF ANYTHING BUT
20101216020147.667|20101216020151.000|CCO|CLOUDS IN THE SAN FERNANDO 
20101216020151.000|20101216020156.000|CCO|VALLEY.
