TOP|20101216030002|2010-12-16_0300_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|93963898-08c0-11e0-85d9-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.01.html
HED|Don't Ask, Don't Tell Repeal Still Alive?; Interview With Connecticut Senator Joe Lieberman; Is Lap-Band Surgery Safe?; Who Was Gunman in School-Board Shooting?
LAN|ENG
LBT|2010-12-15 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:10:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216030006.000|20101216030019.500|SEG|Type=Story
20101216030006.000|20101216030007.000|CCO|NEW YEAR'S EVE, AND THEN WE'LL 
20101216030007.000|20101216030008.000|CCO|BE DOING SPECIALS AND YOU'LL BE 
20101216030008.000|20101216030009.000|CCO|HEARING LOTS FROM US, BUT 
20101216030009.000|20101216030010.000|CCO|TOMORROW NIGHT SO YOU ARE OUR 
20101216030010.000|20101216030011.000|CCO|NEXT-TO-LAST. 
20101216030011.000|20101216030012.000|CCO|>> OH, LOVELY.
20101216030012.000|20101216030012.833|CCO|THANK YOU.
20101216030012.833|20101216030013.667|CCO|>> Larry: "AC 360" AND ANDERSON 
20101216030013.667|20101216030014.500|CCO|COOPER ARE NEXT.
20101216030014.500|20101216030019.500|SEG_01|Type=Commercial
20101216030014.500|20101216030015.333|CCO|    
20101216030015.333|20101216030016.167|CCO|    --Captions by VITAC--
20101216030016.167|20101216030017.000|CCO|        
20101216030017.000|20101216030017.833|CCO|        www.vitac.com
20101216030017.833|20101216030018.667|CCO|                
20101216030018.667|20101216030019.500|CCO|                
20101216030019.500|20101216030058.000|SEG_01|Type=Story start
20101216030019.500|20101216030058.000|SEG|Type=Story
20101216030019.500|20101216030020.333|CCO|>>> TONIGHT, SENATOR JOE 
20101216030020.333|20101216030021.167|CCO|LIEBERMAN SAYS THE VOTES ARE 
20101216030021.167|20101216030022.000|CCO|THERE, INCLUDING FIVE 
20101216030022.000|20101216030023.429|CCO|REPUBLICANS FOR LIFTING DON'T 
20101216030023.429|20101216030024.857|CCO|ASK, DON'T TELL.
20101216030024.857|20101216030026.286|CCO|LAWMAKERS, RACING TO DO THAT AND
20101216030026.286|20101216030027.714|CCO|A WHOLE LOT MORE.
20101216030027.714|20101216030029.143|CCO|BUT NOW THEY'RE FIGHTING OVER 
20101216030029.143|20101216030030.571|CCO|WORKING THROUGH THE HOLIDAYS.
20101216030030.571|20101216030032.000|CCO|SOME REPUBLICANS, ACCUSING 
20101216030032.000|20101216030033.429|CCO|DEMOCRATS OF DISRESPECTING 
20101216030033.429|20101216030034.857|CCO|CHRISTMAS AND CHRISTIANS.
20101216030034.857|20101216030036.286|CCO|WE'RE KEEPING THEM HONEST. 
20101216030036.286|20101216030037.714|CCO|>> ALSO SURGERY FOR THE OBESE, 
20101216030037.714|20101216030039.143|CCO|AT LEAST IT USED TO BE JUST FOR 
20101216030039.143|20101216030040.571|CCO|THE VERY OBESE.
20101216030040.571|20101216030042.000|CCO|NOW MILLIONS MORE AMERICANS 
20101216030042.000|20101216030043.667|CCO|COULD BE ELIGIBLE FOR WHAT'S 
20101216030043.667|20101216030045.333|CCO|CALLED LAP-BAND SURGERY.
