TOP|20101216030002|2010-12-16_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|93d10ee6-08c0-11e0-9898-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:10:16|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216030006.000|20101216035957.000|SEG|Type=Story
20101216030006.000|20101216030007.000|CCO|>> SEAN: THAT'S ALL THE TIME
20101216030007.000|20101216030008.000|CCO|WE HAVE LEFT.
20101216030008.000|20101216030009.000|CCO|THANKS FOR BEING WITH US.
20101216030009.000|20101216030010.000|CCO|GRETA IS STANDING BY.
20101216030010.000|20101216030011.000|CCO|WE'LL SEE YOU BACK HERE
20101216030011.000|20101216030012.000|CCO|TOMORROW NIGHT.
20101216030012.000|20101216030013.429|CCO|>> GRETA: TONIGHT, THIS IS A
20101216030013.429|20101216030014.857|CCO|DISGRACE.
20101216030014.857|20101216030016.286|CCO|LOOK AT THIS.
20101216030016.286|20101216030017.714|CCO|THIS IS THE OMNIBUS SPENDING
20101216030017.714|20101216030019.143|CCO|BILL, 1.1 TRILLION DOLLARS,
20101216030019.143|20101216030020.571|CCO|CLOCKING IN AT NEARLY 2,000
20101216030020.571|20101216030022.000|CCO|PAGES.
20101216030022.000|20101216030023.429|CCO|DO YOU THINK ANY SENATOR HAS
20101216030023.429|20101216030024.857|CCO|READ THIS?
20101216030024.857|20101216030026.286|CCO|THEY IT LAST NIGHT THE VOTE IS
20101216030026.286|20101216030027.714|CCO|LIKELY THIS WEEKEND.
20101216030027.714|20101216030029.143|CCO|WE HAVE MUCH MORE ON THIS
20101216030029.143|20101216030030.571|CCO|MINUTES AWAY.
20101216030030.571|20101216030032.000|CCO|PLUS, YOU WILL SEE WITH OWN
20101216030032.000|20101216030033.667|CCO|EYE WAS DOVE THIS GUNMAN TO
20101216030033.667|20101216030035.333|CCO|OPEN FIRE AT A SCHOOL BOARD
20101216030035.333|20101216030037.000|CCO|MEETING IN FLORIDA.
20101216030037.000|20101216030042.000|SEG_01|Type=Commercial
20101216030037.000|20101216030038.667|CCO|>> PLEASE DON'T.
20101216030038.667|20101216030040.333|CCO|PLEASE DON'T.
20101216030040.333|20101216030042.000|CCO|PLEASE.
20101216030042.000|20101216030044.500|SEG_01|Type=Story start
20101216030042.000|20101216030044.500|CCO|>> I'M GONNA KILL, DON'T YOU.
20101216030044.500|20101216030047.000|CCO|>> GRETA: YOU WILL HEAR THE
20101216030047.000|20101216030049.500|CCO|GUNMAN SAY IN HIS OWN WORDS
20101216030049.500|20101216030052.000|CCO|WHAT DOVE HIM TO ATTACK.
20101216030052.000|20101216030053.667|CCO|>> BUT FIRST, THIS MUST ENRAGE
20101216030053.667|20101216030055.333|CCO|YOU.
20101216030055.333|20101216030057.000|CCO|BORDER AGENT GUNNED DOWN,
20101216030057.000|20101216030058.667|CCO|MURDERED IN A LATE NIGHT SHOT
20101216030058.667|20101216030100.333|CCO|OUT 10 MILES FROM THE ARIZONA/
20101216030100.333|20101216030102.000|CCO|MEXICO BORDER.
20101216030102.000|20101216030103.429|CCO|FOUR IN CUSTODY, SEVERAL MORE
20101216030103.429|20101216030104.857|CCO|POSSIBLY CONNECTED ARE BEING
20101216030104.857|20101216030106.286|CCO|HUNTED DOWN.
20101216030106.286|20101216030107.714|CCO|HERE'S THE QUESTION TO WHICH
20101216030107.714|20101216030109.143|CCO|WE MUST DEMAND AN ANSWER FROM
20101216030109.143|20101216030110.571|CCO|OUR GOVERNMENT, WHAT MORE HAS
20101216030110.571|20101216030112.000|CCO|TO HAPPEN BEFORE THE
20101216030112.000|20101216030114.000|CCO|GOVERNMENT WILL FACEDOWN THIS
20101216030114.000|20101216030116.000|CCO|GROWING WAR?
20101216030116.000|20101216030118.000|CCO|WE'VE SPOKEN ABOUT THIS BEFORE
20101216030118.000|20101216030120.000|CCO|AND YOU HAVE BEEN A CHAMPION
20101216030120.000|20101216030122.000|CCO|TO TRY TO GET ATTENTION FROM
20101216030122.000|20101216030124.000|CCO|THE FEDERAL GOVERNMENT.
20101216030124.000|20101216030126.000|CCO|HORRIBLE NEWS.
20101216030126.000|20101216030128.000|CCO|>> IT IS A TRAGEDY.
20101216030128.000|20101216030130.000|CCO|AGENT TERRY WAS 40 YEARS OF
20101216030130.000|20101216030132.000|CCO|AGE.
20101216030132.000|20101216030133.667|CCO|THREE YEARS AT BORDER PATROL.
20101216030133.667|20101216030135.333|CCO|10 YEARS WITH THE POLICE
20101216030135.333|20101216030137.000|CCO|DEPARTMENT PREVIOUSLY.
20101216030137.000|20101216030138.667|CCO|HE WAS ALSO PART OF THE GROUP
20101216030138.667|20101216030140.333|CCO|THAT IS LIKE A S.W.A.T. TEAM
20101216030140.333|20101216030142.000|CCO|THE MOST ELITE PART OF THE
20101216030142.000|20101216030144.000|CCO|UNITED STATES BORDER PATROL.
20101216030144.000|20101216030146.000|CCO|FOR HIM TO BE MURDERED IS A
20101216030146.000|20101216030148.000|CCO|TRAGEDY NOT#ÚLO JUST FOR THE
20101216030148.000|20101216030150.000|CCO|AGENTS BUT FOR ALL AMERICANS.
20101216030150.000|20101216030152.000|CCO|>> GRETA: THE HORRIBLE THING
20101216030152.000|20101216030153.429|CCO|IS, WHO DIDN'T KNOW THIS WAS
20101216030153.429|20101216030154.857|CCO|COMING?
20101216030154.857|20101216030156.286|CCO|YOU HAVE BEEN ON AIR SAYING
20101216030156.286|20101216030157.714|CCO|YOU NEED HELP.
20101216030157.714|20101216030159.143|CCO|TWO SENATORS, GOVERNOR HAS
20101216030159.143|20101216030200.571|CCO|BEEN ON.
20101216030200.571|20101216030202.000|CCO|THERE'S BEEN DEMAND FOR MORE
20101216030202.000|20101216030204.500|CCO|HELP THIS IS INEVITABLE.
20101216030204.500|20101216030207.000|CCO|>> 207,000 MEXICANS BRUTALLY
20101216030207.000|20101216030209.500|CCO|BEING -- 27,000 MEXICANS
20101216030209.500|20101216030212.000|CCO|BRUTALLY BEING MURDERED
20101216030212.000|20101216030213.667|CCO|BECAUSE OF THE CARTEL VIOLENCE
20101216030213.667|20101216030215.333|CCO|IT IS INEVITABLE IT WILL
20101216030215.333|20101216030217.000|CCO|EFFECT US.
20101216030217.000|20101216030218.667|CCO|THE TRAGIC KILLING OF THE
20101216030218.667|20101216030220.333|CCO|FIFTH GENERATION SOUTHERN
