TOP|20101216040001|2010-12-16_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|f4fa0c10-08c8-11e0-8171-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-15 20:00 America/Los_Angeles
SEG_01|2014-06-18 18:10:22|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216040011.000|20101216044616.714|SEG|Type=Story
20101216040011.000|20101216045956.000|SEG_01|Type=Commercial
20101216040011.000|20101216040014.333|CCO|  Show 9305
20101216040014.333|20101216040017.667|CCO|RICK: TONIGHT ON KCAL9 NEWS
20101216040017.667|20101216040021.000|CCO|
20101216040021.000|20101216040022.250|CCO|AT 8:00, AEG ROLLING OUT BIG
20101216040022.250|20101216040023.500|CCO|
20101216040023.500|20101216040024.750|CCO|PLANS FOR DOWN TOWN L.A.
20101216040024.750|20101216040026.000|CCO|
20101216040026.000|20101216040027.250|CCO|SHARON: A RETIRED HUNTINGTON
20101216040027.250|20101216040028.500|CCO|
20101216040028.500|20101216040029.750|CCO|PARK POLICE CHIEF IS NOW A
20101216040029.750|20101216040031.000|CCO|
20101216040031.000|20101216040031.833|CCO|WANTED MAN.
20101216040031.833|20101216040032.667|CCO|
20101216040032.667|20101216040033.500|CCO|>> A BIG PREMIER AV L.A. ZOO
20101216040033.500|20101216040034.333|CCO|
20101216040034.333|20101216040035.167|CCO|TOMORROW, SHE WHAT IS
20101216040035.167|20101216040036.000|CCO|
20101216040036.000|20101216040036.833|CCO|HAPPENING TONIGHT TO
20101216040036.833|20101216040037.667|CCO|
20101216040037.667|20101216040038.500|CCO|CELEBRATE THE ELEPHANTS
20101216040038.500|20101216040039.333|CCO|
20101216040039.333|20101216040040.167|CCO|CONTROVERSIAL NEW EXHIBIT, I
20101216040040.167|20101216040041.000|CCO|
20101216040041.000|20101216040042.250|CCO|THINK RICK GARCIA.
20101216040042.250|20101216040043.500|CCO|
20101216040043.500|20101216040044.750|CCO|SHARON: I AM SHARON TAY, TO
20101216040044.750|20101216040046.000|CCO|
20101216040046.000|20101216040047.250|CCO|PARAPHRASE, IF YOU BUILD IT
20101216040047.250|20101216040048.500|CCO|
20101216040048.500|20101216040049.750|CCO|THEY WILL COME, FOLKS AT
20101216040049.750|20101216040051.000|CCO|
20101216040051.000|20101216040051.833|CCO|AEG ARE CONSIDERING BUILDING
20101216040051.833|20101216040052.667|CCO|
20101216040052.667|20101216040053.500|CCO|A FOOTBALL STADIUM DOWNTOWN
20101216040053.500|20101216040054.333|CCO|
20101216040054.333|20101216040055.167|CCO|TODAY THEY GAVE US A SNEAK
20101216040055.167|20101216040056.000|CCO|
20101216040056.000|20101216040056.833|CCO|PEAK AT 3 PROPOSALS FOR THE
20101216040056.833|20101216040057.667|CCO|
20101216040057.667|20101216040058.500|CCO|PROJECT, SURAYA FADEL IS
20101216040058.500|20101216040059.333|CCO|
20101216040059.333|20101216040100.167|CCO|LIVE IN DOWNTOWN L.A. WHERE
20101216040100.167|20101216040101.000|CCO|
20101216040101.000|20101216040102.250|CCO|HOPES ARE HIGH THAT THIS
20101216040102.250|20101216040103.500|CCO|
20101216040103.500|20101216040104.750|CCO|WILL DO THE TRICK.
20101216040104.750|20101216040106.000|CCO|
20101216040106.000|20101216040107.250|CCO|>> Reporter: YOU KNOW, THERE
20101216040107.250|20101216040108.500|CCO|
20101216040108.500|20101216040109.750|CCO|WERE 9 DESIGN TEAMS THAT
20101216040109.750|20101216040111.000|CCO|
20101216040111.000|20101216040112.000|CCO|WERE SELECTED, TONIGHT
20101216040112.000|20101216040113.000|CCO|
20101216040113.000|20101216040114.000|CCO|AEG ANNOUNCED TOP 3 FIRMS,
20101216040114.000|20101216040115.000|CCO|
20101216040115.000|20101216040116.000|CCO|LOOK AT PROPOSED RENDERINGS,
20101216040116.000|20101216040117.000|CCO|
20101216040117.000|20101216040118.000|CCO|THIS IS THE NEXT CHAPTER OF
20101216040118.000|20101216040119.000|CCO|
20101216040119.000|20101216040120.000|CCO|A PROPOSED NFL STADIUM THAT
20101216040120.000|20101216040121.000|CCO|
20101216040121.000|20101216040122.000|CCO|WOULD BE BROUGHT TO DOWN UP
20101216040122.000|20101216040123.000|CCO|
20101216040123.000|20101216040124.000|CCO|TO L.A., WE'RE TOLD THAT TOP
20101216040124.000|20101216040125.000|CCO|
20101216040125.000|20101216040126.000|CCO|3 OF THE BEST ARCHITECTS IN
20101216040126.000|20101216040127.000|CCO|
20101216040127.000|20101216040128.000|CCO|THE WORLD, BOTH ARK TECHS
20101216040128.000|20101216040129.000|CCO|
20101216040129.000|20101216040130.000|CCO|ARE -- ALL 3 TALKED ABOUT
20101216040130.000|20101216040131.000|CCO|
20101216040131.000|20101216040133.500|CCO|THEIR VISION, P PROPOSED
20101216040133.500|20101216040136.000|CCO|
20101216040136.000|20101216040138.500|CCO|RENDERINGS TO THE PUBLIC.
20101216040138.500|20101216040141.000|CCO|
20101216040141.000|20101216040142.250|CCO|AN AWARD WINNING DOWNTOWN
20101216040142.250|20101216040143.500|CCO|
20101216040143.500|20101216040144.750|CCO|L.A. ARCHITECT AND
20101216040144.750|20101216040146.000|CCO|
20101216040146.000|20101216040147.250|CCO|ENGINEERING FIRM, EACH
20101216040147.250|20101216040148.500|CCO|
20101216040148.500|20101216040149.750|CCO|STADIUM IDEA HAS ITS OWN
20101216040149.750|20101216040151.000|CCO|
20101216040151.000|20101216040152.000|CCO|UNIQUE FEATURES, HKSSPORTS
20101216040152.000|20101216040153.000|CCO|
20101216040153.000|20101216040154.000|CCO|IS KNOWN FOR THE COWBOY
20101216040154.000|20101216040155.000|CCO|
20101216040155.000|20101216040156.000|CCO|STADIUM IN DALLAS, IT
20101216040156.000|20101216040157.000|CCO|
20101216040157.000|20101216040158.000|CCO|REMAINS TO BE SEEN IF THEY
20101216040158.000|20101216040159.000|CCO|
20101216040159.000|20101216040200.000|CCO|WILL ADD SIMILAR FUTURES TO
20101216040200.000|20101216040201.000|CCO|
20101216040201.000|20101216040201.833|CCO|THE L.A. ONE, AEG IS
20101216040201.833|20101216040202.667|CCO|
20101216040202.667|20101216040203.500|CCO|PROPOSING TO DESIGN A
20101216040203.500|20101216040204.333|CCO|
20101216040204.333|20101216040205.167|CCO|BILLION DOLLAR STADIUM, TO
20101216040205.167|20101216040206.000|CCO|
20101216040206.000|20101216040206.833|CCO|RESHAPE THE DOWNTOWN
20101216040206.833|20101216040207.667|CCO|
20101216040207.667|20101216040208.500|CCO|DISTRICT SEEN OFF 110 HARBOR
20101216040208.500|20101216040209.333|CCO|
20101216040209.333|20101216040210.167|CCO|FREEWAY, LOCATE THE NEAR
20101216040210.167|20101216040211.000|CCO|
20101216040211.000|20101216040211.833|CCO|L.A. LIVE AND STAPLES CENTER
20101216040211.833|20101216040212.667|CCO|
20101216040212.667|20101216040213.500|CCO|IN THE WEST HALL OF THE L.A.
20101216040213.500|20101216040214.333|CCO|
20101216040214.333|20101216040215.167|CCO|CONVENTION CENTER.
20101216040215.167|20101216040216.000|CCO|
20101216040216.000|20101216040216.833|CCO|>> WE ALL LOOKED AT THE
20101216040216.833|20101216040217.667|CCO|
