TOP|20101216160001|2010-12-16_1600_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|8a4f95c8-092d-11e0-8d77-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216160005.444|20101216160141.000|SEG|Type=Story
20101216160005.444|20101216160007.667|SEG_01|Type=Commercial
20101216160005.444|20101216160006.556|CCO| TO KISS
20101216160006.556|20101216160007.667|CCO|HIM?
20101216160007.667|20101216160008.778|SEG_01|Type=Story start
20101216160007.667|20101216160008.778|CCO|IF TEARS COULD BUILD A STAIRWAY 
20101216160008.778|20101216160009.889|CCO|AND MEMORIES A LANE, I WOULD 
20101216160009.889|20101216160011.000|CCO|WALK RIGHT UP TO HEAVEN AND 
20101216160011.000|20101216160012.667|CCO|BRING YOU HOME AGAIN.
20101216160012.667|20101216160014.333|CCO|>> THIS IS HIS CREATION, HIS 
20101216160014.333|20101216160016.000|CCO|THIS IS IDEA, AND TO COME WHO 
20101216160016.000|20101216160017.667|CCO|ARE AND FEEL HIM HERE, I'M 
20101216160017.667|20101216160019.333|CCO|HAPPY.
20101216160019.333|20101216160021.000|CCO|>> Larry: LET'S GO LIVE TO 
20101216160021.000|20101216160022.667|CCO|HAITI, LET'S SHOW YOU 
20101216160022.667|20101216160024.333|CCO|SPECIFICALLY WHAT YOUR DONATIONS
20101216160024.333|20101216160026.000|CCO|MEAN.
20101216160026.000|20101216160027.667|CCO|FOR NOW, FOR HERE, IT'S TIME TO 
20101216160027.667|20101216160029.333|CCO|HANG UP THE NIGHTLY SUSPENDERS 
20101216160029.333|20101216160031.000|CCO|AND WHO KNOWS WHAT THE FUTURE'S 
20101216160031.000|20101216160034.333|CCO|GOING TO BRING?
20101216160034.333|20101216160037.667|CCO|>> AND LARRY KING'S FINAL LIVE 
20101216160037.667|20101216160041.000|CCO|HOUR TONIGHT, 9:00 EASTERN TIME.
20101216160041.000|20101216160044.333|CCO|WHERE ARE YOU GOING TO BE 9:00 
20101216160044.333|20101216160047.667|CCO|EASTERN TIME TONIGHT?
20101216160047.667|20101216160051.000|CCO|>> UMPTEEN YEARS AGO, I'M A 
20101216160051.000|20101216160052.667|CCO|YOUNG GUY DOING RADIO IN 
20101216160052.667|20101216160054.333|CCO|BALTIMORE, MARYLAND.
20101216160054.333|20101216160056.000|CCO|I WOULD GET UP IN THE MORNING 
20101216160056.000|20101216160057.667|CCO|AND I WOULD LISTEN TO LARRY 
20101216160057.667|20101216160059.333|CCO|KING'S RADIO SHOW.
20101216160059.333|20101216160101.000|CCO|WHAT A CAREER THIS GUY.
20101216160101.000|20101216160103.500|CCO|>> YOU LOOK UPSET ABOUT IT.
20101216160103.500|20101216160106.000|CCO|ARE YOU OKAY?
20101216160106.000|20101216160108.500|CCO|>> IT'S REMARKABLE.
20101216160108.500|20101216160111.000|CCO|WE GOT THE NEW GUY COMING IN 
20101216160111.000|20101216160113.500|CCO|NEXT YEAR.
20101216160113.500|20101216160116.000|CCO|PIERS MORGAN.
20101216160116.000|20101216160118.500|CCO|>> WE HAVE A SURPRISE GUEST 
20101216160118.500|20101216160121.000|CCO|TONIGHT.
20101216160121.000|20101216160122.250|CCO|>> YOU WANT TO STAY HERE AND DO 
20101216160122.250|20101216160123.500|CCO|THIS?
20101216160123.500|20101216160124.750|CCO|I KNOW THEY WANT YOU TO START 
20101216160124.750|20101216160126.000|CCO|YOUR SHOW.
20101216160126.000|20101216160127.250|CCO|>> TAKE CARE, I'LL CALL YOU 
20101216160127.250|20101216160128.500|CCO|LATER.
20101216160128.500|20101216160129.750|CCO|GOOD MORNING, EVERYONE, THE NEWS
20101216160129.750|20101216160131.000|CCO|AND INFORMATION YOU NEED FOR 
20101216160131.000|20101216160133.500|CCO|THURSDAY, DECEMBER 16, THE 
20101216160133.500|20101216160136.000|CCO|SECURITY GUARD WHO ENDED THE 
20101216160136.000|20101216160138.500|CCO|FLORIDA SCHOOL BOARD SHOOTING 
20101216160138.500|20101216160141.000|CCO|RAMPAGE, LIVE THIS HOUR.
20101216160141.000|20101216160203.000|SEG|Type=Story
20101216160141.000|20101216160142.667|CCO|>>> SNOW, FREEZING RAIN, SLEET, 
20101216160142.667|20101216160144.333|CCO|ICE, A LITTLE BIT OF EVERYTHING 
20101216160144.333|20101216160146.000|CCO|MAKING A SLIPPERY MESS ACROSS 
20101216160146.000|20101216160147.667|CCO|SEVERAL STATES TODAY AND A LIVE 
20101216160147.667|20101216160149.333|CCO|NATIVITY SCENE COMES ALIVE WITH 
20101216160149.333|20101216160151.000|CCO|A REAL LIFE BIRTH.
20101216160151.000|20101216160153.000|CCO|ONE OF THE STARS OF THE 
20101216160153.000|20101216160155.000|CCO|CHRISTMAS SHOW, A GOAT, WELCOMES
20101216160155.000|20101216160157.000|CCO|A BABY TO THE MANGER.
20101216160157.000|20101216160159.000|CCO|THOSE STORIES AND YOUR COMMENTS 
20101216160159.000|20101216160201.000|CCO|RIGHT HERE, RIGHT NOW, IN THE 
20101216160201.000|20101216160203.000|CCO|CNN NEWSROOM.
20101216160203.000|20101216160526.000|SEG|Type=Story
20101216160203.000|20101216160205.000|CCO|>>> THE U.S. IS MAKING STRIDES 
20101216160205.000|20101216160207.000|CCO|IN DEFEATING AL QAEDA IN 
20101216160207.000|20101216160209.000|CCO|AFGHANISTAN AND PAKISTAN, BUT 
20101216160209.000|20101216160211.000|CCO|THE GAINS ARE FRAGILE AND 
20101216160211.000|20101216160212.667|CCO|CHALLENGES REMAIN.
20101216160212.667|20101216160214.333|CCO|STILL A NEW REPORT BEING 
20101216160214.333|20101216160216.000|CCO|RELEASED TODAY SAYS SOME U.S. 
20101216160216.000|20101216160217.667|CCO|TROOPS COULD BEGIN COMING HOME 
20101216160217.667|20101216160219.333|CCO|NEXT YEAR.
20101216160219.333|20101216160221.000|CCO|WE WILL HEAR FROM PRESIDENT 
20101216160221.000|20101216160226.000|CCO|OBAMA THIS HOUR ABOUT THE
20101216160226.000|20101216160231.000|CCO|ASSESSMENT.
20101216160231.000|20101216160233.500|CCO|REPORTS -- PROGRESS IN THE U.S. 
20101216160233.500|20101216160236.000|CCO|RELATIONSHIP WITH PAKISTAN HAS 
20101216160236.000|20101216160238.500|CCO|BEEN, QUOTE, SUBSTANTIAL, BUT 
20101216160238.500|20101216160241.000|CCO|ALSO UNEVEN.
20101216160241.000|20101216160243.000|CCO|THE U.S. IS SETTING CONDITIONS 
20101216160243.000|20101216160245.000|CCO|TO BEGIN A RESPONSIBLE 
20101216160245.000|20101216160247.000|CCO|CONDITIONS-BASED U.S. TROOP 
20101216160247.000|20101216160249.000|CCO|REDUCTION IN JULY 2011.
20101216160249.000|20101216160251.000|CCO|WHEN IT COMES TO ROOTING OUT 
20101216160251.000|20101216160253.000|CCO|TERRORISTS, THE REPORT SAYS THE 
20101216160253.000|20101216160255.000|CCO|RELATIONSHIP WITH PAKISTAN HAS 
20101216160255.000|20101216160257.000|CCO|BEEN UNEVEN.
20101216160257.000|20101216160259.000|CCO|WHAT DOES THAT MEAN?
20101216160259.000|20101216160301.000|CCO|>> TONY, IT'S A NICE WORD, IT'S 
