TOP|20101216160002|2010-12-16_1600_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|8a681a26-092d-11e0-9ddb-00e0815fe83e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216160022.000|20101216160032.000|SEG|Type=Story
20101216160022.000|20101216160023.667|CCO|>>> SOME HAPPY FACES DOWNSTAIRS.
20101216160023.667|20101216160025.333|CCO|OF COURSE, ROBIN IS ON 
20101216160025.333|20101216160027.000|CCO|ASSIGNMENT.
20101216160027.000|20101216160028.667|CCO|SHE IS HEADING UP TO WASILLA, 
20101216160028.667|20101216160030.333|CCO|ALASKA, TO TALK TO SARAH PALIN.
20101216160030.333|20101216160032.000|CCO|ELIZABETH VARGAS IS HERE.
20101216160032.000|20101216160053.667|SEG|Type=Story
20101216160032.000|20101216160034.500|CCO|>>> YOU GOT A STORY THAT ALI AND
20101216160034.500|20101216160037.000|CCO|I, A SUBJECT WE DISCUSS A LOT.
20101216160037.000|20101216160039.500|CCO|THE WHOLE QUESTION OF WHETHER 
20101216160039.500|20101216160042.000|CCO|TEEN GIRLS ARE TOO SEXY ON 
20101216160042.000|20101216160042.909|CCO|TELEVISION.
20101216160042.909|20101216160043.818|CCO|THERE'S A NEW REPORT OUT.
20101216160043.818|20101216160044.727|CCO|>> SAYING THEY'RE PORTRAYED 
20101216160044.727|20101216160045.636|CCO|SEXUALLY MORE OFTEN THAN ADULT 
20101216160045.636|20101216160046.545|CCO|FEMALE CHARACTERS ARE IN SEXUAL 
20101216160046.545|20101216160047.455|CCO|SITUATIONS.
20101216160047.455|20101216160048.364|CCO|>> AND KIDS HOOK INTO IT.
20101216160048.364|20101216160049.273|CCO|IT SENDS SOME HARMFUL MESSAGES 
20101216160049.273|20101216160050.182|CCO|TO YOUNG GIRLS.
20101216160050.182|20101216160051.091|CCO|WE'LL TELL YOU WHAT IT SAYS AND 
20101216160051.091|20101216160052.000|CCO|WHAT PARENTS CAN DO THIS 
20101216160052.000|20101216160053.667|CCO|MORNING.
20101216160053.667|20101216160117.000|SEG|Type=Story
20101216160053.667|20101216160055.333|CCO|>>> ALSO THIS MORNING, A 
20101216160055.333|20101216160057.000|CCO|TERRIFYING MOMENT FOR A DOCTOR 
20101216160057.000|20101216160058.667|CCO|AT THE HANDS OF HER OWN PATIENT.
20101216160058.667|20101216160100.333|CCO|BUT THIS TURNS INTO AN INSPIRING
20101216160100.333|20101216160102.000|CCO|LESSON IN COURAGE.
20101216160102.000|20101216160105.333|CCO|YOU'RE GOING TO MEET THIS WOMAN 
20101216160105.333|20101216160108.667|CCO|WITH HER MESSAGE OF HOPE IN JUST
20101216160108.667|20101216160112.000|CCO|A FEW MINUTES.
20101216160112.000|20101216160113.000|CCO|>> WHAT SHE WENT THROUGH AT THE 
20101216160113.000|20101216160114.000|CCO|HANDS OF HER PATIENT, AND HOW 
20101216160114.000|20101216160115.000|CCO|SHE RECOVERED FROM IT.
20101216160115.000|20101216160116.000|CCO|>> AND FORGAVE HIM.
20101216160116.000|20101216160117.000|CCO|>> STRONGER THAN EVER.
20101216160117.000|20101216160127.714|SEG|Type=Story
20101216160117.000|20101216160118.000|CCO|>>> IF YOU'RE OUT OF HOLIDAY 
20101216160118.000|20101216160119.000|CCO|GIFT IDEAS, BECKY WORLEY IS HERE
20101216160119.000|20101216160120.000|CCO|TO SAVE THE DAY WITH HER 
20101216160120.000|20101216160121.000|CCO|FAVORITES.
20101216160121.000|20101216160122.000|CCO|>> WHAT IS THAT?
20101216160122.000|20101216160123.429|CCO|IT LOOKS LIKE A GAME.
20101216160123.429|20101216160124.857|CCO|>> SHE'S TOO INTO IT TO TELL US.
20101216160124.857|20101216160126.286|CCO|WE'RE GOING TO FIND OUT A LITTLE
20101216160126.286|20101216160127.714|CCO|BIT.
20101216160127.714|20101216160135.333|SEG|Type=Story
