TOP|20101216180002|2010-12-16_1800_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|4e5a8a44-093e-11e0-a6bb-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:34|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216180007.714|20101216180317.000|SEG|Type=Story
20101216180007.714|20101216180009.143|CCO|N THE 
20101216180009.143|20101216180010.571|CCO|WORLD WHO HAD FAITH TO ME WHILE 
20101216180010.571|20101216180012.000|CCO|I HAVE BEEN AWAY, TO MY LAWYERS 
20101216180012.000|20101216180014.500|CCO|WHO HAVE PUT UP A BRAVE AND 
20101216180014.500|20101216180017.000|CCO|ULTIMATELY SUCCESSFUL FIGHT.
20101216180017.000|20101216180019.500|CCO|AUTHORITIES AND PEOPLE WHO 
20101216180019.500|20101216180022.000|CCO|PROVIDED MONEY IN THE FACE OF 
20101216180022.000|20101216180027.000|CCO|GREAT DIFFICULTY AND DIVERSION.
20101216180027.000|20101216180032.000|CCO|AND TO MEMBERS OF THE PRESS WHO 
20101216180032.000|20101216180035.333|CCO|WERE NOT ALL TAKEN IN AND 
20101216180035.333|20101216180038.667|CCO|CONSIDERED TO LOOK DEEPER.
20101216180038.667|20101216180042.000|CCO|IN THEIR WORK.
20101216180042.000|20101216180045.333|CCO|I GET FINALLY BRITISH JUSTICE 
20101216180045.333|20101216180048.667|CCO|SYSTEM IS -- IF JUSTICE IS NOT 
20101216180048.667|20101216180052.000|CCO|ALWAYS AN OUTSUM, AT LEAST IT IS
20101216180052.000|20101216180057.000|CCO|NOT DEAD YET.
20101216180057.000|20101216180102.000|CCO|DURING MY TIME IN SOLITARY 
20101216180102.000|20101216180107.000|CCO|CONFINEMENT IN THE BOTTOM OF A 
20101216180107.000|20101216180112.000|CCO|VICTORIAN PRISON, I HAD TIME TO 
20101216180112.000|20101216180114.500|CCO|REFLECT ON THE CONDITIONS THE 
