TOP|20101216190002|2010-12-16_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|afb32f0a-0946-11e0-9838-00e0815ffae2
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216190032.000|20101216192956.000|SEG|Type=Story
20101216190032.000|20101216190034.500|CCO|SIBILIA: GOOD MORNING.
20101216190034.500|20101216190037.000|CCO|
20101216190037.000|20101216190039.500|CCO|I'M SIBILA VARGAS.
20101216190039.500|20101216190042.000|CCO|
20101216190042.000|20101216190044.500|CCO|KENT: I'M KENT SHOCKNEK.
20101216190044.500|20101216190047.000|CCO|
20101216190047.000|20101216190049.500|CCO|BLAKE EDWARDS HAS DIEED.
20101216190049.500|20101216190052.000|CCO|
20101216190052.000|20101216190053.667|CCO|EDWARDS ROSE AND DIRECTED THE
20101216190053.667|20101216190055.333|CCO|
20101216190055.333|20101216190057.000|CCO|HOLLYWOOD'S SPARKLE LIGHT
20101216190057.000|20101216190058.667|CCO|
20101216190058.667|20101216190100.333|CCO|COMEDIES.
20101216190100.333|20101216190102.000|CCO|
20101216190102.000|20101216190103.000|CCO|HE DIED FROM COMPLICATIONS FROM
20101216190103.000|20101216190104.000|CCO|
20101216190104.000|20101216190105.000|CCO|PNEUMONIA.
20101216190105.000|20101216190106.000|CCO|
20101216190106.000|20101216190107.000|CCO|HIS WIFE, ACTRESS JULIE AND
20101216190107.000|20101216190108.000|CCO|
20101216190108.000|20101216190109.000|CCO|ANDREWS AND OTHER MEMBERS WERE
20101216190109.000|20101216190110.000|CCO|
20101216190110.000|20101216190111.000|CCO|BY HIS SIDE.
20101216190111.000|20101216190112.000|CCO|
20101216190112.000|20101216190114.500|CCO|BLAKE EDWARDS THIS MORNING DEAD
20101216190114.500|20101216190117.000|CCO|
20101216190117.000|20101216190119.500|CCO|AT THE AGE OF 88.
20101216190119.500|20101216190122.000|CCO|
20101216190122.000|20101216190123.667|CCO|SIBILIA: AND MORE RAIN IN THE
20101216190123.667|20101216190125.333|CCO|
20101216190125.333|20101216190127.000|CCO|SOUTHLAND TODAY.
20101216190127.000|20101216190128.667|CCO|
20101216190128.667|20101216190130.333|CCO|YOU MIGHT SEE CLEARING.
20101216190130.333|20101216190132.000|CCO|
20101216190132.000|20101216190133.000|CCO|JOSH RUBENSTEIN IS HERE WITH THE
20101216190133.000|20101216190134.000|CCO|
20101216190134.000|20101216190135.000|CCO|WEATHER.
20101216190135.000|20101216190136.000|CCO|
20101216190136.000|20101216190137.000|CCO|JOSH: IT WAS A MORNING THAT WAS
20101216190137.000|20101216190138.000|CCO|
20101216190138.000|20101216190139.000|CCO|FAIRLY SOGY FOR EVERYBODY.
20101216190139.000|20101216190140.000|CCO|
20101216190140.000|20101216190141.000|CCO|BUT NOW THAT RAIN IS MOVING OUT.
20101216190141.000|20101216190142.000|CCO|
20101216190142.000|20101216190143.250|CCO|TAKE A LOOK AT THAT TIME LAPSE
20101216190143.250|20101216190144.500|CCO|
20101216190144.500|20101216190145.750|CCO|PHOTOGRAPHY.
20101216190145.750|20101216190147.000|CCO|
20101216190147.000|20101216190148.250|CCO|WHAT TIME LAPSE IS BASICALLY
20101216190148.250|20101216190149.500|CCO|
20101216190149.500|20101216190150.750|CCO|TAKEN OVER THE COURSE OF THE
20101216190150.750|20101216190152.000|CCO|
20101216190152.000|20101216190152.625|CCO|HOURS SO YOU CAN SEE THE CLOUDS
20101216190152.625|20101216190153.250|CCO|
20101216190153.250|20101216190153.875|CCO|BREWING OVER SOUTHERN
20101216190153.875|20101216190154.500|CCO|
20101216190154.500|20101216190155.125|CCO|CALIFORNIA.
20101216190155.125|20101216190155.750|CCO|
20101216190155.750|20101216190156.375|CCO|YOU CAN SE THE CLEARING TOO WE
20101216190156.375|20101216190157.000|CCO|
20101216190157.000|20101216190157.625|CCO|ARE GOING TO SEE SUNSHINE FOR
20101216190157.625|20101216190158.250|CCO|
20101216190158.250|20101216190158.875|CCO|THE AFTERNOON HOURS.
20101216190158.875|20101216190159.500|CCO|
20101216190159.500|20101216190200.125|CCO|DAMP OVER SOUTHERN CALIFORNIA
20101216190200.125|20101216190200.750|CCO|
20101216190200.750|20101216190201.375|CCO|OVER THE RADAR.
20101216190201.375|20101216190202.000|CCO|
20101216190202.000|20101216190203.000|CCO|WE WILL ZOOM IN JUST NORTH OF
20101216190203.000|20101216190204.000|CCO|
20101216190204.000|20101216190205.000|CCO|FULLER.
20101216190205.000|20101216190206.000|CCO|
20101216190206.000|20101216190207.000|CCO|WE ARE LOKING AT LIGHT
20101216190207.000|20101216190208.000|CCO|
20101216190208.000|20101216190209.000|CCO|SCATTERED SHOWER COMING DOWN AS
20101216190209.000|20101216190210.000|CCO|
20101216190210.000|20101216190211.000|CCO|WE SPEAK.
20101216190211.000|20101216190212.000|CCO|
20101216190212.000|20101216190212.833|CCO|WE ARE GOING TO BE DRY AS WE
20101216190212.833|20101216190213.667|CCO|
20101216190213.667|20101216190214.500|CCO|MAKE OUR WAY THROUGH THE LUNCH
20101216190214.500|20101216190215.333|CCO|
20101216190215.333|20101216190216.167|CCO|HOUR.
20101216190216.167|20101216190217.000|CCO|
20101216190217.000|20101216190217.833|CCO|WE ARE EXPECTING A LOT OF RAIN
20101216190217.833|20101216190218.667|CCO|
20101216190218.667|20101216190219.500|CCO|HEADED OUR WAY.
20101216190219.500|20101216190220.333|CCO|
20101216190220.333|20101216190221.167|CCO|I WILL TEL YOU ABOUT THAT IN A
20101216190221.167|20101216190222.000|CCO|
20101216190222.000|20101216190223.000|CCO|FEW MINUTES.
20101216190223.000|20101216190224.000|CCO|
20101216190224.000|20101216190225.000|CCO|KENT: TRUCKER ACCUSED OF
20101216190225.000|20101216190226.000|CCO|
20101216190226.000|20101216190227.000|CCO|MURDERING A RIVERSIDE POLICE
20101216190227.000|20101216190228.000|CCO|
20101216190228.000|20101216190229.000|CCO|OFFICER HAS APEARED FOR HIS
20101216190229.000|20101216190230.000|CCO|
20101216190230.000|20101216190231.000|CCO|MURDER ARRANGEMENT.
20101216190231.000|20101216190232.000|CCO|
20101216190232.000|20101216190232.833|CCO|GREG MILLS WITH LIVE WITH
20101216190232.833|20101216190233.667|CCO|
20101216190233.667|20101216190234.500|CCO|DETAILS ON THAT ARRANGEMENT.
20101216190234.500|20101216190235.333|CCO|
20101216190235.333|20101216190236.167|CCO|YOU ALSO TALKED WITH MEMBERS OF
20101216190236.167|20101216190237.000|CCO|
20101216190237.000|20101216190237.833|CCO|THE SUSPECT'S FAMILY.
20101216190237.833|20101216190238.667|CCO|
20101216190238.667|20101216190239.500|CCO|>> Reporter: WE ARE GOING TO
20101216190239.500|20101216190240.333|CCO|
20101216190240.333|20101216190241.167|CCO|HEAR FROM THE COUSIN IN A
20101216190241.167|20101216190242.000|CCO|
20101216190242.000|20101216190243.667|CCO|MOMENT.
20101216190243.667|20101216190245.333|CCO|
20101216190245.333|20101216190247.000|CCO|NOT GUILTY IS THE EMPLOYEE -- ME
20101216190247.000|20101216190248.667|CCO|
20101216190248.667|20101216190250.333|CCO|THAT THEY ENTERED.
20101216190250.333|20101216190252.000|CCO|
20101216190252.000|20101216190253.250|CCO|HE MURDERED.
20101216190253.250|20101216190254.500|CCO|
20101216190254.500|20101216190255.750|CCO|RYAN BONOVIDMIO.
20101216190255.750|20101216190257.000|CCO|
