TOP|20101216220001|2010-12-16_2200_US_CNN_Situation_Room
COL|Communication Studies Archive, UCLA 
UID|d4ddbe8a-095f-11e0-9015-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|sitroom.01.html
HED|Poll: Most Oppose Afghan War; Launching 'Operation Redemption'; Journey Into North Korea; House Dems Hung Up on Tax Bill; President: "On Track" against al Qaeda; Missile Shield Defense Failure; Could the Spending
LAN|ENG
LBT|2010-12-16 14:00 America/Los_Angeles
SEG_01|2014-06-18 18:11:58|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101216220004.636|20101216220019.000|SEG|Type=Story
20101216220004.636|20101216220005.545|CCO|TALKING ABOUT STARBUCKS THE 
20101216220005.545|20101216220006.455|CCO|OTHER DAY AND A WOMAN WHO WAS 
20101216220006.455|20101216220007.364|CCO|FRUSTRATED SHE POURED HOT WATER 
20101216220007.364|20101216220008.273|CCO|ON HERSELF.
20101216220008.273|20101216220009.182|CCO|JUNK FOOD JUSTICE WITH SUNNY 
20101216220009.182|20101216220010.091|CCO|HOSTIN AT THAT TIME.
20101216220010.091|20101216220011.000|CCO|.
20101216220011.000|20101216220013.000|CCO|THAT IS THE PHRASE. 
20101216220013.000|20101216220015.000|CCO|SUNNY HOSTIN ON THE CASE. 
20101216220015.000|20101216220017.000|CCO|SEE YOU TOMORROW, FRIDAY. 
20101216220017.000|20101216220019.000|CCO|THANK YOU SO MUCH. 
20101216220019.000|20101216220027.000|SEG|Type=Story
20101216220019.000|20101216220021.000|CCO|>>> NOW, I'M BROOKE BALDWIN, 
20101216220021.000|20101216220022.000|CCO|THANKS FOR WATCHING CNN 
20101216220022.000|20101216220023.000|CCO|NEWSROOM.
20101216220023.000|20101216220024.000|CCO|PASS YOU OFF TO MY COLLEAGUE, 
20101216220024.000|20101216220025.000|CCO|SUZANNE MALVEAUX, WITH "THE 
20101216220025.000|20101216220026.000|CCO|SITUATION ROOM."
20101216220026.000|20101216220027.000|CCO|SUZANNE?
20101216220027.000|20101216220048.500|SEG|Type=Story
20101216220027.000|20101216220028.000|CCO|>>> THANKS, BROOK, HAPPENING 
20101216220028.000|20101216220029.000|CCO|NOW.
20101216220029.000|20101216220030.000|CCO|HIGH DRAMA ON CAPITOL HILL, A 
20101216220030.000|20101216220031.000|CCO|TAX CUT VOTE IS PUT HOLD IN THE 
20101216220031.000|20101216220033.500|CCO|HOUSE AND THE SENATE SQUABBLES 
20101216220033.500|20101216220036.000|CCO|OVER A SPENDING BILL PACKED WITH
20101216220036.000|20101216220038.500|CCO|LAWMAKERS' PET PROJECT. 
20101216220038.500|20101216220041.000|CCO|ONE REPUBLICAN INSISTS THAT THE 
20101216220041.000|20101216220043.500|CCO|2,000-PAGE BILLALLOWED,
20101216220043.500|20101216220046.000|CCO|WORD FOR WORD A TASK GREW DEW TO
20101216220046.000|20101216220048.500|CCO|BEGIN AN HOUR FROM FROM NOW. 
20101216220048.500|20101216220113.500|SEG|Type=Story
20101216220048.500|20101216220051.000|CCO|>>> WOLF BLITZER BEGINS AN 
20101216220051.000|20101216220052.429|CCO|EXTRAORDINARY VISIT TO THE 
20101216220052.429|20101216220053.857|CCO|COMMUNIST NORTH. 
20101216220053.857|20101216220055.286|CCO|IT IS A TELEVISION EXCLUSIVE. 
20101216220055.286|20101216220056.714|CCO|JOOCHBTDER THE KILLINGS OF TWO 
20101216220056.714|20101216220058.143|CCO|CONGREGANTS, A CRIME-FIGHTING 
20101216220058.143|20101216220059.571|CCO|PRIEST STEPS OUT OF THE PULPIT 
20101216220059.571|20101216220101.000|CCO|AND INTO THE STREETS. 
20101216220101.000|20101216220103.500|CCO|WHAT HE IS DOING TO HELP CLEAN 
20101216220103.500|20101216220106.000|CCO|UP HIS CITY.
20101216220106.000|20101216220108.500|CCO|WHILE WOLF IS ON ASSIGNMENT, I'M
20101216220108.500|20101216220111.000|CCO|SUZANNE MALVEAUX AND YOU'RE IN 
20101216220111.000|20101216220113.500|CCO|"THE SITUATION ROOM."
20101216220113.500|20101216220638.500|SEG|Type=Story
20101216220113.500|20101216220116.000|CCO|>>> THERE'S A DEEP FREEZE 
20101216220116.000|20101216220118.500|CCO|OUTSIDE WHILE INSIDE THE 
20101216220118.500|20101216220121.000|CCO|CAPITAL, THE FOLLOWING CRITICAL 
20101216220121.000|20101216220122.667|CCO|ISSUES ARE FROZEN.
20101216220122.667|20101216220124.333|CCO|A COMPROMISE TAX BILL IS STALLED
20101216220124.333|20101216220126.000|CCO|IN HOUSE.
20101216220126.000|20101216220127.667|CCO|STUCK IN THE SENATE, A 
20101216220127.667|20101216220129.333|CCO|GOVERNMENT SPENDING BILL, THE 
20101216220129.333|20101216220131.000|CCO|NUCLEAR ARMS TREATY WITH RUSSIA 
20101216220131.000|20101216220132.429|CCO|AND MEASURE REPEALING THE 
20101216220132.429|20101216220133.857|CCO|PENTAGON'S DON'T ASK, DON'T TELL
20101216220133.857|20101216220135.286|CCO|POLICY.
20101216220135.286|20101216220136.714|CCO|MAJORITY LEADER HARRY REID WARNS
20101216220136.714|20101216220138.143|CCO|THE SENATE COULD STAY IN SESSION
20101216220138.143|20101216220139.571|CCO|RIGHT THROUGH CHRISTMAS AND NEW 
20101216220139.571|20101216220141.000|CCO|YEAR'S. 
20101216220141.000|20101216220142.250|CCO|OUR CNN CONGRESSIONAL 
20101216220142.250|20101216220143.500|CCO|CORRESPONDENT BRIANNA KEELER IS 
20101216220143.500|20101216220144.750|CCO|KEEPING TRACK OF ALL THESE 
20101216220144.750|20101216220146.000|CCO|DEVELOPMENTS. 
20101216220146.000|20101216220147.250|CCO|WHAT DO WE UNDERSTAND, BRIANNA 
20101216220147.250|20101216220148.500|CCO|IS GOING ON AT THE HILL RIGHT 
20101216220148.500|20101216220149.750|CCO|NOW?
20101216220149.750|20101216220151.000|CCO|>> THERE IS SO MUCH GOING ON. 
20101216220151.000|20101216220153.000|CCO|HERE IN ABOUT AN HOUR, SUZANNE, 
20101216220153.000|20101216220155.000|CCO|THE SENATE IS DUE TO SWITCH 
20101216220155.000|20101216220157.000|CCO|TALKING ABOUT THIS NUCLEAR ARMS 
20101216220157.000|20101216220159.000|CCO|REDUCTION TREATY AND THIS BILL 
20101216220159.000|20101216220201.000|CCO|NEXT TO ME. 
20101216220201.000|20101216220202.667|CCO|YOU CAN TELL IT IS JUST 
20101216220202.667|20101216220204.333|CCO|GIGANTIC. 
20101216220204.333|20101216220206.000|CCO|THIS IS A HUGE SPENDING BILL 
20101216220206.000|20101216220207.667|CCO|THAT WOULD FUND THE FEDERAL 
