TOP|20101217010001|2010-12-17_0100_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|f9f32d0e-0978-11e0-953f-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:12:40|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217010006.000|20101217010218.500|SEG|Type=Story
20101217010006.000|20101217010007.250|CCO| LAPD IS ASK THE PUBLIC'S 
20101217010007.250|20101217010008.500|CCO|HELP IN FINDING OUT WHO THESE 
20101217010008.500|20101217010009.750|CCO|WOMEN ARE.
20101217010009.750|20101217010011.000|CCO|FORMER POLICE CHIEF SCRUTINIZING
20101217010011.000|20101217010013.000|CCO|PHOTOGRAPHS THAT MAKE UP THE 
20101217010013.000|20101217010015.000|CCO|LATEST MYSTERY THAT ONCE 
20101217010015.000|20101217010017.000|CCO|TERRORIZED THE CITY HE SERVES ON
20101217010017.000|20101217010019.000|CCO|THE CITY COUNCIL.
20101217010019.000|20101217010021.000|CCO|>> HOW DIFFICULT IS IT WHEN YOU 
20101217010021.000|20101217010023.500|CCO|DON'T HAVE A NAME, YOU JUST HAVE
20101217010023.500|20101217010026.000|CCO|A PHOTOGRAPH.
20101217010026.000|20101217010028.500|CCO|THE SUSPECT 55-YEAR-OLD LONNIE 
20101217010028.500|20101217010031.000|CCO|DAVID FRANKLIN, KNOWN AS THE 
20101217010031.000|20101217010033.500|CCO|GRIM SLEEPER, THE 14-YEAR BREAK 
20101217010033.500|20101217010036.000|CCO|HE TOOK BETWEEN A MURDER SPREE 
20101217010036.000|20101217010038.500|CCO|IN THE 1980s TO THE DEATH OF A 
20101217010038.500|20101217010041.000|CCO|SOUTH L.A. WOMAN IN 2007.
20101217010041.000|20101217010043.000|CCO|POLICE BELIEVE THERE MAY NOT 
20101217010043.000|20101217010045.000|CCO|HAVE BEEN A BREAK AT ALL.
20101217010045.000|20101217010047.000|CCO|RELEASING THE PHOTOGRAPHS OF 180
20101217010047.000|20101217010049.000|CCO|WOMEN WHOSE PICTURES WERE FOUND 
20101217010049.000|20101217010051.000|CCO|IN THE SUSPECT'S HOME.
20101217010051.000|20101217010053.500|CCO|THEY ARE SEEKING HELP FROM THE 
20101217010053.500|20101217010056.000|CCO|PUBLIC IN FINDING OUT WHO THEY 
20101217010056.000|20101217010058.500|CCO|ARE AND IF THEY ARE STILL ALIVE.
20101217010058.500|20101217010101.000|CCO|>> IT IS ABSURD TO THINK HE 
20101217010101.000|20101217010102.667|CCO|STOPPED ONE DAY AND STARTED UP 
20101217010102.667|20101217010104.333|CCO|ANOTHER DAY 13, 14 YEARS LATER.
20101217010104.333|20101217010106.000|CCO|>> Reporter: GOT A HUNCH?
20101217010106.000|20101217010107.667|CCO|>> I THINK WE ARE GOING TO GET 
20101217010107.667|20101217010109.333|CCO|SOME PHONE CALLS.
20101217010109.333|20101217010111.000|CCO|>> Reporter: POLICE SAY THE 
20101217010111.000|20101217010113.500|CCO|PHOTOGRAPHS WERE FROM POLAROID 
20101217010113.500|20101217010116.000|CCO|SNAPSHOTS, VIDEOTAPE AND 
20101217010116.000|20101217010118.500|CCO|PHOTOGRAPHS NOT DEVELOPED.
20101217010118.500|20101217010121.000|CCO|THEY MAY BE DUPLICATES AND MAY 
20101217010121.000|20101217010131.000|CCO|BE FROM OTHER CITIES.
20101217010131.000|20101217010133.000|CCO|TWO WOMEN IN A TROUBLED STATE.
20101217010133.000|20101217010135.000|CCO|IT WAS DNA THAT HELPED TIE 
20101217010135.000|20101217010137.000|CCO|FRANKLIN TO A STRING OF 11 
20101217010137.000|20101217010139.000|CCO|MURDERS.
20101217010139.000|20101217010141.000|CCO|THIS LATEST EFFORT FAR LESS 
20101217010141.000|20101217010143.500|CCO|SCIENTIFIC, AN IMAGE OF A PERSON
20101217010143.500|20101217010146.000|CCO|KNOWN TO SOMEONE SOMEWHERE OVER 
20101217010146.000|20101217010148.500|CCO|THE PAST 20 TO 30 YEARS.
20101217010148.500|20101217010151.000|CCO|POLICE HOPE TO HEAR MANY ESCAPED
20101217010151.000|20101217010153.000|CCO|HARM BUT FEAR OTHERS WILL BE 
20101217010153.000|20101217010155.000|CCO|ADDED TO THE DEATH TOLL TO A 
20101217010155.000|20101217010157.000|CCO|FORMER AUTO MECHANIC WHO ELUDED 
20101217010157.000|20101217010159.000|CCO|JUSTICE.
20101217010159.000|20101217010201.000|CCO|>> THERE IS SOME FAMILY IN THIS 
20101217010201.000|20101217010203.000|CCO|CITY THAT GOES WITHOUT JUSTICE.
20101217010203.000|20101217010205.000|CCO|YOU WILL HELP US ACHIEVE THAT 
20101217010205.000|20101217010207.000|CCO|FOR THEM.
