TOP|20101217020001|2010-12-17_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|5b97759e-0981-11e0-b892-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:12:49|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217020002.818|20101217021711.000|SEG|Type=Story
20101217020002.818|20101217022956.000|SEG_01|Type=Commercial
20101217020002.818|20101217020003.273|CCO|THERE.
20101217020003.273|20101217020003.727|CCO|
20101217020003.727|20101217020004.182|CCO|
20101217020004.182|20101217020004.636|CCO|>> Reporter: MR. MARTINEZ
20101217020004.636|20101217020005.091|CCO|
20101217020005.091|20101217020005.545|CCO|
20101217020005.545|20101217020006.000|CCO|OWNS A AUTO SHOP NEXT DOOR
20101217020006.000|20101217020006.455|CCO|
20101217020006.455|20101217020006.909|CCO|
20101217020006.909|20101217020007.364|CCO|AND HE BUILT THE WALL TO
20101217020007.364|20101217020007.818|CCO|
20101217020007.818|20101217020008.273|CCO|
20101217020008.273|20101217020008.727|CCO|KEEP THE SMELL OUT, HE IS
20101217020008.727|20101217020009.182|CCO|
20101217020009.182|20101217020009.636|CCO|
20101217020009.636|20101217020010.091|CCO|GLAD THEY ARE GONE.
20101217020010.091|20101217020010.545|CCO|
20101217020010.545|20101217020011.000|CCO|
20101217020011.000|20101217020012.667|CCO|>> WE'RE NOW, SMELLING FRESH
20101217020012.667|20101217020014.333|CCO|
20101217020014.333|20101217020016.000|CCO|
20101217020016.000|20101217020017.667|CCO|AIR.
20101217020017.667|20101217020019.333|CCO|
20101217020019.333|20101217020021.000|CCO|
20101217020021.000|20101217020021.667|CCO|NOW WE CAN -- YEAH.
20101217020021.667|20101217020022.333|CCO|
20101217020022.333|20101217020023.000|CCO|
20101217020023.000|20101217020023.667|CCO|>> Reporter: PASADENA HUMANE
20101217020023.667|20101217020024.333|CCO|
20101217020024.333|20101217020025.000|CCO|
20101217020025.000|20101217020025.667|CCO|SOCIETY SAID THIS IS THE
20101217020025.667|20101217020026.333|CCO|
20101217020026.333|20101217020027.000|CCO|
20101217020027.000|20101217020027.667|CCO|WORSE CASE OF ANIMAL HORDING
20101217020027.667|20101217020028.333|CCO|
20101217020028.333|20101217020029.000|CCO|
20101217020029.000|20101217020029.667|CCO|IN THEIR HISTORY, THE PERSON
20101217020029.667|20101217020030.333|CCO|
20101217020030.333|20101217020031.000|CCO|
20101217020031.000|20101217020031.476|CCO|IS IDENTIFIED AS TANYA REGAN
20101217020031.476|20101217020031.952|CCO|
20101217020031.952|20101217020032.429|CCO|
20101217020032.429|20101217020032.905|CCO|IN TEMPLE CITY.
20101217020032.905|20101217020033.381|CCO|
20101217020033.381|20101217020033.857|CCO|
20101217020033.857|20101217020034.333|CCO|NO ONE THERE WOULD TALK TO
20101217020034.333|20101217020034.810|CCO|
20101217020034.810|20101217020035.286|CCO|
20101217020035.286|20101217020035.762|CCO|US TODAY.
20101217020035.762|20101217020036.238|CCO|
20101217020036.238|20101217020036.714|CCO|
20101217020036.714|20101217020037.190|CCO|>> WHO ARE YOU?
20101217020037.190|20101217020037.667|CCO|
20101217020037.667|20101217020038.143|CCO|
20101217020038.143|20101217020038.619|CCO|>> Reporter: THE HUMAN
20101217020038.619|20101217020039.095|CCO|
20101217020039.095|20101217020039.571|CCO|
20101217020039.571|20101217020040.048|CCO|SOCIETY ALREADY HOUSES 150
20101217020040.048|20101217020040.524|CCO|
20101217020040.524|20101217020041.000|CCO|
20101217020041.000|20101217020041.667|CCO|CATS, NOW THE POPULATION IS
20101217020041.667|20101217020042.333|CCO|
20101217020042.333|20101217020043.000|CCO|
20101217020043.000|20101217020043.667|CCO|EXPLODED TO ABOUT 400.
20101217020043.667|20101217020044.333|CCO|
20101217020044.333|20101217020045.000|CCO|
20101217020045.000|20101217020045.667|CCO|THEY ARE A BIT OVERWHELMED
20101217020045.667|20101217020046.333|CCO|
20101217020046.333|20101217020047.000|CCO|
20101217020047.000|20101217020047.667|CCO|BUT PROMISE TO TAKE CARE OF
20101217020047.667|20101217020048.333|CCO|
20101217020048.333|20101217020049.000|CCO|
20101217020049.000|20101217020049.667|CCO|THEM ALL.
20101217020049.667|20101217020050.333|CCO|
20101217020050.333|20101217020051.000|CCO|
20101217020051.000|20101217020051.833|CCO|>> THIS IS AN EXPENSIVE
20101217020051.833|20101217020052.667|CCO|
20101217020052.667|20101217020053.500|CCO|
20101217020053.500|20101217020054.333|CCO|SITUATION, WE'LL BE HOUSING
20101217020054.333|20101217020055.167|CCO|
20101217020055.167|20101217020056.000|CCO|
20101217020056.000|20101217020056.833|CCO|THE ANIMALS UNTIL THE COURT
20101217020056.833|20101217020057.667|CCO|
20101217020057.667|20101217020058.500|CCO|
20101217020058.500|20101217020059.333|CCO|CASE IS RESOLVED, THAT COULD
20101217020059.333|20101217020100.167|CCO|
20101217020100.167|20101217020101.000|CCO|
20101217020101.000|20101217020101.667|CCO|BE 6 MONTHS ON A YEAR.
20101217020101.667|20101217020102.333|CCO|
20101217020102.333|20101217020103.000|CCO|
20101217020103.000|20101217020103.667|CCO|>> Reporter: YOU CAN GO TO
20101217020103.667|20101217020104.333|CCO|
20101217020104.333|20101217020105.000|CCO|
20101217020105.000|20101217020105.667|CCO|OUR WEB SITE TO HELP,
20101217020105.667|20101217020106.333|CCO|
20101217020106.333|20101217020107.000|CCO|
20101217020107.000|20101217020107.667|CCO|ABC7.COM, YOU FIND A LINK TO
20101217020107.667|20101217020108.333|CCO|
20101217020108.333|20101217020109.000|CCO|
20101217020109.000|20101217020109.667|CCO|INFORMATION, THE PERSON, SHE
20101217020109.667|20101217020110.333|CCO|
20101217020110.333|20101217020111.000|CCO|
20101217020111.000|20101217020111.556|CCO|WAS DETAINED BUT RELEASED.
20101217020111.556|20101217020112.111|CCO|
20101217020112.111|20101217020112.667|CCO|
20101217020112.667|20101217020113.222|CCO|OFFICIALS ALSO FOUND 36 DEAD
20101217020113.222|20101217020113.778|CCO|
20101217020113.778|20101217020114.333|CCO|
