TOP|20101217020001|2010-12-17_0200_US_KCBS_CBS_2_News_at_6
COL|Communication Studies Archive, UCLA 
UID|5c00bf2c-0981-11e0-85c2-00e0815ffae2
DUR|0:28:55.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:12:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217020003.750|20101217022856.000|SEG|Type=Story
20101217020003.750|20101217020004.438|CCO|SELF.
20101217020004.438|20101217020005.125|CCO|
20101217020005.125|20101217020005.812|CCO|THE INCIDENT HAPPENED ABOUT
20101217020005.812|20101217020006.500|CCO|
20101217020006.500|20101217020007.188|CCO|3:00 P.M. LAST FRIDAY AT THE
20101217020007.188|20101217020007.875|CCO|
20101217020007.875|20101217020008.562|CCO|7-ELEVEN ON SCOTT ROAD.
20101217020008.562|20101217020009.250|CCO|
20101217020009.250|20101217020009.938|CCO|POLICE TELL US THEY ARE VERY
20101217020009.938|20101217020010.625|CCO|
20101217020010.625|20101217020011.312|CCO|CONCERNED FOR THE SAFETY OF THE
20101217020011.312|20101217020012.000|CCO|
20101217020012.000|20101217020012.714|CCO|CHILD THE MAN WAS CARRYING.
20101217020012.714|20101217020013.429|CCO|
20101217020013.429|20101217020014.143|CCO|THEY BELIEVE SHE IS ABOUT THREE
20101217020014.143|20101217020014.857|CCO|
20101217020014.857|20101217020015.571|CCO|YEARS OLD.
20101217020015.571|20101217020016.286|CCO|
20101217020016.286|20101217020017.000|CCO|IF YOU HAVE ANY INFORMATION ON
20101217020017.000|20101217020017.714|CCO|
20101217020017.714|20101217020018.429|CCO|THE SUSPECT OR THE LITTLE GIRL
20101217020018.429|20101217020019.143|CCO|
20101217020019.143|20101217020019.857|CCO|MURIETTA POLICE WANT TO HEAR
20101217020019.857|20101217020020.571|CCO|
20101217020020.571|20101217020021.286|CCO|FROM YOU.
20101217020021.286|20101217020022.000|CCO|
20101217020022.000|20101217020022.833|CCO|SYLVIA LOPEZ "CBS 2 NEWS".
20101217020022.833|20101217020023.667|CCO|
20101217020023.667|20101217020024.500|CCO|LAURA: THAT VIDEO IS
20101217020024.500|20101217020025.333|CCO|
20101217020025.333|20101217020026.167|CCO|DISTRESSING.
20101217020026.167|20101217020027.000|CCO|
20101217020027.000|20101217020027.833|CCO|SURPRISING NEW INFORMATION ABOUT
20101217020027.833|20101217020028.667|CCO|
20101217020028.667|20101217020029.500|CCO|THE SHERIFF'S DEPARTMENT
20101217020029.500|20101217020030.333|CCO|
20101217020030.333|20101217020031.167|CCO|CHRISTMAS PARTY.
20101217020031.167|20101217020032.000|CCO|
20101217020032.000|20101217020032.750|CCO|NEARLY A DOZEN DEPUTIES GET INTO
20101217020032.750|20101217020033.500|CCO|
20101217020033.500|20101217020034.250|CCO|A BRAWL.
20101217020034.250|20101217020035.000|CCO|
20101217020035.000|20101217020035.750|CCO|DAVE LOPEZ REPORTS INVESTIGATORS
20101217020035.750|20101217020036.500|CCO|
20101217020036.500|20101217020037.250|CCO|ARE LOOKING INTO THE POSSIBILITY
20101217020037.250|20101217020038.000|CCO|
20101217020038.000|20101217020038.750|CCO|THAT BAD BLOOD AND THE TOUR FOR
20101217020038.750|20101217020039.500|CCO|
20101217020039.500|20101217020040.250|CCO|LEAD TO THE FIGHT.
20101217020040.250|20101217020041.000|CCO|
20101217020041.000|20101217020041.833|CCO|>> Reporter: A CHRISTMAS PARTY
20101217020041.833|20101217020042.667|CCO|
20101217020042.667|20101217020043.500|CCO|THAT RESULTED IN A WILD FIGHT AT
20101217020043.500|20101217020044.333|CCO|
20101217020044.333|20101217020045.167|CCO|THE QUIET CANNON RESTAURANT THAT
20101217020045.167|20101217020046.000|CCO|
20101217020046.000|20101217020046.833|CCO|WAS HOSTED BY L.A. COUNTY DEPUTY
20101217020046.833|20101217020047.667|CCO|
20101217020047.667|20101217020048.500|CCO|SHERIFFS TO WORK THE MEN'S
20101217020048.500|20101217020049.333|CCO|
20101217020049.333|20101217020050.167|CCO|CENTRAL JAIL BECAME SUCH A WILD
20101217020050.167|20101217020051.000|CCO|
20101217020051.000|20101217020052.000|CCO|BRAWL THAT ACCORDING TO OUR
20101217020052.000|20101217020053.000|CCO|
20101217020053.000|20101217020054.000|CCO|SOURCES A
20101217020054.000|20101217020055.000|CCO|
20101217020055.000|20101217020056.000|CCO|FEMALE DEPUTY WAS HIT
20101217020056.000|20101217020057.000|CCO|
20101217020057.000|20101217020058.000|CCO|IN THE FACE WITH A FIST.
20101217020058.000|20101217020059.000|CCO|
20101217020059.000|20101217020100.000|CCO|>> OF FEMALE DEPUTY.
20101217020100.000|20101217020101.000|CCO|
20101217020101.000|20101217020101.714|CCO|COULD HAVE BEEN INJURED.
20101217020101.714|20101217020102.429|CCO|
20101217020102.429|20101217020103.143|CCO|TWO PEOPLE THAT WENT TO
20101217020103.143|20101217020103.857|CCO|
20101217020103.857|20101217020104.571|CCO|MONTEBELLO WERE MEN.
20101217020104.571|20101217020105.286|CCO|
20101217020105.286|20101217020106.000|CCO|SEVEN THAT HAVE BEEN RELIEVED OF
20101217020106.000|20101217020106.714|CCO|
20101217020106.714|20101217020107.429|CCO|DUTY ARE MEN.
20101217020107.429|20101217020108.143|CCO|
20101217020108.143|20101217020108.857|CCO|THAT IS WHAT WE KNOW.
20101217020108.857|20101217020109.571|CCO|
20101217020109.571|20101217020110.286|CCO|>> Reporter: ACCORDING TO
20101217020110.286|20101217020111.000|CCO|
20101217020111.000|20101217020112.000|CCO|SOURCES, MANY DEPUTIES AT THAT
20101217020112.000|20101217020113.000|CCO|
20101217020113.000|20101217020114.000|CCO|PARTY WORK IN CELLBLOCK 3,000,
20101217020114.000|20101217020115.000|CCO|
20101217020115.000|20101217020116.000|CCO|KNOWN AS 3,000 CELL.
20101217020116.000|20101217020117.000|CCO|
20101217020117.000|20101217020118.000|CCO|THERE IS A STRONG QUAKE, SOME
20101217020118.000|20101217020119.000|CCO|
20101217020119.000|20101217020120.000|CCO|CALL IT A CLUB.
20101217020120.000|20101217020121.000|CCO|
