TOP|20101217022901|2010-12-17_0229_US_KCBS_CBS_Evening_News
COL|Communication Studies Archive, UCLA 
UID|68f4da20-0985-11e0-a48f-00e0815ffae2
DUR|0:30:55.01
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 18:29 America/Los_Angeles
SEG_01|2014-06-18 18:12:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217022905.444|20101217025956.000|SEG|Type=Story
20101217022905.444|20101217022906.556|CCO|e Diaries
20101217022906.556|20101217022907.667|CCO|>> Couric: AND REMBERING NEW
20101217022907.667|20101217022908.778|CCO|YORK'S NIGHTMARE BEFORE
20101217022908.778|20101217022909.889|CCO|CHRISTMAS AND THE LITTLE BOY WHO
20101217022909.889|20101217022911.000|CCO|HAD AN ENTIRE CITY PRAYING FOR A
20101217022911.000|20101217022912.667|CCO|MIRACLE.
20101217022912.667|20101217022921.000|SEG_01|Type=Commercial
20101217022912.667|20101217022914.333|CCO|Captioning sponsored by CBS
20101217022914.333|20101217022916.000|CCO|FROM CBS NEWS WORLD
20101217022916.000|20101217022917.667|CCO|HEADQUARTERS IN NEW YORK, THIS
20101217022917.667|20101217022919.333|CCO|IS THE "CBS EVENING NEWS" WITH
20101217022919.333|20101217022921.000|CCO|KATIE COURIC.
20101217022921.000|20101217022922.429|SEG_01|Type=Story start
20101217022921.000|20101217022922.429|CCO|>> Couric: GOOD EVENING,
20101217022922.429|20101217022923.857|CCO|EVERYONE.
20101217022923.857|20101217022925.286|CCO|HE SAYS HE IS NOT A HERO, BUT
20101217022925.286|20101217022926.714|CCO|WATCHING MIKE JONES AND THE
20101217022926.714|20101217022928.143|CCO|TERRIFYING VIDEO FROM THAT
20101217022928.143|20101217022929.571|CCO|TUESDAY AFTERNOON SCHOOL BOARD
20101217022929.571|20101217022931.000|CCO|MEETING IN PANAMA CITY, FLORIDA,
20101217022931.000|20101217022933.000|CCO|YOU'RE LIKELY TO DISAGREE.
20101217022933.000|20101217022935.000|CCO|JONES IS THE SECURITY GUARD WHO,
20101217022935.000|20101217022937.000|CCO|AS BULLETS FLEW, RISKED HIS LIFE
20101217022937.000|20101217022939.000|CCO|TO STOP THE GUNMAN.
20101217022939.000|20101217022941.000|CCO|TODAY, JONES, A 57-YEAR-OLD
20101217022941.000|20101217022942.429|CCO|FORMER POLICE OFFICER SAID HE
20101217022942.429|20101217022943.857|CCO|WAS JUST DOING HIS JOB.
20101217022943.857|20101217022945.286|CCO|HERE'S MARK STRASSMANN.
20101217022945.286|20101217022946.714|CCO|>> I WASN'T IN THE BUILDING FIVE
20101217022946.714|20101217022948.143|CCO|MINUTES AND I WAS IN A GUN
20101217022948.143|20101217022949.571|CCO|FIGHT.
20101217022949.571|20101217022951.000|CCO|>> Reporter: WHEN CLAY DUKE HELD
20101217022951.000|20101217022952.667|CCO|AN ENTIRE SCHOOL BOARD HOSTAGE,
20101217022952.667|20101217022954.333|CCO|MIKE JONES SUDDENLY FACED A
20101217022954.333|20101217022956.000|CCO|SECURITY CHIEF'S NIGHTMARE.
20101217022956.000|20101217022957.667|CCO|HE SHOWED ME HOW HE HURRIED TO
20101217022957.667|20101217022959.333|CCO|THE BOARD ROOMS BACKDOOR.
20101217022959.333|20101217023001.000|CCO|>> I SEE THE SHOOTER WITH THE
20101217023001.000|20101217023002.429|CCO|GUN AND I SEE THE BORED MEMBERS
20101217023002.429|20101217023003.857|CCO|AND THEY WERE ALL SITTING
20101217023003.857|20101217023005.286|CCO|UPRIGHT.
20101217023005.286|20101217023006.714|CCO|I DIDN'T HAVE A SHOT.
20101217023006.714|20101217023008.143|CCO|>> Reporter: THE GUNMAN NOTICED
20101217023008.143|20101217023009.571|CCO|THE SECURITY OFFICER STANDING IN
20101217023009.571|20101217023021.000|CCO|THE DOORWAY, OFF-CAMERA IN THIS
20101217023021.000|20101217023023.500|CCO|VIDEO.
20101217023023.500|20101217023026.000|CCO|>> Reporter: JONES TRIED BUT
20101217023026.000|20101217023028.500|CCO|FAILED TO GET DUKE OUT OF THE
20101217023028.500|20101217023031.000|CCO|ROOM.
20101217023031.000|20101217023033.500|CCO|SO HE WENT TO PLAN "B."
20101217023033.500|20101217023036.000|CCO|>> PLAN "B" WAS I RAN OUTSIDE TO
20101217023036.000|20101217023038.500|CCO|MY CAR, PARKED RIGHT OUTSIDE THE
20101217023038.500|20101217023041.000|CCO|DOOR HERE, GRABBED SOME CLIPS,
20101217023041.000|20101217023042.250|CCO|40 CALIBER I HAD MY 38 ON,
20101217023042.250|20101217023043.500|CCO|GRABBED MY BULLETPROOF VEST,
20101217023043.500|20101217023044.750|CCO|SLUNG IT ON.
20101217023044.750|20101217023046.000|CCO|>> Reporter: AND HE SLOWLY
20101217023046.000|20101217023047.250|CCO|OPENED THE DOOR.
20101217023047.250|20101217023048.500|CCO|>> I KNEW A FIGHT WAS FIXING TO
20101217023048.500|20101217023049.750|CCO|HAPPEN.
20101217023049.750|20101217023051.000|CCO|>> PLEASE DON'T, PLEASE DON'T,
20101217023051.000|20101217023052.429|CCO|PLEASE.
20101217023052.429|20101217023053.857|CCO|>> HE FIRED THE FIRST SHOT AT
20101217023053.857|20101217023055.286|CCO|THE SUPERINTENDENT AND I THOUGHT
20101217023055.286|20101217023056.714|CCO|HE WAS DEAD AND I JUST OPENED
20101217023056.714|20101217023058.143|CCO|THE DOOR AND HE AND I WENT AT
20101217023058.143|20101217023059.571|CCO|IT.
20101217023059.571|20101217023101.000|CCO|I OPENED THE DOOR WITH ONE HAND,
20101217023101.000|20101217023102.111|CCO|I WAS FIRING WITH THE OTHER
20101217023102.111|20101217023103.222|CCO|HAND.
20101217023103.222|20101217023104.333|CCO|>> Reporter: JONES WOUNDED DUKE
20101217023104.333|20101217023105.444|CCO|AT LEAST THREE TIMES, IN HIS
20101217023105.444|20101217023106.556|CCO|BACK AND MIDSECTION.
20101217023106.556|20101217023107.667|CCO|>> BUT, MAN, HE WOULDN'T GO
20101217023107.667|20101217023108.778|CCO|DOWN.
20101217023108.778|20101217023109.889|CCO|AND THEN... AND THEN HE STARTED
20101217023109.889|20101217023111.000|CCO|SHOOTING AT THE BOARD MEMBERS
20101217023111.000|20101217023112.667|CCO|AGAIN, SO I KEPT SHOOTING.
20101217023112.667|20101217023114.333|CCO|>> Reporter: FOR COVER, JONES
20101217023114.333|20101217023116.000|CCO|SHOWED ME HOW HE CRAWLED BEHIND
20101217023116.000|20101217023117.667|CCO|THE BACK ROW OF CHAIRS.
20101217023117.667|20101217023119.333|CCO|>> I WAS FIRING SHOTS ON THE
20101217023119.333|20101217023121.000|CCO|GROUND LIKE THIS, TRYING TO KEEP
20101217023121.000|20101217023121.909|CCO|HIM PINNED DOWN.
20101217023121.909|20101217023122.818|CCO|THEN LOOKED AND HE WASN'T
20101217023122.818|20101217023123.727|CCO|MOVING.
20101217023123.727|20101217023124.636|CCO|AND I THOUGHT, OKAY, HE'S DEAD.
20101217023124.636|20101217023125.545|CCO|THE GUN FIGHT'S OVER.
20101217023125.545|20101217023126.455|CCO|AND ABOUT THAT TIME HE PULLED
20101217023126.455|20101217023127.364|CCO|HIS GUN TO HIS HEAD AND SQUEEZED
20101217023127.364|20101217023128.273|CCO|THE TRIGGER.
20101217023128.273|20101217023129.182|CCO|>> Reporter: THEN THE BIG
20101217023129.182|20101217023130.091|CCO|SURPRISE-- MIRACULOUSLY,
20101217023130.091|20101217023131.000|CCO|SUPERINTENDENT BILL HUSFELT WAS
20101217023131.000|20101217023133.500|CCO|ALIVE.
20101217023133.500|20101217023136.000|CCO|>> I JUST REMEMBER WHEN HE CAME
20101217023136.000|20101217023138.500|CCO|UP OVER THAT CHAIR I LOST IT.
20101217023138.500|20101217023141.000|CCO|I JUST-- I WENT TO MY KNEES AND
20101217023141.000|20101217023142.111|CCO|I STARTED CRYING.
20101217023142.111|20101217023143.222|CCO|I WAS LIKE, "OH MY GOD HE'S
20101217023143.222|20101217023144.333|CCO|ALIVE."
20101217023144.333|20101217023145.444|CCO|AND I COULDN'T BELIEVE IT.
20101217023145.444|20101217023146.556|CCO|I LOOKED UP AND THE REST OF THEM
20101217023146.556|20101217023147.667|CCO|WERE UP AND I WAS LIKE, YEAH,
20101217023147.667|20101217023148.778|CCO|THIS IS A MIRACLE.
20101217023148.778|20101217023149.889|CCO|>> Couric: JOINING US NOW IS
20101217023149.889|20101217023151.000|CCO|MIKE JONES FROM PANAMA CITY.
20101217023151.000|20101217023152.429|CCO|AND, MIKE, I KNOW THAT YOU SPENT
20101217023152.429|20101217023153.857|CCO|THE NIGHT OVERNIGHT IN THE
20101217023153.857|20101217023155.286|CCO|HOSPITAL BECAUSE YOU WERE PRETTY
20101217023155.286|20101217023156.714|CCO|SHAKEN UP BY THIS,
20101217023156.714|20101217023158.143|CCO|UNDERSTANDABLY.
20101217023158.143|20101217023159.571|CCO|HOW ARE YOU FEELING TODAY?
20101217023159.571|20101217023201.000|CCO|>> I'M DOING FINE TODAY.
20101217023201.000|20101217023202.429|CCO|I'VE GOT A LOT OF MIXED
20101217023202.429|20101217023203.857|CCO|EMOTIONS, YOU KNOW TAKING THE
20101217023203.857|20101217023205.286|CCO|LIFE OF SOMEONE, AND VISITING
20101217023205.286|20101217023206.714|CCO|HERE IN THE ROOM WHERE I'M
20101217023206.714|20101217023208.143|CCO|SITTING NOW AND WHERE IT ALL
20101217023208.143|20101217023209.571|CCO|TOOK PLACE.
20101217023209.571|20101217023211.000|CCO|WE'RE GETTING THERE.
20101217023211.000|20101217023213.500|CCO|WE'RE FINE.
20101217023213.500|20101217023216.000|CCO|I'M GOING TO BE OKAY.
20101217023216.000|20101217023218.500|CCO|>> Couric: HOW DOES IT FEEL
20101217023218.500|20101217023221.000|CCO|SITTING IN THAT ROOM?
20101217023221.000|20101217023223.000|CCO|>> UHM, YOU KNOW, IT'S NOT
20101217023223.000|20101217023225.000|CCO|REALLY BAD BECAUSE, YOU KNOW,
20101217023225.000|20101217023227.000|CCO|BECAUSE THEY TRAIN US AND THEY
20101217023227.000|20101217023229.000|CCO|TELL US THE THINGS TO EXPECT
20101217023229.000|20101217023231.000|CCO|WHEN YOU'RE IN A SHOOT-OUT AND
20101217023231.000|20101217023232.667|CCO|DOING THOSE THINGS, AND
20101217023232.667|20101217023234.333|CCO|EVERYTHING THEY TAUGHT US IS
20101217023234.333|20101217023236.000|CCO|TRUE.
20101217023236.000|20101217023237.667|CCO|IT'S KIND OF LIKE TUNNEL VISION
20101217023237.667|20101217023239.333|CCO|AND YOU BLOCK EVERYTHING OUT,
20101217023239.333|20101217023241.000|CCO|AND YOU'LL USUALLY REMBER ONE
20101217023241.000|20101217023242.429|CCO|OR TWO THINGS AND THEY'RE RIGHT.
20101217023242.429|20101217023243.857|CCO|THERE'S ONE THING THEY KEEP
20101217023243.857|20101217023245.286|CCO|REMEMBERING, AND I KEEP SEEING
20101217023245.286|20101217023246.714|CCO|IT OVER AND OVER, AND IT UPSETS
20101217023246.714|20101217023248.143|CCO|ME EVERY TIME I THINK ABOUT IT.
20101217023248.143|20101217023249.571|CCO|>> Couric: WHAT IS THAT ONE
20101217023249.571|20101217023251.000|CCO|THING?
20101217023251.000|20101217023252.250|CCO|>> UHM, WHEN THE SHOOTING
20101217023252.250|20101217023253.500|CCO|STARTED, I SAW THE
20101217023253.500|20101217023254.750|CCO|SUPERINTENDENT FALL BACKWARDS IN
20101217023254.750|20101217023256.000|CCO|THE CHAIR.
20101217023256.000|20101217023257.250|CCO|THE MAN HAD THE GUN POINTED AT
20101217023257.250|20101217023258.500|CCO|HIM, AND YOU WANT TO THINK YOU
20101217023258.500|20101217023259.750|CCO|HEAR THESE BIG EXPLOSIONS, AND
20101217023259.750|20101217023301.000|CCO|YOU DON'T.
20101217023301.000|20101217023302.250|CCO|YOU JUST HEAR POP-POP-POP-POP.
20101217023302.250|20101217023303.500|CCO|AND THE SUPERINTENDENT STOOD UP
20101217023303.500|20101217023304.750|CCO|FROM BEHIND THE COUNTER AND
20101217023304.750|20101217023306.000|CCO|THAT'S WHEN I LOST IT.
20101217023306.000|20101217023307.250|CCO|I WENT TO MY KNEES AND STARTED
20101217023307.250|20101217023308.500|CCO|CRYING AND HE WAS ALIVE, AND I
20101217023308.500|20101217023309.750|CCO|HAD THOUGHT I LET HIM DOWN AND
20101217023309.750|20101217023311.000|CCO|LET HIM DIE.
20101217023311.000|20101217023312.111|CCO|AND I CAN'T GET THAT OUT OF MY
20101217023312.111|20101217023313.222|CCO|MIND.
20101217023313.222|20101217023314.333|CCO|THAT'S THE PICTURE I KEEP
20101217023314.333|20101217023315.444|CCO|REMEMBERING.
20101217023315.444|20101217023316.556|CCO|>> Couric: YOU WEREN'T EVEN
20101217023316.556|20101217023317.667|CCO|SUPPOSED TO BE WORKING, I
20101217023317.667|20101217023318.778|CCO|UNDERSTAND, THAT DAY.
20101217023318.778|20101217023319.889|CCO|HOW DID YOU HAPPEN TO BE THERE?
20101217023319.889|20101217023321.000|CCO|>> YES, MA'AM.
20101217023321.000|20101217023322.667|CCO|I WAS-- WELL, YOU KNOW, IN
20101217023322.667|20101217023324.333|CCO|FLORIDA, WE DON'T TAKE KINDLY TO
20101217023324.333|20101217023326.000|CCO|COLD WEATHER, AND WE HAD A MAJOR
20101217023326.000|20101217023327.667|CCO|COLD FRONT COMING THROUGH HERE,
20101217023327.667|20101217023329.333|CCO|LIKE IN THE TEENS, AND SO MY
20101217023329.333|20101217023331.000|CCO|BOSS ASKED ME IF I WOULD STAY
20101217023331.000|20101217023332.429|CCO|MONDAY AND TUESDAY IN CASE WE
20101217023332.429|20101217023333.857|CCO|HAD WATER OUTAGES AND THINGS
20101217023333.857|20101217023335.286|CCO|LIKE THAT.
20101217023335.286|20101217023336.714|CCO|I SAID, "OKAY I WILL WORK MONDAY
20101217023336.714|20101217023338.143|CCO|AND TUESDAY, NO PROBLEM."
20101217023338.143|20101217023339.571|CCO|>> Couric: WHO WOULD HAVE BEEN
20101217023339.571|20101217023341.000|CCO|THERE IF YOU HADN'T?
20101217023341.000|20101217023342.667|CCO|>> NOBODY.
20101217023342.667|20101217023344.333|CCO|BY THE GRACE OF GOD THAT I WAS
20101217023344.333|20101217023346.000|CCO|NOT ON VACATION AND I CAME HERE.
20101217023346.000|20101217023347.667|CCO|IT'S... IT'S MIRACULOUS WHAT
20101217023347.667|20101217023349.333|CCO|HAPPENED HERE, THE LIVES THAT
20101217023349.333|20101217023351.000|CCO|WERE SPARED.
20101217023351.000|20101217023352.111|CCO|>> Couric: YOU SAID EARLIER
20101217023352.111|20101217023353.222|CCO|TODAY, MIKE, "I SHOT THE MAN IN
20101217023353.222|20101217023354.333|CCO|THE BACK THE FIRST TIME.
20101217023354.333|20101217023355.444|CCO|AND I WAS THINKING I WAS GOING
20101217023355.444|20101217023356.556|CCO|TO GO TO JAIL."
20101217023356.556|20101217023357.667|CCO|WERE YOU REALLY WORRIED ABOUT
20101217023357.667|20101217023358.778|CCO|THAT?
20101217023358.778|20101217023359.889|CCO|>> YEAH.
20101217023359.889|20101217023401.000|CCO|WELL, YOU KNOW, AFTER THE
20101217023401.000|20101217023404.333|CCO|SHOOTING, ALL THOSE THINGS RUN
20101217023404.333|20101217023407.667|CCO|THROUGH YOUR MIND.
20101217023407.667|20101217023411.000|CCO|IT WAS, LIKE, AM I GOING TO GO
20101217023411.000|20101217023412.111|CCO|TO JAIL BECAUSE I SHOT HIM IN
20101217023412.111|20101217023413.222|CCO|THE BACK THE FIRST TIME?
20101217023413.222|20101217023414.333|CCO|AND THEN WHAT IS MY CHURCH GOING
20101217023414.333|20101217023415.444|CCO|TO THINK OF ME?
20101217023415.444|20101217023416.556|CCO|AND, YEAH, ALL THOSE THINGS GO
20101217023416.556|20101217023417.667|CCO|THROUGH YOUR MIND, YOU KNOW,
20101217023417.667|20101217023418.778|CCO|WHAT'S THIS GOING TO DO TO MY
20101217023418.778|20101217023419.889|CCO|FAMILY, MY WIFE?
20101217023419.889|20101217023421.000|CCO|AND THAT WAS THE ONLY THING I
20101217023421.000|20101217023422.250|CCO|COULD THINK OF RIGHT THEN IS I
20101217023422.250|20101217023423.500|CCO|WANTED TO TALK TO MY WIFE.
20101217023423.500|20101217023424.750|CCO|>> Couric: SO THIS WILL BE A
20101217023424.750|20101217023426.000|CCO|SPECIAL HOLIDAY FOR YOU, WON'T
20101217023426.000|20101217023427.250|CCO|IT?
20101217023427.250|20101217023428.500|CCO|>> IT WILL.
20101217023428.500|20101217023429.750|CCO|IT'S ONE I'LL NEVER FORGET.
20101217023429.750|20101217023431.000|CCO|AND I TRY NOT TO THINK ABOUT...
20101217023431.000|20101217023433.500|CCO|TRY NOT TO THINK ABOUT THE
20101217023433.500|20101217023436.000|CCO|DECEASED.
20101217023436.000|20101217023438.500|CCO|HIS FAMILY'S WITHOUT HIM, BUT AT
20101217023438.500|20101217023441.000|CCO|THE SAME TIME, I'M WITH MY
20101217023441.000|20101217023442.429|CCO|FAMILY AND MY FELLOW BOARD
20101217023442.429|20101217023443.857|CCO|MEMBERS AND MY BOSS,
20101217023443.857|20101217023445.286|CCO|SUPERINTENDENT HUSFELT.
20101217023445.286|20101217023446.714|CCO|HE'S HERE AND I'M GRATEFUL FOR
20101217023446.714|20101217023448.143|CCO|THAT.
20101217023448.143|20101217023449.571|CCO|MY HEART GOES OUT TO THE FAMILY.
20101217023449.571|20101217023451.000|CCO|>> Couric: MIKE JONES IS BUSY
20101217023451.000|20101217023452.429|CCO|TONIGHT CONTINUING HIS HOLIDAY
20101217023452.429|20101217023453.857|CCO|TRADITION.
20101217023453.857|20101217023455.286|CCO|FOR THE PAST 27 YEARS HE'S BEEN
20101217023455.286|20101217023456.714|CCO|BUYING NEW TOYS AND REPAIRING
20101217023456.714|20101217023458.143|CCO|OLD ONES TO DELIVER TO NEEDY
20101217023458.143|20101217023459.571|CCO|CHILDREN.
20101217023459.571|20101217023501.000|CCO|NOW, TO OUR OTHER TOP STORY
20101217023501.000|20101217023502.667|CCO|TONIGHT, PRESIDENT OBAMA SAYS
20101217023502.667|20101217023504.333|CCO|THE U.S. IS ON TRACK IN
20101217023504.333|20101217023506.000|CCO|AFGHANISTAN.
20101217023506.000|20101217023507.667|CCO|HE RELEASED A YEAR-END STRATEGY
20101217023507.667|20101217023509.333|CCO|REVIEW TODAY THAT SAYS AL
20101217023509.333|20101217023511.000|CCO|QAEDA'S SENIOR LEADERSHIP IS
20101217023511.000|20101217023512.667|CCO|WEAKER THAN IT'S BEEN SINCE THE
20101217023512.667|20101217023514.333|CCO|U.S. INVASION IN 2001.
20101217023514.333|20101217023516.000|CCO|IN MUCH OF THE COUNTRY, THE
20101217023516.000|20101217023517.667|CCO|TALIBAN'S MOMENTUM HAS BEEN
20101217023517.667|20101217023519.333|CCO|STOPPED OR REVERSED, AND U.S.
20101217023519.333|20101217023521.000|CCO|TROOPS WILL BEGIN LEAVING IN
20101217023521.000|20101217023522.667|CCO|JULY AS SCHEDULED.
20101217023522.667|20101217023524.333|CCO|MORE NOW FROM DAVID MARTIN AT
20101217023524.333|20101217023526.000|CCO|THE PENTAGON.
20101217023526.000|20101217023527.667|CCO|>> Reporter: A YEAR AGO, THE
20101217023527.667|20101217023529.333|CCO|U.S. WAS, BY MANY ACCOUNTS,
20101217023529.333|20101217023531.000|CCO|LOSING IN AFGHANISTAN.
20101217023531.000|20101217023532.667|CCO|NOW THE COMMANDER IN CHIEF SAYS
20101217023532.667|20101217023534.333|CCO|THE TIDE OF BATTLE HAS TURNED.
20101217023534.333|20101217023536.000|CCO|>> WE'VE GONE ON THE OFFENSIVE,
20101217023536.000|20101217023537.667|CCO|TARGETING THE TALIBAN AND ITS
20101217023537.667|20101217023539.333|CCO|LEADERS AND PUSHING THEM OUT OF
20101217023539.333|20101217023541.000|CCO|THEIR STRONGHOLDS.
20101217023541.000|20101217023542.667|CCO|>> Reporter: DEFENSE SECRETARY
20101217023542.667|20101217023544.333|CCO|GATES IS JUST BACK FROM VISITING
20101217023544.333|20101217023546.000|CCO|U.S. TROOPS IN AFGHANISTAN.
20101217023546.000|20101217023547.667|CCO|>> THE SENSE OF PROGRESS AMONG
20101217023547.667|20101217023549.333|CCO|THOSE CLOSEST TO THE FIGHT IS
20101217023549.333|20101217023551.000|CCO|PALPABLE.
20101217023551.000|20101217023552.429|CCO|THE TALIBAN CONTROL FAR LESS
20101217023552.429|20101217023553.857|CCO|TERRITORY TODAY THAN THEY DID A
20101217023553.857|20101217023555.286|CCO|YEAR AGO.
20101217023555.286|20101217023556.714|CCO|>> Reporter: BUT PROGRESS IS
20101217023556.714|20101217023558.143|CCO|ONLY TEMPORARY UNLESS AFGHAN
20101217023558.143|20101217023559.571|CCO|FORCES CAN TAKE OVER THE
20101217023559.571|20101217023601.000|CCO|FIGHTING FROM THE AMERICANS.
20101217023601.000|20101217023602.667|CCO|AND THAT WILL REQUIRE 18 TO 24
20101217023602.667|20101217023604.333|CCO|MONTHS, DEPENDING ON THE AREA.
20101217023604.333|20101217023606.000|CCO|FOR INSTANCE, THE FORMER TALIBAN
20101217023606.000|20101217023607.667|CCO|STRONGHOLD OF MARJAH IN SOUTHERN
20101217023607.667|20101217023609.333|CCO|AFGHANISTAN WHERE THE MARINES
20101217023609.333|20101217023611.000|CCO|LAUNCHED AN OFFENSIVE 11 MONTHS
20101217023611.000|20101217023612.429|CCO|AGO.
20101217023612.429|20101217023613.857|CCO|>> IF YOU LOOK AT MARJAH IN
20101217023613.857|20101217023615.286|CCO|TERMS OF NEXT SUMMER, SO SIX
20101217023615.286|20101217023616.714|CCO|MONTHS FROM NOW, WE THINK WE'RE
20101217023616.714|20101217023618.143|CCO|GOING TO BE IN A PRETTY GOOD
20101217023618.143|20101217023619.571|CCO|PLACE IN MARJAH.
20101217023619.571|20101217023621.000|CCO|>> Reporter: THAT FITS THE
20101217023621.000|20101217023622.667|CCO|PRESIDENT'S TIMETABLE OF
20101217023622.667|20101217023624.333|CCO|BEGINNING A WITHDRAWAL DOWN FROM
20101217023624.333|20101217023626.000|CCO|THE CURRENT 100,000 TROOPS IN
20101217023626.000|20101217023627.667|CCO|JULY, 2011.
20101217023627.667|20101217023629.333|CCO|BUT IT STILL LEAVES THE U.S. A
20101217023629.333|20101217023631.000|CCO|LONG WAY FROM MEETING ITS GOAL
20101217023631.000|20101217023634.333|CCO|OF ALL COMBAT TROOPS OUT BY THE
20101217023634.333|20101217023637.667|CCO|END OF 2014.
20101217023637.667|20101217023641.000|CCO|>> FOR THE SECURITY GAINS TO BE
20101217023641.000|20101217023642.000|CCO|SUSTAINED OVER TIME, THERE IS AN
20101217023642.000|20101217023643.000|CCO|URGENT NEED FOR POLITICAL AND
20101217023643.000|20101217023644.000|CCO|ECONOMIC PROGRESS IN
20101217023644.000|20101217023645.000|CCO|AFGHANISTAN.
20101217023645.000|20101217023646.000|CCO|>> Reporter: THAT MEANS A LESS-
20101217023646.000|20101217023647.000|CCO|CORRUPT, MORE EFFICIENT AFGHAN
20101217023647.000|20101217023648.000|CCO|GOVERNMENT.
20101217023648.000|20101217023649.000|CCO|THERE ARE A QUARTER MILLION
20101217023649.000|20101217023650.000|CCO|AFGHAN SOLDIERS AND POLICE, BUT
20101217023650.000|20101217023651.000|CCO|4,000 TO 5,000 GO AWOL EVERY
20101217023651.000|20101217023652.429|CCO|MONTH.
20101217023652.429|20101217023653.857|CCO|U.S. OFFICIALS CALL THAT
20101217023653.857|20101217023655.286|CCO|UNACCEPTABLE.
20101217023655.286|20101217023656.714|CCO|AND THERE'S A SHORTAGE OF CIVIL
20101217023656.714|20101217023658.143|CCO|SERVANTS, THE ONES WHO ACTUALLY
20101217023658.143|20101217023659.571|CCO|DELIVER GOVERNMENT SERVICES, IN
20101217023659.571|20101217023701.000|CCO|EVERY PROVINCE.
20101217023701.000|20101217023702.667|CCO|ON THE OTHER SIDE OF THE BORDER
20101217023702.667|20101217023704.333|CCO|IN PAKISTAN, RECORD FLOODS HAVE
20101217023704.333|20101217023706.000|CCO|STYMIED THE ARMY'S OFFENSIVE
20101217023706.000|20101217023707.667|CCO|AGAINST THE TERRORIST SAFE
20101217023707.667|20101217023709.333|CCO|HAVENS, WHICH SEND FIGHTERS INTO
20101217023709.333|20101217023711.000|CCO|AFGHANISTAN.
20101217023711.000|20101217023714.333|CCO|>> IT'S HARD TO OVERSTATE THE
20101217023714.333|20101217023717.667|CCO|IMPACT OF THE FLOODING IN
20101217023717.667|20101217023721.000|CCO|PAKISTAN AND THE ROLE OF-- AND
20101217023721.000|20101217023722.667|CCO|THE DEGREE TO WHICH THE MILITARY
