TOP|20101217070002|2010-12-17_0700_US_ComedyCentral_Colbert_Report
COL|Communication Studies Archive, UCLA 
UID|451a3c14-09ab-11e0-ad18-00e0815fe86c
DUR|0:34:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:13:15|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217070005.636|20101217073457.000|SEG|Type=Story
20101217070005.636|20101217070006.545|CCO|n: WE'RE GOING TO TAKE A
20101217070006.545|20101217070007.455|CCO|COMMERCIAL BREAK.
20101217070007.455|20101217070008.364|CCO|CAN YOU STICK AROUND FAR FEW
20101217070008.364|20101217070009.273|CCO|MORE MINUTES?
20101217070009.273|20101217070010.182|CCO|>> YOU KNOW I'M GOING TO.
20101217070010.182|20101217070011.091|CCO|YOU KNOW I CAN BECAUSE I HAVE
20101217070011.091|20101217070012.000|CCO|TO.
20101217070012.000|20101217070017.000|CCO|>> Jon: "CAN'T WAIT TILL
20101217070017.000|20101217070052.000|CCO|CHRISTMAS" IS ON THE BOOKSHELVES
20101217070052.000|20101217070053.429|CCO|NOW.
20101217070053.429|20101217070241.000|SEG_01|Type=Commercial
20101217070053.429|20101217070054.857|CCO|         Lightning Fast.
20101217070054.857|20101217070056.286|CCO|        Lightning Strong.
20101217070056.286|20101217070057.714|CCO|         Verizon 4G LTE.
20101217070057.714|20101217070059.143|CCO|    Rule the air on the most
20101217070059.143|20101217070100.571|CCO|       advanced 4G network
20101217070100.571|20101217070122.000|CCO|          in the world.
20101217070122.000|20101217070127.000|CCO|COMEDIAN (GROANS): OHHH HEY
20101217070127.000|20101217070132.000|CCO|             BUDDY!
20101217070132.000|20101217070133.429|CCO|    COMEDIAN: MIKE, A LITTLE
20101217070133.429|20101217070134.857|CCO| CONSTRUCTIVE CRITICISM FOR YA.
20101217070134.857|20101217070136.286|CCO| THERE'S ONE THING I DON'T LIKE
20101217070136.286|20101217070137.714|CCO|    ABOUT YOUR COMMERCIALS.
20101217070137.714|20101217070139.143|CCO|   MJ: THIS IS GONNA BE GOOD.
20101217070139.143|20101217070140.571|CCO|   COMEDIAN: EVERYBODY ALWAYS
20101217070140.571|20101217070142.000|CCO|  SHOWIN' YOU THEIR UNDERWEAR.
20101217070142.000|20101217070142.909|CCO|      IT'S NOT REALISTIC.
20101217070142.909|20101217070143.818|CCO|  COMEDIAN: NOW ME, I JUST GOT
20101217070143.818|20101217070144.727|CCO|             THESE.
20101217070144.727|20101217070145.636|CCO|    COMFORT FLEX WAISTBAND. 
20101217070145.636|20101217070146.545|CCO|  DOESN'T PINCH, DOESN'T BIND.
20101217070146.545|20101217070147.455|CCO|       NOTHIN' MAN, I CAN
20101217070147.455|20101217070148.364|CCO|      GET SO LOW IN THESE.
20101217070148.364|20101217070149.273|CCO|   LOOK AT THIS! LOOK AT THIS
20101217070149.273|20101217070150.182|CCO|           MOVEMENT.
20101217070150.182|20101217070151.091|CCO| COMEDIAN: I'M LIKE A BALLERINA
20101217070151.091|20101217070152.000|CCO|        IN THESE THINGS.
20101217070152.000|20101217070153.667|CCO|  I COULD TAKE YOU, I BET, IN
20101217070153.667|20101217070155.333|CCO|THESE. I BET I COULD TAKE YOU! 
20101217070155.333|20101217070157.000|CCO|    VO: THE NEW COMFORT FLEX
20101217070157.000|20101217070158.667|CCO|           WAISTBAND.
20101217070158.667|20101217070200.333|CCO|  WON'T PINCH, WON'T BIND. NEW
20101217070200.333|20101217070241.000|CCO|          FROM HANES.
20101217070241.000|20101217070246.000|SEG_01|Type=Story start
20101217070241.000|20101217070246.000|CCO|>> Jon: THAT'S OUR SHOW,
20101217070246.000|20101217070251.000|CCO|EVERYBODY.
20101217070251.000|20101217070252.833|CCO|I HOPE YOU HAVE A VERY MERRY
20101217070252.833|20101217070254.667|CCO|CHRISTMAS, HAPPY HOLIDAYS AND A
20101217070254.667|20101217070256.500|CCO|HAPPY NEW YEAR.
20101217070256.500|20101217070258.333|CCO|WE'LL SEE YOU IN THE NEW YEAR.
20101217070258.333|20101217070300.167|CCO|IT'S THE LAST SHOW FOR US OF THE
20101217070300.167|20101217070302.000|CCO|NEW YEAR AND THE LAST SHOW FOR
20101217070302.000|20101217070303.667|CCO|OUR BELOVED EXECUTIVE PRODUCER
20101217070303.667|20101217070305.333|CCO|MR. JOSH LEAK.
20101217070305.333|20101217070307.000|CCO|HE'S THIS INCREDIBLE PACKAGE,
20101217070307.000|20101217070308.667|CCO|THIS COMBINATION OF HILARITY AND
20101217070308.667|20101217070310.333|CCO|WARMTH THAT YOU RARELY GET IN AN
20101217070310.333|20101217070312.000|CCO|INDIVIDUAL.
20101217070312.000|20101217070314.000|CCO|WE'RE SAD TO SEE HIM GO.
20101217070314.000|20101217070316.000|CCO|WE WISH HIM GREAT SUCCESS AS HE
20101217070316.000|20101217070318.000|CCO|MOVES TO LOS ANGELES.
20101217070318.000|20101217070320.000|CCO|BEFORE WE GO, HERE IT IS, YOUR
20101217070320.000|20101217070322.000|CCO|MOAMENT OF LEEB.
20101217070322.000|20101217070324.500|CCO|>> GIVE IT TO ME.
20101217070324.500|20101217070327.000|CCO|>> WHY?
20101217070327.000|20101217070329.500|CCO|>> GIVE IT TO ME!
20101217070329.500|20101217070332.000|CCO|(LAUGHTER)
20101217070332.000|20101217070342.000|CCO|(CAPTIONING SPONSORED BY
20101217070342.000|20101217070345.333|CCO|COMEDY CENTRAL
20101217070345.333|20101217070348.667|CCO|CAPTIONED BY
20101217070348.667|20101217070402.000|CCO|MEDIA ACCESS GROUP AT WGBH
20101217070402.000|20101217070405.333|CCO|ACCESS.WGBH.ORG
20101217070405.333|20101217070408.667|CCO|CAPTIONING SPONSORED BY
20101217070408.667|20101217070412.000|CCO|COMEDY CENTRAL
