TOP|20101217070001|2010-12-17_0700_US_KCET_Tavis_Smiley
COL|Communication Studies Archive, UCLA 
UID|44af4d00-09ab-11e0-85d3-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-16 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:13:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217070011.000|20101217072956.000|SEG|Type=Story
20101217070011.000|20101217070013.000|CCO|TAVIS: GOOD EVENING, I AM TAVIS
20101217070013.000|20101217070015.000|CCO|SMILEY.
20101217070015.000|20101217070017.000|CCO|A CONVERSATION WITH ONE OF
20101217070017.000|20101217070019.000|CCO|MUSIC'S ALL-TIME GREATS, STEVIE
20101217070019.000|20101217070021.000|CCO|WONDER.
20101217070021.000|20101217070023.500|CCO|WE WILL CELEBRATE THE 20TH
20101217070023.500|20101217070026.000|CCO|ANNIVERSARY OF THE HOLIDAY IN
20101217070026.000|20101217070028.500|CCO|JANUARY HONORING MARTIN LUTHER
20101217070028.500|20101217070031.000|CCO|KING, JR.
20101217070031.000|20101217070033.500|CCO|ON DECEMBER 18 IN SOUTHERN
20101217070033.500|20101217070036.000|CCO|CALIFORNIA YOU CAN STILL GET
20101217070036.000|20101217070038.500|CCO|TICKETS FOR STEVIE WONDER'S 
20101217070038.500|20101217070041.000|CCO|ANNUAL BENEFIT CONCERT.
20101217070041.000|20101217070042.667|CCO|TODAY MARKS THE 15TH ANNIVERSARY
20101217070042.667|20101217070044.333|CCO|OF THE WORTHY CAUSE.
20101217070044.333|20101217070046.000|CCO|MY CONVERSATION WITH MUSIC ICON
20101217070046.000|20101217070047.667|CCO|STEVIE WONDER COMING UP RIGHT
20101217070047.667|20101217070049.333|CCO|NOW.
20101217070049.333|20101217070051.000|CCO|>> ALL I KNOW IS HIS NAME IS
20101217070051.000|20101217070052.250|CCO|JAMES, AND HE NEEDS EXTRA HELP
20101217070052.250|20101217070053.500|CCO|WITH HIS READING.
20101217070053.500|20101217070054.750|CCO|>> I AM JAMES.
20101217070054.750|20101217070056.000|CCO|>> YES.
20101217070056.000|20101217070108.500|SEG_01|Type=Commercial
20101217070056.000|20101217070057.250|CCO|>> TO EVERYONE MAKING A
20101217070057.250|20101217070058.500|CCO|DIFFERENCE --
20101217070058.500|20101217070059.750|CCO|>> THANK YOU.
20101217070059.750|20101217070101.000|CCO|>> YOU HELP US ALL LIVE BETTER.
20101217070101.000|20101217070102.250|CCO|>> NATIONWIDE INSURANCE SUPPORTS
20101217070102.250|20101217070103.500|CCO|TAVIS SMILEY.
20101217070103.500|20101217070104.750|CCO|WITH EVERY QUESTION AND EVERY
20101217070104.750|20101217070106.000|CCO|ANSWER, NATIONWIDE INSURANCE IS
20101217070106.000|20101217070107.250|CCO|PROUD TO JOIN TAVIS IN WORKING
20101217070107.250|20101217070108.500|CCO|TO IMPROVE FINANCIAL LITERACY
20101217070108.500|20101217070109.750|SEG_01|Type=Story start
20101217070108.500|20101217070109.750|CCO|AND REMOVE OBSTACLES TO
20101217070109.750|20101217070111.000|CCO|ECONOMIC EMPOWERMENT, ONE
20101217070111.000|20101217070112.667|CCO|CONVERSATION AT A TIME.
20101217070112.667|20101217070114.333|CCO|>> NATIONWIDE IS ON YOUR SIDE 
20101217070114.333|20101217070116.000|CCO|>> AND BY CONTRIBUTIONS TO YOUR
20101217070116.000|20101217070117.667|CCO|PBS STATION FROM VIEWERS LIKE
20101217070117.667|20101217070119.333|CCO|YOU.
20101217070119.333|20101217070121.000|CCO|THANK YOU.
20101217070121.000|20101217070124.333|CCO|KCET PUBLIC TELEVISION]
20101217070124.333|20101217070127.667|CCO|NATIONAL CAPTIONING INSTITUTE
20101217070127.667|20101217070141.000|CCO|--WWW.NCICAP.ORG--
20101217070141.000|20101217070146.000|CCO|
20101217070146.000|20101217070151.000|CCO|
20101217070151.000|20101217070154.333|CCO|TAVIS: DO I HAVE TO PAY YOU
20101217070154.333|20101217070157.667|CCO|ROYALTIES FOR THAT?
20101217070157.667|20101217070201.000|CCO|>> THE BIG PAYBACK.
20101217070201.000|20101217070202.429|CCO|TAVIS: OVER THE COURSE OF THESE
20101217070202.429|20101217070203.857|CCO|SEVEN SEASONS I HAVE HAD THE
20101217070203.857|20101217070205.286|CCO|HONOR OF SITTING ACROSS FROM SO
20101217070205.286|20101217070206.714|CCO|MANY PEOPLE.
20101217070206.714|20101217070208.143|CCO|I THINK I CAN SAFELY SAY IT
20101217070208.143|20101217070209.571|CCO|DOESN'T GET MUCH BIGGER OR
20101217070209.571|20101217070211.000|CCO|BETTER THAN TONIGHT.
20101217070211.000|20101217070213.500|CCO|THE INCOMPARABLE STEVIE WONDER.
20101217070213.500|20101217070216.000|CCO|ON DECEMBER 18 IN DOWNTOWN L.A.
20101217070216.000|20101217070218.500|CCO|HE HIS STAGING HIS ANNUAL
20101217070218.500|20101217070221.000|CCO|BENEFIT CONCERT.
20101217070221.000|20101217070222.667|CCO|THIS YEAR MARKS THE 15TH
20101217070222.667|20101217070224.333|CCO|ANNIVERSARY OF THIS TREMENDOUS
20101217070224.333|20101217070226.000|CCO|CHARITY AND FEATURES AN ALL-STAR
20101217070226.000|20101217070227.667|CCO|LINEUP.
20101217070227.667|20101217070229.333|CCO|TICKETS ARE GOING FAST BUT THERE
20101217070229.333|20101217070231.000|CCO|ARE STILL GOOD SEATS AVAILABLE
20101217070231.000|20101217070232.667|CCO|STEVIE WONDER, AN HONOR TO HAVE
20101217070232.667|20101217070234.333|CCO|YOU ON THIS PROGRAM.
20101217070234.333|20101217070236.000|CCO|ARE YOU DOING ALL RIGHT?
20101217070236.000|20101217070237.667|CCO|>> I AM GOOD.
20101217070237.667|20101217070239.333|CCO|TAVIS: DOES THIS FEEL LIKE 15
20101217070239.333|20101217070241.000|CCO|YEARS?
20101217070241.000|20101217070243.500|CCO|>> EACH TIME FEELS LIKE THE
20101217070243.500|20101217070246.000|CCO|FIRST TIME.
20101217070246.000|20101217070248.500|CCO|I THINK THAT IS BECAUSE I AM
20101217070248.500|20101217070251.000|CCO|ALWAYS SO EXCITED TO AGAIN DO
20101217070251.000|20101217070253.000|CCO|THIS AND DO IT UNTIL THE WHEELS
20101217070253.000|20101217070255.000|CCO|FALL OFF.
20101217070255.000|20101217070257.000|CCO|JUST MAKE IT REALLY INCREDIBLE.
20101217070257.000|20101217070259.000|CCO|THANKS TO ALL THE VARIOUS PEOPLE
20101217070259.000|20101217070301.000|CCO|WHO PARTICIPATED THROUGHOUT THE
20101217070301.000|20101217070303.500|CCO|YEARS, WE HAVE HAD SOME GREAT
20101217070303.500|20101217070306.000|CCO|TALENT.
20101217070306.000|20101217070308.500|CCO|GREAT PEOPLE JUST WORKING WITH
20101217070308.500|20101217070311.000|CCO|KEEPING IT TOGETHER.
20101217070311.000|20101217070312.667|CCO|THE NOKIA THEATER IS WHERE WE
20101217070312.667|20101217070314.333|CCO|HAVE DONE IT FOR THE PAST THREE
20101217070314.333|20101217070316.000|CCO|YEARS.
20101217070316.000|20101217070317.667|CCO|IT HAS BEEN NICE.
20101217070317.667|20101217070319.333|CCO|JUST THIS TIME OF YEAR WHEN WE
20101217070319.333|20101217070321.000|CCO|CAN GO AND WE HAVE BEEN GIVING
20101217070321.000|20101217070323.500|CCO|EVERY SINGLE YEAR TO THE JUNIOR
20101217070323.500|20101217070326.000|CCO|BLIND OF AMERICA $50,000 EACH
20101217070326.000|20101217070328.500|CCO|YEAR.
20101217070328.500|20101217070331.000|CCO|BUT IT IS TO MAKE SURE EVERY
20101217070331.000|20101217070333.000|CCO|CHILD -- NOT JUST YOUNG PEOPLE
20101217070333.000|20101217070335.000|CCO|BUT EVEN THE TEENAGERS AND THOSE
20101217070335.000|20101217070337.000|CCO|WHO ARE ABOUT TO GO TO COLLEGE
20101217070337.000|20101217070339.000|CCO|WILL GET THOSE THINGS THEY WOULD
20101217070339.000|20101217070341.000|CCO|LOVE TO HAVE FOR CHRISTMAS.
20101217070341.000|20101217070343.500|CCO|TO BE ABLE TO ENJOY THEMSELVES
20101217070343.500|20101217070346.000|CCO|AS WELL AS DO SOMETHING GREAT TO
20101217070346.000|20101217070348.500|CCO|HELP THEM WITH WHATEVER THEY ARE
20101217070348.500|20101217070351.000|CCO|DOING.
20101217070351.000|20101217070353.500|CCO|COMPUTERS, THE LATEST
20101217070353.500|20101217070356.000|CCO|TECHNOLOGY.
20101217070356.000|20101217070358.500|CCO|WE PLAN TO GIVE AWAY SOME OF
20101217070358.500|20101217070401.000|CCO|THE IPHONES.
20101217070401.000|20101217070406.000|CCO|BECAUSE YOU PROBABLY KNOW THIS
20101217070406.000|20101217070411.000|CCO|-- THE INCREDIBLE THING ABOUT
20101217070411.000|20101217070414.333|CCO|THE TECHNOLOGY THAT EXISTS ON
20101217070414.333|20101217070417.667|CCO|THE IPAD, THE IPOD, AND IPHONE
20101217070417.667|20101217070421.000|CCO|IS ONE THAT MAKES IT ACCESSIBLE
20101217070421.000|20101217070426.000|CCO|TO THOSE WHO ARE BLIND OR DEAF.
20101217070426.000|20101217070431.000|CCO|THE IPHONE -- THE IPAD AS WELL.
20101217070431.000|20101217070434.333|CCO|THE SCREEN HAS THIS TECHNOLOGY
20101217070434.333|20101217070437.667|CCO|THAT MAKES -- IT GIVES VOICE
20101217070437.667|20101217070441.000|CCO|FEEDBACK.
20101217070441.000|20101217070443.000|CCO|WHENEVER YOU TOUCH A PARTICULAR
20101217070443.000|20101217070445.000|CCO|PART OF THE SCREEN ID WILL KNOW
20101217070445.000|20101217070447.000|CCO|WHERE YOU ARE.
20101217070447.000|20101217070449.000|CCO|THAT IS AN INCREDIBLE THING.
20101217070449.000|20101217070451.000|CCO|[UNINTELLIGIBLE]
20101217070451.000|20101217070454.333|CCO|HEY, STEVE.
20101217070454.333|20101217070457.667|CCO|IT IS AN INCREDIBLE THING.
20101217070457.667|20101217070501.000|CCO|YOU ARE ABLE TO KNOW EXACTLY
20101217070501.000|20101217070503.500|CCO|WHERE YOU ARE ON THE SCREEN AND
20101217070503.500|20101217070506.000|CCO|BE ABLE TO NAVIGATE.
20101217070506.000|20101217070508.500|CCO|TAVIS: YOU SAID TWO THINGS I
20101217070508.500|20101217070511.000|CCO|WANT TO PICK UP ON.
20101217070511.000|20101217070513.500|CCO|>> WE WERE HAVING A LITTLE
20101217070513.500|20101217070516.000|CCO|CONVERSATION.
20101217070516.000|20101217070518.500|CCO|TAVIS: LIKE WE ALWAYS DO.
20101217070518.500|20101217070521.000|CCO|TWO THINGS I WANT TO ASK YOU.
20101217070521.000|20101217070523.500|CCO|ONE, AND YOU TOUCHED ON A LITTLE
20101217070523.500|20101217070526.000|CCO|BIT.
20101217070526.000|20101217070528.500|CCO|IN YOUR LIFETIME GRADE ON YOUR
20101217070528.500|20101217070531.000|CCO|OWN SCALE THE PROGRESS WE HAVE
20101217070531.000|20101217070533.000|CCO|MADE FOR PERSONS WHO ARE BLIND
20101217070533.000|20101217070535.000|CCO|IN OUR SOCIETY.
20101217070535.000|20101217070537.000|CCO|HOW FAR HAVE WE COME IN YOUR
20101217070537.000|20101217070539.000|CCO|LIFETIME?
20101217070539.000|20101217070541.000|CCO|ARE YOU HAPPY WITH THE PROGRESS?
20101217070541.000|20101217070543.500|CCO|>> I AM HAPPY THERE HAVE BEEN
20101217070543.500|20101217070546.000|CCO|THOSE WHO SAID LISTEN, LET'S
20101217070546.000|20101217070548.500|CCO|MAKE A DIFFERENCE.
20101217070548.500|20101217070551.000|CCO|LET'S GET SOMETHING TO THE BLIND
