TOP|20101217070002|2010-12-17_0700_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|44e00ea4-09ab-11e0-beb2-00e0815ffae2
DUR|0:29:54.04
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-16 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:13:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217070007.000|20101217070008.250|SEG|Type=Story
20101217070007.000|20101217070008.250|CCO|ION invitado especial
20101217070008.250|20101217070010.750|SEG|Type=Story
20101217070008.250|20101217070009.500|CCO|>>> Vamos a dar gracias, y feliz
20101217070009.500|20101217070010.750|CCO|a los niños
20101217070010.750|20101217070018.667|SEG|Type=Story
20101217070010.750|20101217070012.000|CCO|>>> El bonachón de las barbas 
20101217070012.000|20101217070015.333|CCO|blancas, visitó el hogar de 
20101217070015.333|20101217070018.667|CCO|niños bien portados
20101217070018.667|20101217070027.000|SEG|Type=Story
20101217070018.667|20101217070022.000|CCO|>>> mUcho agradecimiento, porque
20101217070022.000|20101217070024.500|CCO|no saben lo que significa para 
20101217070024.500|20101217070027.000|CCO|nosotros
20101217070027.000|20101217070034.000|SEG|Type=Story
20101217070027.000|20101217070029.500|CCO|>>> Pero como todos los niños, 
20101217070029.500|20101217070032.000|CCO|de Bell son bien portados, hubo 
20101217070032.000|20101217070034.000|CCO|regalos para todos
20101217070034.000|20101217070036.000|SEG|Type=Story
20101217070034.000|20101217070036.000|CCO|>>> Te mereces ese juguete?
20101217070036.000|20101217070038.000|SEG|Type=Story
20101217070036.000|20101217070038.000|CCO|>>> Sí
20101217070038.000|20101217070042.000|SEG|Type=Story
20101217070038.000|20101217070040.000|CCO|>>> La carabana es una tradición
20101217070040.000|20101217070042.000|CCO|de años
20101217070042.000|20101217070057.000|SEG|Type=Story
20101217070042.000|20101217070044.500|CCO|>>> Los oficiales, del 
20101217070044.500|20101217070047.000|CCO|Departamento de Policía, 
20101217070047.000|20101217070049.500|CCO|coordina las donaciones, y los 
20101217070049.500|20101217070052.000|CCO|negocios apoyan mucho a la 
20101217070052.000|20101217070053.667|CCO|policía y la comunidad, si no 
20101217070053.667|20101217070055.333|CCO|fuera por los negocios no fuera 
20101217070055.333|20101217070057.000|CCO|posible
20101217070057.000|20101217070102.000|SEG|Type=Story
20101217070057.000|20101217070058.667|CCO|>>> Esperan que la alegría de 
20101217070058.667|20101217070100.333|CCO|esta noche, sea el presagio de 
20101217070100.333|20101217070102.000|CCO|buenas noticias
20101217070102.000|20101217070109.500|SEG|Type=Story
20101217070102.000|20101217070104.500|CCO|>>> Para nosotros como 
20101217070104.500|20101217070107.000|CCO|comunidad, creemos tambiñn en 
20101217070107.000|20101217070109.500|CCO|Jesucristo
20101217070109.500|20101217070114.500|SEG|Type=Story
20101217070109.500|20101217070112.000|CCO|>>> Mientras, acaba de traer a 
20101217070112.000|20101217070114.500|CCO|sus hijos de Cuba, y agradeció
20101217070114.500|20101217070119.500|SEG|Type=Story
20101217070114.500|20101217070117.000|CCO|>>> Estoy contento, contento, 
20101217070117.000|20101217070119.500|CCO|muchas gracias
20101217070119.500|20101217070125.333|SEG|Type=Story
20101217070119.500|20101217070122.000|CCO|>>> Santa Clous tambiñn se fue 
20101217070122.000|20101217070125.333|CCO|feliz, haber traido la Navidad
20101217070125.333|20101217070136.000|SEG|Type=Story
20101217070125.333|20101217070128.667|CCO|>>> Los residentes nos dijeron 
20101217070128.667|20101217070132.000|CCO|que confian que esperan que con 
20101217070132.000|20101217070134.000|CCO|el nuevo año, vengan los cambios
20101217070134.000|20101217070136.000|CCO|y transparencia a su ciudad
20101217070136.000|20101217070147.000|SEG|Type=Story
20101217070136.000|20101217070138.000|CCO|>>> Esto es Noticias Univisión 
20101217070138.000|20101217070140.000|CCO|34 solo a las 11 en Alta 
20101217070140.000|20101217070142.000|CCO|Definición
20101217070142.000|20101217070147.000|CCO|CC1:
20101217070147.000|20101217070152.000|SEG|Type=Story
20101217070147.000|20101217070152.000|CCO|>>> Gracias por acompañarnos
20101217070152.000|20101217070158.667|SEG|Type=Story
20101217070152.000|20101217070155.333|CCO|>>> SEan Bienvenidos a las 
20101217070155.333|20101217070158.667|CCO|noticias
20101217070158.667|20101217070210.000|SEG|Type=Story
20101217070158.667|20101217070202.000|CCO|>>> La Cámara de Representantes 
