TOP|20101217083701|2010-12-17_0837_US_KCBS_Late_Late_Show_with_Craig_Ferguson
COL|Communication Studies Archive, UCLA 
UID|d1b5f872-09b8-11e0-9560-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 00:37 America/Los_Angeles
SEG_01|2014-06-18 18:13:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217083706.714|20101217093656.000|SEG|Type=Story
20101217083706.714|20101217083708.143|CCO|CBS
20101217083708.143|20101217083709.571|CCO|>> Dave: BOY, BOY, BEAUTIFUL,
20101217083709.571|20101217083711.000|CCO|LOVELY, HELLO, FLORENCE,
20101217083711.000|20101217083712.111|CCO|GOSH THAT WAS NICE WHAT DID
20101217083712.111|20101217083713.222|CCO|YOU THINK, PAUL.
20101217083713.222|20101217083714.333|CCO|>> Paul: THAT WAS FANTASTIC.
20101217083714.333|20101217083715.444|CCO|>> Dave: WHAT A MACHINE.
20101217083715.444|20101217083716.556|CCO|THANK YOU, LADIES AND
20101217083716.556|20101217083717.667|CCO|GENTLEMEN.
20101217083717.667|20101217083718.778|CCO|THAT WAS BEAUTIFUL.
20101217083718.778|20101217083719.889|CCO|THIS IS ON THE ALBUM HERE,
20101217083719.889|20101217083721.000|CCO|LUNGS.
20101217083721.000|20101217083722.667|CCO|FLORENCE AND THE MACHINE.
20101217083722.667|20101217083724.333|CCO|THANK YOU VERY MUCH.
20101217083724.333|20101217083726.000|CCO|HAVE A LOVELY HOLIDAY,
20101217083726.000|20101217083727.667|CCO|EVERYBODY.
20101217083727.667|20101217083729.333|CCO|THAT'S THANKS FOR WATCHING,
20101217083729.333|20101217083731.000|CCO|GOOD NIGHT, FOLKS.
20101217083731.000|20101217083733.500|CCO|NO NOW STAY TUNED FOR CRAIG
20101217083733.500|20101217083736.000|CCO|FERGUSON THIS IS ALAN KALTER
20101217083736.000|20101217083738.500|CCO|SPEAK.
20101217083738.500|20101217083741.000|CCO|GOOD NIGHT, EVERYBODY.
20101217083741.000|20101217083743.000|CCO|>> IS YOUR NAME CONNIE?
20101217083743.000|20101217083745.000|CCO|>> I'M SOCIAL SIGHTED
20101217083745.000|20101217083747.000|CCO|(APPLAUSE)
20101217083747.000|20101217083749.000|CCO|WAIT A MINUTE, I'M SOCIAL
20101217083749.000|20101217083751.000|CCO|SIGHTED.
20101217083751.000|20101217083756.000|CCO|AND I JUST CAN'T HIDE T I'M
20101217083756.000|20101217083801.000|CCO|ABOUT TO LOSE CONTROL AND I
20101217083801.000|20101217083803.000|CCO|THINK I LIKE IT.
20101217083803.000|20101217083805.000|CCO|MY CHRISTMAS PRESENT ARRIVED
20101217083805.000|20101217083807.000|CCO|FROM MY SECRET ADMIRER.
20101217083807.000|20101217083809.000|CCO|I THINK I KNOW WHO IT IS
20101217083809.000|20101217083811.000|CCO|FROM, FROM JEFF, NO, FROM
20101217083811.000|20101217083813.500|CCO|DR. PHIL, MAYBE.
20101217083813.500|20101217083816.000|CCO|NO TO EXPENSIVE.
20101217083816.000|20101217083818.500|CCO|LET ME JUST -- CAN I PUT
20101217083818.500|20101217083821.000|CCO|THIS REAR IN -- HERE, WILL
20101217083821.000|20101217083823.000|CCO|THAT BREAK YOUR -- LOOK AT
20101217083823.000|20101217083825.000|CCO|THIS LOOK AT THE SIZE OF
20101217083825.000|20101217083827.000|CCO|THIS THING, KNOW.
20101217083827.000|20101217083829.000|CCO|AND THEN THERE IS THE-- ALL
20101217083829.000|20101217083831.000|CCO|RIGHT, I WILL PUT IT HERE.
20101217083831.000|20101217083834.333|CCO|OPEN THE CARD FIRST, THAT'S
20101217083834.333|20101217083837.667|CCO|CORRECT, UPSTAIRS FIRST AND
20101217083837.667|20101217083841.000|CCO|THEN DOWNSTAIRS.
20101217083841.000|20101217083843.000|CCO|MANNERS.
20101217083843.000|20101217083845.000|CCO|IS THAT WRONG?
20101217083845.000|20101217083847.000|CCO|THAT'S NOT WRONG, UPSTAIRS
20101217083847.000|20101217083849.000|CCO|FIRST, BACK DOWNSTAIRS.
20101217083849.000|20101217083851.000|CCO|DON'T GO STRAIGHT DOWNSTAIRS.
20101217083851.000|20101217083852.429|CCO|ANYWAY, DEAR CRAIG, PLEASE
20101217083852.429|20101217083853.857|CCO|ACCEPT THIS BEAUTIFUL, AND
20101217083853.857|20101217083855.286|CCO|LOOK AT THIS LOVELY CARD IT
20101217083855.286|20101217083856.714|CCO|IS LIKE A SNOW FLAKE BUT
20101217083856.714|20101217083858.143|CCO|SQUARE.
20101217083858.143|20101217083859.571|CCO|PLEASE DON'T APPLAUD PAPER.
20101217083859.571|20101217083901.000|CCO|DEAR CRAIG, PLEASE ACCEPT
20101217083901.000|20101217083904.333|CCO|THIS BEAUTIFUL TOP-NOTCH
20101217083904.333|20101217083907.667|CCO|CHRISTMAS SWEATER AS A
20101217083907.667|20101217083911.000|CCO|SYMBOL OF OUR FRIENDSHIP AND
20101217083911.000|20101217083914.333|CCO|IT'S FROM JIMMY FALLON.
20101217083914.333|20101217083917.667|CCO|(APPLAUSE)
20101217083917.667|20101217083921.000|CCO|NOW I'M VERY EXCITED ABOUT
20101217083921.000|20101217083923.500|CCO|THIS.
20101217083923.500|20101217083926.000|CCO|BECAUSE EVERYBODY KNOWS
20101217083926.000|20101217083928.500|CCO|JIMMY FALLON IS THE BEST
20101217083928.500|20101217083931.000|CCO|KNITTER IN SHOW BUSINESS.
20101217083931.000|20101217083932.429|CCO|LAUGH HALF OH, I KNOW ARE
20101217083932.429|20101217083933.857|CCO|YOU LIKE CRAIG, ARE YOU
20101217083933.857|20101217083935.286|CCO|CRAZY, HE IS YOUR DIRECT
20101217083935.286|20101217083936.714|CCO|COMPETITOR.
20101217083936.714|20101217083938.143|CCO|YOU CAN'T SAY HOW GREAT
20101217083938.143|20101217083939.571|CCO|JIMMY IS.
20101217083939.571|20101217083941.000|CCO|OH COME ON, HE'S AWESOME AND
20101217083941.000|20101217083943.000|CCO|HE CAN KNIT LIKE 12 GAY
20101217083943.000|20101217083945.000|CCO|MINUTE.
20101217083945.000|20101217083947.000|CCO|(APPLAUSE)
20101217083947.000|20101217083949.000|CCO|ANY YEAH, JIMMY MADE ME A
20101217083949.000|20101217083951.000|CCO|SWEATER.
20101217083951.000|20101217083954.333|CCO|I'M VERY EXCITED.
20101217083954.333|20101217083957.667|CCO|OH!
20101217083957.667|20101217084001.000|CCO|IT'S BEAUTIFUL.
20101217084001.000|20101217084003.500|CCO|OH, IT'S REALLY VERY NICE.
20101217084003.500|20101217084006.000|CCO|LOOK, IT'S GOT JIMMY AND I
20101217084006.000|20101217084008.500|CCO|ON THE FRONT.
20101217084008.500|20101217084011.000|CCO|(APPLAUSE)
20101217084011.000|20101217084014.333|CCO|YEAH.
20101217084014.333|20101217084017.667|CCO|I'LL BE WEARING THAT LATER.
20101217084017.667|20101217084021.000|CCO|AND LOOK IT IS JIMMY AND I
20101217084021.000|20101217084022.667|CCO|ON A GIANT BALL.
20101217084022.667|20101217084024.333|CCO|BALL, YEAH.
20101217084024.333|20101217084026.000|CCO|THIS IS VERY NICE.
20101217084026.000|20101217084027.667|CCO|LOOK AT THAT, WELL, THIS IS
20101217084027.667|20101217084029.333|CCO|GOOD NEWS BECAUSE IN A
20101217084029.333|20101217084031.000|CCO|COMPLETE BACK WITH TRADITION,
20101217084031.000|20101217084032.250|CCO|I HAVE ALSO SENT A CHRISTMAS
20101217084032.250|20101217084033.500|CCO|GIFT TO JIMMY AND HE SHOULD
20101217084033.500|20101217084034.750|CCO|GET IT TONIGHT.
20101217084034.750|20101217084036.000|CCO|HIS SHOW IS IN DIRECT
20101217084036.000|20101217084037.250|CCO|COMPETITION WITH YOURS,
20101217084037.250|20101217084038.500|CCO|CRAIG, YEAH, HEY, YOU ARE
20101217084038.500|20101217084039.750|CCO|CONFUSING US, WHAT SHOULD WE
20101217084039.750|20101217084041.000|CCO|DO.
20101217084041.000|20101217084042.667|CCO|I DON'T KNOW, I'M NOT YOUR
20101217084042.667|20101217084044.333|CCO|PARENTS, DO WHATEVER-- YOU
20101217084044.333|20101217084046.000|CCO|LIKE.
20101217084046.000|20101217084047.667|CCO|(LAUGHTER)
20101217084047.667|20101217084049.333|CCO|ALL I'M SAYING IS JIMMY GOT
20101217084049.333|20101217084051.000|CCO|ME THIS WONDERFUL PRESENT
20101217084051.000|20101217084054.333|CCO|AND I GOT HIM A PRESENT.
20101217084054.333|20101217084057.667|CCO|OH AND I THINK WILL LIKE IT.
20101217084057.667|20101217084101.000|CCO|LOOK AT THIS.
20101217084101.000|20101217084102.250|CCO|WHAT IS THAT?
20101217084102.250|20101217084103.500|CCO|WHEN DID THEY START DOINGING
20101217084103.500|20101217084104.750|CCO|THAT?
20101217084104.750|20101217084106.000|CCO|ABOUT 2005?
20101217084106.000|20101217084107.250|CCO|OH, WHAT'S THAT.
20101217084107.250|20101217084108.500|CCO|ANYWAY, I REALLY LIKE THIS.
20101217084108.500|20101217084109.750|CCO|THANK YOU, THANK YOU, JIMMY,
20101217084109.750|20101217084111.000|CCO|THANK YOU SO MUCH.
20101217084111.000|20101217084113.000|CCO|I CAN'T THINK OF SOMEONE I
