TOP|20101217120002|2010-12-17_1200_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|2dc60fd2-09d5-11e0-84b9-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 04:00 America/Los_Angeles
SEG_01|2014-06-18 18:13:36|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217120012.000|20101217125957.000|SEG|Type=Story
20101217120012.000|20101217120014.000|CCO|>>  CAN YOU SAY TGIF?
20101217120014.000|20101217120016.000|CCO|I CAN BECAUSE TODAY IS FRIDAY 
20101217120016.000|20101217120018.000|CCO|AND IT'S DECEMBER 17TH.
20101217120018.000|20101217120020.000|CCO|THANK YOU SO MUCH FOR SHARING 
20101217120020.000|20101217120022.000|CCO|YOUR TIME WITH US TODAY.
20101217120022.000|20101217120023.667|CCO|IT'S OFFICIAL, TAXES FOR ANYONE 
20101217120023.667|20101217120025.333|CCO|WILL NOT INCREASE ON 
20101217120025.333|20101217120027.000|CCO|JANUARY 1ST.
20101217120027.000|20101217120028.667|CCO|CONGRESS DID PASS THE TAX 
20101217120028.667|20101217120030.333|CCO|EXTENSION BILL LATE LAST NIGHT 
20101217120030.333|20101217120032.000|CCO|AND SENT IT TO PRESIDENT OBAMA'S
20101217120032.000|20101217120033.667|CCO|DESK.
20101217120033.667|20101217120035.333|CCO|ALL HE HAS TO DO IS SIGN IT.
20101217120035.333|20101217120037.000|CCO|CONGRESS HAS A LOT MORE TO DO.
20101217120037.000|20101217120038.667|CCO|>> ALL RIGHT.
20101217120038.667|20101217120040.333|CCO|WHAT'S NOT ON THEIR LIST?
20101217120040.333|20101217120042.000|CCO|GRETCH?
20101217120042.000|20101217120044.000|CCO|THE PORK FILLED SPENDING BILL.
20101217120044.000|20101217120046.000|CCO|>>  CONVERSATION.
20101217120046.000|20101217120048.000|CCO|>>  STOP LAUGHING.
20101217120048.000|20101217120050.000|CCO|SENATE MAJORITY LEADER HARRY 
20101217120050.000|20101217120052.000|CCO|REID PULLS THE OMNIBUS SPENDING 
20101217120052.000|20101217120053.429|CCO|BILL OFF THE TABLE.
20101217120053.429|20101217120054.857|CCO|WHAT TRICKS DOES HE HAVE UP HIS 
20101217120054.857|20101217120056.286|CCO|SLEEVE, STEVE?
20101217120056.286|20101217120057.714|CCO|>>  DON'T TELL JOE BIDEN ABOUT 
20101217120057.714|20101217120059.143|CCO|CHRISTMAS.
20101217120059.143|20101217120100.571|CCO|HE KNOWS ALL ABOUT IT.
20101217120100.571|20101217120102.000|CCO|HOW THE VICE PRESIDENT HAS 
20101217120102.000|20101217120107.000|CCO|BECOME THE GRINCH.
20101217120107.000|20101217120112.000|CCO|"FOX & FRIENDS" STARTS RIGHT 
20101217120112.000|20101217120114.000|CCO|NOW.
20101217120114.000|20101217120116.000|CCO|>>  WELCOME ABOARD, FOLKS.
20101217120116.000|20101217120118.000|CCO|IT IS THE FRIDAY BEFORE 
20101217120118.000|20101217120120.000|CCO|CHRISTMAS EVE.
20101217120120.000|20101217120122.000|CCO|>>  ALL RIGHT!
20101217120122.000|20101217120123.250|CCO|>>  ONE WEEK TO CHRISTMAS EVE.
20101217120123.250|20101217120124.500|CCO|BRING IT ON.
20101217120124.500|20101217120125.750|CCO|HERE'S A BIG --
20101217120125.750|20101217120127.000|CCO|>> AREN'T YOU EXCITED?
20101217120127.000|20101217120128.250|CCO|>>  I DIDN'T THINK WE HAD A TAX 
20101217120128.250|20101217120129.500|CCO|DEAL BUT THEY KEPT WORKING 
20101217120129.500|20101217120130.750|CCO|THROUGH THE NIGHT AND SURE 
20101217120130.750|20101217120132.000|CCO|ENOUGH, I LOOKED OUT AND IT WAS 
20101217120132.000|20101217120133.667|CCO|LIKE 90 MESSAGES AND IT'S ABOUT 
20101217120133.667|20101217120135.333|CCO|TO HAPPEN.
20101217120135.333|20101217120137.000|CCO|I THINK THEY HAVE THE VOTES.
20101217120137.000|20101217120138.667|CCO|>>  YOU FELT LIKE HOWIE MANDEL, 
20101217120138.667|20101217120140.333|CCO|DEAL OR NO DEAL.
20101217120140.333|20101217120142.000|CCO|WITH HAIR.
20101217120142.000|20101217120143.667|CCO|>> WITHOUT THE HOT MODELS 
20101217120143.667|20101217120145.333|CCO|POINTING TO EMPTY BOXES.
20101217120145.333|20101217120147.000|CCO|>> THAT'S WHAT I WAS THINKING.
20101217120147.000|20101217120148.667|CCO|>> WOULDN'T THAT BE INTERESTING 
20101217120148.667|20101217120150.333|CCO|ON CAPITOL HILL?
20101217120150.333|20101217120152.000|CCO|>>  HOWIE MANDEL LINES UP MODELS
20101217120152.000|20101217120153.667|CCO|IN "DEAL OR NO DEAL."
20101217120153.667|20101217120155.333|CCO|ATTACHE CASES.
20101217120155.333|20101217120157.000|CCO|>> HOT MODELS ON "FOX & 
20101217120157.000|20101217120158.667|CCO|FRIENDS."
20101217120158.667|20101217120200.333|CCO|WHY NOT?
20101217120200.333|20101217120202.000|CCO|THERE YOU GO.
20101217120202.000|20101217120203.125|CCO|>> OK, BRI, I'LL START THE 
20101217120203.125|20101217120204.250|CCO|HEADLINES NOW.
20101217120204.250|20101217120205.375|CCO|WE START WITH A FOX NEWS ALERT.
20101217120205.375|20101217120206.500|CCO|AMERICANS WILL NOT BE SEEING 
20101217120206.500|20101217120207.625|CCO|THEIR TAXES GO UP ON 
20101217120207.625|20101217120208.750|CCO|JANUARY 1ST.
20101217120208.750|20101217120209.875|CCO|JUST BEFORE MIDNIGHT, THE HOUSE 
20101217120209.875|20101217120211.000|CCO|PASSED THE TAX CUT DEAL.
20101217120211.000|20101217120212.429|CCO|IT NOW GOES TO THE PRESIDENT'S 
20101217120212.429|20101217120213.857|CCO|DESK AND PETER DOOCY HAS ALL THE
20101217120213.857|20101217120215.286|CCO|DETAILS IN WASHINGTON.
20101217120215.286|20101217120216.714|CCO|YOU MUST HAVE BEEN UP ALL NIGHT 
20101217120216.714|20101217120218.143|CCO|TO FIGURE THINGS OUT.
20101217120218.143|20101217120219.571|CCO|IT HAPPENED SO LATE.
20101217120219.571|20101217120221.000|CCO|>> YEAH, IT'S EITHER THIS OR THE
20101217120221.000|20101217120222.667|CCO|HOT MODELS USUALLY THAT KEEP ME 
20101217120222.667|20101217120224.333|CCO|UP ALL NIGHT.
20101217120224.333|20101217120226.000|CCO|>>  THAT'S A FOX NEWS ALERT.
20101217120226.000|20101217120227.667|CCO|>> I DON'T KNOW HOW THAT VOTE 
20101217120227.667|20101217120229.333|CCO|CAME OUT.
20101217120229.333|20101217120231.000|CCO|WHAT ABOUT THIS VOTE?
20101217120231.000|20101217120233.000|CCO|>>  GLAD YOU ASKED.
20101217120233.000|20101217120235.000|CCO|YEA VOTES COMING FROM 139 
20101217120235.000|20101217120237.000|CCO|DEMOCRATS AND 138 REPUBLICANS.
20101217120237.000|20101217120239.000|CCO|THE FINAL VOTE COUNT WAS 277-148
20101217120239.000|20101217120241.000|CCO|AND WITH THAT, THE TAX RATE 
20101217120241.000|20101217120242.250|CCO|COMPROMISE BILL HAS PASSED THE 
20101217120242.250|20101217120243.500|CCO|HOUSE.
20101217120243.500|20101217120244.750|CCO|IT HAPPENED LATE LAST NIGHT, AS 
20101217120244.750|20101217120246.000|CCO|YOU SAID, AND NOW IT NEEDS TO 
20101217120246.000|20101217120247.250|CCO|MAKE ITS WAY FROM THE CAPITAL TO
20101217120247.250|20101217120248.500|CCO|THE WHITE HOUSE FOR THE 
20101217120248.500|20101217120249.750|CCO|PRESIDENT'S SIGNATURE BEFORE IT 
20101217120249.750|20101217120251.000|CCO|CAN BECOME A LAW.
20101217120251.000|20101217120253.000|CCO|WHEN IT DOES, ITS $858 BILLION 
20101217120253.000|20101217120255.000|CCO|PRICE TAG GETS TACKED ON TO THE 
20101217120255.000|20101217120257.000|CCO|DEFICIT.
20101217120257.000|20101217120259.000|CCO|THEN TAX RATES WILL REMAIN THE 
20101217120259.000|20101217120301.000|CCO|SAME FOR FAMILIES AT ALL INCOME 
20101217120301.000|20101217120302.429|CCO|LEVELS FOR TWO YEARS.
20101217120302.429|20101217120303.857|CCO|UNEMPLOYMENT INSURANCE BENEFITS 
20101217120303.857|20101217120305.286|CCO|WILL BE EXTENDED FOR 13 MONTHS 
20101217120305.286|20101217120306.714|CCO|AND THERE WILL BE A ONE YEAR CUT
20101217120306.714|20101217120308.143|CCO|IN THE SOCIAL SECURITY TAX 
20101217120308.143|20101217120309.571|CCO|THAT'S GOING TO BE SEEN BY JUST 
20101217120309.571|20101217120311.000|CCO|ABOUT EVERY WORKING AMERICAN.
20101217120311.000|20101217120312.667|CCO|NOW, SOME DEMOCRATS IN THE HOUSE
20101217120312.667|20101217120314.333|CCO|MADE NOISE ABOUT THIS BILL UNTIL
20101217120314.333|20101217120316.000|CCO|THE VERY LAST MINUTE BECAUSE 
20101217120316.000|20101217120317.667|CCO|THEY THINK THE PRESIDENT GAVE 
20101217120317.667|20101217120319.333|CCO|AWAY TOO MUCH TO REPUBLICANS IN 
20101217120319.333|20101217120321.000|CCO|THE SENATE DURING NEGOTIATIONS 
20101217120321.000|20101217120323.500|CCO|BUT IN THE END, SOME DEMOCRATS 
20101217120323.500|20101217120326.000|CCO|DID EXPRESS HOPE THAT THIS 
20101217120326.000|20101217120328.500|CCO|BILL'S PASSAGE IS GOING TO LEAD 
20101217120328.500|20101217120331.000|CCO|TO GOOD THINGS.
20101217120331.000|20101217120332.667|CCO|>>  WE SAW THE PRESIDENT OF THE 
20101217120332.667|20101217120334.333|CCO|UNITED STATES STRIKE A DEAL WITH
20101217120334.333|20101217120336.000|CCO|SENATE REPUBLICANS IN THE END, 
20101217120336.000|20101217120337.667|CCO|IT WAS A PACKAGE THAT HELD IN 
20101217120337.667|20101217120339.333|CCO|THE SENATE OVERWHELMINGLY.
20101217120339.333|20101217120341.000|CCO|PASSED THE HOUSE TONIGHT, IT'S 
20101217120341.000|20101217120342.667|CCO|GOING TO MEAN TAX RELIEF FOR 
20101217120342.667|20101217120344.333|CCO|MOST OF THE PEOPLE IN THIS 
20101217120344.333|20101217120346.000|CCO|COUNTRY.
20101217120346.000|20101217120347.667|CCO|>>  SOME REPUBLICANS STRESS THE 
20101217120347.667|20101217120349.333|CCO|IMPORTANCE OF THIS BILL AS WELL 
20101217120349.333|20101217120351.000|CCO|WITH REPRESENTATIVE DAVE CAMP 
20101217120351.000|20101217120353.000|CCO|FROM MICHIGAN CHIMING IN "THIS 
20101217120353.000|20101217120355.000|CCO|IS JUST NO TIME TO BE PLAYING 
20101217120355.000|20101217120357.000|CCO|GAMES WITH OUR ECONOMY.
20101217120357.000|20101217120359.000|CCO|THE FAILURE TO BLOCK THESE TAX 
20101217120359.000|20101217120401.000|CCO|INCREASES WOULD BE A DIRECT HIT 
20101217120401.000|20101217120402.429|CCO|TO FAMILIES AND SMALL 
20101217120402.429|20101217120403.857|CCO|BUSINESSES".
20101217120403.857|20101217120405.286|CCO|SO REPUBLICANS AND DEMOCRATS 
20101217120405.286|20101217120406.714|CCO|WORKED TOGETHER ON THIS TAX RATE
20101217120406.714|20101217120408.143|CCO|COMPROMISE AND THEY STILL GOT A 
20101217120408.143|20101217120409.571|CCO|LOT OF STUFF ON THEIR PLATE THE 
20101217120409.571|20101217120411.000|CCO|LAST FEW DAYS OF THE SESSION SO 
20101217120411.000|20101217120412.111|CCO|STAY TUNED TO SEE IF THERE'S ANY
20101217120412.111|20101217120413.222|CCO|MORE OF THAT BIPARTISANSHIP 
20101217120413.222|20101217120414.333|CCO|GOING AROUND.
20101217120414.333|20101217120415.444|CCO|BRIAN?
20101217120415.444|20101217120416.556|CCO|>>  THANK YOU VERY MUCH, PETER.
20101217120416.556|20101217120417.667|CCO|YOU KNOW, SOME PEOPLE SAYING THE
20101217120417.667|20101217120418.778|CCO|PRESIDENT JUST BEGINNING WITH 
