TOP|20101217140002|2010-12-17_1400_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|f13d9ef2-09e5-11e0-b02f-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.01.html
HED|Congress Passes Tax Cuts; FDA Moves to Yank Avastin Approval; USO Greets Thousands of Troops Home for Holidays; Many Pay Tribute to Larry King on Final Show; Wall Street Rallies; Downfall: The Tiger Woods
LAN|ENG
LBT|2010-12-17 06:00 America/Los_Angeles
SEG_01|2014-06-18 18:13:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217140006.444|20101217140014.857|SEG|Type=Story
20101217140006.444|20101217140007.556|CCO|y VITAC--
20101217140007.556|20101217140012.000|SEG_01|Type=Commercial
20101217140007.556|20101217140008.667|CCO|        
20101217140008.667|20101217140009.778|CCO|        www.vitac.com
20101217140009.778|20101217140010.889|CCO|                
20101217140010.889|20101217140012.000|CCO|                
20101217140012.000|20101217140013.429|SEG_01|Type=Story start
20101217140012.000|20101217140013.429|CCO|SATURDAY NIGHT 10:00 OBAMA, 
20101217140013.429|20101217140014.857|CCO|SUNDAY NIGHT 10:30 HERE ON CNN. 
20101217140014.857|20101217140110.571|SEG|Type=Story
20101217140014.857|20101217140016.286|CCO|>>> THAT'S IT FOR US.
20101217140016.286|20101217140017.714|CCO|HAVE A WONDERFUL WEEKEND.
20101217140017.714|20101217140019.143|CCO|NICE TO SEE YOU. 
20101217140019.143|20101217140020.571|CCO|>> GOOD TO BE HERE.
20101217140020.571|20101217140022.000|CCO|I HAVE TO DO MY SHOW THIS WEEK. 
20101217140022.000|20101217140023.250|CCO|>> GOOD LUCK GETTING BACK TO 
20101217140023.250|20101217140024.500|CCO|ATLANTA AND GETTING OVER YOUR 
20101217140024.500|20101217140025.750|CCO|COLD. 
20101217140025.750|20101217140027.000|CCO|>> THANK YOU. 
20101217140027.000|20101217140028.250|CCO|>> CNN NEWSROOM STARTS WITHDREW 
20101217140028.250|20101217140029.500|CCO|GRIFFIN RIGHT NOW. 
20101217140029.500|20101217140030.750|CCO|>> I DIDN'T KNOW THAT TIGER 
20101217140030.750|20101217140032.000|CCO|WOODS HAD A BROTHER.
20101217140032.000|20101217140033.429|CCO|I WAS SHOCKED, REALLY. 
20101217140033.429|20101217140034.857|CCO|>> THREE SIBLINGS.
20101217140034.857|20101217140036.286|CCO|A-OF HIS -- THE FATHER'S KIDS 
20101217140036.286|20101217140037.714|CCO|FROM THE FIRST MARRIAGE, YES, 
20101217140037.714|20101217140039.143|CCO|ALL GREW UP AROUND HIM TOGETHER 
