TOP|20101217160002|2010-12-17_1600_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|b4db7ec8-09f6-11e0-a645-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:14:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217160012.000|20101217160025.333|SEG|Type=Story
20101217160012.000|20101217160017.000|CCO| GOOD MORNING AMERICA
20101217160017.000|20101217160022.000|CCO|HOW ARE YOU 
20101217160022.000|20101217160023.667|CCO| SAID DON'T YOU KNOW ME
20101217160023.667|20101217160025.333|CCO|I'M YOUR NATIVE SON 
20101217160025.333|20101217160037.000|SEG|Type=Story
20101217160025.333|20101217160027.000|CCO|>>> EASING US INTO THE WEEKEND.
20101217160027.000|20101217160028.667|CCO|"GOOD MORNING AMERICA."
20101217160028.667|20101217160030.333|CCO|YOU KNOW ROBIN IS IN ALASKA, 
20101217160030.333|20101217160032.000|CCO|BRINGING US HER EXCLUSIVE 
20101217160032.000|20101217160033.250|CCO|INTERVIEW WITH SARAH PALIN.
20101217160033.250|20101217160034.500|CCO|SARAH PALIN TALKS CANDIDLY ABOUT
20101217160034.500|20101217160035.750|CCO|HER FAMILY IN JUST A COUPLE OF 
20101217160035.750|20101217160037.000|CCO|MINUTES.
20101217160037.000|20101217160112.000|SEG|Type=Story
20101217160037.000|20101217160038.250|CCO|>>> ALSO AHEAD THIS MORNING, 
20101217160038.250|20101217160039.500|CCO|WE'VE GOT THE MAN CALLED A HERO.
20101217160039.500|20101217160040.750|CCO|>> BOY, WAS HE.
20101217160040.750|20101217160042.000|CCO|>> HE REALLY WAS.
20101217160042.000|20101217160044.500|CCO|AFTER THAT GUNMAN OPENED FIRE AT
20101217160044.500|20101217160047.000|CCO|A FLORIDA SCHOOL BOARD MEETING.
20101217160047.000|20101217160049.500|CCO|WHAT WAS GOING THROUGH HIS MIND?
20101217160049.500|20101217160052.000|CCO|HE WAS A SECURITY GUARD, WHO 
20101217160052.000|20101217160052.909|CCO|ACTUALLY SAVED THE SCHOOL BOARD 
20101217160052.909|20101217160053.818|CCO|MEMBERS IN THOSE LIFE-AND-DEATH 
20101217160053.818|20101217160054.727|CCO|MOMENTS.
20101217160054.727|20101217160055.636|CCO|HE'LL TELL US WHAT THAT WAS 
20101217160055.636|20101217160056.545|CCO|LIKE.
20101217160056.545|20101217160057.455|CCO|HE'S HERE WITH HIS WIFE TO JOIN 
20101217160057.455|20101217160058.364|CCO|US LIVE THIS MORNING.
20101217160058.364|20101217160059.273|CCO|HE'S QUITE A GUY.
20101217160059.273|20101217160100.182|CCO|>> CERTAINLY QUITE A GUY.
20101217160100.182|20101217160101.091|CCO|COLLEEN THINKS SO, TOO.
20101217160101.091|20101217160102.000|CCO|THAT'S HIS WIFE.
20101217160102.000|20101217160103.250|CCO|AND AFTER THE PRESS CONFERENCE, 
