TOP|20101217170001|2010-12-17_1700_US_KABC_Live_With_Regis_and_Kelly
COL|Communication Studies Archive, UCLA 
UID|1654e93e-09ff-11e0-af20-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:14:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101217170005.444|20101217175956.000|SEG|Type=Story
20101217170005.444|20101217170006.556|CCO| COMEDY  
20101217170006.556|20101217170007.667|CCO|"LITTLE FOCKERS," ROBERT DE 
20101217170007.667|20101217170008.778|CCO|NIRO. 
20101217170008.778|20101217170009.889|CCO|AND, ENTERTAINMENT LEADER AND 
20101217170009.889|20101217170011.000|CCO|AUTHOR MICHAEL EISNER.
20101217170011.000|20101217170012.667|CCO|PLUS, THE RIGHT PRESENT FOR THE 
20101217170012.667|20101217170014.333|CCO|RIGHT GUY ON THE LATEST EDITION 
20101217170014.333|20101217170016.000|CCO|OF "LIVE'S" PERFECT HOLIDAY 
20101217170016.000|20101217170017.667|CCO|GIFT. 
20101217170017.667|20101217170019.333|CCO|ALL NEXT ON "LIVE."
20101217170019.333|20101217170031.000|CCO|[CAPTIONING MADE POSSIBLE BY  
20101217170031.000|20101217170033.500|CCO|DISNEY-ABC DOMESTIC TELEVISION] 
20101217170033.500|20101217170036.000|CCO|ANNOUNCER: NOW HERE ARE REGIS 
20101217170036.000|20101217170038.500|CCO|PHILBIN AND KELLY RIPA! 
20101217170038.500|20101217170041.000|CCO|[CHEERS AND APPLAUSE] 
20101217170041.000|20101217170044.333|CCO|REGIS: THANK YOU! 
20101217170044.333|20101217170047.667|CCO|THANK YOU VERY MUCH.
20101217170047.667|20101217170051.000|CCO|[CHEERS AND APPLAUSE] 
20101217170051.000|20101217170052.250|CCO|IT'S FRIDAY, DECEMBER 17, 2010. 
20101217170052.250|20101217170053.500|CCO|KELLY: YES, IT IS.
20101217170053.500|20101217170054.750|CCO|[LAUGHTER]
20101217170054.750|20101217170056.000|CCO|REGIS: THE END OF THE WEEK. 
20101217170056.000|20101217170057.250|CCO|KELLY: I SWEAR I STILL WRITE  
20101217170057.250|20101217170058.500|CCO|1986 ON MY CHECKS.
20101217170058.500|20101217170059.750|CCO|REGIS: OH YEAH, YOU'RE  
20101217170059.750|20101217170101.000|CCO|ABSOLUTELY RIGHT. 
20101217170101.000|20101217170103.000|CCO|KELLY: WHEN WILL I GET OVER IT? 
20101217170103.000|20101217170105.000|CCO|REGIS: IT'S GOING TO BE 2011. 
20101217170105.000|20101217170107.000|CCO|KELLY: UNBELIEVABLE.
20101217170107.000|20101217170109.000|CCO|REGIS: AND THE PERSON OF THE  
20101217170109.000|20101217170111.000|CCO|YEAR, DID YOU SEE THIS? 
20101217170111.000|20101217170113.500|CCO|MARK ZUCKERBERG, NICE BOOK, THE 
20101217170113.500|20101217170116.000|CCO|GUY WHO CHANGED THE LANDSCAPE OF
20101217170116.000|20101217170118.500|CCO|THE WORLD.
20101217170118.500|20101217170121.000|CCO|KELLY: THIS PHOTOGRAPH IS 
20101217170121.000|20101217170122.429|CCO|INTRIGUING AND EERIE AT THE SAME
20101217170122.429|20101217170123.857|CCO|TIME. 
20101217170123.857|20101217170125.286|CCO|IT ALMOST DOESN'T LOOK HUMAN. 
20101217170125.286|20101217170126.714|CCO|IT'S A VERY INTERESTING --  
20101217170126.714|20101217170128.143|CCO|REGIS: GREEN EYES.
20101217170128.143|20101217170129.571|CCO|KELLY: A VERY INTERESTING HEAD  
20101217170129.571|20101217170131.000|CCO|SHOT, IF YOU WILL.
20101217170131.000|20101217170132.667|CCO|REGIS: DID YOU SEE "THE SOCIAL  
20101217170132.667|20101217170134.333|CCO|NETWORK"? 
20101217170134.333|20101217170136.000|CCO|KELLY: NOT YET. 
20101217170136.000|20101217170137.667|CCO|REGIS: YOU GOT TO GET OUT THERE.
20101217170137.667|20101217170139.333|CCO|KELLY: I DON'T GO ANYWHERE, YOU 
20101217170139.333|20101217170141.000|CCO|KNOW THIS.
20101217170141.000|20101217170143.000|CCO|IT'S ALL VERY SAD.
20101217170143.000|20101217170145.000|CCO|REGIS: HERE'S SOMETHING, SINCE  
20101217170145.000|20101217170147.000|CCO|YOU'RE A MOTHER OF THREE. 
20101217170147.000|20101217170149.000|CCO|THIS IS GOING TO HAPPEN TO YOU. 
20101217170149.000|20101217170151.000|CCO|YEARS AGO, IF YOU BROUGHT HOME A
20101217170151.000|20101217170152.667|CCO|GIRLFRIEND, AND SHE WAS TO STAY 
20101217170152.667|20101217170154.333|CCO|OVERNIGHT, YOUR PARENTS WOULD 
20101217170154.333|20101217170156.000|CCO|INSIST THAT YOU HAVE SEPARATE 
20101217170156.000|20101217170157.667|CCO|BEDROOMS. 
20101217170157.667|20101217170159.333|CCO|NOT ANYMORE.
20101217170159.333|20101217170201.000|CCO|THAT'S ALL OVER WITH. 
20101217170201.000|20101217170203.000|CCO|THE NEW POLL HAS FOUND THAT 70% 
20101217170203.000|20101217170205.000|CCO|OF PEOPLE IN THE U.S. DON'T CARE
