TOP|20101218030001|2010-12-18_0300_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|e8109d12-0a52-11e0-9de2-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.01.html
HED|Congress Failing 9/11 First-Responders?; American Aid Worker Jailed in Haiti; Interview With New York Congressman Anthony Weiner; Hero Security Guard Speaks Out; American Held in Haitian Prison; Husband Who
LAN|ENG
LBT|2010-12-17 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:16:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101218030009.000|20101218030016.714|SEG|Type=Story
20101218030009.000|20101218030011.000|CCO|>> Larry: SUSAN BOYLE, WITH OH, 
20101218030011.000|20101218030012.429|CCO|HOLY NIGHT FROM HER NEW ALBUM, 
20101218030012.429|20101218030013.857|CCO|"THE GIFT."
20101218030013.857|20101218030015.286|CCO|TIME NOW FOR ANDERSON COOPER AND
20101218030015.286|20101218030016.714|CCO|"AC 360."
20101218030016.714|20101218030103.000|SEG|Type=Story
20101218030016.714|20101218030018.143|CCO|>>> EVENING, EVERYONE.
20101218030018.143|20101218030019.571|CCO|THANKS FOR WATCHING TONIGHT, FOR
20101218030019.571|20101218030021.000|CCO|YEARS LAWMAKERS HAVE BEEN 
20101218030021.000|20101218030022.250|CCO|PRAISING, POSING WITH AND IN 
20101218030022.250|20101218030023.500|CCO|SOME CASES PROFITING FROM THE 
20101218030023.500|20101218030024.750|CCO|HEROES OF 9/11.
20101218030024.750|20101218030026.000|CCO|THE FIRST RESPONDERS WHO RISKED 
20101218030026.000|20101218030027.250|CCO|THEIR LIVES AND IN TOO MANY 
20101218030027.250|20101218030028.500|CCO|CASES PAID WITH THEIR LIVES AND 
20101218030028.500|20101218030029.750|CCO|THEIR HEALTH.
20101218030029.750|20101218030031.000|CCO|SO WHY NOW ARE LAWMAKERS SO SLOW
20101218030031.000|20101218030032.667|CCO|TO RESPOND TO THEIR MEDICAL 
20101218030032.667|20101218030034.333|CCO|NEEDS? 
20101218030034.333|20101218030036.000|CCO|KEEPING THEM HONEST TONIGHT, 
20101218030036.000|20101218030037.667|CCO|WE'RE GOING TO SHOW YOU WHICH 
20101218030037.667|20101218030039.333|CCO|LAWMAKERS ARE PLAYING POLITICS 
20101218030039.333|20101218030041.000|CCO|WITH 9/11 FIRST RESPONDERS, 
20101218030041.000|20101218030042.667|CCO|LAWMAKERS WHO ONCE SAID THE 
20101218030042.667|20101218030044.333|CCO|ISSUE WAS BEYOND PARTISANSHIP.
20101218030044.333|20101218030046.000|CCO|AND AN AMERICAN AID WORKER 
20101218030046.000|20101218030047.667|CCO|THROWN IN JAIL IN PRISON, ONE OF
20101218030047.667|20101218030049.333|CCO|THE WORST YOU CAN IMAGINE.
20101218030049.333|20101218030051.000|CCO|THE ALLEGATIONS, GET THIS, HE 
20101218030051.000|20101218030052.250|CCO|KIDNAPPED A 15-MONTH-OLD CHILD 
20101218030052.250|20101218030053.500|CCO|AFTER TURNING THE BOY INTO A 
20101218030053.500|20101218030054.750|CCO|ZOMBIE.
20101218030054.750|20101218030056.000|CCO|THAT'S WHAT THE FATHER OF THE 
20101218030056.000|20101218030057.250|CCO|CHILD SAYS, BUT HE AND THE 
20101218030057.250|20101218030058.500|CCO|MEDICAL TEAM THAT WORKED TO SAVE
20101218030058.500|20101218030059.750|CCO|THIS CHILD'S LIFE SAY THE LITTLE
20101218030059.750|20101218030101.000|CCO|BOY DIED AND THEY HAVE A DEATH 
20101218030101.000|20101218030103.000|CCO|CERTIFICATE TO PROVE IT.
20101218030103.000|20101218030403.000|SEG|Type=Story
20101218030103.000|20101218030105.000|CCO|>>> AND LATER IS IT AMERICA'S 
20101218030105.000|20101218030107.000|CCO|GOT TALENT OR MURDERER'S GOT 
20101218030107.000|20101218030109.000|CCO|GALL? 
20101218030109.000|20101218030111.000|CCO|A PERSON OF INTEREST IN HIS 
20101218030111.000|20101218030113.000|CCO|WIFE'S DEATH AND WHY SOME PEOPLE
20101218030113.000|20101218030115.000|CCO|ARE SUSPICIOUS IS HE LEARNED HIS
20101218030115.000|20101218030117.000|CCO|WIFE IS DEAD AND THEN TURNED 
20101218030117.000|20101218030119.000|CCO|AROUND AND AUDITIONED FOR 
20101218030119.000|20101218030121.000|CCO|"AMERICA'S GOT TALENT."
20101218030121.000|20101218030123.000|CCO|WE BEGIN AS ALWAYS, KEEPING THEM
20101218030123.000|20101218030125.000|CCO|HONEST, ON AN ISSUE WE NEVER 
20101218030125.000|20101218030127.000|CCO|THOUGHT WE'D HAVE TO KEEP ANYONE
20101218030127.000|20101218030129.000|CCO|HONEST ABOUT, CARING FOR 9/11 
20101218030129.000|20101218030131.000|CCO|FIRST RESPONDERS.
20101218030131.000|20101218030132.667|CCO|SEEMS LIKE IF ANYTHING COULD GET
20101218030132.667|20101218030134.333|CCO|UNIVERSAL BIPARTISAN SUPPORT IT 
20101218030134.333|20101218030136.000|CCO|WOULD BE MEETING THE MEDICAL 
20101218030136.000|20101218030137.667|CCO|NEEDS OF THOSE WHO RISKED THEIR 
20101218030137.667|20101218030139.333|CCO|OWN LIVES AND HEALTH ON 
20101218030139.333|20101218030141.000|CCO|SEPTEMBER 11th, 2001 AND IN THE 
20101218030141.000|20101218030142.667|CCO|DAYS AND WEEKS AND MONTHS 
20101218030142.667|20101218030144.333|CCO|AFTERWARD.
20101218030144.333|20101218030146.000|CCO|IF THEY NEED HELP FOR MEDICAL 
20101218030146.000|20101218030147.667|CCO|PROBLEM THAT'S RESULTS FROM THE 
20101218030147.667|20101218030149.333|CCO|TOXIC GROUND ZERO, WHO COULD 
20101218030149.333|20101218030151.000|CCO|POSSIBLY SAY NO TO THEM? 
20101218030151.000|20101218030154.333|CCO|WHO COULD HAVE SAID NO TO RENEE 
20101218030154.333|20101218030157.667|CCO|DONE BAR WHO INHALED TOXIC 
20101218030157.667|20101218030201.000|CCO|MATERIALS AND DIED FROM IT? 
20101218030201.000|20101218030203.000|CCO|WHO COULD HAVE SAID NO TO DANIEL
20101218030203.000|20101218030205.000|CCO|CONROY WHO ALSO INHALED TOXIC 
20101218030205.000|20101218030207.000|CCO|FUMES AT THE WORLD CENTER SITE 
20101218030207.000|20101218030209.000|CCO|AND DIED IN 2006 AT 46 YEARS 
20101218030209.000|20101218030211.000|CCO|OLD.
20101218030211.000|20101218030213.500|CCO|AND WHO COULD HAVE SAID NO TO 
20101218030213.500|20101218030216.000|CCO|JAMES ZIDROGA, A NEW YORK CITY 
20101218030216.000|20101218030218.500|CCO|POLICE DETECTIVE WHO DEVELOPED 
20101218030218.500|20101218030221.000|CCO|RESPIRATORY PROBLEMS EXPOSED TO 
20101218030221.000|20101218030222.250|CCO|TOXIC FUMES AND DUST AT GROUND 
20101218030222.250|20101218030223.500|CCO|ZERO.
20101218030223.500|20101218030224.750|CCO|HE DIED IN JANUARY 2006 AND HE 
20101218030224.750|20101218030226.000|CCO|WAS JUST 34 YEARS OLD.
20101218030226.000|20101218030227.250|CCO|THE HEALTH BILL IS NAMED AFTER 
20101218030227.250|20101218030228.500|CCO|HIM.
20101218030228.500|20101218030229.750|CCO|FOR YEARS THESE MEN AND WOMEN 
20101218030229.750|20101218030231.000|CCO|WHO WENT ABOVE AND BEYOND THE 
20101218030231.000|20101218030232.667|CCO|CALL AND DUTY THAT DAY AND IN 
20101218030232.667|20101218030234.333|CCO|THE MANY DARK DAYS AFTERWARD FOR
20101218030234.333|20101218030236.000|CCO|YEARS THEY HAVE BEEN PRAISED BY 
