TOP|20101218033002|2010-12-18_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|19727c1e-0a57-11e0-80a6-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 19:30 America/Los_Angeles
SEG_01|2014-06-18 18:16:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101218033006.444|20101218034402.000|SEG|Type=Story
20101218033006.444|20101218033007.556|CCO|USCh.ristine,
20101218033007.556|20101218033008.667|CCO|MY TRIP TO KENYA.
20101218033008.667|20101218033009.778|CCO|ARE THEY HELPING TO END THE 
20101218033009.778|20101218033010.889|CCO|MADNESS?
20101218033010.889|20101218033012.000|CCO|>>  THIS IS THE OPENING THING.
20101218033012.000|20101218033014.500|CCO|>> YES.
20101218033014.500|20101218033017.000|CCO|>>  OPRAH IN FIJI.
20101218033017.000|20101218033019.500|CCO|IS IT A ROMANTIC GETAWAY.
20101218033019.500|20101218033022.000|CCO|WHERE ARE THE KARDASHIANS 
20101218033022.000|20101218033024.500|CCO|CREATING INTERNATIONAL CHAOS?
20101218033024.500|20101218033027.000|CCO|>>  WAS THIS VIDEO BANNED?
20101218033027.000|20101218033029.500|CCO|I'M TONY POTTS.
20101218033029.500|20101218033032.000|CCO|PLUS ANNE HATHAWAY WITH THIS 
20101218033032.000|20101218033034.500|CCO|SCHOOL.
20101218033034.500|20101218033037.000|CCO|WHAT A NIGHT FOR LARRY KING.
20101218033037.000|20101218033039.500|CCO|SO LONG, INSTEAD OF GOOD-BYE.
20101218033039.500|20101218033042.000|CCO|INSTEAD OF GETTING A FOREVER 
20101218033042.000|20101218033044.000|CCO|FAREWELL, HE ENDED HIS LAST 
20101218033044.000|20101218033046.000|CCO|BROAD KAGS WITH AN EMOTIONAL AND
20101218033046.000|20101218033048.000|CCO|SIMPLE SO LONG.
20101218033048.000|20101218033050.000|CCO|WE BEGIN WITH LARRY THE DAY 
20101218033050.000|20101218033052.000|CCO|AFTER WHOSE RIDE KEEPS GOING.
20101218033052.000|20101218033054.000|CCO|>>  I'M A YOUNG 77.
20101218033054.000|20101218033056.000|CCO|I'LL CERTAINLY MISS CNN.
20101218033056.000|20101218033058.000|CCO|I MEAN, YOU CAN'T NOT MISS 
20101218033058.000|20101218033100.000|CCO|SOMETHING THAT YOU'VE BEEN 
20101218033100.000|20101218033102.000|CCO|MARRIED TO FOR 25 YEARS.
20101218033102.000|20101218033103.667|CCO|> LARRY SPENT THIS MORNING AT 
20101218033103.667|20101218033105.333|CCO|L.A.'S CITY HALL WHERE IN HIS 
20101218033105.333|20101218033107.000|CCO|HONOR THEY DECLARED TODAY LARRY 
20101218033107.000|20101218033108.667|CCO|KING DAY.
20101218033108.667|20101218033110.333|CCO|>> MY KIDS DIDN'T WANT TO GO TO 
20101218033110.333|20101218033112.000|CCO|SCHOOL.
20101218033112.000|20101218033114.500|CCO|WHY DO WE HAVE TO GO TO SCHOOL?
20101218033114.500|20101218033117.000|CCO|>>  LARRY DROPPED OFF HIS SONS 
20101218033117.000|20101218033119.500|CCO|CHANCE, 11 AND CANNON 10 AT 
20101218033119.500|20101218033122.000|CCO|SCHOOL, CANNON ON THE HEELS OF 
20101218033122.000|20101218033125.333|CCO|HIS LAST SHOW.
20101218033125.333|20101218033128.667|CCO|>>  CANNON DOES ME.
20101218033128.667|20101218033132.000|CCO|DO ME.
20101218033132.000|20101218033134.500|CCO|>>  IN THE CAR.
20101218033134.500|20101218033137.000|CCO|I'M TOO OLD FOR THIS.
20101218033137.000|20101218033139.500|CCO|I'VE DONE THIS FOR 50 YEARS.
20101218033139.500|20101218033142.000|CCO|>>  SO ON A SCALE OF 1 TO 10, WE
20101218033142.000|20101218033143.667|CCO|ASKED LARRY HOW HIS SON RATED.
20101218033143.667|20101218033145.333|CCO|>> 10.
20101218033145.333|20101218033147.000|CCO|>> SAME CAN BE SAID FOR LARRY'S 
20101218033147.000|20101218033148.667|CCO|FINAL SHOW WHERE HE MADE HIS 
20101218033148.667|20101218033150.333|CCO|FINAL EXIT.
20101218033150.333|20101218033152.000|CCO|HE HAD PARTYING ON HIS MIND.
20101218033152.000|20101218033153.667|CCO|>> LAST SHOW WAS GREAT.
20101218033153.667|20101218033155.333|CCO|LARRY.
20101218033155.333|20101218033157.000|CCO|THANK YOU, LARRY.
20101218033157.000|20101218033158.667|CCO|>> LARRY'S WIFE SHAUN WITH SONS
20101218033158.667|20101218033200.333|CCO|CHANCE AND CANNON WATCHED THE 
20101218033200.333|20101218033202.000|CCO|EMOTIONAL FINALE FROM BACKSTAGE.
20101218033202.000|20101218033203.667|CCO|>>  I NEVER THOUGHT IT WOULD 
20101218033203.667|20101218033205.333|CCO|EVER LAST THIS LONG.
20101218033205.333|20101218033207.000|CCO|OR COME TO THIS.
20101218033207.000|20101218033208.667|CCO|>>  I GOT TO TELL YOU, I WAS -- 
20101218033208.667|20101218033210.333|CCO|WHEN THEY CLEARED THE STUDIO AT 
20101218033210.333|20101218033212.000|CCO|THE END AND JUST SOME OF HIS 
20101218033212.000|20101218033214.500|CCO|CAREER AND I STAYED IN THERE AND
20101218033214.500|20101218033217.000|CCO|WATCHED.
20101218033217.000|20101218033219.500|CCO|>> I DON'T KNOW WHAT TO SAY 
20101218033219.500|20101218033222.000|CCO|EXCEPT TO YOU, MY AUDIENCE.
20101218033222.000|20101218033224.000|CCO|THANK YOU.
20101218033224.000|20101218033226.000|CCO|INSTEAD OF GOOD-BYE, HOW ABOUT 
20101218033226.000|20101218033228.000|CCO|SO LONG?
20101218033228.000|20101218033230.000|CCO|>>  SPOTLIGHT ON HIS MICROPHONE.
20101218033230.000|20101218033232.000|CCO|PEOPLE WERE IN TEARS, IT WAS 
20101218033232.000|20101218033233.429|CCO|REALLY TOUCHING AND REALLY 
20101218033233.429|20101218033234.857|CCO|EMOTIONAL.
20101218033234.857|20101218033236.286|CCO|>>  THE PRESIDENT HAS SOMETHING 
20101218033236.286|20101218033237.714|CCO|FOR YOU, A SPECIAL MESSAGE.
20101218033237.714|20101218033239.143|CCO|>>  YOU'RE KIDDING.
20101218033239.143|20101218033240.571|CCO|>> I'M NOT.
20101218033240.571|20101218033242.000|CCO|TAKE A LOOK.
20101218033242.000|20101218033243.667|CCO|>>  I WANT TO JOIN ALL OF YOU IN
20101218033243.667|20101218033245.333|CCO|CONGRATULATING LARRY KING.
20101218033245.333|20101218033247.000|CCO|>> JUST ONE OF THE MANY 
20101218033247.000|20101218033248.667|CCO|SURPRISES ON THE NIGHT.
20101218033248.667|20101218033250.333|CCO|PRESIDENT OBAMA, BILL CLINTON 
20101218033250.333|20101218033252.000|CCO|ALSO MADE AN APPEARANCE.
20101218033252.000|20101218033254.500|CCO|SO DID LARRY'S TWIN, A.K.A.SNL'S
20101218033254.500|20101218033257.000|CCO|FRED ARMISTEN.
20101218033257.000|20101218033259.500|CCO|>>  THANK, BILL.
20101218033259.500|20101218033302.000|CCO|I'VE DONE 10,000 INTERVIEWS --
