TOP|20101218060001|2010-12-18_0600_US_KNBC_Dateline_NBC
COL|Communication Studies Archive, UCLA 
UID|0d4bc1ec-0a6c-11e0-99fc-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-17 22:00 America/Los_Angeles
SEG_01|2014-06-18 18:16:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101218060006.714|20101218061411.000|SEG|Type=Story
20101218060006.714|20101218060008.143|CCO|TOOK JURORS ONLY FIVE HOURS TO 
20101218060008.143|20101218060009.571|CCO|DELIBERATE.
20101218060009.571|20101218060011.000|CCO|IN THE END, THE EVIDENCE SHOWED 
20101218060011.000|20101218060012.667|CCO|THEM, MITCHELL HAD CAREFULLY 
20101218060012.667|20101218060014.333|CCO|PLANNED AND EXECUTED ELIZABETH'S
20101218060014.333|20101218060016.000|CCO|KIDNAPPING.
20101218060016.000|20101218060017.667|CCO|IN OTHER WORDS, MITCHELL WAS 
20101218060017.667|20101218060019.333|CCO|SANE AND THEREFORE GUILTY OF THE
20101218060019.333|20101218060021.000|CCO|CRIME.
20101218060021.000|20101218060022.667|CCO|HE NOW FACES UP TO LIFE IN 
20101218060022.667|20101218060024.333|CCO|PRISON WHEN HE IS SENTENCED.
20101218060024.333|20101218060026.000|CCO|>> I WOULD LIKE TO SAY THANK 
20101218060026.000|20101218060027.667|CCO|YOU -- 
20101218060027.667|20101218060029.333|CCO|>> AFTERWARDS, ELIZABETH SMART 
20101218060029.333|20101218060031.000|CCO|BEAMED ON THE COURTHOUSE STEPS.
20101218060031.000|20101218060032.250|CCO|>> STAY A WONDERFUL DAY AND I AM
20101218060032.250|20101218060033.500|CCO|SO THRILLED TO BE HERE.
20101218060033.500|20101218060034.750|CCO|I AM SO THRILLED WITH THE 
20101218060034.750|20101218060036.000|CCO|VERDICT.
20101218060036.000|20101218060037.250|CCO|BUT NOT ONLY THAT, I AM SO 
20101218060037.250|20101218060038.500|CCO|THRILLED TO STAND BEFORE THE 
20101218060038.500|20101218060039.750|CCO|PEOPLE OF AMERICA TODAY AND GIVE
20101218060039.750|20101218060041.000|CCO|HOPE TO OTHER VICTIMS WHO HAVE 
20101218060041.000|20101218060042.250|CCO|NOT SPOKEN OUT ABOUT THEIR 
20101218060042.250|20101218060043.500|CCO|CRIMES.
20101218060043.500|20101218060044.750|CCO|ABOUT WHAT HAS HAPPENED TO THEM.
20101218060044.750|20101218060046.000|CCO|>> CHRISTMAS REALLY DID COME 
20101218060046.000|20101218060047.250|CCO|EARLY IN THE SMART HOUSEHOLD, 
20101218060047.250|20101218060048.500|CCO|DIDN'T IT?
20101218060048.500|20101218060049.750|CCO|>> CHRISTMAS DID COME EARLY.
20101218060049.750|20101218060051.000|CCO|>> ELIZABETH'S FATHER ED SAID 
20101218060051.000|20101218060053.000|CCO|THE VERDICT WASN'T JUST A RELIEF
20101218060053.000|20101218060055.000|CCO|FOR ELIZABETH.
20101218060055.000|20101218060057.000|CCO|IT ALSO INSPIRED HER.
20101218060057.000|20101218060059.000|CCO|>> SHE IS LOOKING AT A CAREER IN
20101218060059.000|20101218060101.000|CCO|LAW, PERHAPS?
20101218060101.000|20101218060103.000|CCO|>> SHE WAS SO IMPRESSED BY THE 
20101218060103.000|20101218060105.000|CCO|PROSECUTORS.
20101218060105.000|20101218060107.000|CCO|I KNOW THAT SHE HAS THOUGHT 
20101218060107.000|20101218060109.000|CCO|ABOUT WHAT SHE COULD DO TO HELP 
20101218060109.000|20101218060111.000|CCO|OTHERS.
20101218060111.000|20101218060113.000|CCO|AND CERTAINLY, SEEING WHAT 
20101218060113.000|20101218060115.000|CCO|HAPPENED THERE IN COURT HAD A 
20101218060115.000|20101218060117.000|CCO|HUGE IMPRESSION ON HER.
20101218060117.000|20101218060119.000|CCO|>> BEFORE THEN, ELIZABETH HAS TO
20101218060119.000|20101218060121.000|CCO|COMPLETE HER WORK AS A MORMON 
20101218060121.000|20101218060122.667|CCO|MISSIONARY IN FRANCE.
20101218060122.667|20101218060124.333|CCO|AND FINISH HER UNDERGRADUATE 
20101218060124.333|20101218060126.000|CCO|STUDIES.
20101218060126.000|20101218060127.667|CCO|AT LEAST ED SMART SAYS, HIS 
20101218060127.667|20101218060129.333|CCO|DAUGHTER IS FINALLY FREED FROM 
20101218060129.333|20101218060131.000|CCO|HER PAST.
20101218060131.000|20101218060133.000|CCO|HE SAYS THE VERDICT WAS 
20101218060133.000|20101218060135.000|CCO|REMINISCENT OF THE DAY NOT LONG 
20101218060135.000|20101218060137.000|CCO|AFTER HER RESCUE WHEN SHE TOOK 
20101218060137.000|20101218060139.000|CCO|HER PARENTS INTO THE HILLS 
20101218060139.000|20101218060141.000|CCO|BEHIND THEIR HOME, TO THE PLACE 
20101218060141.000|20101218060143.500|CCO|WHERE MITCHELL HAD HEALTH HER.
20101218060143.500|20101218060146.000|CCO|>> AND LOIS SAID TO HER, HOW DO 
20101218060146.000|20101218060148.500|CCO|YOU FEEL?
20101218060148.500|20101218060151.000|CCO|AND SHE SAID, I FEEL TRIUMPHANT.
20101218060151.000|20101218060152.667|CCO|I'M NO LONGER THE CAPTIVE HERE.
20101218060152.667|20101218060154.333|CCO|AND SHE IS NO LONGER A CAPTIVE 
20101218060154.333|20101218060156.000|CCO|IN ANY WAY, SHAPE OR FORM, TO 
20101218060156.000|20101218060157.667|CCO|BRIAN MITCHELL.
20101218060157.667|20101218060159.333|CCO|>> TRIUMPHANT.
20101218060159.333|20101218060201.000|CCO|A WORD THAT SEEMS TO SUIT 
20101218060201.000|20101218060203.000|CCO|ELIZABETH SMART QUITE WELL THESE
20101218060203.000|20101218060205.000|CCO|DAYS.
20101218060205.000|20101218060207.000|CCO|>> ED AND LOIS SMART HAVE BECOME
20101218060207.000|20101218060209.000|CCO|ADVOCATES FOR PARENTS WHOSE 
20101218060209.000|20101218060211.000|CCO|CHILDREN ARE MISSING.
20101218060211.000|20101218060212.667|CCO|TO LEARN MORE ABOUT THEIR 
20101218060212.667|20101218060214.333|CCO|EFFORTS, YOU CAN GO TO 
20101218060214.333|20101218060216.000|CCO|DATELINE.MSNBC.COM.
20101218060216.000|20101218060217.667|CCO|NOW THE STORY OF ANOTHER FAMILY 
20101218060217.667|20101218060219.333|CCO|SEEKING JUSTICE BUT THEY ARE 
20101218060219.333|20101218060221.000|CCO|STILL WAITING.
20101218060221.000|20101218060222.429|CCO|HERE'S CHRIS HANSEN.
20101218060222.429|20101218060223.857|CCO|>> THANKS.
20101218060223.857|20101218060225.286|CCO|THIS CASE CENTERS ON AN AMERICAN
20101218060225.286|20101218060226.714|CCO|ENTREPRENEUR WITH A LOVE FOR 
20101218060226.714|20101218060228.143|CCO|ADVENTURE WHO BECAME THE TARGET 
20101218060228.143|20101218060229.571|CCO|OF A STRANGE PLOT HALF A WORLD 
20101218060229.571|20101218060231.000|CCO|AWAY.
20101218060231.000|20101218060234.333|CCO|IT IS A CRIME THAT INVESTIGATORS
20101218060234.333|20101218060237.667|CCO|BELIEVE THEY'VE SOLVED.
20101218060237.667|20101218060241.000|CCO|SO WHY ARE THE SUSPECTS STILL 
20101218060241.000|20101218060244.333|CCO|WALKING FREE?
20101218060244.333|20101218060247.667|CCO|WE TRAVELED THE GLOBE FOR 
20101218060247.667|20101218060251.000|CCO|ANSWERS.
20101218060251.000|20101218060253.500|CCO|IT TAKES 20 HOURS OR MORE HIGH 
20101218060253.500|20101218060256.000|CCO|ABOVE THE CLOUDS.
20101218060256.000|20101218060258.500|CCO|A FLIGHT FROM ONE WORLD TO 
20101218060258.500|20101218060301.000|CCO|ANOTHER.
20101218060301.000|20101218060304.333|CCO|TO A LAND OF INTRIGUE AND 
20101218060304.333|20101218060307.667|CCO|MYSTERY.
20101218060307.667|20101218060311.000|CCO|WHERE SOMETIMES, THERE ARE MORE 
20101218060311.000|20101218060313.500|CCO|QUESTIONS THAN ANSWERS.
20101218060313.500|20101218060316.000|CCO|AND WHERE AN AMERICAN FAMILY 
20101218060316.000|20101218060318.500|CCO|SAYS SOMEONE HAS GOTTEN AWAY 
20101218060318.500|20101218060321.000|CCO|WITH THE PERFECT CRIME.
20101218060321.000|20101218060324.333|CCO|>> WHEN I WAS FIRST TOLD BY THE 
20101218060324.333|20101218060327.667|CCO|FBI AGENT, I REMEMBER I WAS SO 
20101218060327.667|20101218060331.000|CCO|UPSET.
20101218060331.000|20101218060334.333|CCO|I WAS ACTUALLY SICK.
20101218060334.333|20101218060337.667|CCO|>> A BEAUTIFUL WOMAN AND HER 
20101218060337.667|20101218060341.000|CCO|DASHING FIANCE.
20101218060341.000|20101218060344.333|CCO|BOTH IN THE PRIME OF LIFE.
20101218060344.333|20101218060347.667|CCO|THEN IN A HOUSE ON A QUIET ROAD 
20101218060347.667|20101218060351.000|CCO|IN THAILAND, IT ALL ENDED IN A 
20101218060351.000|20101218060354.333|CCO|HAIL OF BULLETS.
20101218060354.333|20101218060357.667|CCO|TONIGHT, A STORY OF TANGLED 
20101218060357.667|20101218060401.000|CCO|ROMANCE, JEALOUSY, AND DEATH IN 
20101218060401.000|20101218060402.429|CCO|ONE OF THE WORLD'S MOST EXOTIC 
20101218060402.429|20101218060403.857|CCO|LOCALES.
20101218060403.857|20101218060405.286|CCO|A MYSTERY TO SOME, BUT TO 
20101218060405.286|20101218060406.714|CCO|AMERICAN AND THAI LAW 
20101218060406.714|20101218060408.143|CCO|ENFORCEMENT AUTHORITIES, A CASE 
20101218060408.143|20101218060409.571|CCO|OF TWISTS AND TURNS THAT PERHAPS
20101218060409.571|20101218060411.000|CCO|HAVE ALLOWED PEOPLE TO GET AWAY 
