TOP|20101219150002|2010-12-19_1500_US_KCBS_CBS_News_Sunday_Morning
COL|Communication Studies Archive, UCLA 
UID|a7d797ee-0b80-11e0-bea2-00e0815ffae2
DUR|0:59:28.96
VID|640x368
CMT|Part 1 of 2
LAN|ENG
LBT|2010-12-19 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:17:19|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101219150010.000|20101219155930.000|SEG|Type=Story
20101219150010.000|20101219150035.333|SEG_01|Type=Commercial
20101219150010.000|20101219150012.000|CCO|        ENJOY MORE.
20101219150012.000|20101219150015.333|CCO|Captioning made possible
20101219150015.333|20101219150018.667|CCO|by Johnson & Johnson,
20101219150018.667|20101219150022.000|CCO|where quality products for
20101219150022.000|20101219150032.000|CCO|the American family have been
20101219150032.000|20101219150035.333|CCO|a tradition for generations
20101219150035.333|20101219150038.667|SEG_01|Type=Story start
20101219150035.333|20101219150038.667|CCO|>> Osgood: GOOD MORNING.
20101219150038.667|20101219150042.000|CCO|I'M CHARLES OSGOOD.
20101219150042.000|20101219150043.667|CCO|THIS IS SUNDAY MORNING.
20101219150043.667|20101219150045.333|CCO|SIX DAYS TO GO UNTIL CHRISTMAS
20101219150045.333|20101219150047.000|CCO|MORNING WHEN MILLIONS OF US
20101219150047.000|20101219150048.667|CCO|FACE THE PLEASANT DILEMMA OF
20101219150048.667|20101219150050.333|CCO|WHICH ONE OF THOSE GIFTS UNDER
20101219150050.333|20101219150052.000|CCO|THE TREE TO UNWRAP FIRST.
20101219150052.000|20101219150053.429|CCO|A WRAPPING IS TO A PRESENT
20101219150053.429|20101219150054.857|CCO|WHAT THE COVER IS TO A BOOK.
20101219150054.857|20101219150056.286|CCO|THEY SAY YOU CAN'T TELL A BOOK
20101219150056.286|20101219150057.714|CCO|BY ITS COVER.
20101219150057.714|20101219150059.143|CCO|BUT IN THE PUBLISHING WORLD
20101219150059.143|20101219150100.571|CCO|THEY KNOW THE COVER IS PRETTY
20101219150100.571|20101219150102.000|CCO|IMPORTANT AS ERIN MORIARTY
20101219150102.000|20101219150104.000|CCO|WILL REPORT IN OUR COVER
20101219150104.000|20101219150106.000|CCO|STORY.
20101219150106.000|20101219150108.000|CCO|
20101219150108.000|20101219150110.000|CCO|>> Reporter: IT MAY BE JUST A
20101219150110.000|20101219150112.000|CCO|COVER TO YOU, BUT TO A BOOK
20101219150112.000|20101219150113.667|CCO|PUBLISHER IT'S A VITAL SALES
20101219150113.667|20101219150115.333|CCO|TOOL.
20101219150115.333|20101219150117.000|CCO|DUST JACKETS CAN BE AS
20101219150117.000|20101219150118.667|CCO|MEMORABLE AS THE BOOKS THEY
20101219150118.667|20101219150120.333|CCO|WRAP AROUND.
20101219150120.333|20101219150122.000|CCO|IN A FEW CASES, MORE VALUABLE.
20101219150122.000|20101219150123.667|CCO|A FIRST EDITION OF THE GREAT
20101219150123.667|20101219150125.333|CCO|GATSBY WITHOUT A DUST JACKET
20101219150125.333|20101219150127.000|CCO|CAN GO FOR $10,000.
20101219150127.000|20101219150128.667|CCO|WITH ONE?
20101219150128.667|20101219150130.333|CCO|>> EVEN IF IT'S RATHER
20101219150130.333|20101219150132.000|CCO|TATTERED YOU'RE LOOKING AT
20101219150132.000|20101219150133.667|CCO|PROBABLY $80,000 AND UP.
20101219150133.667|20101219150135.333|CCO|>> Reporter: THE ART OF THE
20101219150135.333|20101219150137.000|CCO|BOOK COVER.
20101219150137.000|20101219150138.667|CCO|LATER ON SUNDAY MORNING.
20101219150138.667|20101219150140.333|CCO|>> Osgood: BATTER-UP IS A
20101219150140.333|20101219150142.000|CCO|PHRASE YOU MIGHT NOT ASSOCIATE
20101219150142.000|20101219150143.667|CCO|WITH THE CHRISTMAS SEASON BUT
20101219150143.667|20101219150145.333|CCO|IN THIS HOT STOVE LEAGUE WE'RE
20101219150145.333|20101219150147.000|CCO|NOT TALKING BASEBALL.
20101219150147.000|20101219150148.667|CCO|MARTHA TEICHNER IS TALKING
20101219150148.667|20101219150150.333|CCO|COOKIES.
20101219150150.333|20101219150152.000|CCO|>> Reporter: HERE'S A RIDDLE.
20101219150152.000|20101219150155.000|CCO|WHEN IS A COOKIE A JEWEL?
20101219150155.000|20101219150158.000|CCO|DO YOU RECOGNIZE IT IN THERE
20101219150158.000|20101219150201.000|CCO|WITH ALL THE FANCY KRYSTALS?
20101219150201.000|20101219150202.667|CCO|THIS SUNDAY MORNING, NOT YOUR
20101219150202.667|20101219150204.333|CCO|AVERAGE COOKIE CUTTER COOKIE
20101219150204.333|20101219150206.000|CCO|STORY.
20101219150206.000|20101219150207.667|CCO|>> SHINY JEWEL-LIKE
20101219150207.667|20101219150209.333|CCO|APPEARANCE.
20101219150209.333|20101219150211.000|CCO|>> Osgood: MATT DAMON PLAYS
20101219150211.000|20101219150212.429|CCO|VERY CONVINCING ROLES BOTH ON
20101219150212.429|20101219150213.857|CCO|SCREEN AND OFF.
20101219150213.857|20101219150215.286|CCO|THIS MORNING, HE CONVINCES OUR
20101219150215.286|20101219150216.714|CCO|HARRY SMITH.
20101219150216.714|20101219150218.143|CCO|>> Reporter: HE IS ONE OF
20101219150218.143|20101219150219.571|CCO|HOLLYWOOD'S TOP GROSSING
20101219150219.571|20101219150221.000|CCO|STARS.
20101219150221.000|20101219150222.667|CCO|A FIRST CHOICE FOR THE BEST
20101219150222.667|20101219150224.333|CCO|DIRECTORS IN THE BUSINESS.
20101219150224.333|20101219150226.000|CCO|JUST DON'T TELL MATT DAMON.
20101219150226.000|20101219150227.667|CCO|ARE YOU UNCOMFORTABLE BEING A
20101219150227.667|20101219150229.333|CCO|LEADING MAN?
20101219150229.333|20101219150231.000|CCO|>> THERE ARE PEOPLE WHO ARE SO
20101219150231.000|20101219150233.000|CCO|WATCHABLE, YOU KNOW, THAT YOU
20101219150233.000|20101219150235.000|CCO|JUST CAN'T TAKE YOUR EYES OFF
20101219150235.000|20101219150237.000|CCO|THEM WHEN THEY'RE ON SCREEN.
20101219150237.000|20101219150239.000|CCO|I FEEL LIKE THAT'S NOT ME.
20101219150239.000|20101219150241.000|CCO|>> Reporter: A WALK IN THE
20101219150241.000|20101219150242.429|CCO|PARK WITH MATT DAMON LATER ON
20101219150242.429|20101219150243.857|CCO|SUNDAY MORNING.
20101219150243.857|20101219150245.286|CCO|>> Osgood: 'TIS THE SEASON FOR
20101219150245.286|20101219150246.714|CCO|ALL SORTS OF CHRISTMAS
20101219150246.714|20101219150248.143|CCO|TRADITIONS.
20101219150248.143|20101219150249.571|CCO|NOT ALL OF WHICH TURN OUT TO
20101219150249.571|20101219150251.000|CCO|BE QUITE AS PLANNED.
20101219150251.000|20101219150252.667|CCO|OUR BILL GEIST WILL BE
20101219150252.667|20101219150254.333|CCO|OFFERING A FEW EXAMPLES.
20101219150254.333|20101219150256.000|CCO|>> NICE SMILES.
20101219150256.000|20101219150257.667|CCO|>> Reporter: 'TIS THE SEASON
20101219150257.667|20101219150259.333|CCO|ONCE AGAIN TO SNAP THAT FAMILY
20101219150259.333|20101219150301.000|CCO|CHRISTMAS CARD PHOTO.
20101219150301.000|20101219150303.500|CCO|WHICH IS NEVER EASY.
20101219150303.500|20101219150306.000|CCO|AND OFTEN DOWNRIGHT AWKWARD.
20101219150306.000|20101219150308.500|CCO|THIS YEAR THERE'S A POPULAR
20101219150308.500|20101219150311.000|CCO|WEBSITE AWKWARD FAMILY PHOTOS
20101219150311.000|20101219150312.667|CCO|WHERE YOU CAN SHARE YOUR
20101219150312.667|20101219150314.333|CCO|DISCOMFORT.
20101219150314.333|20101219150316.000|CCO|>> WE LOVE THE PHOTOS WHERE
20101219150316.000|20101219150317.667|CCO|PEOPLE DRESS UP AS PRESENTS.
20101219150317.667|20101219150319.333|CCO|>> Reporter: WE'LL SHOW YOU A
20101219150319.333|20101219150321.000|CCO|REALLY AWKWARD TIME LATER ON
