TOP|20101219163002|2010-12-19_1630_US_KCBS_Face_the_Nation
COL|Communication Studies Archive, UCLA 
UID|3a963a48-0b8d-11e0-ad93-00e0815fe725
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-19 08:30 America/Los_Angeles
SEG_01|2014-06-18 18:17:28|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101219163010.000|20101219165956.000|SEG|Type=Story
20101219163010.000|20101219163012.000|CCO|CBS
20101219163012.000|20101219163014.500|CCO|>> Schieffer: TODAY ON "FACE THE
20101219163014.500|20101219163017.000|CCO|NATION," THE LAME DUCK WALKS.
20101219163017.000|20101219163019.500|CCO|CONGRESS PASSES A MAJOR TAX CUT
20101219163019.500|20101219163022.000|CCO|AND REPEALS DON'T ASK DON'T TELL
20101219163022.000|20101219163023.667|CCO|FOR THE MILITARY.
20101219163023.667|20101219163025.333|CCO|BUT WHAT ABOUT THE START TREATY,
20101219163025.333|20101219163027.000|CCO|AND WHERE DO WE GO FROM HERE IN
20101219163027.000|20101219163028.667|CCO|AFGHANISTAN?
20101219163028.667|20101219163030.333|CCO|WE'VE BEEN IN AFGHANISTAN NINE
20101219163030.333|20101219163032.000|CCO|YEARS NOW.
20101219163032.000|20101219163033.429|CCO|IS THERE ANY END IN SIGHT?
20101219163033.429|20101219163034.857|CCO|AND THEN, THERE'S THE NUCLEAR
20101219163034.857|20101219163036.286|CCO|START TREATY.
20101219163036.286|20101219163037.714|CCO|EVERY LIVING FORMER SECRETARY OF
20101219163037.714|20101219163039.143|CCO|STATE FAVORS IT.
20101219163039.143|20101219163040.571|CCO|SO WHAT'S THE HOLD-UP?
20101219163040.571|20101219163042.000|CCO|WE'LL TALK TO THE CHAIRMAN OF
20101219163042.000|20101219163043.667|CCO|THE SENATE ARMED SERVICE
20101219163043.667|20101219163045.333|CCO|COMMITTEE CARL LEVIN AND KEY
20101219163045.333|20101219163047.000|CCO|REPUBLICAN SENATOR LINDSEY
20101219163047.000|20101219163048.667|CCO|GRAHAM.
20101219163048.667|20101219163050.333|CCO|THEN, WE'LL BRING IN REPUBLICAN
20101219163050.333|20101219163052.000|CCO|SENATOR JEFF SESSIONS AND
20101219163052.000|20101219163053.667|CCO|DEMOCRATIC SENATOR AMY KLOBUCHAR
20101219163053.667|20101219163055.333|CCO|FOR A ROUND TABLE ON WHAT TO
20101219163055.333|20101219163057.000|CCO|EXPECT FROM THE NEW CONGRESS.
20101219163057.000|20101219163058.667|CCO|I'LL HAVE A FINAL WORD ON THE
20101219163058.667|20101219163100.333|CCO|HOLIDAYS AND WHY THEY SEEM TO
20101219163100.333|20101219163102.000|CCO|GET HERE FASTER AND FASTER.
20101219163102.000|20101219163105.333|CCO|BUT FIRST, CONGRESS AND HOW IT
20101219163105.333|20101219163108.667|CCO|FINALLY DID SOMETHING ON "FACE
20101219163108.667|20101219163112.000|CCO|THE NATION."
20101219163112.000|20101219163114.000|CCO|Captioning sponsored by CBS
20101219163114.000|20101219163116.000|CCO|"FACE THE NATION" WITH CBS NEWS
20101219163116.000|20101219163118.000|CCO|CHIEF WASHINGTON CORRESPONDENT
20101219163118.000|20101219163120.000|CCO|BOB SCHIEFFER.
20101219163120.000|20101219163122.000|CCO|AND NOW FROM WASHINGTON,
20101219163122.000|20101219163123.250|CCO|BOB SCHIEFFER.
20101219163123.250|20101219163124.500|CCO|>> Schieffer: GOOD MORNING
20101219163124.500|20101219163125.750|CCO|AGAIN.
20101219163125.750|20101219163127.000|CCO|WE START WITH SENATOR LEVIN AND
