TOP|20101220170002|2010-12-20_1700_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|95f92710-0c5a-11e0-a09f-00e0815fe86a
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-20 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:18:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101220170022.000|20101220170102.000|SEG|Type=Story
20101220170022.000|20101220170024.000|CCO|>>> WE'RE BACK NOW WITH MORE OF 
20101220170024.000|20101220170026.000|CCO|"TODAY" ON A MONDAY MORNING, THE
20101220170026.000|20101220170028.000|CCO|20th DAY OF DECEMBER, 2010.
20101220170028.000|20101220170030.000|CCO|BEAUTIFUL SUNNY SKIES HERE IN 
20101220170030.000|20101220170032.000|CCO|NEW YORK.
20101220170032.000|20101220170035.333|CCO|IT'S 26 DEGREES AND WINDY, 
20101220170035.333|20101220170038.667|CCO|WINDCHILL PROBABLY 17 DEGREES.
20101220170038.667|20101220170042.000|CCO|OUT O THE PLAZA, I'M MATT LAUER
20101220170042.000|20101220170052.000|CCO|ALONG WITH ERIN BURNETT.
20101220170052.000|20101220170053.429|CCO|ON A DAY LIKE TODAY,
20101220170053.429|20101220170054.857|CCO|WEAR OPEN TOWED SHOES BECAUSE 
20101220170054.857|20101220170056.286|CCO|THAT'S WHAT'S GOING TO KEEP YOU 
20101220170056.286|20101220170057.714|CCO|WARM.
20101220170057.714|20101220170059.143|CCO|>> I MADE A WARDROBE, I HAD A 
20101220170059.143|20101220170100.571|CCO|WARDROBE FALL LUNGS.
20101220170100.571|20101220170102.000|CCO| -- MALFUNCTION.
20101220170102.000|20101220170122.000|SEG|Type=Story
20101220170102.000|20101220170104.000|CCO|>>> COMING UP IN THIS HALF HOUR,
20101220170104.000|20101220170106.000|CCO|AMANDA KNOX, SHE'S BEEN 
20101220170106.000|20101220170108.000|CCO|CONVICTED OF MURDER IN ITALY.
20101220170108.000|20101220170110.000|CCO|SHE'S IN THE APPEALS PROCESS 
20101220170110.000|20101220170112.000|CCO|RIGHT NOW.
20101220170112.000|20101220170114.500|CCO|NOW AN ITALIAN JUDGE HAS AGREED 
20101220170114.500|20101220170117.000|CCO|TO ALLOW AN INDEPENDENT REVIEW 
20101220170117.000|20101220170119.500|CCO|OF DNA EVIDENCE
20101220170119.500|20101220170122.000|CCO|IT'S A MAJOR VICTORY FOR
20101220170122.000|20101220170135.333|SEG|Type=Story
20101220170122.000|20101220170123.429|CCO|>>> ALSO HOLIDAY TIME IS A 
20101220170123.429|20101220170124.857|CCO|JOYOUS TIME.
20101220170124.857|20101220170126.286|CCO|DID YOU ALSO KNOW IT'S ONE OF 
20101220170126.286|20101220170127.714|CCO|THE MORE DANGEROUS TIMES OF THE 
20101220170127.714|20101220170129.143|CCO|YEAR?
20101220170129.143|20101220170130.571|CCO|A LOT OF REASONS FOR THAT.
20101220170130.571|20101220170132.000|CCO|WE'RE GOING TO SHOW YOU HOW TO 
20101220170132.000|20101220170133.667|CCO|GET YOUR FAMILY THROUGH THE 
20101220170133.667|20101220170135.333|CCO|HOLIDAYS AS SAFE AS POSSIBLE.
20101220170135.333|20101220170155.333|SEG|Type=Story
