TOP|20101221030001|2010-12-21_0300_US_KCBS_Entertainment_Tonight
COL|Communication Studies Archive, UCLA 
UID|890e6fa8-0cb2-11e0-8dab-001517add6f2
DUR|0:29:29.10
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-20 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:19:37|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101221030002.000|20101221030002.000|XDS|%  NETWORK: CBS 
20101221030003.000|20101221030003.000|XDS|%    TITLE: Gossip Girl
20101221030003.000|20101221030003.000|XDS|%   RATING: (NOT RATED) (72)
20101221030003.000|20101221030003.000|XDS|%     CALL: CWD 
20101221030003.000|20101221030003.000|XDS|% TIMECODE: 12/20 21:00
20101221030004.000|20101221030004.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20101221030004.000|20101221030722.000|SEG|Type=Story
20101221030004.000|20101221030008.000|CC1|>> I LOOK IN THE MIRROR TODAY.  
20101221030008.000|20101221030008.000|CC1|I DON'T REALLY KNOW WHO I SEE.  
20101221030008.000|20101221030010.000|CC1|>> HEIDI MONTAG'S PLASTIC       
20101221030010.000|20101221030011.000|CC1|SURGERY ONE YEAR LATER.         
20101221030011.000|20101221030012.000|CC1|>> SOMETIMES I WAKE UP AT NIGHT 
20101221030012.000|20101221030016.000|CC1|AND HAVE CHEST PAINS.           
20101221030016.000|20101221030016.000|CC1|>> THE SCAR, THE FEAR, THE      
20101221030016.000|20101221030017.000|CC1|REGRET.                         
20101221030017.000|20101221030019.000|CC1|>> IS THIS THE NEW "FRIENDS."   
20101221030019.000|20101221030023.000|CC1|>> HE'S A FROG?                 
20101221030023.000|20101221030026.000|CC1|DRAWING FROG IS PART OF THE     
20101221030026.000|20101221030027.000|CC1|NAME, YOU CAN'T SAY THAT BUT    
20101221030027.000|20101221030027.000|CC1|THAT'S OKAY.                    
20101221030027.000|20101221030028.000|CC1|>> AND ANGELINA AND JOHNNY'S NEW
20101221030028.000|20101221030029.000|CC1|"TOURIST" OUTTAKE.              
20101221030029.000|20101221030029.000|CC1|>> I DID NOT LAUGH FOR THE      
20101221030029.000|20101221030031.000|CC1|RECORD.                         
20101221030031.000|20101221030032.000|CC1|>> NOW THE LATEST CELEBRITY     
20101221030032.000|20101221030035.000|CC1|HEADLINES FROM AROUND THE WORLD.
20101221030035.000|20101221030036.000|CC1|>> HELLO, EVERYONE, WELCOME TO  
20101221030036.000|20101221030038.000|CC1|"ENTERTAINMENT TONIGHT."        
20101221030038.000|20101221030039.000|CC1|FOR MARY HART, I'M SAMANTHA     
20101221030039.000|20101221030040.000|CC1|HARRIS.                         
20101221030040.000|20101221030041.000|CC1|FOR MARK STEINES I'M KEVIN      
20101221030041.000|20101221030044.000|CC1|FRAZIER.                        
20101221030044.000|20101221030045.000|CC1|>> THE ROYAL COUPLE AND THE     
20101221030045.000|20101221030045.000|CC1|WOMAN WHO ALLEGEDLY CAME BETWEEN
20101221030045.000|20101221030047.000|CC1|THEM.                           
20101221030047.000|20101221030049.000|CC1|THE NEW PHOTOS OF WILLIAM AND   
20101221030049.000|20101221030051.000|CC1|KATE AT THEIR FIRST PUBLIC EVENT
20101221030051.000|20101221030056.000|CC1|AS THE NEW BOOK DETAILS THE     
20101221030056.000|20101221030057.000|CC1|2007 SPLIT AND HIS RUMORED      
20101221030057.000|20101221030058.000|CC1|AFFAIR WITH A BRIT PITCH        
20101221030058.000|20101221030100.000|CC1|SOCIALITE.                      
20101221030100.000|20101221030102.000|CC1|>> THE NEWLYWEDS TO BE WERE ALL 
20101221030102.000|20101221030104.000|CC1|SMILES IN NORFOLK, ENGLAND AT A 
20101221030104.000|20101221030105.000|CC1|CANCER BENEFIT BUT THE ENGAGED  
20101221030105.000|20101221030107.000|CC1|COUPLE HAD TO OVERCOME A ROCKY  
20101221030107.000|20101221030109.000|CC1|ROAD TO THE ROYAL ALTAR.        
20101221030109.000|20101221030110.000|CC1|IN 2007 WILLIAM SUDDENLY BROKE  
20101221030110.000|20101221030112.000|CC1|UP WITH KATE.                   
20101221030112.000|20101221030114.000|CC1|>> PRECISELY THE TIME SHE       
20101221030114.000|20101221030115.000|CC1|EXPECTED WILLIAM TO PROPOSE TO  
20101221030115.000|20101221030115.000|CC1|HER IS WHEN HE BROKE UP WITH    
20101221030115.000|20101221030119.000|CC1|HER.                            
20101221030119.000|20101221030120.000|CC1|THAT CAME AT A PARTICULARLY     
20101221030120.000|20101221030121.000|CC1|SENSITIVE TIME.                 
20101221030121.000|20101221030124.000|CC1|WILLIAM GRADUATED FROM THE      
20101221030124.000|20101221030125.000|CC1|MILITARY ACADEMY, WENT INTO THE 
20101221030125.000|20101221030126.000|CC1|ARMY AND ALL OF A SUDDEN KATE   
20101221030126.000|20101221030128.000|CC1|WAS LEFT TO FEND FOR HERSELF    
20101221030128.000|20101221030130.000|CC1|WITH THE PAPARAZZI IN LONDON.   
20101221030130.000|20101221030132.000|CC1|>> IN THE NEW BOOK "WILLIAM AND 
20101221030132.000|20101221030136.000|CC1|KATE A ROYAL LOVE STORY."       
20101221030136.000|20101221030137.000|CC1|IN STORES TOMORROW.             
20101221030137.000|20101221030138.000|CC1|BEST SELLING AUTHOR SAID WILLIAM
20101221030138.000|20101221030139.000|CC1|SPLIT WITH KATE OVER A CELL     
20101221030139.000|20101221030140.000|CC1|PHONE.                          
20101221030140.000|20101221030141.000|CC1|>> SHE WAS AT WORK WHEN SHE GOT 
20101221030141.000|20101221030143.000|CC1|THE CALL.                       
20101221030143.000|20101221030143.000|CC1|BASICALLY SAID, LOOK, THIS WAS  
