TOP|20101221040001|2010-12-21_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|197bcffc-0cbf-11e0-ad86-001517add6f2
DUR|0:59:28.63
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-20 20:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:44|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101221040003.000|20101221040003.000|XDS|%     CALL:   
20101221040003.000|20101221040003.000|XDS|%   RATING: (NOT RATED) (72)
20101221040003.000|20101221040003.000|XDS|%  NETWORK:   
20101221040004.000|20101221040004.000|XDS|%    TITLE: Dr. Phil          Show 9056
20101221040013.000|20101221045929.000|SEG|Type=Story
20101221040013.000|20101221040016.000|CC1|>> "KCAL 9 NEWS", WE ARE ON     
20101221040016.000|20101221040017.000|CC1|"STORM WATCH".                  
20101221040017.000|20101221040019.000|CC1|A FLASH FLOOD WARNING FOR       
20101221040019.000|20101221040020.000|CC1|MANY COMMUNITIES IS IN          
20101221040020.000|20101221040020.000|CC1|EFFECT.                         
20101221040020.000|20101221040022.000|CC1|SYLVIA: ALSO, HOLDING OUT       
20101221040022.000|20101221040023.000|CC1|HOPE THAT THE HILLSIDES WILL    
20101221040023.000|20101221040024.000|CC1|HOLD.                           
20101221040024.000|20101221040027.000|CC1|RESIDENTS OF THE FOOTHILLS      
20101221040027.000|20101221040029.000|CC1|ARE PRAYING FOR THE BEST.       
20101221040029.000|20101221040030.000|CC1|>> PLUS THE RAIN IS MAKING      
20101221040030.000|20101221040032.000|CC1|IT MISERABLE TO BE OUTDOORS     
20101221040032.000|20101221040035.000|CC1|SO WHY DID IT TAKE THE STATE    
20101221040035.000|20101221040037.000|CC1|SO LONG TO OPEN SHELTERS FOR    
20101221040037.000|20101221040038.000|CC1|THE HOMELESS?                   
20101221040038.000|20101221040038.000|CC1|>>.                             
20101221040038.000|20101221040042.000|CC1|>> WELL, THE SOUTHLAND IS       
20101221040042.000|20101221040044.000|CC1|GETTING PUMMELLED, HEAVY        
20101221040044.000|20101221040047.000|CC1|RAIN IS WREAKING HAVOC          
20101221040047.000|20101221040050.000|CC1|ACROSS SEVERAL COUNTIES,        
20101221040050.000|20101221040051.000|CC1|MUDSLIDES REPORTED IN           
20101221040051.000|20101221040052.000|CC1|COMMUNITIES LIKE FOREST         
20101221040052.000|20101221040053.000|CC1|FORECAST AND SAN BERNARDINO     
20101221040053.000|20101221040055.000|CC1|COUNTY AND A LOT MORE IS ON     
20101221040055.000|20101221040058.000|CC1|THE WAY.                        
20101221040058.000|20101221040100.000|CC1|>> YOU WERE JUST TALKING        
20101221040100.000|20101221040103.000|CC1|ABOUT FOREST FALLS, AROUND      
20101221040103.000|20101221040104.000|CC1|FOREST FALLS WE HAVE MUD        
20101221040104.000|20101221040106.000|CC1|FLOWS AND WATER PILING UP TO    
20101221040106.000|20101221040108.000|CC1|EIGHT FEET REPORTED IN SOME     
20101221040108.000|20101221040110.000|CC1|SPOTS THAT DOESN'T MEAN WE      
20101221040110.000|20101221040111.000|CC1|GOT EIGHT FEET OF RAIN BUT      
20101221040111.000|20101221040112.000|CC1|WE ARE LOOKING ATWATER          
20101221040112.000|20101221040115.000|CC1|PILING UP AT FOREST FALLS.      
20101221040115.000|20101221040116.000|CC1|THAT'S CERTAINLY SOMETHING      
