TOP|20101221170001|2010-12-21_1700_US_KABC_Live_With_Regis_and_Kelly
COL|Communication Studies Archive, UCLA 
UID|10ec0308-0d2c-11e0-aa4d-001517add720
DUR|0:59:29.49
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-21 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:20:19|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101221170002.000|20101221175930.000|SEG|Type=Story
20101221170002.000|20101221170002.000|CC1|                                
20101221170004.000|20101221170004.000|XDS|%   RATING: (NOT RATED) (72)
20101221170004.000|20101221170004.000|XDS|%    TITLE: Live with Regis and Kelly
20101221170002.000|20101221170005.000|CC1|TODAY, YOU'RE ALL INVITED TO    
20101221170005.000|20101221170006.000|CC1|"LIVE'S" "HOLIDAY SKATING PARTY"
20101221170006.000|20101221170008.000|CC1|WITH SOME VERY SPECIAL GUESTS   
20101221170008.000|20101221170011.000|CC1|WHERE YOU CAN ALMOST HEAR THOSE 
20101221170011.000|20101221170024.000|CC1|SLEIGH BELLS RING.              
20101221170024.000|20101221170026.000|CC1|[CHEERS AND APPLAUSE]           
20101221170026.000|20101221170028.000|CC1|ANNOUNCER: SHE'S ONE OF         
20101221170028.000|20101221170030.000|CC1|HOLLYWOOD'S LEADING LADIES.     
20101221170030.000|20101221170030.000|CC1|BETTE MIDLER JOINS IN ON THE    
20101221170030.000|20101221170031.000|CC1|FUN.                            
20101221170031.000|20101221170033.000|CC1|AND SINGING SENSATION KATHARINE 
20101221170033.000|20101221170035.000|CC1|MCPHEE PERFORMS HER FAVORITE    
20101221170035.000|20101221170037.000|CC1|HOLIDAY SONG.                   
20101221170037.000|20101221170039.000|CC1|PLUS, THE TOYS ARE BACK IN TOWN.
20101221170039.000|20101221170041.000|CC1|YOU WON'T WANT TO MISS DISNEY ON
20101221170041.000|20101221170043.000|CC1|ICE, "TOY STORY 3" COME ALIVE.  
20101221170043.000|20101221170046.000|CC1|AND WE'LL EARHART WARMING       
20101221170046.000|20101221170048.000|CC1|HOLIDAY MESSAGES FROM OUR       
20101221170048.000|20101221170049.000|CC1|MILITARY MEN AND WOMEN.         
20101221170049.000|20101221170053.000|CC1|AND 'TIS THE SEASON AS WE GATHER
20101221170053.000|20101221170055.000|CC1|AROUND SINGING CHRISTMAS        
20101221170055.000|20101221170056.000|CC1|CLASSICS WITH THE JOLLY MAN IN  
20101221170056.000|20101221170057.000|CC1|RED.                            
20101221170057.000|20101221170059.000|CC1|ALL NEXT ON "LIVE" AS WE SKATE  
20101221170059.000|20101221170102.000|CC1|IN THIS HOLIDAY SEASON.         
20101221170102.000|20101221170103.000|CC1|NOW, HERE ARE REGIS PHILBIN AND 
20101221170103.000|20101221170104.000|CC1|KELLY RIPA!                     
20101221170104.000|20101221170118.000|CC1|[CHEERS AND APPLAUSE]           
20101221170118.000|20101221170120.000|CC1|REGIS: THANK YOU.               
20101221170120.000|20101221170121.000|CC1|THANK YOU VERY MUCH.            
20101221170121.000|20101221170123.000|CC1|HI, EVERYBODY.                  
20101221170123.000|20101221170127.000|CC1|IT'S TUESDAY, DECEMBER 21, 2010.
20101221170127.000|20101221170130.000|CC1|WELCOME TO OUR "HOLIDAY SKATING 
20101221170130.000|20101221170136.000|CC1|PARTY" WITH THE SPECTACULAR     
20101221170136.000|20101221170138.000|CC1|PERFORMANCE WITH DISNEY ON ICE. 
20101221170138.000|20101221170140.000|CC1|KELLY: WE APOLOGIZE TO ANY OF   
20101221170140.000|20101221170145.000|CC1|THE SNOWETTES WHO MAY HAVE A    
20101221170145.000|20101221170149.000|CC1|HERNIA PUSHING US WITH THE      
20101221170149.000|20101221170149.000|CC1|SLEIGH.                         
20101221170149.000|20101221170151.000|CC1|REGIS: THIS IS OUR ANNUAL       
20101221170151.000|20101221170152.000|CC1|CHRISTMAS SNOW.                 
20101221170152.000|20101221170155.000|CC1|KELLY: YES, IT CERTAINLY IS.    
20101221170155.000|20101221170156.000|CC1|REGIS: SPECTACULAR ICE FOG.     
20101221170156.000|20101221170158.000|CC1|KELLY: I DON'T THINK WE'VE DONE 
20101221170158.000|20101221170201.000|CC1|THIS BEFORE WHERE THE ENTIRE    
20101221170201.000|20101221170202.000|CC1|FLOOR HAS MADE OF ICE.          
20101221170202.000|20101221170203.000|CC1|REGIS: WE'RE GROWING EACH       
20101221170203.000|20101221170204.000|CC1|CHRISTMAS.                      
20101221170204.000|20101221170205.000|CC1|AND I'VE GOT A LITTLE SURPRISE  
20101221170205.000|20101221170206.000|CC1|FOR YOU.                        
20101221170206.000|20101221170206.000|CC1|KELLY: SURPRISE FOR THE         
20101221170206.000|20101221170207.000|CC1|REGIS: YEAH.                    
20101221170207.000|20101221170209.000|CC1|WE RECEIVED A SPECIAL HOLIDAY   
20101221170209.000|20101221170211.000|CC1|MESSAGE FROM YOUR FAMILY.       
20101221170211.000|20101221170212.000|CC1|KELLY: MY FAMILY!               
20101221170212.000|20101221170214.000|CC1|REGIS: TAKE A LOOK.             
20101221170214.000|20101221170218.000|CC1|>> HAPPY HOLIDAYS TO "REGIS AND 
20101221170218.000|20101221170219.000|CC1|KELLY."                         
20101221170219.000|20101221170219.000|CC1|[LAUGHTER]                      
20101221170219.000|20101221170220.000|CC1|>> I LOVE YOU, MOM.             
20101221170220.000|20101221170221.000|CC1|>> LOVE YOU, MOM.               
20101221170221.000|20101221170223.000|CC1|>> MERRY CHRISTMAS.             
20101221170223.000|20101221170226.000|CC1|>> I WISH YOU -- I COULD JUST   
20101221170226.000|20101221170229.000|CC1|HAVE HUE MUNGOUS LIPS AND KISS  
20101221170229.000|20101221170229.000|CC1|YOU.                            
20101221170229.000|20101221170230.000|CC1|>> AWWW.                        
20101221170230.000|20101221170234.000|CC1|>> I WANT TO SNUGGLE ON YOU ON  
20101221170234.000|20101221170234.000|CC1|CHRISTMAS EVE.                  
20101221170234.000|20101221170235.000|CC1|>> YAY!                         
20101221170235.000|20101221170237.000|CC1|>> HI, GUYS.                    
20101221170237.000|20101221170237.000|CC1|HAPPY HOLIDAYS, EVERYBODY.      
20101221170237.000|20101221170239.000|CC1|WE LOVE YOU, MOM.               
20101221170239.000|20101221170241.000|CC1|>> WE LOVE YOU.                 
20101221170241.000|20101221170242.000|CC1|>> YEAH.                        
20101221170242.000|20101221170243.000|CC1|[LAUGHTER]                      
20101221170243.000|20101221170244.000|CC1|>> SO.                          
20101221170244.000|20101221170246.000|CC1|HAPPY HOLIDAYS TO EVERYBODY.    
20101221170246.000|20101221170247.000|CC1|WITH "REGIS AND KELLY."         
20101221170247.000|20101221170248.000|CC1|>> ALL RIGHT.                   
20101221170248.000|20101221170249.000|CC1|ENOUGH.                         
20101221170249.000|20101221170250.000|CC1|>> WE LIKE YOUR HAIR, GELMAN.   
20101221170250.000|20101221170252.000|CC1|>> NO, NO, NO.                  
20101221170252.000|20101221170255.000|CC1|>> GEL --                       
20101221170255.000|20101221170256.000|CC1|[APPLAUSE]                      
20101221170256.000|20101221170257.000|CC1|KELLY: AWW, THAT'S --           
20101221170257.000|20101221170259.000|CC1|REGIS: SWEET LITTLE CHILDREN.   
20101221170259.000|20101221170300.000|CC1|KELLY: I THINK I SPEAK FOR ALL  
20101221170300.000|20101221170303.000|CC1|OF US WHEN I SAY WASN'T THAT    
20101221170303.000|20101221170305.000|CC1|HEART WARMING?                  
20101221170305.000|20101221170306.000|CC1|THAT'S FUNNY.                   
20101221170306.000|20101221170307.000|CC1|I THOUGHT I WAS GOING TO        
20101221170307.000|20101221170309.000|CC1|SURPRISE YOU WITH A SURPRISE    
20101221170309.000|20101221170309.000|CC1|MESSAGE FROM YOUR FAMILY.       
20101221170309.000|20101221170312.000|CC1|TAKE A LOOK AT THIS.            
20101221170312.000|20101221170314.000|CC1|>> HO, HO, HO.                  
20101221170314.000|20101221170316.000|CC1|>> HO, HO, HO.                  
20101221170316.000|20101221170318.000|CC1|>> MERRY CHRISTMAS.             
20101221170318.000|20101221170323.000|CC1|TO GRANDPA AND KELLY FROM MR.   
20101221170323.000|20101221170323.000|CC1|TROUBLE.                        
20101221170323.000|20101221170324.000|CC1|>> MR. TROUBLE.                 
20101221170324.000|20101221170325.000|CC1|>> AND IVY.                     
20101221170325.000|20101221170330.000|CC1|>> AND IVY.                     
20101221170330.000|20101221170334.000|CC1|>> YEAH.                        
20101221170334.000|20101221170334.000|CC1|[APPLAUSE]                      
20101221170334.000|20101221170334.000|CC1|.                               
20101221170334.000|20101221170336.000|CC1|REGIS: DID HE SAY I LOVE YOU    
20101221170336.000|20101221170336.000|CC1|MOM?                            
