TOP|20101221230001|2010-12-21_2300_US_MSNBC_The_Ed_Show
COL|Communication Studies Archive, UCLA 
UID|5b2785be-0d5e-11e0-9e6e-001517add6fa
DUR|0:59:29.36
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-21 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:20:34|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101221230007.000|20101221230039.000|SEG|Type=Story
20101221230007.000|20101221230010.000|CC1|>>> GOOD EVENING, AMERICANS, AND
20101221230010.000|20101221230011.000|CC1|WELCOME TO "THE ED SHOW."       
20101221230011.000|20101221230013.000|CC1|TONIGHT, LIVE FROM MINNEAPOLIS, 
20101221230013.000|20101221230018.000|CC1|THESE STORIES ARE HITTING MY HOT
20101221230018.000|20101221230020.000|CC1|BUTTONS AT THIS HOUR.           
20101221230020.000|20101221230022.000|CC1|MITCH McCONNELL SAYS REPUBLICANS
20101221230022.000|20101221230022.000|CC1|WILL WORK WITH PRESIDENT OBAMA  
20101221230022.000|20101221230024.000|CC1|BUT ONLY WHEN THE PRESIDENT DOES
20101221230024.000|20101221230026.000|CC1|EXACTLY WHAT THEY WANT.         
20101221230026.000|20101221230029.000|CC1|SO, HOW DOES THAT SQUARE WITH   
20101221230029.000|20101221230031.000|CC1|THIS NO LABELS GROUP IN         
20101221230031.000|20101221230031.000|CC1|WASHINGTON?                     
20101221230031.000|20101221230034.000|CC1|MY COMMENTARY ON THAT.          
20101221230034.000|20101221230035.000|CC1|PLUS REACTION FROM SENATOR      
20101221230035.000|20101221230037.000|CC1|SHERROD BROWN FROM OHIO AND     
20101221230037.000|20101221230038.000|CC1|CONGRESSMAN JOE SESTAK COMING   
20101221230038.000|20101221230039.000|CC1|UP.                             
20101221230039.000|20101221230049.000|SEG|Type=Story
20101221230039.000|20101221230041.000|CC1|>>> THE 9/11 FIRST RESPONDERS   
20101221230041.000|20101221230043.000|CC1|WENT TO WASHINGTON TODAY AND PUT
20101221230043.000|20101221230044.000|CC1|THE HEARTLESS SENATE REPUBLICANS
20101221230044.000|20101221230045.000|CC1|TO SHAME.                       
20101221230045.000|20101221230047.000|CC1|THIS WAS POWERFUL AND EVERYONE  
20101221230047.000|20101221230048.000|CC1|NEEDS TO HEAR IT.               
20101221230048.000|20101221230049.000|CC1|I WILL PLAY IT FOR YOU, COMING  
20101221230049.000|20101221230049.000|CC1|UP.                             
20101221230049.000|20101221230101.000|SEG|Type=Story
20101221230049.000|20101221230051.000|CC1|>>> AND MISSISSIPPI GOVERNOR    
20101221230051.000|20101221230053.000|CC1|HALEY BARBOUR IS TRYING TO WALK 
20101221230053.000|20101221230055.000|CC1|BACK HIS GLOWING REVIEW OF      
20101221230055.000|20101221230056.000|CC1|PRO-SEGREGATION GROUPS IN THE   
20101221230056.000|20101221230057.000|CC1|SOUTH.                          
20101221230057.000|20101221230058.000|CC1|REVEREND AL SHARPTON HAS        
20101221230058.000|20101221230100.000|CC1|SOMETHING TO SAY TO THE GOVERNOR
20101221230100.000|20101221230101.000|CC1|ABOUT THAT AT THE BOTTOM OF THE 
20101221230101.000|20101221230101.000|CC1|HOUR.                           
20101221230101.000|20101221230122.000|SEG|Type=Story
20101221230101.000|20101221230105.000|CC1|>>> AND OUTGOING SENATOR ARLEN  
20101221230105.000|20101221230107.000|CC1|SPECTER, HIS AMAZING CHOP BLOCK 
20101221230107.000|20101221230109.000|CC1|ON SOME OF HIS SENATE           
20101221230109.000|20101221230110.000|CC1|COLLEAGUES.                     
20101221230110.000|20101221230112.000|CC1|THIS IS A SENATOR WHO REALLY IS 
20101221230112.000|20101221230114.000|CC1|CONCERNED ABOUT WHAT HAS        
20101221230114.000|20101221230116.000|CC1|HAPPENED IN THE INSTITUTION OF  
20101221230116.000|20101221230117.000|CC1|THE SENATE THAT HE SO CLEARLY   
20101221230117.000|20101221230117.000|CC1|LOVES.                          
20101221230117.000|20101221230118.000|CC1|SENATOR SPECTER WILL JOIN US IN 
20101221230118.000|20101221230119.000|CC1|THE PLAYBOOK TONIGHT.           
20101221230119.000|20101221230121.000|CC1|JUST WHY DID HE DO THAT ON HIS  
20101221230121.000|20101221230122.000|CC1|LAST DAY IN THE SENATE?         
20101221230122.000|20101221230745.000|SEG|Type=Story
20101221230122.000|20101221230123.000|CC1|>>> AND THIS IS THE STORY THAT  
20101221230123.000|20101221230126.000|CC1|HAS ME FIRED UP TONIGHT, FOLKS. 
20101221230126.000|20101221230127.000|CC1|PRESIDENT OBAMA IS ON THE VERGE 
20101221230127.000|20101221230129.000|CC1|OF ANOTHER MAJOR VICTORY IN THE 
20101221230129.000|20101221230131.000|CC1|WANING DAYS OF THE LAME DUCK    
20101221230131.000|20101221230132.000|CC1|SESSION OF THE CONGRESS.        
20101221230132.000|20101221230133.000|CC1|THE S.T.A.R.T. TREATY WILL GET  
20101221230133.000|20101221230136.000|CC1|AN UP OR DOWN VOTE AS EARLY AS  
