TOP|20101222000001|2010-12-22_0000_US_KNBC_The_Ellen_DeGeneres_Show
COL|Communication Studies Archive, UCLA 
UID|bce40158-0d66-11e0-91ec-001517add6fa
DUR|0:59:29.39
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-21 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:20:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101222000002.000|20101222000002.000|XDS|%   RATING: (NOT RATED) (104)
20101222000008.000|20101222000008.000|XDS|%   RATING: (NOT RATED) (72)
20101222000009.000|20101222000009.000|XDS|%     DESC: I'd Like to Start with the Cat
20101222000010.000|20101222005847.000|SEG|Type=Story
20101222000010.000|20101222000010.000|CC1|ANNOUNCER: TODAY ON "ELLEN" --  
20101222000012.000|20101222000012.000|XDS|%    TITLE: Ellen DeGeneres Show, The
20101222000010.000|20101222000012.000|CC1|ELLEN: I WAS SHOCKED, I HAD NO  
20101222000012.000|20101222000013.000|CC1|IDEA.                           
20101222000013.000|20101222000014.000|CC1|ANNOUNCER: THE ONE INTERVIEW    
20101222000014.000|20101222000016.000|CC1|WITH PORTIA DE ROSSI YOU WON'T  
20101222000016.000|20101222000017.000|CC1|SEE ANYWHERE ELSE.              
20101222000017.000|20101222000020.000|CC1|>> I JUST REMEMBER FEELING      
20101222000020.000|20101222000021.000|CC1|INVEBLE.                        
20101222000021.000|20101222000024.000|CC1|ELLEN: YOU WENT TO 82 POUNDS.   
20101222000024.000|20101222000025.000|CC1|ANNOUNCER: SECRETS ELLEN DIDN'T 
20101222000025.000|20101222000026.000|CC1|EVEN KNOW.                      
20101222000026.000|20101222000028.000|CC1|AND WHAT CHANGED HER LIFE       
20101222000028.000|20101222000028.000|CC1|FOREVER.                        
20101222000028.000|20101222000030.000|CC1|>> I REALIZED THIS IS WHAT I'M  
20101222000030.000|20101222000031.000|CC1|SUPPOSED TO BE.                 
20101222000031.000|20101222000033.000|CC1|ANNOUNCER: PORTIA DE ROSSI'S    
20101222000033.000|20101222000034.000|CC1|MOST INTIMATE INTERVIEW.        
20101222000034.000|20101222000036.000|CC1|>> YOU PROMISED YOU WOULDN'T    
20101222000036.000|20101222000037.000|CC1|MAKE ME CRY.                    
20101222000037.000|20101222000039.000|CC1|ELLEN: I DIDN'T PROMISE YOU     
20101222000039.000|20101222000039.000|CC1|THAT.                           
20101222000039.000|20101222000040.000|CC1|ANNOUNCER: "ELLEN" STARTS RIGHT 
20101222000040.000|20101222000048.000|CC1|NOW.                            
20101222000048.000|20101222000059.000|SEG_01|Type=Commercial
20101222000048.000|20101222000049.000|CC1|[CAPTIONING MADE POSSIBLE BY    
20101222000049.000|20101222000050.000|CC1|WARNER BROS. DOMESTIC TELEVISION
20101222000050.000|20101222000059.000|CC1|DISTRIBUTION]                   
20101222000059.000|20101222000106.000|SEG_01|Type=Story start
20101222000059.000|20101222000106.000|CC1|ANNOUNCER: FROM THE WARNER BROS.
