TOP|20101222040001|2010-12-22_0400_US_MSNBC_Countdown_with_Keith_Olbermann
COL|Communication Studies Archive, UCLA 
UID|443a5d3e-0d88-11e0-940b-001517add720
DUR|0:59:29.46
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-21 20:00 America/Los_Angeles
SEG_01|2014-06-18 18:21:09|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101222040003.000|20101222040028.000|SEG|Type=Story
20101222040003.000|20101222040005.000|CC1|YOU CAN FOLLOW THE SHOW ON OUR  
20101222040005.000|20101222040008.000|CC1|WEB PAGE, LASTWORD.MSNBC.COM.   
20101222040008.000|20101222040028.000|CC1|ONCE                            
20101222040028.000|20101222040033.000|SEG|Type=Story
20101222040028.000|20101222040028.000|CC1|>>> WHICH OF THESE STORIES WILL 
20101222040028.000|20101222040030.000|CC1|YOU BE TALKING ABOUT TOMORROW?  
20101222040030.000|20101222040031.000|CC1|FIRST, DO NO HARM -- UNLESS     
20101222040031.000|20101222040033.000|CC1|YOU'RE A POLITICIAN.            
20101222040033.000|20101222040101.000|SEG|Type=Story
20101222040033.000|20101222040034.000|CC1|>>> THE 9/11 HEALTH BILL GETS   
20101222040034.000|20101222040036.000|CC1|BLOCKED, BY A DOCTOR.           
20101222040036.000|20101222040038.000|CC1|>> I WANT TO SPEND WHATEVER WE  
20101222040038.000|20101222040039.000|CC1|NEED TO SPEND TO TAKE CARE OF   
20101222040039.000|20101222040040.000|CC1|THE PEOPLE WHO SACRIFICED FOR US
20101222040040.000|20101222040042.000|CC1|AND PUT THEMSELVES AT RISK.     
20101222040042.000|20101222040043.000|CC1|THIS BILL HASN'T EVEN BEEN      
20101222040043.000|20101222040045.000|CC1|THROUGH A COMMITTEE.            
20101222040045.000|20101222040046.000|CC1|>> YES, IT HAS.                 
20101222040046.000|20101222040048.000|CC1|THE SENATE HEALTH COMMITTEE.    
20101222040048.000|20101222040049.000|CC1|THE ONE YOU SIT ON.             
20101222040049.000|20101222040050.000|CC1|AND IF YOU THINK HE'S GOT COVER,
20101222040050.000|20101222040052.000|CC1|THINK AGAIN.                    
20101222040052.000|20101222040053.000|CC1|>> THIS SHOULD NOT BE SEEN AS A 
20101222040053.000|20101222040055.000|CC1|DEMOCRATIC OR REPUBLICAN ISSUE. 
20101222040055.000|20101222040055.000|CC1|SHOULDN'T BE SEEN AS A FISCAL   
20101222040055.000|20101222040057.000|CC1|ISSUE.                          
20101222040057.000|20101222040058.000|CC1|THIS IS A MATTER OF MORALITY,   
20101222040058.000|20101222040101.000|CC1|OBLIGATION.                     
20101222040101.000|20101222040228.000|SEG|Type=Story
20101222040101.000|20101222040102.000|CC1|>>> NEXT, THE VOTE AS REPUBLICAN
20101222040102.000|20101222040104.000|CC1|OPPOSITION CRUMBLES.            
20101222040104.000|20101222040106.000|CC1|>> I WILL VOTE TO RATIFY THE NEW
20101222040106.000|20101222040108.000|CC1|START TREATY BETWEEN THE UNITED 
20101222040108.000|20101222040110.000|CC1|STATES AND RUSSIA BECAUSE IT    
20101222040110.000|20101222040112.000|CC1|LEAVES OUR COUNTRY WITH ENOUGH  
20101222040112.000|20101222040113.000|CC1|NUCLEAR WARHEADS TO BLOW ANY    
20101222040113.000|20101222040115.000|CC1|ATTACKER TO KINGDOM COME.       
20101222040115.000|20101222040116.000|CC1|>> Reporter: STILL NOT ENOUGH   
20101222040116.000|20101222040117.000|CC1|FOR SENATORS KYLE AND GRAHAM.   
20101222040117.000|20101222040121.000|CC1|>> ALL OF THE INTERRUPTIONS AND 
20101222040121.000|20101222040124.000|CC1|THE SEASON HAVE RESULTED IN A   
20101222040124.000|20101222040125.000|CC1|SITUATION IN WHICH VERY FEW     
20101222040125.000|20101222040126.000|CC1|MEMBERS ARE PAYING MUCH         
20101222040126.000|20101222040127.000|CC1|ATTENTION.                      
20101222040127.000|20101222040128.000|CC1|VERY FEW ARE ON THE FLOOR REALLY
20101222040128.000|20101222040130.000|CC1|THINKING ABOUT THIS.            
20101222040130.000|20101222040132.000|CC1|>> YOU HAVE HAD IT SINCE APRIL. 
20101222040132.000|20101222040133.000|CC1|IT'S 17 PAGES.                  
20101222040133.000|20101222040134.000|CC1|ALL YOU HAD TO READ WAS 14 WORDS
20101222040134.000|20101222040137.000|CC1|A DAY.                          
20101222040137.000|20101222040138.000|CC1|THE GREAT RECESSION, STARTED BY 
20101222040138.000|20101222040139.000|CC1|WALL STREET AND THE HOUSING     
20101222040139.000|20101222040141.000|CC1|BUBBLE.                         
20101222040141.000|20101222040143.000|CC1|NOW TO BE PAID FOR BY --        
20101222040143.000|20101222040144.000|CC1|TEACHERS AND FIREFIGHTERS.      
20101222040144.000|20101222040145.000|CC1|THIS IS WHAT AUSTERITY LOOKS    
20101222040145.000|20101222040148.000|CC1|LIKE.                           
20101222040148.000|20101222040149.000|CC1|HAYLEY BARBOUR IS SPRINTING AWAY
20101222040149.000|20101222040151.000|CC1|FROM COMMENTS ABOUT A RACIST    
20101222040151.000|20101222040152.000|CC1|GROUP.                          
20101222040152.000|20101222040155.000|CC1|A SUPERHERO FILM UNDER THREAT OF
20101222040155.000|20101222040158.000|CC1|BOYCOTT NOT BECAUSE OF THAT GUY 
20101222040158.000|20101222040204.000|CC1|OR HIM OR HER -- HIM.           
20101222040204.000|20101222040207.000|CC1|>> SHARRON ANGLE YOU ARE A BIG  
20101222040207.000|20101222040208.000|CC1|SPORT FOR JOINING US NEAR.      
20101222040208.000|20101222040209.000|CC1|>> FIRST OF ALL, NEIL, IT'S     
20101222040209.000|20101222040210.000|CC1|GREAT TO BE HERE TO TALK ABOUT  
20101222040210.000|20101222040212.000|CC1|THE CAMPAIGN.                   
20101222040212.000|20101222040213.000|CC1|>> OH, IT HASN'T EVEN BEEN TWO  
20101222040213.000|20101222040214.000|CC1|MONTHS.                         
20101222040214.000|20101222040216.000|CC1|WE MISS YOU.                    
20101222040216.000|20101222040217.000|CC1|ALL THE NEWS AND COMMENTARY NOW 
20101222040217.000|20101222040219.000|CC1|ON "COUNTDOWN."                 
20101222040219.000|20101222040226.000|CC1|>> I AM SO PROUD TO CALL YOU    
20101222040226.000|20101222040228.000|CC1|FRIENDS.                        
20101222040228.000|20101222041050.000|SEG|Type=Story
20101222040228.000|20101222040230.000|CC1|>>> GOOD EVENING FROM NEW YORK. 
20101222040230.000|20101222040230.000|CC1|I'M CHRIS HAYES IN FOR KEITH    
20101222040230.000|20101222040232.000|CC1|OLBERMANN.                      
20101222040232.000|20101222040235.000|CC1|TUESDAY, DECEMBER 21.           
20101222040235.000|20101222040238.000|CC1|686 DAYS UNTIL THE 2012         
20101222040238.000|20101222040239.000|CC1|PRESIDENTIAL ELECTION AND ONE   
20101222040239.000|20101222040242.000|CC1|WEEK AFTER PASSING $800 BILLION 
20101222040242.000|20101222040244.000|CC1|IN TAX CUTS WITHOUT PAYING FOR  
20101222040244.000|20101222040245.000|CC1|IT INCLUDING $70 BILLION OR SO  
20101222040245.000|20101222040253.000|CC1|IN TAX CUTS FOR MILLIONAIRES,   
20101222040253.000|20101222040254.000|CC1|WITHOUT PAYING FOR IT, THE      
20101222040254.000|20101222040255.000|CC1|REPUBLICAN PARTY IS MAKING A    
20101222040255.000|20101222040257.000|CC1|LAST STAND TO KILL A BILL BEFORE
20101222040257.000|20101222040258.000|CC1|THE END OF CONGRESS BECAUSE IT  
20101222040258.000|20101222040259.000|CC1|INCLUDES LESS THAN $7 BILLION   
20101222040259.000|20101222040300.000|CC1|FOR 9/11 RESPONDERS AND PAYS FOR
20101222040300.000|20101222040301.000|CC1|IT.                             
20101222040301.000|20101222040303.000|CC1|SO WHY IS YET ANOTHER REPUBLICAN
20101222040303.000|20101222040304.000|CC1|SENATOR PROMISING TO BLOCK      
20101222040304.000|20101222040305.000|CC1|PASSAGE OF A BILL THAT WOULD    
20101222040305.000|20101222040306.000|CC1|FUND MEDICAL COSTS FOR HEROES OF
20101222040306.000|20101222040308.000|CC1|9/11?                           
20101222040308.000|20101222040311.000|CC1|THE ANSWER IS MONEY.            
20101222040311.000|20101222040312.000|CC1|HOYER SAID TONIGHT DEMOCRATS    
20101222040312.000|20101222040316.000|CC1|EXPECT TO PASS THE FUNDING      
20101222040316.000|20101222040318.000|CC1|CALLED THE 9/11 HEALTH AND      
20101222040318.000|20101222040320.000|CC1|COMPENSATION ACT TOMORROW       
20101222040320.000|20101222040320.000|CC1|THROUGH BOTH CHAMBERS OF        
20101222040320.000|20101222040321.000|CC1|CONGRESS.                       
20101222040321.000|20101222040323.000|CC1|THE HOUSE HAS ALREADY PASSED ONE
20101222040323.000|20101222040324.000|CC1|VERSION WHICH REPUBLICANS KILLED
20101222040324.000|20101222040325.000|CC1|IN THE SENATE.                  
20101222040325.000|20101222040327.000|CC1|NOW IT'S REPUBLICAN SENATOR TOM 
20101222040327.000|20101222040329.000|CC1|COBURN'S TURN.                  
20101222040329.000|20101222040330.000|CC1|HIS AID TOLD THE WALL STREET    
20101222040330.000|20101222040332.000|CC1|JOURNAL HE WANTS THE $6.2       
20101222040332.000|20101222040333.000|CC1|BILLION TO BE PAID FOR WITH     
20101222040333.000|20101222040336.000|CC1|SPENDING CUTS ELSEWHERE.        
20101222040336.000|20101222040337.000|CC1|THIS MORNING HE CLAIMED THE BILL
20101222040337.000|20101222040340.000|CC1|HAS NOT EVEN HAD A HEARING.     
20101222040340.000|20101222040342.000|CC1|>> I WANT TO SPEND WHATEVER WE  
20101222040342.000|20101222040343.000|CC1|NEED TO SPEND TO TAKE CARE OF   
20101222040343.000|20101222040344.000|CC1|THE PEOPLE WHO SACRIFICED FOR US
20101222040344.000|20101222040346.000|CC1|AND PUT THEMSELVES AT RISK.     
20101222040346.000|20101222040347.000|CC1|THIS BILL HASN'T EVEN BEEN      
20101222040347.000|20101222040349.000|CC1|THROUGH A COMMITTEE.            
20101222040349.000|20101222040353.000|CC1|WE HAVEN'T HAD THE DEBATE IN OUR
20101222040353.000|20101222040354.000|CC1|COMMITTEE ON THIS BILL TO KNOW  
20101222040354.000|20101222040356.000|CC1|IF IT IS THE BEST THING TO DO.  
20101222040356.000|20101222040357.000|CC1|WE HAVEN'T HAD THE TESTIMONY TO 
20101222040357.000|20101222040403.000|CC1|KNOW.                           
20101222040403.000|20101222040405.000|CC1|THIS IS A BILL THAT'S BEEN dRAWN
20101222040405.000|20101222040406.000|CC1|UP AND FORCED THROUGH CONGRESS  
20101222040406.000|20101222040407.000|CC1|AT THE END OF THE YEAR ON A     
20101222040407.000|20101222040408.000|CC1|BASIS TO SOLVE A PROBLEM THAT WE
20101222040408.000|20101222040409.000|CC1|DIDN'T HAVE TIME TO SOLVE AND WE
20101222040409.000|20101222040411.000|CC1|DIDN'T GET DONE.                
20101222040411.000|20101222040412.000|CC1|>> THE VIDEO YOU'RE SEEING NOW  
20101222040412.000|20101222040413.000|CC1|IS FROM A CONGRESSIONAL HEARING 
20101222040413.000|20101222040414.000|CC1|THIS JUNE.                      
20101222040414.000|20101222040415.000|CC1|IT'S A HEARING ON THE BILL.     
20101222040415.000|20101222040417.000|CC1|HEARING HELD BY THE HEALTH,     
20101222040417.000|20101222040418.000|CC1|EDUCATION, LABOR AND PENSIONS   
20101222040418.000|20101222040419.000|CC1|COMMITTEE OF WHICH SENATOR      
20101222040419.000|20101222040421.000|CC1|COBURN IS A MEMBER.             
20101222040421.000|20101222040421.000|CC1|SENATOR COBURN CHOSE NOT TO     
20101222040421.000|20101222040423.000|CC1|ATTEND.                         
20101222040423.000|20101222040425.000|CC1|SO WHERE WOULD COBURN GET THE   
20101222040425.000|20101222040426.000|CC1|IDEA CONGRESS HELD NO HEARINGS  
20101222040426.000|20101222040427.000|CC1|ON THIS?                        
20101222040427.000|20101222040429.000|CC1|TURNS OUT THE WAY THE BILL WAS  
20101222040429.000|20101222040431.000|CC1|GOING TO BE PAID FOR WAS BY     
20101222040431.000|20101222040432.000|CC1|CLOSING A TAX LOOPHOLE ON       
20101222040432.000|20101222040433.000|CC1|FOREIGN BUSINESSES OPERATING IN 
20101222040433.000|20101222040434.000|CC1|THE U.S.                        
20101222040434.000|20101222040436.000|CC1|THE ORGANIZATION FOR            
20101222040436.000|20101222040436.000|CC1|INTERNATIONAL INVESTMENT DOESN'T
20101222040436.000|20101222040438.000|CC1|LIKE THAT.                      
20101222040438.000|20101222040441.000|CC1|AND FEDERAL DISCLOSURE FORMS    
20101222040441.000|20101222040443.000|CC1|REVEAL THE OFII LOBBIED CONGRESS
20101222040443.000|20101222040445.000|CC1|ON THE ISSUE, WRITING IN        
20101222040445.000|20101222040446.000|CC1|OPPOSITION THIS JULY, ONE MONTH 
20101222040446.000|20101222040447.000|CC1|AFTER THE HEARING COBURN        
20101222040447.000|20101222040450.000|CC1|SKIPPED.                        
20101222040450.000|20101222040451.000|CC1|QUOTE, CONGRESS HAS NOT HELD ANY
20101222040451.000|20101222040453.000|CC1|HEARINGS TO EXAMINE THIS ISSUE. 
20101222040453.000|20101222040454.000|CC1|THE U.S. CHAMBER OF COMMERCE    
20101222040454.000|20101222040456.000|CC1|LOBBIED AGAINST IT, TOO, AND    
20101222040456.000|20101222040458.000|CC1|STILL IS EVEN THOUGH DEMOCRATS  
20101222040458.000|20101222040500.000|CC1|SWITCHED CLOSING THE TAX        
20101222040500.000|20101222040501.000|CC1|LOOPHOLE FOR A TAX ON PRODUCTS  
20101222040501.000|20101222040503.000|CC1|MADE IN COMPANIES THAT GET U.S. 
20101222040503.000|20101222040504.000|CC1|CONTRACTS OUTSIDE STANDARD      
20101222040504.000|20101222040506.000|CC1|INTERNATIONAL TRADE DEALS.      
20101222040506.000|20101222040508.000|CC1|THE CHAMBER WRITING IN ITS      
20101222040508.000|20101222040510.000|CC1|LETTER AGAINST THE ZADROGA BILL 
20101222040510.000|20101222040512.000|CC1|THAT IT REPRESENTS MORE THAN 3  
20101222040512.000|20101222040513.000|CC1|MILLION BUSINESSES, BUT THE     
20101222040513.000|20101222040514.000|CC1|PRESIDENT OF THE GREATER NEW    
20101222040514.000|20101222040516.000|CC1|YORK CHAMBER OF COMMERCE TOLD   
20101222040516.000|20101222040518.000|CC1|"COUNTDOWN" TODAY, AS FAR AS THE
20101222040518.000|20101222040520.000|CC1|9/11 BILL, HAVING BEEN DOWN     
20101222040520.000|20101222040522.000|CC1|THERE MYSELF, I BELIEVE THIS IS 
20101222040522.000|20101222040523.000|CC1|VERY NECESSARY AND I HOPE THE   
20101222040523.000|20101222040526.000|CC1|U.S. SENATE PASSES IT.          
20101222040526.000|20101222040528.000|CC1|WITH US NOW IS T.J. GILLMORE, A 
20101222040528.000|20101222040530.000|CC1|CEMENT MASON WHO WENT TO GROUND 
20101222040530.000|20101222040533.000|CC1|ZERO DAY ONE AND STAYED FOR TWO 
20101222040533.000|20101222040535.000|CC1|WEEKS.                          
20101222040535.000|20101222040536.000|CC1|HE LOST 30% OF LUNG CAPACITY, IS
20101222040536.000|20101222040537.000|CC1|NOW LOBBYING FOR THE PASSAGE OF 
20101222040537.000|20101222040539.000|CC1|THE BILL.                       
20101222040539.000|20101222040540.000|CC1|T.J., THANK YOU VERY MUCH FOR   
20101222040540.000|20101222040541.000|CC1|JOINING US TONIGHT.             
20101222040541.000|20101222040542.000|CC1|I APPRECIATE IT.                
20101222040542.000|20101222040544.000|CC1|>> IT'S NO PROBLEM.             
20101222040544.000|20101222040546.000|CC1|IT WAS NOTHING.                 
20101222040546.000|20101222040547.000|CC1|ANYBODY WOULD HAVE BEEN DOWN    
20101222040547.000|20101222040549.000|CC1|THERE.                          
20101222040549.000|20101222040551.000|CC1|EVERYBODY WAS TOGETHER BACK IN  
20101222040551.000|20101222040552.000|CC1|2001 WHEN THAT HAPPENED.        
20101222040552.000|20101222040554.000|CC1|ALL OF THE SUDDEN THEY ALL      
20101222040554.000|20101222040556.000|CC1|FORGOT.                         
20101222040556.000|20101222040558.000|CC1|>> T.J., YOU MADE HEADLINES IN  
20101222040558.000|20101222040559.000|CC1|NEW YORK FOR YOUR EXCHANGE WITH 
20101222040559.000|20101222040600.000|CC1|SENATOR McCAIN ON THIS ISSUE.   
20101222040600.000|20101222040604.000|CC1|CAN YOU SHARE THE STORY WITH US?
20101222040604.000|20101222040608.000|CC1|>> I HAD BEEN DOWN -- I CAME    
20101222040608.000|20101222040609.000|CC1|DOWN TO WASHINGTON -- IT WAS TWO
20101222040609.000|20101222040611.000|CC1|WEEKS AGO.                      
20101222040611.000|20101222040613.000|CC1|RIGHT AFTER THANKSGIVING I CAME 
20101222040613.000|20101222040615.000|CC1|DOWN WITH MY COUSIN MATTHEW WHO 
20101222040615.000|20101222040616.000|CC1|TEACHES DOWN HERE AT, I THINK   
