TOP|20101222073001|2010-12-22_0730_US_KCET_Charlie_Rose
COL|Communication Studies Archive, UCLA 
UID|9937d934-0da5-11e0-bc8d-001517add60e
DUR|0:59:29.26
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-21 23:30 America/Los_Angeles
SEG_01|2014-02-03 01:06:46|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101222073019.000|20101222082930.000|SEG|Type=Story
20101222073019.000|20101222073020.000|CC1|>> Rose: WELCOME TO THE PROGRAM,
20101222073020.000|20101222073021.000|CC1|TONIGHT, "THE MERCHANT OF       
20101222073021.000|20101222073023.000|CC1|VENICE" WITH AL PACINO, TONIGHT 
20101222073023.000|20101222073026.000|CC1|WE HAVE LILY RABE AND DIRECTOR  
20101222073026.000|20101222073027.000|CC1|DAN SULLIVAN.                   
20101222073027.000|20101222073030.000|CC1|>> THOUGH JUSTICE CONSIDER THIS,
20101222073030.000|20101222073034.000|CC1|THAT IN THE COURSE OF JUSTICE,  
20101222073034.000|20101222073039.000|CC1|NONE OF US SHOULD SEE SALVATION.
20101222073039.000|20101222073042.000|CC1|WE DO PRAY FOR MERCY.           
20101222073042.000|20101222073043.000|CC1|>> Rose: ALSO THIS EVENING, A   
20101222073043.000|20101222073046.000|CC1|NEW MOVIE, "TRUE GRIT," DIRECTED
20101222073046.000|20101222073048.000|CC1|BY THE COEN BROTHERS, ONE OF THE
20101222073048.000|20101222073051.000|CC1|STARS IS MATT DAMON.            
20101222073051.000|20101222073054.000|CC1|>> I CAN HIT THAT SIZE IN 90    
20101222073054.000|20101222073108.000|CC1|YARDS.                          
20101222073108.000|20101222073109.000|CC1|STOP SELLING THOSE CHEAP SHELLS 
20101222073109.000|20101222073111.000|CC1|ON ME AGAIN.                    
20101222073111.000|20101222073112.000|CC1|>> I THOUGHT YOU WAS GOING TO   
20101222073112.000|20101222073113.000|CC1|SAY THE SUN WAS IN YOUR EYES.   
20101222073113.000|20101222073115.000|CC1|THAT IS TO SAY YOUR EYE.        
20101222073115.000|20101222073121.000|CC1|>> Rose: WE GO TO BROADWAY FOR  
20101222073121.000|20101222073123.000|CC1|"THE MERCHANT OF VENICE" AND    
20101222073123.000|20101222073140.000|CC1|HOLLYWOOD FOR "TRUE GRIT," NEXT.
20101222073140.000|20101222073228.000|SEG_01|Type=Commercial
20101222073140.000|20101222073142.000|CC1|    VOTE, VOLUNTEER,            
20101222073142.000|20101222073142.000|CC1|    OR DONATE FOR THE CAUSES    
20101222073142.000|20101222073144.000|CC1|        YOU BELIEVE IN          
20101222073144.000|20101222073147.000|CC1|    AT MEMBERSPROJECT.COM.      
20101222073147.000|20101222073147.000|CC1|    TAKE CHARGE OF MAKING       
20101222073147.000|20101222073209.000|CC1|        A DIFFERENCE.           
20101222073209.000|20101222073210.000|CC1| Captioning sponsored by        
20101222073210.000|20101222073212.000|CC1| ROSE COMMUNICATIONS            
20101222073212.000|20101222073212.000|CC1| FROM OUR STUDIOS IN NEW YORK   
20101222073212.000|20101222073228.000|CC1| CITY, THIS IS CHARLIE ROSE.    
20101222073228.000|20101222073228.000|SEG_01|Type=Story start
20101222073228.000|20101222073228.000|CC1|>> Rose: "THE MERCHANT OF       
20101222073228.000|20101222073229.000|CC1|VENICE" IS ONE OF THE MOST      
20101222073229.000|20101222073231.000|CC1|THRILLING AND CONTROVERSIAL     
20101222073231.000|20101222073232.000|CC1|PLAYS.                          
20101222073232.000|20101222073233.000|CC1|FIRST SCENE IN CENTRAL PARK LAST
20101222073233.000|20101222073235.000|CC1|SUMMER IS NOW ON BROADWAY AT    
20101222073235.000|20101222073236.000|CC1|UNTIL JANUARY 9.                
20101222073236.000|20101222073240.000|CC1|HERE IS AL PACINO AS SHYLOCK.   
20101222073240.000|20101222073243.000|CC1|>> IF YOU POISON US, DO WE NOT  
20101222073243.000|20101222073246.000|CC1|DIE?                            
20101222073246.000|20101222073248.000|CC1|AND IF YOU WRONG US SHALL WE NOT
20101222073248.000|20101222073249.000|CC1|REVENGE?                        
20101222073249.000|20101222073251.000|CC1|IF WE ARE LIKE YOU AND THE REST,
20101222073251.000|20101222073257.000|CC1|WE WILL RESEMBLE YOU IN DEATH.  
20101222073257.000|20101222073301.000|CC1|IF A JEW WRONG A CHRISTIAN?     
20101222073301.000|20101222073305.000|CC1|WHAT IS HIS HUMILITY.           
20101222073305.000|20101222073306.000|CC1|REVENGE.                        
20101222073306.000|20101222073307.000|CC1|IN F A CHRISTIAN WRONG A JEW,   
20101222073307.000|20101222073309.000|CC1|WHAT SHOULD HIS SUFFER BEING?   
20101222073309.000|20101222073314.000|CC1|BY CHRISTIAN EXAMPLE.           
20101222073314.000|20101222073315.000|CC1|WHY RESFLENG THEVILLENY YOU     
20101222073315.000|20101222073320.000|CC1|TEACH ME I WILL EXECUTE AND IT  
20101222073320.000|20101222073325.000|CC1|SHALL GO HARD BUT I WILL BETTER 
20101222073325.000|20101222073325.000|CC1|INSTRUCTION!                    
20101222073325.000|20101222073329.000|CC1|>> Rose: ALONGSIDE MA P.A. CHINO
20101222073329.000|20101222073333.000|CC1|LILY RABB BAY HAS WHAT MAY BE A 
20101222073333.000|20101222073337.000|CC1|BRILLIANT BREAKOUT PERFORMANCE. 
20101222073337.000|20101222073339.000|CC1|>> I MAY NEITHER CHOOSE NOR     
20101222073339.000|20101222073340.000|CC1|REFUSE.                         
20101222073340.000|20101222073341.000|CC1|SO IS THE WILL OF A LIVING      
20101222073341.000|20101222073344.000|CC1|DAUGHTER CURVED BY THE WILL OF A
20101222073344.000|20101222073346.000|CC1|DEAD FATHER.                    
20101222073346.000|20101222073347.000|CC1|IS IT NOT HARD THAT I CANNOT    
