TOP|20101222083501|2010-12-22_0835_US_KNBC_Late_Night_with_Jimmy_Fallon
COL|Communication Studies Archive, UCLA 
UID|196aea3e-0daf-11e0-8066-001517add720
DUR|1:02:29.07
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-22 00:35 America/Los_Angeles
SEG_01|2014-06-18 18:21:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101222083502.000|20101222083502.000|XDS|%   RATING: (NOT RATED) (72)
20101222083503.000|20101222083503.000|XDS|%    TITLE: The Tonight Show with Jay Leno
20101222083502.000|20101222093730.000|SEG|Type=Story
20101222083502.000|20101222083503.000|CC2|? LA MADRE ME SENTO?            
20101222083503.000|20101222083506.000|CC1|AND SAID BABY                   
20101222083503.000|20101222083507.000|CC2|Y DIJO AL BEBE                  
20101222083506.000|20101222083507.000|CC1|YOU SEE SANTA HE DOES           
20101222083507.000|20101222083508.000|CC2|UD. VE A SANTA QUE EL HACE      
20101222083507.000|20101222083511.000|CC1|MAGIC THINGS ?                  
20101222083508.000|20101222083511.000|CC2|? COSAS MAGICAS?                
20101222083511.000|20101222083512.000|CC1|? NOW AS SOON AS                
20101222083511.000|20101222083512.000|CC2|? AHORA TAN PRONTO COMO?        
20101222083512.000|20101222083514.000|CC1|YOU'RE ASLEEP                   
20101222083512.000|20101222083515.000|CC2|UD. ESTA DORMIDO                
20101222083514.000|20101222083515.000|CC1|A CHIMNEY WILL APPEAR           
20101222083515.000|20101222083516.000|CC2|UNA CHIMENEA APARECERA          
20101222083515.000|20101222083517.000|CC1|AND IN THE MORNING ?            
20101222083516.000|20101222083517.000|CC2|? Y POR LA MAÑANA?              
20101222083517.000|20101222083518.000|CC1|? YOU WILL SEE                  
20101222083517.000|20101222083518.000|CC2|? UD. VERA?                     
20101222083518.000|20101222083519.000|CC1|ALL HE BRINGS                   
20101222083518.000|20101222083520.000|CC2|TODO EL TRAE                    
20101222083519.000|20101222083520.000|CC1|DON'T YOU WORRY                 
20101222083520.000|20101222083521.000|CC1|THAT THERE ?                    
