TOP|20101223000001|2010-12-23_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|e759c4b2-0e2f-11e0-9bc6-001517add720
DUR|0:59:29.09
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-22 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:22:07|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223000004.000|20101223005930.000|SEG|Type=Story
20101223000004.000|20101223000005.000|CC1|YET, BUT THAT IS SOMETHING THAT 
20101223000005.000|20101223000006.000|CC1|FOLKS UP THERE SHOULD BE READY  
20101223000006.000|20101223000007.000|CC1|FOR.                            
20101223000007.000|20101223000008.000|CC1|FOR THE THOUSANDS OF PEOPLE HERE
20101223000008.000|20101223000010.000|CC1|IN THIS PART OF DOWN THERE IS   
20101223000010.000|20101223000012.000|CC1|LITERALLY NO WAY TO GET OUT, SO 
20101223000012.000|20101223000013.000|CC1|MANY OF THE ROADS HERE,         
20101223000013.000|20101223000016.000|CC1|BASELINE, E STREET, 5th         
20101223000016.000|20101223000016.000|CC1|STREET.                         
20101223000016.000|20101223000017.000|CC1|HIGHLAND AVENUE, THEY ARE       
20101223000017.000|20101223000019.000|CC1|CLOGGED WITH MUD AND THEY       
20101223000019.000|20101223000020.000|CC1|HAVEN'T BEEN CLEARED AND IT     
20101223000020.000|20101223000021.000|CC1|WON'T BE CLEARED UNTIL THE RAIN 
20101223000021.000|20101223000022.000|CC1|STOPS.                          
20101223000022.000|20101223000024.000|CC1|AS YOU CAN SEE THE RAIN HAS NOT 
20101223000024.000|20101223000025.000|CC1|STOPPED YET.                    
20101223000025.000|20101223000029.000|CC1|LIVE IN HIGHLAND, ROB MCMILLAN, 
20101223000029.000|20101223000031.000|CC1|KAEUBZ DAVIDS THANK YOU FOR     
20101223000031.000|20101223000031.000|CC1|THAT.                           
20101223000031.000|20101223000032.000|CC1|IN THE MEANTIME LAGUNA BEACH IS 
20101223000032.000|20101223000034.000|CC1|ALSO DEALING WITH SEVERE        
20101223000034.000|20101223000036.000|CC1|FLOODING FROM THESE TORRENTIAL  
20101223000036.000|20101223000036.000|CC1|RAINS.                          
20101223000036.000|20101223000039.000|CC1|THIS WAS THE SCENE IN DOWNTOWN  
20101223000039.000|20101223000043.000|CC1|LAG BEACH EARLIER THIS MORNING. 
20101223000043.000|20101223000045.000|CC1|HEAVY RAINS FORCED OFFICIALS TO 
20101223000045.000|20101223000048.000|CC1|CLOSE BEACH AND BROADWAY.       
20101223000048.000|20101223000050.000|CC1|THE BOARDWALK ALSO CLOSED WITH  
20101223000050.000|20101223000052.000|CC1|THE BEACH UNDER IT COMPLETELY   
20101223000052.000|20101223000053.000|CC1|WASHED AWAY.                    
20101223000053.000|20101223000056.000|CC1|IN LAGUNA CANYON THE RAIN SENT  
20101223000056.000|20101223000059.000|CC1|MUDSLIDES CRASHING INTO HOMES.  
20101223000059.000|20101223000100.000|CC1|RESCUERS HAD TO COME TO THE AID 
20101223000100.000|20101223000103.000|CC1|OF A NUMBER OF PEOPLE TRAPPED BY
20101223000103.000|20101223000104.000|CC1|FLOODWATERS.                    
20101223000104.000|20101223000106.000|CC1|DOZENS OF PEOPLE HAVE BEEN      
20101223000106.000|20101223000111.000|CC1|EVACUATED FROM SILVERADO CANYON,
20101223000111.000|20101223000113.000|CC1|FALLING BOULDERS AND A SWOLLEN  
20101223000113.000|20101223000114.000|CC1|CREEK CONTINUES TO THREATEN     
20101223000114.000|20101223000118.000|CC1|THEIR HOMES.                    
20101223000118.000|20101223000122.000|CC1|MIKE R-R IS LIVE IN WILLIAMS    
20101223000122.000|20101223000127.000|CC1|CANYON WHERE PEOPLE REVIEWED TO 
20101223000127.000|20101223000127.000|CC1|LEAVE.                          
20101223000127.000|20101223000128.000|CC1|>> Reporter: THE BIG PROBLEM IS 
20101223000128.000|20101223000129.000|CC1|THE WATER.                      
20101223000129.000|20101223000130.000|CC1|IF YOU TAKE A LOOK OVER MY      
20101223000130.000|20101223000131.000|CC1|SOLDIER YOU CAN SEE WHAT WAS    
20101223000131.000|20101223000133.000|CC1|SUPPOSED TO BE A ROAD IS NOW A  
20101223000133.000|20101223000134.000|CC1|RIVER AND THAT IS REAL IT CASE  
20101223000134.000|20101223000138.000|CC1|ALL OVER THIS REGION.           
20101223000138.000|20101223000140.000|CC1|WHAT WAS ONCE A GENTLE STREAM IS
20101223000140.000|20101223000144.000|CC1|NOW A ROARING RAPID.            
20101223000144.000|20101223000145.000|CC1|>> WHAT SOUNDS LIKE THUNDER IS A
20101223000145.000|20101223000147.000|CC1|LOT OF ROCKS COMING DOWN IN THAT
20101223000147.000|20101223000148.000|CC1|CREEK AND THEY ARE HITTING ALL  
20101223000148.000|20101223000150.000|CC1|THESE TREES, IT'S CUTTING AWAY  
20101223000150.000|20101223000152.000|CC1|ALL THE EMBANKMENT ON THE SIDES.
20101223000152.000|20101223000153.000|CC1|>> Reporter: WATER SO POWERFUL  
20101223000153.000|20101223000156.000|CC1|IT MADE THIS RV A BOAT, AND     
20101223000156.000|20101223000157.000|CC1|TURNED THIS WILLIAMS CANYON BARN
20101223000157.000|20101223000200.000|CC1|INTO A RIVER.                   
20101223000200.000|20101223000204.000|CC1|IN MAJESKA CANYON, CARS,        
20101223000204.000|20101223000205.000|CC1|BARBECUES AND PEOPLE ARE        
20101223000205.000|20101223000206.000|CC1|LITERALLY STUCK IN THE MUD.     
20101223000206.000|20101223000208.000|CC1|>> IS THIS THE WORST RAIN YOU'VE
20101223000208.000|20101223000211.000|CC1|EVER SEEN?                      
20101223000211.000|20101223000213.000|CC1|>> IT IS BY CAR.                
20101223000213.000|20101223000218.000|CC1|LIKE I SAID WE'VE BEEN HERE 31  
20101223000218.000|20101223000221.000|CC1|YEARS AND --                    
20101223000221.000|20101223000223.000|CC1|>> Reporter: AND EMOTIONAL SCENE
20101223000223.000|20101223000225.000|CC1|IN SILVERADO CANYON AS WELL.    
20101223000225.000|20101223000227.000|CC1|FLOODING ON THE ONLY ROAD OUT   
20101223000227.000|20101223000228.000|CC1|FOR THESE RESIDENTS.            
20101223000228.000|20101223000233.000|CC1|>> IS THERE ANY WAY OUT?        
20101223000233.000|20101223000234.000|CC1|>> YEAH.                        
20101223000234.000|20101223000234.000|CC1|>> Reporter: THEY SCREAM, WE    
20101223000234.000|20101223000236.000|CC1|CAN'T GET OUT OF HERE, WE ARE   
20101223000236.000|20101223000236.000|CC1|TRAPPED.                        
20101223000236.000|20101223000238.000|CC1|WATER TOO MUCH FOR THIS BRIDGE  
20101223000238.000|20101223000239.000|CC1|AS WELL.                        
20101223000239.000|20101223000242.000|CC1|>> WHEN I BROUGHT THE VAN ACROSS
20101223000242.000|20101223000245.000|CC1|THE THING DROPPED LIKE FOUR FEET
20101223000245.000|20101223000247.000|CC1|AND I RAN UNDER THE EMBANKMENT  
