TOP|20101223010001|2010-12-23_0100_US_HLN_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|486b4098-0e38-11e0-a873-001517add6fa
DUR|0:59:30.17
VID|640x428
CMT|
LAN|ENG
LBT|2010-12-22 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:22:13|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223010018.000|20101223011219.000|SEG|Type=Story
20101223010018.000|20101223010019.000|CC1|>>> WE BEGIN TONIGHT WITH       
20101223010019.000|20101223010022.000|CC1|BREAKING NEWS OUT OF INDIANA.   
20101223010022.000|20101223010024.000|CC1|A YOUNG MOTHER DOWN ON HER LUCK 
20101223010024.000|20101223010025.000|CC1|DECIDES TO LEAVE FAMILY AND     
20101223010025.000|20101223010026.000|CC1|FRIENDS.                        
20101223010026.000|20101223010028.000|CC1|SHE FINDS REFUGE THROUGH A LOCAL
20101223010028.000|20101223010029.000|CC1|CHURCH, MOVING INTO A SHELTER   
20101223010029.000|20101223010030.000|CC1|WITH HER 10-YEAR-OLD DAUGHTER.  
20101223010030.000|20101223010033.000|CC1|BUT WHEN THE MOTHER'S FAMILY    
20101223010033.000|20101223010035.000|CC1|REPORTS THEM MISSING, YOU'RE NOT
20101223010035.000|20101223010036.000|CC1|GOING TO BELIEVE THIS.          
20101223010036.000|20101223010039.000|CC1|IT IS ALSO REVEALED SHE HAS A   
20101223010039.000|20101223010039.000|CC1|3-YEAR-OLD SON.                 
20101223010039.000|20101223010043.000|CC1|OKAY.                           
20101223010043.000|20101223010044.000|CC1|BUT THE FAMILY SAYS THEY HAVEN'T
20101223010044.000|20101223010046.000|CC1|SEEN THE LITTLE BOY FOR NEARLY A
20101223010046.000|20101223010046.000|CC1|YEAR.                           
20101223010046.000|20101223010051.000|CC1|WHY?                            
20101223010051.000|20101223010053.000|CC1|BECAUSE HE'S DEAD!              
20101223010053.000|20101223010055.000|CC1|SO WHY DIDN'T SOMEBODY CALL     
20101223010055.000|20101223010056.000|CC1|POLICE SOONER?                  
20101223010056.000|20101223010058.000|CC1|MAYBE BECAUSE INVESTIGATORS HAVE
20101223010058.000|20101223010102.000|CC1|JUST UNCOVERED THE REMAINS OF A 
20101223010102.000|20101223010106.000|CC1|SMALL CHILD IN A TOTE BAG HIDDEN
20101223010106.000|20101223010107.000|CC1|IN A CLOSET.                    
20101223010107.000|20101223010110.000|CC1|THE REMAINS BELIEVED TO BE THE  
20101223010110.000|20101223010111.000|CC1|MISSING 3-YEAR-OLD BOY.         
20101223010111.000|20101223010113.000|CC1|WHY?                            
20101223010113.000|20101223010115.000|CC1|THE MOTHER TELLS POLICE SHE     
20101223010115.000|20101223010118.000|CC1|COULDN'T TAKE THE TODDLER'S     
20101223010118.000|20101223010121.000|CC1|TEMPER TANTRUMS, FORCE FEEDING  
20101223010121.000|20101223010123.000|CC1|HIM OLIVE OIL AND VINEGAR UNTIL 
20101223010123.000|20101223010125.000|CC1|HE STOPS BREATHING.             
20101223010125.000|20101223010129.000|CC1|SO WHY DO AUTOPSY RESULTS       
20101223010129.000|20101223010130.000|CC1|RELEASED LATE TODAY SHOW HIS    
20101223010130.000|20101223010142.000|CC1|LARYNX WAS CRUSHED?             
20101223010142.000|20101223010147.000|CC1|>> IT STARTED OUT WITH JUST A   
20101223010147.000|20101223010147.000|CC1|PHONE CALL.                     
20101223010147.000|20101223010148.000|CC1|AND IT JUST COMPLETELY          
20101223010148.000|20101223010152.000|CC1|UNRAVELED.                      
20101223010152.000|20101223010153.000|CC1|INTO WHAT WE NOW ARE LOOKING    
20101223010153.000|20101223010153.000|CC1|INTO AS A CHILD DEATH           
20101223010153.000|20101223010155.000|CC1|INVESTIGATION.                  
20101223010155.000|20101223010156.000|CC1|>> THAT PHONE CALL TO POLICE WAS
