TOP|20101223010001|2010-12-23_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|48d94822-0e38-11e0-8423-001517add6f2
DUR|0:59:29.43
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-22 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:22:15|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223010013.000|20101223010016.000|SEG|Type=Story
20101223010013.000|20101223010016.000|CC1|?(Música)?                      
20101223010016.000|20101223010125.000|SEG|Type=Story
20101223010016.000|20101223010020.000|CC1|>>> Hoy en "Primer Impacto":    
20101223010020.000|20101223010023.000|CC1|Torrencial aguaceros obligan a  
20101223010023.000|20101223010026.000|CC1|decretar estado de emergencia y 
20101223010026.000|20101223010028.000|CC1|muchos tienen que salir         
20101223010028.000|20101223010030.000|CC1|corriendo de sus hogares.       
20101223010030.000|20101223010034.000|CC1|Se levantan en protestas y los  
20101223010034.000|20101223010039.000|CC1|reprimen a bastonazos.          
20101223010039.000|20101223010045.000|CC1|Con el rostro enmascarado rompen
20101223010045.000|20101223010047.000|CC1|una vidriera.                   
20101223010047.000|20101223010050.000|CC1|Y unos bomberos son aplastados  
20101223010050.000|20101223010053.000|CC1|por un colapso mortal.          
20101223010053.000|20101223010056.000|CC1|Una histórica ley permite a gays
20101223010056.000|20101223010100.000|CC1|y lesbianas servir abiertamente 
20101223010100.000|20101223010101.000|CC1|en el Ejército.                 
20101223010101.000|20101223010104.000|CC1|Jenni Rivera rompe el silencio  
20101223010104.000|20101223010106.000|CC1|sobre la seria acusación que    
20101223010106.000|20101223010111.000|CC1|pesa sobre su hijo.             
20101223010111.000|20101223010114.000|CC1|Wisin y Yandel vuelven a unir su
20101223010114.000|20101223010118.000|CC1|voz con Enrique Iglesias en un  
20101223010118.000|20101223010122.000|CC1|video que verán en primicia.    
20101223010122.000|20101223010124.000|CC1|Esto y más ahora mismo en       
20101223010124.000|20101223010125.000|CC1|"Primer Impacto."               
20101223010125.000|20101223010136.000|SEG|Type=Story
20101223010125.000|20101223010129.000|CC1|>>> Vecindarios quedaron        
20101223010129.000|20101223010133.000|CC1|sumergidos, y son aterradores   
20101223010133.000|20101223010136.000|CC1|estragos de la madre naturaleza.
20101223010136.000|20101223010142.000|SEG|Type=Story
20101223010136.000|20101223010140.000|CC1|>>> Que tal, les saluda Verónica
20101223010140.000|20101223010142.000|CC1|del Castillo.                   
20101223010142.000|20101223010145.000|SEG|Type=Story
20101223010142.000|20101223010145.000|CC1|>>> Gracias por estar con       
20101223010145.000|20101223010145.000|CC1|nosotros.                       
20101223010145.000|20101223010154.000|SEG|Type=Story
20101223010145.000|20101223010147.000|CC1|>>> El estado de California está
20101223010147.000|20101223010150.000|CC1|en estado de emergencia, la     
20101223010150.000|20101223010152.000|CC1|naturaleza se ensañó con la     
20101223010152.000|20101223010154.000|CC1|costa oeste del país.           
20101223010154.000|20101223010159.000|SEG|Type=Story
20101223010154.000|20101223010157.000|CC1|>>> Vamos a Los Ángeles con     
20101223010157.000|20101223010158.000|CC1|Cecilia y las impactantes       
20101223010158.000|20101223010159.000|CC1|imágenes.                       
20101223010159.000|20101223010213.000|SEG|Type=Story
