TOP|20101223040001|2010-12-23_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|6e55eee8-0e51-11e0-86e2-001517add720
DUR|0:59:29.43
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-22 20:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:47|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101223040002.000|20101223040002.000|XDS|%     CALL:   
20101223040002.000|20101223040002.000|XDS|%   RATING: (NOT RATED) (104)
20101223040002.000|20101223040002.000|XDS|%  NETWORK:   
20101223040003.000|20101223040003.000|XDS|%    TITLE: Dr. Phil          Show 9075
20101223040010.000|20101223045930.000|SEG|Type=Story
20101223040010.000|20101223040011.000|CC1|SHARON: TONIGHT ON "KCAL 9      
20101223040011.000|20101223040013.000|CC1|NEWS" AT 8 :00 EVACUATION       
20101223040013.000|20101223040015.000|CC1|ORDERS LIFTED IN THE            
20101223040015.000|20101223040017.000|CC1|FOOTHILL BURN AREAS AS THE      
20101223040017.000|20101223040018.000|CC1|WINTER STORM MOVES OUT.         
20101223040018.000|20101223040020.000|CC1|LEYNA: SEVERE FLOODING AN       
20101223040020.000|20101223040021.000|CC1|MUDSLIDES PURCHASE I HOMES      
20101223040021.000|20101223040022.000|CC1|IN THE INLAND EMPIRE.           
20101223040022.000|20101223040024.000|CC1|SHARON: A CREEK BED IS          
20101223040024.000|20101223040027.000|CC1|BREAKING APART IN ORANGE        
20101223040027.000|20101223040027.000|CC1|COUNTY.                         
20101223040027.000|20101223040029.000|CC1|THE RUSH IS SHORE IT UP.        
20101223040029.000|20101223040031.000|CC1|LEYNA: I'M LEYNA NGUYEN JIM     
20101223040031.000|20101223040032.000|CC1|I'M SHARON TAY.                 
20101223040032.000|20101223040033.000|CC1|THE STORMS MAY BE WINDING       
20101223040033.000|20101223040035.000|CC1|DOWN BUT THE THREAT OF          
20101223040035.000|20101223040036.000|CC1|MUDSLIDES WILL CONTINUE FOR     
20101223040036.000|20101223040039.000|CC1|WEEKS AN THE RAINFALL WE'VE     
20101223040039.000|20101223040041.000|CC1|HAD IS ONE FOR THE RECORDS      
20101223040041.000|20101223040041.000|CC1|BOOKS.                          
20101223040041.000|20101223040045.000|CC1|LET'S GET TO EVELYN WITH THE    
20101223040045.000|20101223040045.000|CC1|WEATHER.                        
20101223040045.000|20101223040047.000|CC1|EVELYN: THERE ARE A FEW         
20101223040047.000|20101223040048.000|CC1|ADVISORIES.                     
20101223040048.000|20101223040049.000|CC1|WE ARE PRETTY MUCH IN THE       
20101223040049.000|20101223040051.000|CC1|CLEAR WITH RAIN, A FEW LEFT     
20101223040051.000|20101223040052.000|CC1|OVER SHOURGS BUT WE ARE         
20101223040052.000|20101223040053.000|CC1|STILL KEEPING THAT FLOOD        
20101223040053.000|20101223040055.000|CC1|WARNING IN EFFECT THROUGH       
20101223040055.000|20101223040056.000|CC1|9:00 A.M. FOR SAN BERNARDINO    
20101223040056.000|20101223040058.000|CC1|IN CASE WE SEE POP UP           
20101223040058.000|20101223040059.000|CC1|SHOWERS AND THUNDERSTORMS       
20101223040059.000|20101223040104.000|CC1|OVERNIGHT BUT FOR THE MOST      
20101223040104.000|20101223040106.000|CC1|PART WE ARE IN THE CLEAR.       
20101223040106.000|20101223040107.000|CC1|OTHER THAN THAT DO WANT TO      
