TOP|20101223080502|2010-12-23_0805_US_KABC_Jimmy_Kimmel_Live
COL|Communication Studies Archive, UCLA 
UID|14f93224-0e74-11e0-ac1b-001517add6fa
DUR|1:02:29.11
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-23 00:05 America/Los_Angeles
SEG_01|2014-06-18 18:22:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223080505.000|20101223080505.000|XDS|%  NETWORK: ABC
20101223080505.000|20101223080505.000|XDS|%   RATING: (NOT RATED) (72)
20101223080506.000|20101223080506.000|XDS|%    TITLE: ABC NEWS NIGHTLINE
20101223080506.000|20101223080506.000|XDS|%     CALL:   
20101223080506.000|20101223080506.000|XDS|% TIMECODE: 12/23 2:35
20101223080506.000|20101223080506.000|XDS|%   LENGTH: 12:23:00 of 2:35:00
20101223080506.000|20101223080506.000|XDS|%   LENGTH: 0:28:00 of 0:31:00
20101223080527.000|20101223080527.000|XDS|%   LENGTH: 0:29:00 of 0:31:00
20101223080535.000|20101223090731.000|SEG|Type=Story
20101223080535.000|20101223080536.000|CC1|>>> TIME NOW FOR TONIGHT'S      
20101223080536.000|20101223080539.000|CC1|CLOSING ARGUMENT.               
20101223080539.000|20101223080540.000|CC1|IN A PRESS CONFERENCE THIS      
20101223080540.000|20101223080541.000|CC1|AFTERNOON, PRESIDENT OBAMA      
20101223080541.000|20101223080543.000|CC1|HAILED THREE KEY ACHIEVEMENTS OF
20101223080543.000|20101223080546.000|CC1|THE LAKE DUCK SESSION OF        
20101223080546.000|20101223080551.000|CC1|CONGRESS.                       
20101223080551.000|20101223080552.000|CC1|THE PRESIDENT SAID THE NEW      
20101223080552.000|20101223080556.000|CC1|LEGISLATION WAS A SIGN THAT     
20101223080556.000|20101223080557.000|CC1|BIPARTI                         
20101223080557.000|20101223080557.000|CC1|BIPARTISANSHIP CAN WORK.        
20101223080557.000|20101223080559.000|CC1|>> IF THERE'S ANY LESSON TO DRAW
20101223080559.000|20101223080600.000|CC1|FROM THESE PAST FEW WEEKS IS    
20101223080600.000|20101223080602.000|CC1|THAT WE ARE NOT DOOMED TO       
20101223080602.000|20101223080603.000|CC1|ENDLESS GRID LOCK.              
20101223080603.000|20101223080605.000|CC1|>> SO, TONIGHT, WE ASK YOU, DO  
20101223080605.000|20101223080607.000|CC1|YOU AGREE, IS THIS EVIDENCE THAT
20101223080607.000|20101223080609.000|CC1|CONGRESS CAN GET THINGS DONE?   
20101223080609.000|20101223080611.000|CC1|OR IS IT TOO SOON TO DECLARE    
20101223080611.000|20101223080612.000|CC1|GRID LOCK DEAD?                 
20101223080612.000|20101223080614.000|CC1|WE'VE ALREADY HEARD FROM MANY OF
20101223080614.000|20101223080615.000|CC1|YOU ON FACEBOOK AND TWITTER     
20101223080615.000|20101223080616.000|CC1|TONIGHT.                        
20101223080616.000|20101223080617.000|CC1|BUT PLEASE JOIN THE             
20101223080617.000|20101223080617.000|CC1|CONVERSATION, TELL US WHAT YOU  
20101223080617.000|20101223080619.000|CC1|THINK AT THE "NIGHTLINE"        
20101223080619.000|20101223080620.000|CC1|FACEBIKE PAGE OR ON THE         
20101223080620.000|20101223080623.000|CC1|"NIGHTLINE" PAGE AT ABCNEWS.COM.
20101223080623.000|20101223080624.000|CC1|THAT'S OUR REPORT FOR TONIGHT.  
20101223080624.000|20101223080625.000|CC1|FROM ALL OF US AT ABC NEWS, GOOD
20101223080625.000|20101223080640.000|CC1|NIGHT, AMERICA.                 
20101223080632.000|20101223080632.000|XDS|%   LENGTH: 0:30:00 of 0:31:00
20101223080637.000|20101223080637.000|XDS|%    TITLE:   
20101223080639.000|20101223080639.000|XDS|%   RATING: (NOT RATED) (104)
20101223080639.000|20101223080639.000|XDS|%    TITLE: JIMMY KIMMEL LIVE
20101223080639.000|20101223080639.000|XDS|% TIMECODE: 12/23 3:06
20101223080639.000|20101223080639.000|XDS|%   LENGTH: 12:23:00 of 3:06:00
20101223080640.000|20101223080640.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20101223080640.000|20101223080642.000|CC1|>> Dicky: IT'S THE "JIMMY KIMMEL
20101223080642.000|20101223080642.000|CC1|LIVE" FANTASY LEAGUE.           
20101223080642.000|20101223080645.000|CC1|PRESENTED BY GMC.               
20101223080645.000|20101223080646.000|CC1|>> HI, I'M JIMMY KIMMEL.        
20101223080646.000|20101223080649.000|CC1|>> AND I'M HIS COUSIN SAL.      
20101223080649.000|20101223080650.000|CC1|?                               
20101223080650.000|20101223080651.000|CC1|WHAT A WEEKEND IT WAS.          
20101223080651.000|20101223080652.000|CC1|DO YOU SMELL THAT?              
20101223080652.000|20101223080653.000|CC1|>> IS THAT PLAYOFF FOOTBALL?    
20101223080653.000|20101223080656.000|CC1|>> THAT'S SALAMI, ACTUALLY.     
20101223080656.000|20101223080658.000|CC1|WE HAD PLAYOFF FOOTBALL, TOO.   
20101223080658.000|20101223080659.000|CC1|SEMIFINALS.                     
20101223080659.000|20101223080700.000|CC1|LET'S GO TO THE SCORES.         
20101223080700.000|20101223080702.000|CC1|>> DAX SHEPARD STUNS THE        
20101223080702.000|20101223080705.000|CC1|FIGHTING KIM MS TO ADVANCE TO   
20101223080705.000|20101223080706.000|CC1|KIMMEL BOWL ONE.                
20101223080706.000|20101223080708.000|CC1|>> A DARK DAY FOR ME AND OUR    
20101223080708.000|20101223080708.000|CC1|NATION.                         
20101223080708.000|20101223080710.000|CC1|IN THE OTHER SEMIFINAL GAME, THE
20101223080710.000|20101223080712.000|CC1|SPORTS GUY BILL SIMMONS SHOWED  
20101223080712.000|20101223080714.000|CC1|KRISTEN BELL NO MERCY AS HE     
20101223080714.000|20101223080715.000|CC1|ADVANCES TO THE CHAMPIONSHIP    
20101223080715.000|20101223080716.000|CC1|GAME.                           
20101223080716.000|20101223080717.000|CC1|COUSIN SAL WAS ABLE TO GET THIS 
20101223080717.000|20101223080718.000|CC1|INTERVIEW WITH SIMMONS MOMENTS  
20101223080718.000|20101223080721.000|CC1|AFTER THE OUTCOME.              
20101223080721.000|20101223080723.000|CC1|I'M HERE IN THE LOCKER ROOM WITH
20101223080723.000|20101223080724.000|CC1|BILL SIMMONS, THE SPORTS GUY,   
20101223080724.000|20101223080726.000|CC1|WHO JUST DISPATCHED OF KRISTEN  
20101223080726.000|20101223080727.000|CC1|BELL TO MAKE IT TO THE          
20101223080728.000|20101223080728.000|XDS|%   LENGTH: 0:01:00 of 1:00:00
20101223080727.000|20101223080728.000|CC1|CHAMPIONSHIP GAME.              
20101223080728.000|20101223080730.000|CC1|LET'S SEE IF WE CAN GET A WORD. 
20101223080730.000|20101223080730.000|CC1|SPORTS GUY?                     
20101223080730.000|20101223080732.000|CC1|>> HEY!                         
20101223080732.000|20101223080732.000|CC1|WHAT THE HELL?                  
20101223080732.000|20101223080734.000|CC1|>> BIG, BIG WIN.                
20101223080734.000|20101223080735.000|CC1|HOW DO FEEL?                    
20101223080735.000|20101223080737.000|CC1|>> I MEAN -- I BEAT A GIRL.     
20101223080737.000|20101223080739.000|CC1|I FEEL LIKE YOU SHOULD FEEL --  
20101223080739.000|20101223080740.000|CC1|>> SHE IS A GIRL.               
20101223080740.000|20101223080743.000|CC1|YOU HAVE ANY PARTING WORDS?     
20101223080743.000|20101223080746.000|CC1|>> I HAVE MY BOOK, "THE BOOK OF 
20101223080746.000|20101223080748.000|CC1|BASKETBALL," AVAILABLE IN STORES
20101223080748.000|20101223080748.000|CC1|EVERYWHERE.                     
20101223080748.000|20101223080749.000|CC1|WHY ARE YOU LAUGHING?           
20101223080749.000|20101223080751.000|CC1|>> IT'S FUNNY.                  
20101223080751.000|20101223080753.000|CC1|>> WHAT, THE BOOK?              
20101223080753.000|20101223080753.000|CC1|>> NO, THAT.                    
20101223080753.000|20101223080754.000|CC1|>> I DON'T HAVE HOT WATER.      
20101223080754.000|20101223080757.000|CC1|STOP!                           
20101223080757.000|20101223080800.000|CC1|GET OUT OF HERE!                
20101223080800.000|20101223080804.000|CC1|>> SMALL VICTORIES.             
20101223080804.000|20101223080806.000|CC1|>> AND NOW IT COMES DOWN TO ONE 
20101223080806.000|20101223080807.000|CC1|GAME.                           
20101223080807.000|20101223080809.000|CC1|SIMMONS VERSUS SHE PARLD FOR ALL
20101223080809.000|20101223080810.000|CC1|THE MARBLES.                    
20101223080810.000|20101223080811.000|CC1|>> HOW MANY?                    
20101223080811.000|20101223080813.000|CC1|>> A LOT OF MARBLES, SAL, A LOT 
20101223080813.000|20101223080815.000|CC1|OF MARBLES.                     
20101223080815.000|20101223080816.000|CC1|>> Dicky: TO FOLLOW ALL THE     
20101223080816.000|20101223080817.000|CC1|CHAMPIONSHIP ACTION, GO TO THE  
20101223080817.000|20101223080818.000|CC1|"JIMMY KIMMEL LIVE" YOUTUBE     
20101223080818.000|20101223080820.000|CC1|CHANNEL AND CLICK ON FANTASY    
20101223080820.000|20101223080820.000|CC1|LEAGUE FOR SCORES, VIDEOS AND   
20101223080820.000|20101223080824.000|CC1|MORE.                           
20101223080824.000|20101223080825.000|CC1|>> Jimmy: "JIMMY KIMMEL LIVE" IS
20101223080825.000|20101223080827.000|CC1|BACK IN TWO MINUTES WITH BRIAN  
20101223080827.000|20101223080828.000|CC1|AUSTIN GREEN, MUSIC FROM BRAD   
20101223080828.000|20101223080855.000|CC1|AND DAN AYKROYD.                
20101223080831.000|20101223080831.000|XDS|%   LENGTH: 0:02:00 of 1:00:00
20101223080855.000|20101223080856.000|CC1| YEAH...I DON'T KNOW            
20101223080856.000|20101223080858.000|CC1|WHAT A SLUSHIE ECONOMY IS,      
20101223080858.000|20101223080901.000|SEG_01|Type=Commercial
20101223080858.000|20101223080858.000|CC1|         BUT EVEN I KNOW        
20101223080858.000|20101223080900.000|CC1|         IT'S NOT NICE.         
20101223080900.000|20101223080901.000|CC1|  GUYS, IT'S OKAY.              
20101223080901.000|20101223080901.000|SEG_01|Type=Story start
20101223080901.000|20101223080901.000|CC1|WE'RE JUST GONNA NEED           
20101223080901.000|20101223080903.000|CC1|SOME CHRISTMAS MAGIC.           
20101223080903.000|20101223080906.000|SEG_01|Type=Commercial
20101223080903.000|20101223080903.000|CC1|     ? CHRISTMAS MAGIC TIME     
20101223080903.000|20101223080906.000|CC1|           IS HERE! ?           
20101223080906.000|20101223080906.000|CC1|     ? TIME FOR ALL THE BOYS    
20101223080906.000|20101223080906.000|CC1|      AND GIRLS TO CHEER ?      
20101223080906.000|20101223080906.000|SEG_01|Type=Story start
20101223080906.000|20101223080906.000|CC1|CHRISTMAS MAGIC.                
20101223080906.000|20101223080910.000|CC1|   OF COURSE!                   
20101223080910.000|20101223080911.000|CC1|YEAH, NO.                       
20101223080911.000|20101223080911.000|CC1|I WAS THINKING THE KIND OF MAGIC
20101223080911.000|20101223080914.000|CC1|THAT HELPS PEOPLE SAVE MONEY.   
20101223080914.000|20101223081042.000|SEG_01|Type=Commercial
20101223080914.000|20101223080917.000|CC1|        OH, SNOWBALLS...        
20101223080917.000|20101223080919.000|CC1|   [ Male Announcer ] RIGHT NOW 
20101223080919.000|20101223080919.000|CC1|     THE HOTTEST SMART PHONES   
20101223080919.000|20101223080920.000|CC1|             ARE FREE           
20101223080920.000|20101223080920.000|CC1|       DURING THE BEST BUY      
20101223080920.000|20101223080922.000|CC1|  FREE SMART PHONE SALES EVENT. 
20101223080922.000|20101223080923.000|CC1|        YES TOTALLY FREE.       
20101223080923.000|20101223080925.000|CC1|   NOW THAT'S CHRISTMAS MAGIC.  
20101223080925.000|20101223080926.000|CC1|       [ Female Announcer ]     
20101223080926.000|20101223080928.000|CC1|   YOUR HANDS ARE ONLY AS CLEAN 
20101223080928.000|20101223080930.000|CC1|  AS THE TOWEL USED TO DRY THEM.
20101223080930.000|20101223080930.000|CC1|  SO WHY USE THE SAME HAND TOWEL
20101223080930.000|20101223080933.000|CC1|          OVER AND OVER         
20101223080933.000|20101223080933.000|CC1|       INSTEAD OF A CLEAN,      
20101223080933.000|20101223080936.000|CC1|      FRESH ONE EVERY TIME?     
20101223080934.000|20101223080934.000|XDS|%   LENGTH: 0:03:00 of 1:00:00
20101223080936.000|20101223080937.000|CC1|   KLEENEX® BRAND HAND TOWELS.  
20101223080937.000|20101223080937.000|CC1|       A CLEAN, FRESH TOWEL     
20101223080937.000|20101223080941.000|CC1|           EVERY TIME.          
20101223080941.000|20101223080941.000|CC1|       [ Female Announcer ]     
20101223080941.000|20101223080943.000|CC1|        MONISTAT® ASKS...       
20101223080943.000|20101223080943.000|CC1|  WHAT PERCENT OF WOMEN WANT TO 
20101223080943.000|20101223080945.000|CC1|   CURE THEIR YEAST INFECTION?  
20101223080945.000|20101223080946.000|CC1|              100%.             
20101223080946.000|20101223080946.000|CC1|       HOW MANY CAN CURE IT     
20101223080946.000|20101223080948.000|CC1|          WITH VAGISIL?         
20101223080948.000|20101223080949.000|CC1|              ZERO.             
20101223080949.000|20101223080950.000|CC1|      MONISTAT BOTH RELIEVES    
20101223080950.000|20101223080951.000|CC1|          YOUR SYMPTOMS         
20101223080951.000|20101223080953.000|CC1|     AND CURES THE INFECTION.   
20101223080953.000|20101223081034.000|CC1|   GET THE CURE. GET MONISTAT.  
20101223081034.000|20101223081034.000|CC1|>> Dicky: FROM HOLLYWOOD, IT'S  
20101223081037.000|20101223081037.000|XDS|%   LENGTH: 0:04:00 of 1:00:00
20101223081034.000|20101223081039.000|CC1|"JIMMY KIMMEL LIVE!"            
20101223081039.000|20101223081042.000|CC1|TONIGHT --                      
20101223081042.000|20101223081046.000|SEG_01|Type=Story start
20101223081042.000|20101223081046.000|CC1|DAN AYKROYD.                    
20101223081046.000|20101223081047.000|CC1|FROM "DESPERATE HOUSEWIVES,"    
20101223081047.000|20101223081056.000|CC1|BRIAN AUSTIN GREEN.             
20101223081056.000|20101223081102.000|CC1|AND MUSIC FROM BRAD.            
20101223081102.000|20101223081106.000|CC1|WITH CLETO AND THE CLETONES.    
20101223081106.000|20101223081110.000|CC1|? IT'S "JIMMY KIMMEL LIVE" ?    
20101223081110.000|20101223081111.000|CC1|>> Dicky: AND NOW, FEAR NOT.    
20101223081111.000|20101223081119.000|CC1|HERE'S JIMMY KIMMEL!            
20101223081119.000|20101223081130.000|CC1|[ CHEERS AND APPLAUSE ]         
20101223081130.000|20101223081131.000|CC1|>> Jimmy: HI, EVERYONE, I'M     
20101223081131.000|20101223081132.000|CC1|JIMMY, I'M THE HOST OF THE SHOW.
20101223081132.000|20101223081134.000|CC1|THANK YOU FOR BEING HERE AND FOR
20101223081134.000|20101223081135.000|CC1|WATCHING AND FOR UNDRESSING ME  
20101223081135.000|20101223081136.000|CC1|WITH YOUR EYES.                 
20101223081136.000|20101223081137.000|CC1|I DON'T MIND IT.                
20101223081137.000|20101223081138.000|CC1|HEY, SOMETHING AMAZING HAPPENED 
20101223081138.000|20101223081139.000|CC1|LAST NIGHT ON MONDAY NIGHT      
20101223081140.000|20101223081140.000|XDS|%   LENGTH: 0:05:00 of 1:00:00
20101223081139.000|20101223081141.000|CC1|FOOTBALL.                       
20101223081141.000|20101223081142.000|CC1|I DON'T KNOW IF YOU SAW THIS.   
20101223081142.000|20101223081143.000|CC1|THE JETS PLAYED THE PATRIOTS.   
20101223081143.000|20101223081144.000|CC1|IT WAS A BLOWOUT.               
20101223081144.000|20101223081147.000|CC1|AND NOT JUST ON THE FIELD.      
20101223081147.000|20101223081149.000|CC1|IT WAS WINDY IN FOXBORO AND THAT
20101223081149.000|20101223081151.000|CC1|IS ROBERT KRAFT.                
20101223081151.000|20101223081153.000|CC1|THE PATRIOTS OWNER.             
20101223081153.000|20101223081155.000|CC1|NOW, NEXT TO HIM IS DONALD      
20101223081155.000|20101223081156.000|CC1|TRUMP.                          
20101223081156.000|20101223081158.000|CC1|AND DONALD'S HAIR APPEARS TO BE 
20101223081158.000|20101223081201.000|CC1|TRYING TO ESCAPE FROM HIS HEAD. 
20101223081201.000|20101223081201.000|CC1|[ LAUGHTER ]                    
20101223081201.000|20101223081202.000|CC1|HAVE TO SAY, WHEN I SAW IT, I   
20101223081202.000|20101223081203.000|CC1|SAID, I FEEL LIKE I'VE BEEN     
