TOP|20101223150001|2010-12-23_1500_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|a14c2acc-0ead-11e0-b0c2-001517add720
DUR|0:59:30.03
VID|640x360
CMT|
LAN|ENG
LBT|2010-12-23 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:22:58|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223150002.000|20101223150002.000|XDS|%     CALL:   
20101223150002.000|20101223150002.000|XDS|%    TITLE: Program Name
20101223150002.000|20101223150002.000|XDS|%  NETWORK: CBS
20101223150002.000|20101223150010.000|SEG|Type=Story
20101223150002.000|20101223150003.000|CC1|I'M KENT SHOCKNEK "THE EARLY    
20101223150003.000|20101223150010.000|CC1|SHOW" STARTS RIGHT NOW.         
20101223150010.000|20101223150021.000|SEG|Type=Story
20101223150010.000|20101223150011.000|CC1|>>> SUPER SOAKER.               
20101223150011.000|20101223150014.000|CC1|RECORD RAINS LEAVES SOUTHERN    
20101223150014.000|20101223150017.000|CC1|CALIFORNIA UNDERWATER AND BURIED
20101223150017.000|20101223150021.000|CC1|IN MUD AS RESIDENTS FLEE THEIR  
20101223150021.000|20101223150021.000|CC1|HOMES.                          
20101223150021.000|20101223150032.000|SEG|Type=Story
20101223150021.000|20101223150022.000|CC1|>>> VICTORY LAP.                
20101223150022.000|20101223150024.000|CC1|PRESIDENT OBAMA ARRIVES IN      
20101223150024.000|20101223150025.000|CC1|HAWAII OVERNIGHT AFTER A RUN OF 
20101223150025.000|20101223150027.000|CC1|VICTORIES ON CAPITOL HILL BUT   
20101223150027.000|20101223150030.000|CC1|CAN HE KEEP UP THE MOMENTUM NEXT
20101223150030.000|20101223150030.000|CC1|YEAR?                           
20101223150030.000|20101223150031.000|CC1|WHAT'S AHEAD FOR THE PRESIDENT  
20101223150031.000|20101223150032.000|CC1|TAN NEW CONGRESS.               
20101223150032.000|20101223150115.000|SEG|Type=Story
20101223150032.000|20101223150035.000|CC1|>>> INSIDE THE SHOOTING.        
20101223150035.000|20101223150035.000|XDS|% TIMEZONE: UTC-5
20101223150035.000|20101223150036.000|CC1|>> PLEASE.                      
20101223150036.000|20101223150038.000|CC1|>> I'M GOING TO KILL YOU.       
20101223150038.000|20101223150040.000|CC1|>> IN AN EXCLUSIVE INTERVIEW,   
20101223150040.000|20101223150042.000|CC1|THE WIFE OF THE SCHOOL BOARD    
20101223150042.000|20101223150044.000|CC1|GUNMAN TELLS ERICA HILL ABOUT   
20101223150044.000|20101223150047.000|CC1|THATDY AND THE TORMENT OF       
20101223150047.000|20101223150048.000|CC1|WATCHING HIS FINAL MOMENTS.     
20101223150048.000|20101223150050.000|CC1|>> I HAVE WATCHED IT AND I HAVE 
20101223150050.000|20101223150051.000|CC1|WATCHED IT AND I HAVE WATCHED IT
20101223150051.000|20101223150053.000|CC1|AND I SEE WHAT EVERYONE ELSE    
20101223150053.000|20101223150054.000|CC1|SEES, TOO.                      
20101223150054.000|20101223150055.000|CC1|THE SHOCK.                      
20101223150055.000|20101223150056.000|CC1|THE HORROR.                     
20101223150056.000|20101223150059.000|CC1|>> CLAY DUKE'S WIDOW SHEDS LIGHT
20101223150059.000|20101223150101.000|CC1|ON THE TROUBLED GUNMAN AND WHAT 
20101223150101.000|20101223150103.000|CC1|SET HIM OFF EARLY THIS THURSDAY 
20101223150103.000|20101223150107.000|CC1|MORNING, DECEMBER 23rd, 2010.   
20101223150107.000|20101223150115.000|CC1|    CAPTIONING FUNDED BY CBS    
20101223150115.000|20101223150140.000|SEG|Type=Story
20101223150115.000|20101223150117.000|CC1|>>> AND GOOD MORNING.           
20101223150117.000|20101223150119.000|CC1|5th AVENUE ON THIS CHRISTMAS EVE
20101223150119.000|20101223150121.000|CC1|EVE.                            
20101223150121.000|20101223150122.000|CC1|GOOD MORNING.                   
20101223150122.000|20101223150123.000|CC1|WE ARE LIVE WITH THE WEST COAST 
20101223150123.000|20101223150123.000|CC1|EDITION.                        
20101223150123.000|20101223150124.000|CC1|I'M RUSS MITCHELL.              
20101223150124.000|20101223150127.000|CC1|>> I'M REBECCA JARVIS.          
20101223150127.000|20101223150128.000|CC1|OUT OF ITALY, TWO EXPLOSIONS    
20101223150128.000|20101223150130.000|CC1|HAVE TAKEN PLACE AT THE         
20101223150130.000|20101223150133.000|CC1|EMBASSIES IN ROME OF BOTH THE   
20101223150133.000|20101223150135.000|CC1|SWISS EMBASSY AND THE CHILEAN   
20101223150135.000|20101223150136.000|CC1|EMBASSY.                        
20101223150136.000|20101223150137.000|CC1|>> PROTESTS OF LATE IN ROME.    
20101223150137.000|20101223150139.000|CC1|WE'LL HAVE THE LATEST AT THE    
20101223150139.000|20101223150140.000|CC1|NEWS DECEMBER INCOME A FEW      
20101223150140.000|20101223150140.000|CC1|MOMENTS.                        
20101223150140.000|20101223150434.000|SEG|Type=Story
20101223150140.000|20101223150143.000|CC1|>>> FIRST, THE LATEST FROM A    
20101223150143.000|20101223150144.000|CC1|WATER-LOGGED CALIFORNIA WHERE   
20101223150144.000|20101223150145.000|CC1|FIVE DAYS OF MASSIVE STORMS HAVE
20101223150145.000|20101223150147.000|CC1|LEFT BEHIND A MUDDY MESS AND THE
20101223150147.000|20101223150150.000|CC1|DANGER IS FAR FROM OVER.        
20101223150150.000|20101223150152.000|CC1|CBS NEWS CORRESPONDENT BILL WHIT
20101223150152.000|20101223150154.000|CC1|TAKER IS IN LA CANADA           
20101223150154.000|20101223150155.000|CC1|FLINTRIDGE, CALIFORNIA, JUST    
20101223150155.000|20101223150157.000|CC1|OUTSIDE OF LOS ANGELES WITH THE 
20101223150157.000|20101223150157.000|CC1|LATEST.                         
20101223150157.000|20101223150158.000|CC1|GOOD MORNING, BILL.             
20101223150158.000|20101223150159.000|CC1|>> Reporter: GOOD MORNING,      
20101223150159.000|20101223150200.000|CC1|REBECCA.                        
20101223150200.000|20101223150201.000|CC1|AFTER HAVING BEEN SOAKED BY A   
20101223150201.000|20101223150205.000|CC1|WEEK OF NON-STOP RAIN, IT SEEMED
20101223150205.000|20101223150206.000|CC1|CALIFORNIA MIGHT DODGE A BULLET 
20101223150206.000|20101223150209.000|CC1|BUT THE LAST POUNDING BY        
20101223150209.000|20101223150212.000|CC1|TORRENTIAL RAIN PROVED TO BE TOO
20101223150212.000|20101223150212.000|CC1|MUCH.                           
20101223150212.000|20101223150214.000|CC1|THE RESULTS IN A WORD,          
20101223150214.000|20101223150214.000|CC1|DEVASTATING.                    
20101223150214.000|20101223150216.000|CC1|THIS IS WHAT SOUTHERN           
20101223150216.000|20101223150217.000|CC1|CALIFORNIANS FEARED MOST, A     
20101223150217.000|20101223150219.000|CC1|TORRENT OF WATER, A SEA OF MUD. 
20101223150219.000|20101223150221.000|CC1|THIS ENTIRE NEIGHBORHOOD EAST OF
20101223150221.000|20101223150223.000|CC1|LOS ANGELES BURIED.             
20101223150223.000|20101223150225.000|CC1|KAREN HERNANDEZ HAD NO WAY OUT  
20101223150225.000|20101223150229.000|CC1|TWEPT THROUGH THE SECOND STORY  
