TOP|20101223230001|2010-12-23_2300_US_KABC_Oprah_Winfrey
COL|Communication Studies Archive, UCLA 
UID|b00f5e42-0ef0-11e0-99e9-001517add6fa
DUR|0:59:28.96
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-23 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:23:26|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101223230005.000|20101223230005.000|XDS|%  NETWORK:  
20101223230005.000|20101223230005.000|XDS|% TIMEZONE: UTC-5
20101223230005.000|20101223230005.000|XDS|%   RATING: (NOT RATED) (72)
20101223230005.000|20101223230005.000|XDS|%     CALL:  
20101223230004.000|20101223235929.000|SEG|Type=Story
20101223230004.000|20101223230006.000|CC1|[CAPTIONING MADE POSSIBLE BY    
20101223230006.000|20101223230008.000|CC1|KING WORLD]                     
20101223230008.000|20101223230008.000|XDS|%    TITLE: The Oprah Winfrey Show   
20101223230008.000|20101223230010.000|CC1|OPRAH: TODAY. TWO-TIME OSCAR    
20101223230010.000|20101223230012.000|CC1|WINNER AND LEGENDARY ICON JANE  
20101223230012.000|20101223230015.000|CC1|FONDA, AGING GORGEOUSLY. NOW    
20101223230015.000|20101223230016.000|CC1|WHEN YOU LOOK IN THE MIRROR,    
20101223230016.000|20101223230017.000|CC1|WHAT DO YOU SEE?                
20101223230017.000|20101223230019.000|CC1|>> GOOD WORK.                   
20101223230019.000|20101223230021.000|CC1|OPRAH: HER MOVIE-STAR FATHER,   
20101223230021.000|20101223230022.000|CC1|MOTHERHOOD. DID YOU THINK YOU   
20101223230022.000|20101223230024.000|CC1|WERE A BAD MOM? HER EX, MEDIA   
20101223230024.000|20101223230025.000|CC1|MOGUL TED TURNER. ARE YOU ALL   
20101223230025.000|20101223230027.000|CC1|STILL FRIENDS? AND MEET HER NEW 
20101223230027.000|20101223230029.000|CC1|LOVE. THERE ARE RUMORS THAT YOU 
20101223230029.000|20101223230030.000|CC1|ARE ENGAGED OR SECRETLY MARRIED.
20101223230030.000|20101223230032.000|CC1|AT 72, SHE IS STILL FEELING THE 
20101223230032.000|20101223230034.000|CC1|BURN. WE SHOULD HAVE JUST DONE  
20101223230034.000|20101223230035.000|CC1|THE WHOLE SHOW WITH YOU JUST    
20101223230035.000|20101223230037.000|CC1|SITTING IN THAT POSITION.       
20101223230037.000|20101223230039.000|CC1|NEXT.                           
20101223230039.000|20101223230042.000|CC1|[CHEERING AND APPLAUSE]         
20101223230042.000|20101223230043.000|CC1|OPRAH: IN THE EIGHTIES, WE ALL  
20101223230043.000|20101223230047.000|CC1|REMEMBER, THOSE OF US BACK IN   
20101223230047.000|20101223230050.000|CC1|THE DAY, WHEN SHE PUT ON THAT   
20101223230050.000|20101223230052.000|CC1|PINK-STRIPED LEOTARD--DID YOU   
20101223230052.000|20101223230053.000|CC1|NOT HAVE THAT VIDEO? OK. AND    
