TOP|20101224020001|2010-12-24_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|a45c6cb0-0f05-11e0-bd57-001517add60e
DUR|0:29:29.63
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-23 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:20:08|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101224020003.000|20101224022930.000|SEG|Type=Story
20101224020003.000|20101224020012.000|CC1|desenterrarse del lodo, tormenta
20101224020012.000|20101224020025.000|CC1|afectó a Highland en san        
20101224020025.000|20101224020037.000|CC1|Bernardino, la casa de Joe      
20101224020037.000|20101224020040.000|CC1|garcía fuéafectada.             
20101224020040.000|20101224020047.000|CC1|>> Mi casa está llena de lodo.  
20101224020047.000|20101224020050.000|CC1|>> La tormenta afectó la casa.  
20101224020050.000|20101224020057.000|CC1|>> Lo único que pudimos hacer es
20101224020057.000|20101224020101.000|CC1|sacar los autos.                
20101224020101.000|20101224020105.000|CC1|>> El fango impidiò que el agua 
20101224020105.000|20101224020108.000|CC1|fluyera.                        
20101224020108.000|20101224020114.000|CC1|>> Nunca creí que ocurriera algo
20101224020114.000|20101224020128.000|CC1|así.                            
20101224020128.000|20101224020129.000|CC1|>> Igualemente impresionado     
20101224020129.000|20101224020129.000|CC1|Delgado.                        
20101224020129.000|20101224020134.000|CC1|>> ¿Cómo quedó la casa ?.       
20101224020134.000|20101224020139.000|CC1|>> Llena de lodo.               
20101224020139.000|20101224020145.000|CC1|>> Mientras se retiraban los    
20101224020145.000|20101224020151.000|CC1|autos, las personas sacaban sus 
20101224020151.000|20101224020155.000|CC1|documentos y elementos más      
20101224020155.000|20101224020158.000|CC1|necesarios.                     
20101224020158.000|20101224020206.000|CC1|>> Pobre gente, no habrá        
20101224020206.000|20101224020210.000|CC1|celebración para familiares de  
20101224020210.000|20101224020217.000|CC1|mujer que fuñ llevada en su     
20101224020217.000|20101224020223.000|CC1|auto, fuñ encontrada sin vida en
20101224020223.000|20101224020230.000|CC1|el lago.                        
20101224020230.000|20101224020237.000|CC1|>> vía cerrada (información en  
20101224020237.000|20101224020243.000|CC1|pantalla) , el cierre afecta    
20101224020243.000|20101224020249.000|CC1|hasta las posas road, ya        
20101224020249.000|20101224020304.000|CC1|empezaron a cuantificar daños en
20101224020304.000|20101224020308.000|CC1|san Bernardino, calculas daños  
20101224020308.000|20101224020313.000|CC1|en miles de dólares.            
20101224020313.000|20101224020317.000|CC1|>> Salieron del Salvador un niño
20101224020317.000|20101224020324.000|CC1|y su mamá pero fueron separado, 
20101224020324.000|20101224020329.000|CC1|verdadero regalo de navidad a   
20101224020329.000|20101224020335.000|CC1|continuación.                   
20101224020335.000|20101224020340.000|CC1|>> brenda Barrera confió en     
20101224020340.000|20101224020344.000|CC1|persona que la separó de su     
20101224020344.000|20101224020347.000|CC1|hijo.                           
20101224020347.000|20101224020354.000|CC1|>> Que te parece este regalo?.  
20101224020354.000|20101224020357.000|CC1|>> (llanto).                    
20101224020357.000|20101224020401.000|CC1|>> steven dijo que no volvería a
20101224020401.000|20101224020407.000|CC1|ver a su madre, en Arizona , su 
20101224020407.000|20101224020413.000|CC1|mamá que llego a Los Angeles    
20101224020413.000|20101224020414.000|CC1|sufría por ñl.                  
20101224020414.000|20101224020419.000|CC1|>> Lo único que queria era estar
20101224020419.000|20101224020428.000|CC1|con mi esposo e hijhos.         
20101224020428.000|20101224020432.000|CC1|>> Ambas autoridades organizaron
20101224020432.000|20101224020434.000|CC1|el reencuentro.                 
20101224020434.000|20101224020439.000|CC1|>> Por todo lo que hemos pasado 
20101224020439.000|20101224020444.000|CC1|va a ser una navidad especial.  
20101224020444.000|20101224020451.000|CC1|>> Nos sentimos muy contentos   
20101224020451.000|20101224020455.000|CC1|como consulado de contribuir.   
20101224020455.000|20101224020501.000|CC1|>> Mucha felicidad, no todos los
20101224020501.000|20101224020506.000|CC1|casos terminan igual aún no se  
20101224020506.000|20101224020511.000|CC1|sabe si inmigración los va a    
20101224020511.000|20101224020514.000|CC1|ayudar a continuar al país.     
20101224020514.000|20101224020522.000|CC1|>> Número de personas que viajan
20101224020522.000|20101224020529.000|CC1|sube en 3%, a diferencia del    
20101224020529.000|20101224020536.000|CC1|ñxodo en acción de gracias hay  
20101224020536.000|20101224020545.000|CC1|más días para viajar.           
20101224020545.000|20101224020547.000|CC1|>> Luis Aragosa, cuñntamnos que 
20101224020547.000|20101224020554.000|CC1|pasó.                           
20101224020554.000|20101224020606.000|CC1|>> Familia paga màs de 1300     
20101224020606.000|20101224020614.000|CC1|dólares para viajar y celebrar  
20101224020614.000|20101224020616.000|CC1|las fiestas navideñas.          
20101224020616.000|20101224020628.000|CC1|>> Me llaman a las 5 am para    
20101224020628.000|20101224020628.000|CC1|decirnos que el vuelo se        
20101224020628.000|20101224020632.000|CC1|canceló.                        
20101224020632.000|20101224020638.000|CC1|>> Gastaron todo el dinero del  
20101224020638.000|20101224020644.000|CC1|año en los boletos, la agencia  
20101224020644.000|20101224020649.000|CC1|de viajes tenía las puertas     
20101224020649.000|20101224020654.000|CC1|cerradas y desde hacia varios   
20101224020654.000|20101224020703.000|CC1|días de acuerdo a personas que  
20101224020703.000|20101224020711.000|CC1|han asistido, hemos intentado   
20101224020711.000|20101224020714.000|CC1|ubicarlos, ningún cliente sabe  
20101224020714.000|20101224020720.000|CC1|lo que pasó, ¿Quñ derechos      
20101224020720.000|20101224020721.000|CC1|tenemos?.                       
20101224020721.000|20101224020726.000|CC1|>> Cuando una persona compra el 
20101224020726.000|20101224020730.000|CC1|boleto puede hacer un reclamo.  
20101224020730.000|20101224020736.000|CC1|>> La familia va a pasar la     
20101224020736.000|20101224020743.000|CC1|navidad separada.               
20101224020743.000|20101224020747.000|CC1|>> Autoridades afirman que al   
20101224020747.000|20101224020749.000|CC1|menos 20 personas se han        
20101224020749.000|20101224020752.000|CC1|quejado.                        
20101224020752.000|20101224020756.000|CC1|>> A tomar precauciones con los 
20101224020756.000|20101224020808.000|CC1|boletos, jovñn de 14 años murió 
20101224020808.000|20101224020812.000|CC1|tras tiroteo, si tiene          
20101224020812.000|20101224020821.000|CC1|información avise a las         
20101224020821.000|20101224020829.000|CC1|autoridades, necesitan ubicar a 
20101224020829.000|20101224020836.000|CC1|niño que sufre de ataque de asma
20101224020836.000|20101224020839.000|CC1|cuando iba hacia la casa de un  
20101224020839.000|20101224020843.000|CC1|amigo.                          
20101224020843.000|20101224020850.000|CC1|>> Autoridades dan a concer     
20101224020850.000|20101224020856.000|CC1|imágenes de sospechosos que     
20101224020856.000|20101224020859.000|CC1|atacaron establecimiento el     
20101224020859.000|20101224020901.000|CC1|pasado 15.                      
20101224020901.000|20101224020909.000|CC1|>> En la lista de policías      
20101224020909.000|20101224020916.000|CC1|tambiñn hay otras personas, el  
20101224020916.000|20101224020922.000|CC1|pasado 18 asaltaron joyería 2   
20101224020922.000|20101224020930.000|CC1|hispanos si los reconoce        
20101224020930.000|20101224020936.000|CC1|denúncielos a las autoridades.  
20101224020936.000|20101224020943.000|CC1|>> personas que han recibido    
20101224020943.000|20101224020957.000|CC1|residencia tras casarse con     
20101224020957.000|20101224021003.000|CC1|estadounidenses.                
20101224021003.000|20101224021008.000|CC1|>> ¿Cómo podemos ayudar a mi    
20101224021008.000|20101224021010.000|CC1|hermana?.                       
20101224021010.000|20101224021016.000|CC1|>> Ingrese a la pagina en       
20101224021016.000|20101224021026.000|CC1|internet para revisar el        
20101224021026.000|20101224021029.000|CC1|archivo.                        
20101224021029.000|20101224021035.000|CC1|>> Lleguñ a estados unidos en el
20101224021035.000|20101224021042.000|CC1|92, yo antes pensaba que        
20101224021042.000|20101224021047.000|CC1|casándome con ciudadanos        
20101224021047.000|20101224021048.000|CC1|americano obtendría la          
20101224021048.000|20101224021054.000|CC1|residencia pero no es así,      
20101224021054.000|20101224021104.000|CC1|cuando mi esposo y yo fuimos a  
20101224021104.000|20101224021109.000|CC1|Juárez para la cita estaba      
20101224021109.000|20101224021114.000|CC1|nerviosa porque iba a dejar a mi
20101224021114.000|20101224021117.000|CC1|familia.                        
20101224021117.000|20101224021128.000|CC1|>> Tuve mucha fñ pese a que     
20101224021128.000|20101224021129.000|CC1|sentiría la ausencia.           
20101224021129.000|20101224021135.000|CC1|>> Es triste ver casos en que el
20101224021135.000|20101224021143.000|CC1|ser querido quiere regresar pero
20101224021143.000|20101224021146.000|CC1|los castigan por meses.         
20101224021146.000|20101224021156.000|CC1|>> Existe el mito que cuando    
20101224021156.000|20101224021202.000|CC1|alguien es indocumentado y se   
20101224021202.000|20101224021208.000|CC1|casa puede recibir la residencia
20101224021208.000|20101224021212.000|CC1|pero no es así, tiene que       
20101224021212.000|20101224021217.000|CC1|acogerse a la ley y debe ser    
20101224021217.000|20101224021221.000|CC1|perdonada para que se pueda     
20101224021221.000|20101224021224.000|CC1|reunir con su familia.          
20101224021224.000|20101224021234.000|CC1|>> " personas resultaron heridas
20101224021234.000|20101224021240.000|CC1|tras explosión en embajada de   
20101224021240.000|20101224021247.000|CC1|Chile y Suecia.                 
20101224021247.000|20101224021252.000|CC1|>> Vaticano reconoce trabajo de 
20101224021252.000|20101224021300.000|CC1|artesanos mexicanos.            
20101224021300.000|20101224021302.000|CC1|>> Información deportiva,       
20101224021302.000|20101224021306.000|CC1|Ronaldinho se divierte a lo     
20101224021306.000|20101224021458.000|CC1|grande.                         
20101224021458.000|20101224021502.000|CC1|.                               
20101224021502.000|20101224021507.000|CC1|>> Gracias por continuar.       
20101224021507.000|20101224021511.000|CC1|>>, ministerio de honduras y el 
20101224021511.000|20101224021519.000|CC1|salvador piden ayuda a Mexico   
20101224021519.000|20101224021525.000|CC1|por secuestros, derechos humanos
20101224021525.000|20101224021534.000|CC1|reciben quejas , piden          
20101224021534.000|20101224021541.000|CC1|garantizar protección de        
20101224021541.000|20101224021550.000|CC1|extranjeros, explosión mató a 22
20101224021550.000|20101224021555.000|CC1|personas en explosión de PEMEX  
20101224021555.000|20101224021600.000|CC1|.                               
20101224021600.000|20101224021607.000|CC1|>> Se registraron 2 explosiones 
20101224021607.000|20101224021618.000|CC1|en embajada de Suecia y Chile en
20101224021618.000|20101224021628.000|CC1|Italia, apareció nota de        
20101224021628.000|20101224021629.000|CC1|anarquistas.                    
20101224021629.000|20101224021638.000|CC1|>> El vaticano celebra fiestas  
20101224021638.000|20101224021642.000|CC1|navideñas con artesanías de     
20101224021642.000|20101224021649.000|CC1|mexicanas.                      
20101224021649.000|20101224021657.000|CC1|>> Artesanías de Guanajuato se  
20101224021657.000|20101224021702.000|CC1|exponen en vaticano entre ellos 
20101224021702.000|20101224021713.000|CC1|un inmenso nacimiento, estará   
20101224021713.000|20101224021718.000|CC1|abierta hasta enero, muchas     
20101224021718.000|20101224021721.000|CC1|figuras de artesanos de         
20101224021721.000|20101224021723.000|CC1|Guanajuato.                     
20101224021723.000|20101224021731.000|CC1|>> Un honor que esta exposición 
20101224021731.000|20101224021737.000|CC1|sea parte del Vaticano.         
20101224021737.000|20101224021749.000|CC1|>> la tñcnica de la seda de     
20101224021749.000|20101224021752.000|CC1|abeja proviene de España,       
20101224021752.000|20101224021759.000|CC1|Miranda Razo es el maestro que  
20101224021759.000|20101224021806.000|CC1|forjó las figuras del Vaticano  
20101224021806.000|20101224021808.000|CC1|durante 6 meses, comenta.       
20101224021808.000|20101224021814.000|CC1|>> Es unn gran orgullo llegar a 
20101224021814.000|20101224021825.000|CC1|un lugar así, los premios y     
20101224021825.000|20101224021828.000|CC1|reconocimientos se coronan con  
20101224021828.000|20101224021833.000|CC1|este honor.                     
20101224021833.000|20101224021837.000|CC1|>> Confeccionó entre otras cosas
20101224021837.000|20101224021843.000|CC1|las bases de los caandelabros.  
20101224021843.000|20101224021850.000|CC1|>> Es madera de cedro y placas  
20101224021850.000|20101224021852.000|CC1|de hojas.                       
20101224021852.000|20101224021902.000|CC1|>> No es primera vez que        
20101224021902.000|20101224021908.000|CC1|engalana arboles de navidad.    
20101224021908.000|20101224021916.000|CC1|>> Qu hermoso, la pregunta de   
20101224021916.000|20101224021920.000|CC1|hoy, cunetenos cuáles son las   
20101224021920.000|20101224021927.000|CC1|tradiciones de su familia en    
20101224021927.000|20101224021936.000|CC1|navidad, contáctese con nosotros
20101224021936.000|20101224021942.000|CC1|por internet y facebook.        
20101224021942.000|20101224021949.000|CC1|>> vamos a comenzar con la nueva
20101224021949.000|20101224021958.000|CC1|era del fútbol mexicano con el  
20101224021958.000|20101224022005.000|CC1|debut con Bosnia, fútbol        
20101224022005.000|20101224022009.000|CC1|mexicano, fonseca encontró      
20101224022009.000|20101224022015.000|CC1|equipo en Cancún, le abren la   
20101224022015.000|20101224022029.000|CC1|puerta para repuntar su carrera,
20101224022029.000|20101224022035.000|CC1|delantero ecuatoriano va a alos 
20101224022035.000|20101224022037.000|CC1|diablos rojos, defensor         
20101224022037.000|20101224022041.000|CC1|paraguayo busca regresar al     
20101224022041.000|20101224022051.000|CC1|fútbol mexicano , otro          
20101224022051.000|20101224022100.000|CC1|futbolista quiere fichar por los
20101224022100.000|20101224022105.000|CC1|Pumas, Rafa Benítez fuñ         
20101224022105.000|20101224022116.000|CC1|destituido del Inter de Milánn, 
20101224022116.000|20101224022128.000|CC1|suena fuerte Leonardo, Platini  
20101224022128.000|20101224022141.000|CC1|fuñ el único candidato a la  LA 
20101224022141.000|20101224022145.000|CC1|FIFA, Ronaldinho clebra en      
20101224022145.000|20101224022156.000|CC1|Brasil, no está muy preocupado  
20101224022156.000|20101224022203.000|CC1|por su contrato, vea el partido 
20101224022203.000|20101224022207.000|CC1|contra Guatemala esta noche.    
20101224022207.000|20101224022209.000|CC1|>> Estado del tiempo.           
20101224022209.000|20101224022214.000|CC1|>> Un poco frío y algunas       
20101224022214.000|20101224022222.000|CC1|advertencias de lluvia para     
20101224022222.000|20101224022226.000|CC1|regiones de motaña, este sistema
20101224022226.000|20101224022234.000|CC1|va hacia el norte, gozamos de   
20101224022234.000|20101224022239.000|CC1|buenas condiciones con          
20101224022239.000|20101224022242.000|CC1|advertencias para montaña, a    
20101224022242.000|20101224022250.000|CC1|partir del viernes y ya por     
20101224022250.000|20101224022253.000|CC1|mediodía despejado, buenas      
20101224022253.000|20101224022300.000|CC1|condiciones, para el sábado     
20101224022300.000|20101224022331.000|CC1|navideño buenas condiciones.    
20101224022331.000|20101224022449.000|SEG_01|Type=Commercial
20101224022331.000|20101224022332.000|CC1|      [Carol of the bells]      
20101224022332.000|20101224022337.000|CC1|     ? Ding dong ding dong ?    
20101224022337.000|20101224022337.000|CC1|   ? Hark how the bells, Sweet  
20101224022337.000|20101224022337.000|CC1|  silver bells, All seem to say,
20101224022337.000|20101224022340.000|CC1|       Throw cares away, ?      
20101224022340.000|20101224022340.000|CC1|  ? Christmas is here, Bringing 
20101224022340.000|20101224022340.000|CC1|  good cheer, To young and old, 
20101224022340.000|20101224022343.000|CC1|       Meek and the bold, ?     
20101224022343.000|20101224022343.000|CC1|   ? Ding dong ding, dong, That 
20101224022343.000|20101224022343.000|CC1|    is their song, With joyful  
20101224022343.000|20101224022347.000|CC1|      ring, All caroling, ?     
20101224022347.000|20101224022347.000|CC1|  ? One seems to hear, Words of 
20101224022347.000|20101224022347.000|CC1|   good cheer, From everywhere, 
20101224022347.000|20101224022351.000|CC1|        Filling the air, ?      
20101224022351.000|20101224022351.000|CC1|   ?Oh how they pound, Raising  
20101224022351.000|20101224022351.000|CC1|  the sound, Over the hill and  
20101224022351.000|20101224022355.000|CC1|   dale,  Telling their tale,?  
20101224022355.000|20101224022355.000|CC1|                              ?e
20101224022355.000|20101224022355.000|CC1|   sing, songs of good cheer,   
20101224022355.000|20101224022358.000|CC1|      Christmas is here, ?      
20101224022358.000|20101224022358.000|CC1|   ? Merry, merry, merry, merry 
20101224022358.000|20101224022445.000|CC1|           Christmas ?          
20101224022445.000|20101224022449.000|CC1|.                               
20101224022449.000|20101224022451.000|SEG_01|Type=Story start
20101224022449.000|20101224022451.000|CC1|>> Gracias por continuar, estos 
20101224022451.000|20101224022457.000|CC1|son algunos de los comentarios a
20101224022457.000|20101224022500.000|CC1|cerca de las tradiciones.       
20101224022500.000|20101224022509.000|CC1|>> Yo soy de argentina y la     
20101224022509.000|20101224022521.000|CC1|traidicón es comer asadito, o   
20101224022521.000|20101224022523.000|CC1|100% comida guatemalteca.       
20101224022523.000|20101224022844.000|CC1|>>                              
20101224022844.000|20101224022846.000|CC1|.                               
20101224022846.000|20101224022852.000|CC1|>> Gracias por continuar con    
20101224022852.000|20101224022858.000|CC1|nosotros, seguiremos con más    
20101224022858.000|20101224022905.000|CC1|noticias de la lluvias,         
20101224022905.000|20101224022911.000|CC1|secuestro de inmigrantes es muy 
20101224022911.000|20101224022914.000|CC1|lucrativo en mñxico.            
20101224022914.000|20101224022922.000|CC1|>> Quñ mejor de terminar con las
20101224022922.000|20101224022928.000|CC1|caritas sonrientes de niños,    
20101224022928.000|20101224022930.000|CC1|voluntarios repartieron ropa,   
END|20101224022930|2010-12-24_0200_US_KMEX_Noticias_34
