TOP|20101224070001|2010-12-24_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|41d881e8-0f30-11e0-90dd-001517add6fa
DUR|0:34:29.33
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-23 23:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:49|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101224070004.000|20101224070004.000|XDS|%   RATING: (NOT RATED) (72)
20101224070004.000|20101224070004.000|XDS|%   LENGTH: 0:18:00 of 0:30:00
20101224070004.000|20101224070004.000|XDS|%     CALL:   
20101224070004.000|20101224070004.000|XDS|%    TITLE: Winx Club
20101224070005.000|20101224070005.000|XDS|% TIMECODE: 12/24 1:40
20101224070005.000|20101224070005.000|XDS|%   LENGTH: 12:24:00 of 1:40:00
20101224070005.000|20101224070005.000|XDS|%  NETWORK: CBS
20101224070004.000|20101224073430.000|SEG|Type=Story
20101224070004.000|20101224070018.000|CC1|SECONDS AWAY.                   
20101224070018.000|20101224070114.000|SEG_01|Type=Commercial
20101224070018.000|20101224070018.000|CC1|   [ Steve ] I WAS REGISTERING  
20101224070018.000|20101224070019.000|CC1|          MY CITI CARD          
20101224070019.000|20101224070020.000|CC1|  FOR THE HOLIDAY SWEEPSTAKES,  
20101224070020.000|20101224070020.000|CC1|        WHEN I GOT THIS TOY     
20101224070020.000|20101224070023.000|CC1|    FROM MY COLLEAGUE IN JAPAN. 
20101224070023.000|20101224070023.000|CC1|      TURNS OUT ROBOSAN WAS     
20101224070023.000|20101224070026.000|CC1|  THE HOTTEST TOY OF THE YEAR.  
20101224070026.000|20101224070026.000|CC1|  [ News TV ] ROBOSAN 4000 IS   
20101224070026.000|20101224070029.000|CC1|  SOLD OUT ACROSS THE COUNTRY.  
20101224070029.000|20101224070029.000|CC1|[ Steve ] I WAS GOING TO SELL IT
20101224070029.000|20101224070031.000|CC1|   ONLINE AND MAKE A FORTUNE.   
20101224070031.000|20101224070031.000|CC1|         BUT THEN, I WON        
20101224070031.000|20101224070034.000|CC1|      A $1,000 PREPAID CARD     
20101224070034.000|20101224070034.000|CC1|          JUST BECAUSE          
20101224070034.000|20101224070035.000|CC1|      I USED MY CITI CARD.      
20101224070035.000|20101224070037.000|CC1|      SO I MADE A DECISION,     
20101224070037.000|20101224070038.000|CC1|   IF CITI COULD SURPRISE ME,   
20101224070038.000|20101224070038.000|CC1|       WHY NOT DO THE SAME      
20101224070038.000|20101224070041.000|CC1|        FOR SOMEONE ELSE?       
20101224070041.000|20101224070041.000|CC1|        [ Male Announcer ]      
20101224070041.000|20101224070041.000|CC1|    REGISTER AND USE YOUR CARD  
20101224070041.000|20101224070043.000|CC1|       FOR A CHANCE TO WIN      
20101224070043.000|20101224070043.000|CC1|          A PREPAID CARD        
20101224070043.000|20101224070045.000|CC1|       WORTH UP TO $10,000.     
20101224070045.000|20101224070045.000|CC1|        WHAT'S YOUR STORY?      
20101224070045.000|20101224070114.000|CC1|   CITI CAN HELP YOU WRITE IT.  
20101224070114.000|20101224070116.000|SEG_01|Type=Story start
20101224070114.000|20101224070116.000|CC1|PAUL: TONIGHT, DOZENS OF        
20101224070116.000|20101224070119.000|CC1|FAMILIAR AND HOMELESS IN THE    
20101224070119.000|20101224070120.000|CC1|AFTERMATH OF THE STORM.         
20101224070120.000|20101224070122.000|CC1|WHILE SOME CLEAN UP OTHERS      
20101224070122.000|20101224070123.000|CC1|SHOW US WHAT THEY WENT          
20101224070123.000|20101224070125.000|CC1|THROUGH THE LAST SEVEN DAYS     
20101224070125.000|20101224070127.000|CC1|AND MORE RAIN MAYBE HEADING     
20101224070127.000|20101224070129.000|CC1|OUR WAY HERE'S THE LATEST.      
20101224070129.000|20101224070130.000|CC1|L.A. COUNTY IS FOUP UNDER A     
20101224070130.000|20101224070132.000|CC1|STATE OF EMERGENCY BECAUSE      
20101224070132.000|20101224070134.000|CC1|OF THE SKORMS.                  
20101224070134.000|20101224070135.000|CC1|DAMAGE ESTIMATES IN             
20101224070135.000|20101224070138.000|CC1|RIVERSIDE COUNTY ARE NEARING    
20101224070138.000|20101224070140.000|CC1|20 MILLION DOLLARS.             
20101224070140.000|20101224070141.000|CC1|MELISSA McCARTY IS LIVE IN      
20101224070141.000|20101224070143.000|CC1|HIGHLAND WHERE RESIDENTS        
20101224070143.000|20101224070144.000|CC1|JUMPS LEARNED WHEN THEY CAN     
20101224070144.000|20101224070146.000|CC1|GO BACK TO THEIR HOMES AND      
20101224070146.000|20101224070147.000|CC1|SAVE WHAT THEY CAN.             
20101224070147.000|20101224070148.000|CC1|>>Reporter: THAT'S RIGHT,       
20101224070148.000|20101224070150.000|CC1|SOME OF THOSE EVACUATION        
20101224070150.000|20101224070151.000|CC1|ORDERS HAVE BEEN LIFTED.        
20101224070151.000|20101224070152.000|CC1|OF THE HUNDRED PEOPLE           
20101224070152.000|20101224070154.000|CC1|AFFECTED A QUARTER OF THEM      
20101224070154.000|20101224070156.000|CC1|ARE AT LOCAL HOTELS SOME AT     
20101224070156.000|20101224070158.000|CC1|A SHELTER THE REST WITH         
20101224070158.000|20101224070159.000|CC1|FAMILY.                         
20101224070159.000|20101224070203.000|CC1|HERE AT MARIS AND CORTES, A     
20101224070203.000|20101224070205.000|CC1|PORTION OF THE NEIGHBORHOOD     
20101224070205.000|20101224070206.000|CC1|IS BLOCKED OFF.                 
20101224070206.000|20101224070208.000|CC1|ON THE OTHER HALF RESIDENTS     
20101224070208.000|20101224070209.000|CC1|HAVE JUST BEEN ALLOWED BACK     
20101224070209.000|20101224070214.000|CC1|IN TO RETURN TO THEIR HOMES.    
20101224070214.000|20101224070217.000|CC1|>> A BARRAGE OF QUESTIONS       
20101224070217.000|20101224070219.000|CC1|FROM EAGER RESIDENTS            
20101224070219.000|20101224070221.000|CC1|DISPLACED AFTER MUDSLIDES       
20101224070221.000|20101224070223.000|CC1|TOOK ON THE NEIGHBORHOODS       
20101224070223.000|20101224070226.000|CC1|ROADWAYS AND A BRIDGE IN        
20101224070226.000|20101224070226.000|CC1|HIGHLAND.                       
20101224070226.000|20101224070229.000|CC1|WHEN THE STORM HIT IT WAS AN    
20101224070229.000|20101224070230.000|CC1|EMERGENCY EXIT FOR MELISSA      
20101224070230.000|20101224070231.000|CC1|AND HER FAMILY.                 
20101224070231.000|20101224070232.000|CC1|>> WHEN WE CAME HERE WE         
20101224070232.000|20101224070234.000|CC1|FOUND THE REST OF OUR FAMILY    
20101224070234.000|20101224070236.000|CC1|CLIMBING OUT A WINDOW AND       
20101224070236.000|20101224070236.000|CC1|STUFF LIKE THAT.                
20101224070236.000|20101224070238.000|CC1|I WANT TO KNOW WHERE THEY       
20101224070238.000|20101224070239.000|CC1|ARE AND THIS IS THE FIRST       
20101224070239.000|20101224070241.000|CC1|TIME WE HAVE SEEN EACH OTHER    
20101224070241.000|20101224070242.000|CC1|SINCE THIS HAPPENED.            
20101224070242.000|20101224070242.000|CC1|>>Reporter: DAYS BEFORE         
20101224070242.000|20101224070244.000|CC1|CHRISTMAS THESE RESIDENTS       
20101224070244.000|20101224070244.000|CC1|TRIED THEIR BEST TO KEEP        
20101224070244.000|20101224070246.000|CC1|THEIR SPIRITS HIGH.             
20101224070246.000|20101224070248.000|CC1|>> YOU KNOW, YOU KIND OF        
20101224070248.000|20101224070251.000|CC1|DON'T KNOW WHAT TO DO NEXT.     
20101224070251.000|20101224070252.000|CC1|IT'S LIKE EVERY DAY WE WAIT     
20101224070252.000|20101224070253.000|CC1|FOR MEETINGS.                   
20101224070253.000|20101224070254.000|CC1|>>Reporter: OFFICIALS           
20101224070254.000|20101224070256.000|CC1|DELIVERED SOME GOOD NEWS.       
20101224070256.000|20101224070257.000|CC1|MANDATORY EVACUATIONS HAVE      
20101224070257.000|20101224070301.000|CC1|BEEN LIFTED FOR THE VILLAGE     
20101224070301.000|20101224070303.000|CC1|AREA.                           
20101224070303.000|20101224070305.000|CC1|KERRY PEREZ LIVED IN THE RED    
20101224070305.000|20101224070306.000|CC1|TAG ZONE.                       
20101224070306.000|20101224070308.000|CC1|>> WE LITERALLY HAD TO BE       
20101224070308.000|20101224070310.000|CC1|RESCUED OUT THE WINDOW BY       
20101224070310.000|20101224070311.000|CC1|FIRE AND WATER RESCUE           
20101224070311.000|20101224070312.000|CC1|BECAUSE THE WATER HIT SO        
20101224070312.000|20101224070314.000|CC1|FAST SO HARD WE HAD TO CLIMB    
20101224070314.000|20101224070316.000|CC1|OUT A BEDROOM WINDOW AND        
20101224070316.000|20101224070317.000|CC1|THEY TYPED ROPES AROUND US      
20101224070317.000|20101224070318.000|CC1|AND TOOK US OUT.                
20101224070318.000|20101224070320.000|CC1|>>Reporter: DESPITE THEIR       
20101224070320.000|20101224070321.000|CC1|PERSONAL AND FINANCIAL          
20101224070321.000|20101224070322.000|CC1|DEVASTATION EACH FAMILY IS      
20101224070322.000|20101224070325.000|CC1|FOCUSED ON A COMMON             
20101224070325.000|20101224070325.000|CC1|BLESSING.                       
20101224070325.000|20101224070326.000|CC1|>> WITH NOBODY DYING IN OUR     
20101224070326.000|20101224070327.000|CC1|SECTION IS A MIRACLE IN         
20101224070327.000|20101224070328.000|CC1|ITSELF.                         
20101224070328.000|20101224070329.000|CC1|EVERYBODY IS HAPPY THAT WE      
20101224070329.000|20101224070332.000|CC1|ARE ALL OKAY, A LITTLE TORE     
20101224070332.000|20101224070333.000|CC1|UP FROM THE EMOTION BUT WE      
20101224070333.000|20101224070335.000|CC1|WILL RECOVER FROM THAT.         
20101224070335.000|20101224070338.000|CC1|THEY'RE STILL ALIVE AND ALL     
20101224070338.000|20101224070339.000|CC1|THAT STUFF IS REPLACEABLE.      
20101224070339.000|20101224070342.000|CC1|>>Reporter: AT THE MEETING      
20101224070342.000|20101224070344.000|CC1|EMORY GATHERED HELPERS TO       
20101224070344.000|20101224070346.000|CC1|DELIVER GIFTS TO KIDS NOW       
20101224070346.000|20101224070347.000|CC1|HOMELESS FOR THE HOLIDAYS.      
20101224070347.000|20101224070349.000|CC1|>> WE GOT CASH DONATIONS HIT    
20101224070349.000|20101224070351.000|CC1|THE TOY STORES AND CAME BACK    
20101224070351.000|20101224070352.000|CC1|READY TO GO.                    
20101224070352.000|20101224070354.000|CC1|>> WE GOT THE MALL BIG TOYS     
20101224070354.000|20101224070356.000|CC1|AND THEY GOT AT LEAST THREE     
20101224070356.000|20101224070356.000|CC1|TOYS.                           
20101224070356.000|20101224070357.000|CC1|>>Reporter: TONIGHT             
20101224070357.000|20101224070358.000|CC1|RESIDENTS WERE ALSO TOLD        
20101224070358.000|20101224070400.000|CC1|THEIR CARS THAT ARE STUCK IN    
20101224070400.000|20101224070402.000|CC1|THE MUD WILL BE PULLED OUT      
20101224070402.000|20101224070405.000|CC1|AND TOWED TO ST. JOHN'S         
20101224070405.000|20101224070406.000|CC1|CHURCH FOR PICKUP.              
20101224070406.000|20101224070407.000|CC1|THAT'S THE LATEST IN            
20101224070407.000|20101224070408.000|CC1|HIGHLAND, MELISSA McCARTY       
20101224070408.000|20101224070408.000|CC1|"CBS2 NEWS".                    
20101224070408.000|20101224070411.000|CC1|PAUL: IT MAY BE DRY AND CALM    
20101224070411.000|20101224070412.000|CC1|OUT THERE NOW BUT THAT COULD    
20101224070412.000|20101224070414.000|CC1|CHANGE.                         
20101224070414.000|20101224070415.000|CC1|CBS2MENT EVELYN IS LIVE IN      
20101224070415.000|20101224070416.000|CC1|THE WEATHER CENTER TO TELL      
20101224070416.000|20101224070418.000|CC1|US WHEN MORE RAIN WILL MOVE     
20101224070418.000|20101224070419.000|CC1|IN.                             
20101224070419.000|20101224070420.000|CC1|>> WE ARE GETTING A QUICK       
20101224070420.000|20101224070422.000|CC1|BREAK BUT AS WE HEAD TO THE     
20101224070422.000|20101224070423.000|CC1|WEEKEND A DIFFERENT STORY       
20101224070423.000|20101224070424.000|CC1|FOR YOU, LOOKS LIKE             
20101224070424.000|20101224070425.000|CC1|CHRISTMAS COULD BE A LITTLE     
20101224070425.000|20101224070427.000|CC1|WET AND WE ARE GOING TO SHOW    
20101224070427.000|20101224070428.000|CC1|THAT YOU ON "FUTURECAST"        
20101224070428.000|20101224070429.000|CC1|LATER.                          
20101224070429.000|20101224070430.000|CC1|DO WANT TO SHOW YOU RADAR       
20101224070430.000|20101224070431.000|CC1|AND AS WE DO WE ARE LOOKING     
20101224070431.000|20101224070433.000|CC1|AT A STORM SYSTEM TO OUR        
20101224070433.000|20101224070434.000|CC1|NORTH THAT'S POTENTIALLY        
20101224070434.000|20101224070435.000|CC1|DROPPING DOWN TO OUR            
20101224070435.000|20101224070436.000|CC1|FORECAST LATER IN THE WEEK.     
20101224070436.000|20101224070437.000|CC1|EVERYTHING WE SAW FOR THE       
20101224070437.000|20101224070439.000|CC1|LAST WEEK WELL IT'S ALREADY     
20101224070439.000|20101224070441.000|CC1|PUSHED EASTWARD WAY OUT OF      
20101224070441.000|20101224070442.000|CC1|OUR FORECAST AREA SO THIS IS    
20101224070442.000|20101224070445.000|CC1|WHAT WE SAW OVER THE LAST       
20101224070445.000|20101224070446.000|CC1|WEEK OR SO, OVER AIPT INCHES    
20101224070446.000|20101224070451.000|CC1|OF RAIN DOWNTOWN, LAKE          
20101224070451.000|20101224070452.000|CC1|FOREST ABOUT TEN AND A HALF     
20101224070452.000|20101224070454.000|CC1|INCHES OF RAIN AND NOT          
20101224070455.000|20101224070455.000|XDS|% TIMECODE: 12/00 0:32
20101224070454.000|20101224070455.000|CC1|EXPECTING ANYTHING CLOSE TO     
20101224070455.000|20101224070456.000|CC1|THAT NEAR CHRISTMAS.            
20101224070456.000|20101224070458.000|CC1|WE ARE GOING TO HAVE YOUR       
20101224070458.000|20101224070459.000|CC1|EXTENDED FORECAST SOON.         
20101224070459.000|20101224070501.000|CC1|PAUL: A RIALTO MAN COULDN'T     
20101224070501.000|20101224070502.000|CC1|BELIEVE HIS EYES WHEN THE       
20101224070502.000|20101224070502.000|CC1|STREETS OF HIS NEIGHBORHOOD     
20101224070502.000|20101224070506.000|CC1|WERE OVERCOME WITH WATER.       
20101224070506.000|20101224070508.000|CC1|>> DON'T GO THIS WAY.           
20101224070508.000|20101224070510.000|CC1|PAUL: ONE MAN GRABBED HIS       
20101224070510.000|20101224070512.000|CC1|VIDEO CAMERA TO CAPTURE THE     
20101224070512.000|20101224070514.000|CC1|FLOODING.                       
20101224070514.000|20101224070515.000|CC1|CBS2'S STACEY BUTLER CHECKS     
20101224070515.000|20101224070516.000|CC1|OUT THE VIDEO YOU'LL SEE        
20101224070516.000|20101224070517.000|CC1|ONLY ON CBS2.                   
20101224070517.000|20101224070519.000|CC1|SHE JOINS US LIVE FROM          
20101224070519.000|20101224070520.000|CC1|RIALTO.                         
20101224070520.000|20101224070521.000|CC1|>>Reporter: PAUL ARE WE         
20101224070521.000|20101224070522.000|CC1|REALLY ALL THAT SURPRISE        
20101224070522.000|20101224070524.000|CC1|WHED TORRENTIAL RAINS WERE      
20101224070524.000|20101224070527.000|CC1|FALLING AND FLOOD FILLING       
20101224070527.000|20101224070529.000|CC1|HIS STREETS IT WAS THE GUY      
20101224070529.000|20101224070530.000|CC1|WHO GRABBED THE VIDEO CAMERA    
20101224070530.000|20101224070532.000|CC1|AND HIS WIFE CALLED NINE ONE    
20101224070532.000|20101224070533.000|CC1|AND STARTED FILLING UP SAND     
20101224070533.000|20101224070534.000|CC1|BAGS.                           
20101224070534.000|20101224070539.000|CC1|HERE'S THEIR STORY.             
20101224070539.000|20101224070544.000|CC1|>> HE VIDEOTAPES EVERYTHING.    
20101224070544.000|20101224070547.000|CC1|>>Reporter:ER CURRY DOESN'T     
20101224070547.000|20101224070549.000|CC1|MISS A CHANCE TO CATCH          
20101224070549.000|20101224070552.000|CC1|EVERYTHING ON TAPE.             
20101224070552.000|20101224070553.000|CC1|>> YOU'RE GOING TO FOUL OUT     
20101224070553.000|20101224070554.000|CC1|YOUR ENGINE.                    
20101224070554.000|20101224070555.000|CC1|BACK UP.                        
20101224070555.000|20101224070557.000|CC1|>> I'M A CAMERA HOUND.          
20101224070557.000|20101224070559.000|CC1|>>Reporter: SO WHEN FLOOD       
20101224070559.000|20101224070600.000|CC1|WATERS RUSHED INTO HIS          
20101224070600.000|20101224070601.000|CC1|RIALTO NEIGHBORHOOD HE WENT     
20101224070601.000|20101224070602.000|CC1|RIGHT TO WORK.                  
20101224070602.000|20101224070604.000|CC1|>> OH, I GOT MY CAMERA FIRST    
20101224070604.000|20101224070607.000|CC1|WENT OUTSIDE AND STARTED        
20101224070607.000|20101224070607.000|CC1|VIDEOTAPING THAT.               
20101224070607.000|20101224070609.000|CC1|>>Reporter: WHILE HIS WIFE      
20101224070609.000|20101224070609.000|CC1|TOOK ACTION.                    
20101224070609.000|20101224070611.000|CC1|>> I WAS VERY UPSET BECAUSE     
20101224070611.000|20101224070613.000|CC1|I WAS AT THE FIRE STATION       
20101224070613.000|20101224070614.000|CC1|FIRST FILLING SAND BAGS WITH    
20101224070614.000|20101224070617.000|CC1|MY NEIGHBOR AND I JUST KNEW     
20101224070617.000|20101224070620.000|CC1|HE WAS VIDEOTAPING THE          
20101224070620.000|20101224070620.000|CC1|CRAZINESS.                      
20101224070620.000|20101224070622.000|CC1|>>Reporter: WHEN LYTLE CREEK    
20101224070622.000|20101224070624.000|CC1|OVERFLOWED EARLIER THIS WEEK    
20101224070624.000|20101224070625.000|CC1|SENDING SEVERAL FEET OF         
20101224070625.000|20101224070626.000|CC1|WATER THROUGH HIS STREETS HE    
20101224070626.000|20101224070627.000|CC1|CAUGHT IT ALL ON TAPE.          
20101224070627.000|20101224070629.000|CC1|>> STAY BACK.                   
20101224070629.000|20101224070630.000|CC1|DON'T GET NEAR THE WATER.       
20101224070630.000|20101224070632.000|CC1|>>Reporter: ERIC'S              
20101224070632.000|20101224070632.000|CC1|SIX-YEAR-OLD SON DEREK WAS      
20101224070632.000|20101224070637.000|CC1|TERRIFIED.                      
20101224070637.000|20101224070638.000|CC1|>> WE ARE ALL GOING TO DIE.     
20101224070638.000|20101224070640.000|CC1|>> YOU REALLY THOUGHT THAT.     
20101224070640.000|20101224070640.000|CC1|>> MM-HMM.                      
20101224070640.000|20101224070642.000|CC1|>> WERE YOU SCARED?             
20101224070642.000|20101224070643.000|CC1|>> MM-HMM.                      
20101224070643.000|20101224070646.000|CC1|THE WATER WAS FLOODING LIKE     
20101224070646.000|20101224070648.000|CC1|BOTH WAYS.                      
20101224070648.000|20101224070649.000|CC1|IT WAS COLD.                    
20101224070649.000|20101224070650.000|CC1|>>Reporter: DEREK'S SISTER      
20101224070650.000|20101224070651.000|CC1|JULIA WASN'T AFRAID OF          
20101224070651.000|20101224070653.000|CC1|GETTING WET BUT FLOOD WATERS    
20101224070653.000|20101224070654.000|CC1|INSIDE THE FAMILY HOUSE         
20101224070654.000|20101224070655.000|CC1|COULD HAVE TAKEN OUT THE        
20101224070655.000|20101224070656.000|CC1|PRESENTS AND THE TREE, NOT      
20101224070656.000|20101224070659.000|CC1|TO MENTION THEIR 14-YEAR-OLD    
20101224070659.000|20101224070701.000|CC1|DOG, KELLY.                     
20101224070701.000|20101224070703.000|CC1|>> I DIDN'T KNOW WHAT WAS       
20101224070703.000|20101224070704.000|CC1|GOING TO HAPPEN.                
20101224070704.000|20101224070706.000|CC1|>>Reporter: ERIC CURRY          
20101224070706.000|20101224070709.000|CC1|DOESN'T REGRET GRABBING HIS     
20101224070709.000|20101224070711.000|CC1|CAMERA OVER A SANDBAG.          
20101224070711.000|20101224070712.000|CC1|CREWS QUICKLY DRAINED THE       
20101224070712.000|20101224070714.000|CC1|WATER AND THE ONLY PROOF OF     
20101224070714.000|20101224070715.000|CC1|THE FLOOD IS ON YOUTUBE.        
20101224070715.000|20101224070716.000|CC1|>> ARE YOU KIDDING ME?          
20101224070716.000|20101224070718.000|CC1|IF THERE'S EVER TIME TO         
20101224070718.000|20101224070719.000|CC1|VIDEOTAPE THIS IS THE TIME.     
20101224070719.000|20101224070722.000|CC1|>>Reporter: THE CURRYS HAVE     
20101224070722.000|20101224070724.000|CC1|LIVED ON THAT STREET 13         
20101224070724.000|20101224070725.000|CC1|YEARS AND STAYED THEY'VE        
20101224070725.000|20101224070729.000|CC1|NEVER SEEN ANYTHING LIKE IT.    
20101224070729.000|20101224070731.000|CC1|ALL'S WELL THAT ENDS WELL.      
20101224070731.000|20101224070732.000|CC1|LIVE IN RIALTO STACEY BUTLER    
20101224070732.000|20101224070733.000|CC1|"CBS2 NEWS".                    
20101224070733.000|20101224070734.000|CC1|PAUL: ONE DEATH IS BEING        
20101224070734.000|20101224070736.000|CC1|BLAMED ON THE STORMS.           
20101224070736.000|20101224070736.000|CC1|RIVERSIDE COUNTY                
20101224070736.000|20101224070737.000|CC1|INVESTIGATORS SAY A WOMAN       
20101224070737.000|20101224070738.000|CC1|DIED YESTERDAY WHEN HER CAR     
20101224070738.000|20101224070741.000|CC1|WAS SWEPT OFF A FLOODED READ    
20101224070741.000|20101224070741.000|CC1|INTO CANYON LAKE.               
20101224070741.000|20101224070743.000|CC1|HER BODY WAS FOUND IN HER       
20101224070743.000|20101224070744.000|CC1|SUBMERGED VEHICLE.              
20101224070744.000|20101224070746.000|CC1|PARTS OF CORONA AIRPORT ARE     
20101224070746.000|20101224070748.000|CC1|STILL UNDER WATER TONIGHT.      
20101224070748.000|20101224070750.000|CC1|THEY SCRAMBLED TO HAUL          
20101224070750.000|20101224070752.000|CC1|PLANES TO DRYER GROUND.         
20101224070752.000|20101224070753.000|CC1|AIRPORT OFFICIALS ARE           
20101224070753.000|20101224070756.000|CC1|WORKING WITH THE ARMY CORPS     
20101224070756.000|20101224070757.000|CC1|OF ENGINEERS SHOULD MORE        
20101224070757.000|20101224070758.000|CC1|RAIN COME.                      
20101224070758.000|20101224070800.000|CC1|IT WAS A DRAMATIC RESCUE AT     
20101224070800.000|20101224070801.000|CC1|THE HEIGHT OF THE RAGING        
20101224070801.000|20101224070802.000|CC1|STORM AND FLOOD IN LAGUNA       
20101224070802.000|20101224070802.000|CC1|BEACH.                          
20101224070802.000|20101224070804.000|CC1|DAVE BRYAN HAS THE STORY OF     
20101224070804.000|20101224070806.000|CC1|HOW ONE FAMILY HEROICLY         
20101224070806.000|20101224070807.000|CC1|SAVED ANOTHER.                  
20101224070807.000|20101224070809.000|CC1|>> THE WATER ROSE SO FAST IT    
20101224070809.000|20101224070810.000|CC1|WAS INCREDIBLE.                 
20101224070810.000|20101224070811.000|CC1|>>Reporter: WHEN EXECUTIVE      
20101224070811.000|20101224070813.000|CC1|CHEF MATTHEW PIKE WAS           
20101224070813.000|20101224070814.000|CC1|AWAKENED IN THE MIDDLE OF       
20101224070814.000|20101224070815.000|CC1|THE NIGHT EARLY WEDNESDAY       
20101224070815.000|20101224070817.000|CC1|WITH A POUNDING RAIN STORM      
20101224070817.000|20101224070819.000|CC1|OUTSIDE THE SOUNDS HE HEARD     
20101224070819.000|20101224070819.000|CC1|SHOCKED HIM.                    
20101224070819.000|20101224070821.000|CC1|>> WOKE TO SOME SCREAMING       
20101224070821.000|20101224070823.000|CC1|SOUNDS AND SOMEBODY YELLING     
20101224070823.000|20101224070825.000|CC1|HELP ME HELP ME AND I SAW       
20101224070825.000|20101224070827.000|CC1|THREE LADIES AND TWO SMALL      
20101224070827.000|20101224070827.000|CC1|CHILDREN TUCKED INTO THE        
20101224070827.000|20101224070830.000|CC1|BACK OF A PICKUP TRUCK          
20101224070830.000|20101224070831.000|CC1|HANGING ON SCREAMING FOR        
20101224070831.000|20101224070831.000|CC1|HELP.                           
20101224070831.000|20101224070832.000|CC1|>>Reporter: PIKE AND HIS        
20101224070832.000|20101224070835.000|CC1|SON'S RAN OUT IN BARE FEET      
20101224070835.000|20101224070836.000|CC1|AND SHORTS.                     
20101224070836.000|20101224070838.000|CC1|HE TIED A GARDEN HOSE TO THE    
20101224070838.000|20101224070840.000|CC1|PORCH PILLARS AND HIS SON       
20101224070840.000|20101224070841.000|CC1|WADED INTO THE WATER AND        
20101224070841.000|20101224070843.000|CC1|CARRIED A LITTLE BOY TO         
20101224070843.000|20101224070845.000|CC1|SAFETY, A BOY WHO WAS           
20101224070845.000|20101224070846.000|CC1|RECOVERING FROM A BROKEN LEG    
20101224070846.000|20101224070848.000|CC1|AND WAS HANGING ON FOR DEAR     
20101224070848.000|20101224070848.000|CC1|LIFE.                           
20101224070848.000|20101224070850.000|CC1|>> IT WAS HARD TO KIND OF       
20101224070850.000|20101224070852.000|CC1|HOLD HIM AND I HAD THE HOSE     
20101224070852.000|20101224070854.000|CC1|UNDER MY ARM AND AS WE WERE     
20101224070854.000|20101224070855.000|CC1|GOING HE WAS HOLDING SO         
20101224070855.000|20101224070858.000|CC1|TIGHT HE WAS CHOKING ME SO I    
20101224070858.000|20101224070900.000|CC1|HAD TO FEEL AROUND WITH MY      
20101224070900.000|20101224070902.000|CC1|FEET AND SEE IF ANYTHING WAS    
20101224070902.000|20101224070902.000|CC1|IN THE WATER AND JUST GO        
20101224070902.000|20101224070904.000|CC1|ACROSS.                         
20101224070904.000|20101224070905.000|CC1|>>Reporter: HE WAS HANGING      
20101224070905.000|20101224070907.000|CC1|ON FOR DEAR LIFE.               
20101224070907.000|20101224070908.000|CC1|>> HE WAS VERY SCARED.          
20101224070908.000|20101224070910.000|CC1|>>Reporter: DYLAN'S BROTHER     
20101224070910.000|20101224070915.000|CC1|HOLDING THETH ARE HOSE          
20101224070915.000|20101224070916.000|CC1|JUMPED IN TO HELP BUT HE        
20101224070916.000|20101224070918.000|CC1|WATCHED IN HORROR AS HIS        
20101224070918.000|20101224070920.000|CC1|PRIZE POSSESSION A 2008         
20101224070920.000|20101224070922.000|CC1|DODGE CHARGER WAS CARRIED       
20101224070922.000|20101224070924.000|CC1|AWAY BY THE RAGING FLOOD        
20101224070924.000|20101224070925.000|CC1|WATERS.                         
20101224070925.000|20101224070926.000|CC1|>> IT WAS A 2008 DODGE          
20101224070926.000|20101224070928.000|CC1|CHARGER I WAS FINANCING.        
20101224070928.000|20101224070930.000|CC1|I'VE HAD ABOUT A YEAR AND A     
20101224070930.000|20101224070931.000|CC1|HALF, STILL OWE QUITE A BIT     
20101224070931.000|20101224070936.000|CC1|OF MONEY ON IT.                 
20101224070936.000|20101224070937.000|CC1|>>Reporter: THEY FISHED THE     
20101224070937.000|20101224070938.000|CC1|CAR OUT OF THE CREEK, WHAT      
20101224070938.000|20101224070940.000|CC1|WAS LEFT OF IT, BATTERED AND    
20101224070940.000|20101224070942.000|CC1|RUINED DOWNSTREAM AFTER A       
20101224070942.000|20101224070943.000|CC1|BRUISING TRIP.                  
20101224070943.000|20101224070945.000|CC1|STILL CARTER PIKE HAS NO        
20101224070945.000|20101224070946.000|CC1|REGRETS ABOUT HIS ACTIONS.      
