TOP|20101224150001|2010-12-24_1500_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|f51a8416-0f9b-11e0-a5a5-001517add6fa
DUR|0:59:29.29
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-24 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:24:23|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101224150002.000|20101224150002.000|XDS|%  NETWORK: CBS
20101224150002.000|20101224150002.000|XDS|%     CALL:   
20101224150003.000|20101224150003.000|XDS|%    TITLE: Program Name
20101224150010.000|20101224150011.000|SEG|Type=Story
20101224150010.000|20101224150011.000|CC1|>>> OBAMA SURIT                 
20101224150011.000|20101224150022.000|SEG|Type=Story
20101224150011.000|20101224150012.000|CC1|>>> OBAMA SECURITY SCARE.       
20101224150012.000|20101224150014.000|CC1|A MAN FLEEING POLICE            
20101224150014.000|20101224150018.000|CC1|ACCIDENTALLY CROSSES A SECURITY 
20101224150018.000|20101224150018.000|CC1|CHECKPOINT OUTSIDE THE          
20101224150018.000|20101224150020.000|CC1|PRESIDENT'S HAWAII VACATION     
20101224150020.000|20101224150020.000|CC1|SPOT.                           
20101224150020.000|20101224150022.000|CC1|WE'LL GO LIVE TO HAWAII FOR THE 
20101224150022.000|20101224150022.000|CC1|DETAILS.                        
20101224150022.000|20101224150032.000|SEG|Type=Story
20101224150022.000|20101224150023.000|CC1|>>> CHRISTMAS RUSH.             
20101224150023.000|20101224150026.000|CC1|SOME 92 MILLION AMERICANS       
20101224150026.000|20101224150027.000|CC1|HITTING THE ROADS AND SKIES FOR 
20101224150027.000|20101224150028.000|CC1|THE HOLIDAY WEEK.               
20101224150028.000|20101224150030.000|CC1|WE'LL TELL YOU IF NASTY WEATHER 
20101224150030.000|20101224150032.000|CC1|WILL STOP YOU FROM GETTING HOME 
20101224150032.000|20101224150032.000|CC1|FOR CHRISTMAS.                  
20101224150032.000|20101224150101.000|SEG|Type=Story
20101224150032.000|20101224150033.000|CC1|>>> SHOPPING FRENZY.            
20101224150033.000|20101224150035.000|CC1|MILLIONS ARE STILL FLOODING THE 
20101224150035.000|20101224150038.000|CC1|STORES IN SEARCH OF THAT PERFECT
20101224150038.000|20101224150038.000|CC1|GIFT.                           
20101224150038.000|20101224150039.000|CC1|>> A NEW CAMERA.                
20101224150039.000|20101224150041.000|CC1|>> A TEDDY BEAR.                
