TOP|20101224233001|2010-12-24_2330_US_KCAL_Inside_Edition
COL|Communication Studies Archive, UCLA 
UID|da45f8e6-0fb9-11e0-86aa-001517add6fa
DUR|0:29:29.33
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-24 15:30 America/Los_Angeles
SEG_01|2014-02-03 01:06:50|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101224233004.000|20101224233014.000|SEG|Type=Story
20101224233004.000|20101224233005.000|CC1|THE FOOTBALL PLAYER WHO MOVED   
20101224233005.000|20101224233008.000|CC1|IN WITH A FAMILY, JUST LIKE THE 
20101224233008.000|20101224233009.000|CC1|MOVIE "THE BLIND SIDE."         
20101224233009.000|20101224233010.000|CC1|>> THERE ARE SO MANY THINGS     
20101224233010.000|20101224233011.000|CC1|THAT I COULD RELATE TO.         
20101224233011.000|20101224233014.000|CC1|>> REAL LIFE "BLIND SIDE."      
20101224233014.000|20101224233027.000|SEG|Type=Story
20101224233014.000|20101224233017.000|CC1|>>> PLUS, DEAD MAN'S CURVE.     
20101224233017.000|20101224233018.000|CC1|IMAGINE DRIVING THIS ROAD TO    
20101224233018.000|20101224233024.000|CC1|WORK EVERY DAY, LANDSLIDES, NO  
20101224233024.000|20101224233025.000|CC1|GUARDRAILS.                     
20101224233025.000|20101224233027.000|CC1|THE WORLD'S DEADLIEST ROADS.    
20101224233027.000|20101224233038.000|SEG|Type=Story
20101224233027.000|20101224233029.000|CC1|>>> THEN, HE'S THE TOOTHLESS    
20101224233029.000|20101224233034.000|CC1|STAR OF THOSE CONTROVERSIAL BUM 
20101224233034.000|20101224233034.000|CC1|FIGHT VIDEOS.                   
20101224233034.000|20101224233037.000|CC1|NOW RUFUS THE BUM'S DRAMATIC    
20101224233037.000|20101224233037.000|CC1|MAKEOVER.                       
20101224233037.000|20101224233038.000|CC1|>> THE NEW RUFFY.               
20101224233038.000|20101224233048.000|SEG|Type=Story
20101224233038.000|20101224233039.000|CC1|>>> AND HOW TO DECORATE YOUR    
20101224233039.000|20101224233041.000|CC1|HOME FOR THE HOLIDAYS FOR       
20101224233041.000|20101224233042.000|CC1|LITTLE OR NO MONEY.             
20101224233042.000|20101224233044.000|CC1|>> EVEN IN THIS ECONOMY         
20101224233044.000|20101224233048.000|CC1|HOLIDAYS CAN STILL BE FESTIVE.  
20101224233048.000|20101224233054.000|SEG|Type=Story
20101224233048.000|20101224233050.000|CC1|>>> NOW "INSIDE EDITION" WITH   
20101224233050.000|20101224233051.000|CC1|DEBORAH NORVILLE.               
20101224233051.000|20101224233052.000|CC1|>> Deborah: HELLO, EVERYBODY    
20101224233052.000|20101224233052.000|CC1|AND THANKS FOR JOINING US       
20101224233052.000|20101224233054.000|CC1|DURING YOUR CHRISTMAS HOLIDAYS. 
20101224233054.000|20101224233318.000|SEG|Type=Story
20101224233054.000|20101224233055.000|CC1|>>> ON THIS SPECIAL TIME OF     
20101224233055.000|20101224233057.000|CC1|YEAR WE WILL BE LOOKING BACK AT 
20101224233057.000|20101224233059.000|CC1|SOME AMAZING PEOPLE WHO HAVE    
20101224233059.000|20101224233100.000|CC1|INSPIRED US OVER THE LAST YEAR  
20101224233100.000|20101224233102.000|CC1|BUT FIRST TODAY A TERRIFYING    
20101224233102.000|20101224233103.000|CC1|MOMENT, A WOMAN WAS HOME ALONE  
20101224233103.000|20101224233105.000|CC1|AND SOMEONE BREAKS IN SO SHE    
20101224233105.000|20101224233107.000|CC1|HIDES AND CALLS 911.            
20101224233107.000|20101224233109.000|CC1|AND YOU WON'T BELIEVE WHO THE   
20101224233109.000|20101224233111.000|CC1|BURGLAR ENDED UP BEING.         
20101224233111.000|20101224233113.000|CC1|AS DIANE McINERNEY REPORTS, IT  
20101224233113.000|20101224233114.000|CC1|WAS THE BANK.                   
20101224233114.000|20101224233115.000|CC1|>> I'M DEFINITELY RIGHT HERE IN 
20101224233115.000|20101224233117.000|CC1|THE BATHROOM WITH THE DOOR      
20101224233117.000|20101224233120.000|CC1|LOCKED, SCARED OUT OF MY MIND.  
20101224233120.000|20101224233121.000|CC1|>> PUT YOURSELF IN THIS WOMAN'S 
20101224233121.000|20101224233124.000|CC1|SHOES, YOU'RE HOME ALONE WHEN   
20101224233124.000|20101224233125.000|CC1|SUDDENLY YOU HEAR SOMEONE       
20101224233125.000|20101224233125.000|CC1|BREAKING INTO YOUR HOUSE.       
20101224233125.000|20101224233127.000|CC1|SO YOU RUN INTO THE BATHROOM TO 
20101224233127.000|20101224233129.000|CC1|HIDE AND CALL 911.              
20101224233129.000|20101224233130.000|CC1|>> WHAT IS YOUR EMERGENCY?      
20101224233130.000|20101224233132.000|CC1|>> SOMEBODY IS TRYING TO BREAK  
20101224233132.000|20101224233132.000|CC1|INTO MY HOUSE.                  
