TOP|20101225020001|2010-12-25_0200_US_KCET_Newshour_with_Jim_Lehrer
COL|Communication Studies Archive, UCLA 
UID|ff846b6a-0fd2-11e0-8372-001517add60e
DUR|0:59:29.83
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-24 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:25:08|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101225020034.000|20101225025930.000|SEG|Type=Story
20101225020034.000|20101225020043.000|SEG_01|Type=Commercial
20101225020034.000|20101225020034.000|CC1| Captioning sponsored by        
20101225020034.000|20101225020043.000|CC1| MacNEIL/LEHRER PRODUCTIONS     
20101225020043.000|20101225020044.000|SEG_01|Type=Story start
20101225020043.000|20101225020044.000|CC1|>> Brown: GOOD EVENING.         
20101225020044.000|20101225020045.000|CC1|I'M JEFFREY BROWN.              
20101225020045.000|20101225020047.000|CC1|LAST-MINUTE SHOPPING HELPED     
20101225020047.000|20101225020048.000|CC1|BOLSTER A SURPRISINGLY GOOD     
20101225020048.000|20101225020050.000|CC1|HOLIDAY SEASON FOR RETAILERS.   
20101225020050.000|20101225020051.000|CC1|>> Warner: AND I'M MARGARET     
20101225020051.000|20101225020052.000|CC1|WARNER.                         
20101225020052.000|20101225020053.000|CC1|ON THE "NEWSHOUR" THIS CHRISTMAS
20101225020053.000|20101225020054.000|CC1|EVE, WE TALK TO RETAIL ANALYST  
20101225020054.000|20101225020055.000|CC1|DANA TELSEY ABOUT WHAT'S BEHIND 
20101225020055.000|20101225020058.000|CC1|THE STRONG SALES NUMBERS.       
20101225020058.000|20101225020100.000|CC1|>> Brown: THEN, WE HEAR FROM NEW
20101225020100.000|20101225020101.000|CC1|MEXICO GOVERNOR BILL RICHARDSON,
20101225020101.000|20101225020104.000|CC1|JUST BACK FROM NORTH KOREA.     
20101225020104.000|20101225020104.000|CC1|>> Warner: LINDSEY HILSUM OF    
20101225020104.000|20101225020106.000|CC1|"INDEPENDENT TELEVISION NEWS"   
