TOP|20101225023001|2010-12-25_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|0008d63e-0fd3-11e0-a9b0-001517add6fa
DUR|0:29:29.03
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-24 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:25:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101225023006.000|20101225023006.000|XDS|%  NETWORK: ABC
20101225023006.000|20101225023006.000|XDS|%   RATING: (NOT RATED) (72)
20101225023006.000|20101225023006.000|XDS|%    TITLE: ABC WORLD NEWS W/DIANE SAWYER
20101225023007.000|20101225023007.000|XDS|%     CALL:   
20101225023007.000|20101225023007.000|XDS|% TIMECODE: 12/24 20:30
20101225023007.000|20101225023007.000|XDS|%   LENGTH: 0:57:00 of 1:30:00
20101225023009.000|20101225023018.000|SEG|Type=Story
20101225023009.000|20101225023010.000|CC1|>>> ON "WORLD NEWS" THIS        
20101225023010.000|20101225023012.000|CC1|CHRISTMAS EVE, TOUGH SLEDDING.  
20101225023012.000|20101225023014.000|CC1|A MAJOR STORM MAKING HOLIDAY    
20101225023014.000|20101225023014.000|CC1|TRAVEL TREACHEROUS FOR MILLIONS 
20101225023014.000|20101225023016.000|CC1|TONIGHT.                        
20101225023016.000|20101225023017.000|CC1|WHERE IS THIS SYSTEM HEADED     
20101225023017.000|20101225023018.000|CC1|NEXT?                           
20101225023018.000|20101225023029.000|SEG|Type=Story
20101225023018.000|20101225023019.000|CC1|>>> REVERSAL OF FORTUNE.        
20101225023019.000|20101225023020.000|CC1|EARLY NUMBERS TONIGHT.          
20101225023020.000|20101225023022.000|CC1|COULD SALES THIS SHOPPING SEASON
20101225023022.000|20101225023023.000|CC1|ACTUALLY TURN OUT TO BE THE BEST
20101225023023.000|20101225023024.000|CC1|EVER?                           
20101225023024.000|20101225023026.000|CC1|AND OUR REPORTER WITH ONE       
20101225023026.000|20101225023027.000|CC1|QUESTION, WHAT'S THE BIGGEST    
20101225023027.000|20101225023029.000|CC1|DEAL THE DAY AFTER?             
20101225023029.000|20101225023034.000|SEG|Type=Story
20101225023029.000|20101225023029.000|CC1|>>> EXTREME MAKEOVER AT THE     
20101225023029.000|20101225023030.000|CC1|WHITE HOUSE.                    
20101225023030.000|20101225023031.000|CC1|PRESIDENT OBAMA AND HIS NEW     
20101225023031.000|20101225023032.000|CC1|PLANS.                          
20101225023032.000|20101225023034.000|CC1|WHO IS IN AND WHO IS OUT?       
20101225023034.000|20101225023043.000|SEG|Type=Story
20101225023034.000|20101225023035.000|CC1|>>> BING BEWARE?                
20101225023035.000|20101225023036.000|CC1|WHY THE NUMBER ONE CHRISTMAS    
20101225023036.000|20101225023039.000|CC1|CROONER, BING CROSBY, IS GETTING
20101225023039.000|20101225023039.000|CC1|SOME COMPETITION FROM A         
20101225023039.000|20101225023042.000|CC1|10-YEAR-OLD.                    
20101225023042.000|20101225023043.000|CC1|JUDGE FOR YOURSELF.             
20101225023043.000|20101225023101.000|SEG|Type=Story
20101225023043.000|20101225023044.000|CC1|>>> AND SUITING UP TONIGHT.     
20101225023044.000|20101225023045.000|CC1|COULD YOU SURVIVE SANTA SCHOOL. 
20101225023045.000|20101225023046.000|CC1|HOW OLD IS RUDOLPH?             
20101225023046.000|20101225023047.000|CC1|HOW MANY ELVES ARE THERE?       
20101225023047.000|20101225023048.000|CC1|A QUIZ, STRAIGHT FROM OUR       
20101225023048.000|20101225023101.000|CC1|"PERSON OF THE WEEK."           
20101225023057.000|20101225023057.000|XDS|%   LENGTH: 0:58:00 of 1:30:00
20101225023101.000|20101225023329.000|SEG|Type=Story
20101225023101.000|20101225023102.000|CC1|>>> GOOD EVENING ON THIS        
20101225023102.000|20101225023103.000|CC1|CHRISTMAS EVE.                  
20101225023103.000|20101225023104.000|CC1|IF YOU ARE WATCHING US TONIGHT, 
20101225023104.000|20101225023106.000|CC1|AND WE'RE GLAD YOU ARE, CHANCES 
20101225023106.000|20101225023107.000|CC1|ARE YOU'VE ALREADY ARRIVED AT   
20101225023107.000|20101225023108.000|CC1|YOUR CHRISTMAS DESTINATION, AND 
20101225023108.000|20101225023110.000|CC1|THAT'S A GOOD THING.            
20101225023110.000|20101225023112.000|CC1|92 MILLION AMERICANS ARE        
20101225023112.000|20101225023113.000|CC1|TRAVELING THIS HOLIDAY, MOST ON 
20101225023113.000|20101225023114.000|CC1|THE HIGHWAYS.                   
20101225023114.000|20101225023116.000|CC1|BUT TONIGHT, A WINTER STORM IS  
20101225023116.000|20101225023117.000|CC1|TURNING MANY OF THOSE HIGHWAYS  
20101225023117.000|20101225023120.000|CC1|INTO SHEETS OF ICE AND SNOW.    
20101225023120.000|20101225023122.000|CC1|THE STORM IS PUSHING ACROSS THE 
20101225023122.000|20101225023123.000|CC1|MIDWEST, HEADING SOUTH AND      
20101225023123.000|20101225023124.000|CC1|EASTWARD, AND BARBARA PINTO     
20101225023124.000|20101225023124.000|CC1|STARTS US OFF JUST OUTSIDE A    
20101225023124.000|20101225023125.000|CC1|VERY SNOWY CHICAGO TONIGHT.     
20101225023125.000|20101225023127.000|CC1|BARBARA?                        
20101225023127.000|20101225023128.000|CC1|GOOD EVENING.                   
20101225023128.000|20101225023129.000|CC1|>> Reporter: GOOD EVENING,      
20101225023129.000|20101225023131.000|CC1|DAVID.                          
20101225023131.000|20101225023133.000|CC1|9 OUT OF 10 OF THOSE TRAVELERS  
20101225023133.000|20101225023134.000|CC1|WILL BE OUT HERE ON THE ROADS   
20101225023134.000|20101225023136.000|CC1|DRIVING, AND IT'S NOT EASY      
20101225023136.000|20101225023136.000|CC1|AROUND HERE.                    
20101225023136.000|20101225023138.000|CC1|IT TOOK US OVER AN HOUR TO GO   
20101225023138.000|20101225023140.000|CC1|BARELY 20 MILES ON THIS ROAD,   
20101225023140.000|20101225023142.000|CC1|INTERSTATE 90 TONIGHT.          
20101225023142.000|20101225023144.000|CC1|IT'S PRETTY TO LOOK AT, BUT     
20101225023144.000|20101225023146.000|CC1|ANYBODY DREAMING OF A WHITE     
20101225023146.000|20101225023147.000|CC1|CHRISTMAS THIS YEAR IS NOT      
20101225023147.000|20101225023150.000|CC1|BEHIND THE WHEEL.               
20101225023150.000|20101225023155.000|CC1|ICE AND SNOW WILL FROST HALF THE
20101225023155.000|20101225023157.000|CC1|NATION WITH A POTENTIAL TO      
20101225023157.000|20101225023158.000|CC1|WREAK HOLIDAY TRAFFIC FROM COAST
20101225023158.000|20101225023158.000|XDS|%   LENGTH: 0:59:00 of 1:30:00
20101225023158.000|20101225023159.000|CC1|TO COAST.                       
20101225023159.000|20101225023159.000|CC1|>> SOUTHERN CALIFORNIA STAYING  
20101225023159.000|20101225023200.000|CC1|DRY BUT BY CHRISTMAS DAY NIGHT, 
20101225023200.000|20101225023201.000|CC1|ANOTHER STORM MOVING IN.        
20101225023201.000|20101225023201.000|CC1|>> JUST NORTHEAST OF CEDAR      
20101225023201.000|20101225023202.000|CC1|RAPIDS, FOUR TO EIGHT INCHES.   
20101225023202.000|20101225023203.000|CC1|>> IN ATLANTA, OUR FIRST        
20101225023203.000|20101225023206.000|CC1|SNOWFALL ON CHRISTMAS SINCE '93.
20101225023206.000|20101225023208.000|CC1|AND OUR FIRST MEASURABLE SNOW   
20101225023208.000|20101225023209.000|CC1|SINCE BACK IN THE 1800s.        
20101225023209.000|20101225023212.000|CC1|>> Reporter: IN MINNESOTA, MORE 
20101225023212.000|20101225023213.000|CC1|SNOW TODAY ON TOP OF A RECORD 33
20101225023213.000|20101225023217.000|CC1|INCHES.                         
20101225023217.000|20101225023219.000|CC1|NEAR CHICAGO, PETE IALLO HAS    
20101225023219.000|20101225023222.000|CC1|BEEN SPREADING SALT ALL DAY.    
20101225023222.000|20101225023223.000|CC1|SAFE TRAVELS, HIS GIFT TO LAST  
20101225023223.000|20101225023224.000|CC1|MINUTE SHOPPERS.                
20101225023224.000|20101225023228.000|CC1|>> EVEN THOUGH IT'S CHRISTMAS,  
20101225023228.000|20101225023229.000|CC1|THE JOB'S GOT TO GET DONE.      
20101225023229.000|20101225023229.000|CC1|>> Reporter: UP TO TEN FEET OF  
20101225023229.000|20101225023231.000|CC1|HEAVY, WET SNOW SPARKED         
20101225023231.000|20101225023233.000|CC1|AVALANCHE WARNINGS IN UTAH,     
20101225023233.000|20101225023234.000|CC1|COLORADO AND NEVADA, WHERE THE  
20101225023234.000|20101225023236.000|CC1|DANGER FORCED SOME TO EVACUATE. 
20101225023236.000|20101225023237.000|CC1|>> OUR ROOF OVER THE ATTIC IS   
20101225023237.000|20101225023238.000|CC1|BUCKLING.                       
20101225023238.000|20101225023239.000|CC1|>> Reporter: WEATHER ISN'T THE  
20101225023239.000|20101225023240.000|CC1|ONLY HURDLE.                    
20101225023240.000|20101225023243.000|CC1|FOR THE FIRST CHRISTMAS EVER,   
20101225023243.000|20101225023244.000|CC1|GASOLINE IS MORE THAN $3 A      
20101225023244.000|20101225023245.000|CC1|GALLON.                         
20101225023245.000|20101225023246.000|CC1|PART OF THE REASON TRAINS AND   
20101225023246.000|20101225023248.000|CC1|BUSES ARE FULL.                 
20101225023248.000|20101225023252.000|CC1|>> IT'S A CHEAPER OPTION THAN   
20101225023252.000|20101225023252.000|CC1|DRIVING AND A LOT CHEAPER THAN  
20101225023252.000|20101225023253.000|CC1|FLYING.                         
20101225023253.000|20101225023255.000|CC1|>> Reporter: AS THE SNOW ROLLED 
20101225023255.000|20101225023257.000|CC1|INTO CHICAGO THIS AFTERNOON,    
20101225023257.000|20101225023300.000|CC1|MASTER SERGEANT VIC CAME HOME   
20101225023300.000|20101225023302.000|CC1|FOR CHRISTMAS FROM IRAQ.        
20101225023302.000|20101225023303.000|CC1|>> FIRST THING I DO, I'M GOING  
20101225023303.000|20101225023303.000|XDS|%   LENGTH: 1:00:00 of 1:30:00
20101225023303.000|20101225023304.000|CC1|TO ROLL IN THE SNOW.            
20101225023304.000|20101225023307.000|CC1|IT'S GREAT TO BE HOME.          
20101225023307.000|20101225023308.000|CC1|>> Reporter: PLENTY OF SNOW FOR 
20101225023308.000|20101225023309.000|CC1|HIM TO ROLL AROUND IN.          
20101225023309.000|20101225023311.000|CC1|FOUR INCHES HERE.               
20101225023311.000|20101225023312.000|CC1|MORE THAN AN INCH OF SNOW IN    
20101225023312.000|20101225023314.000|CC1|PLACES NOT USED TO THIS KIND OF 
20101225023314.000|20101225023315.000|CC1|WEATHER, ATLANTA AND THE        
20101225023315.000|20101225023315.000|CC1|CAROLINAS.                      
20101225023315.000|20101225023317.000|CC1|DELTA HAS ALREADY CANCELED      
20101225023317.000|20101225023318.000|CC1|HUNDREDS OF FLIGHTS THERE AS A  
20101225023318.000|20101225023319.000|CC1|PRECAUTION.                     
20101225023319.000|20101225023320.000|CC1|DAVID?                          
20101225023320.000|20101225023321.000|CC1|>> BUT IT IS GOOD TO SEE THE    
20101225023321.000|20101225023324.000|CC1|TRAFFIC MOVING THERE BEHIND     
20101225023324.000|20101225023326.000|CC1|YOU, AND BARBARA, MERRY         
20101225023326.000|20101225023326.000|CC1|CHRISTMAS TO YOU AND THE CREW   
20101225023326.000|20101225023329.000|CC1|STANDING OUTSIDE WITH YOU.      
20101225023329.000|20101225023429.000|SEG|Type=Story
20101225023329.000|20101225023331.000|CC1|>>> METEOROLOGIST CHIKAGE       
20101225023331.000|20101225023333.000|CC1|WINDLER IS IN MINNEAPOLIS,      
20101225023333.000|20101225023334.000|CC1|TRACKING THE STORM TONIGHT.     
20101225023334.000|20101225023336.000|CC1|AND THE TWO BIG QUESTIONS, WHERE
20101225023336.000|20101225023337.000|CC1|IS IT RIGHT NOW AND WHERE IT IS 
20101225023337.000|20101225023338.000|CC1|HEADED NEXT?                    
20101225023338.000|20101225023339.000|CC1|>> WELL, THE STORM SYSTEM THAT  
20101225023339.000|20101225023340.000|CC1|WAS OVER MINNESOTA THIS MORNING 
20101225023340.000|20101225023342.000|CC1|AND BROUGHT US RECORD DECEMBER  
20101225023342.000|20101225023343.000|CC1|SNOWFALL NOW HAS PUSHED OFF TO  
20101225023343.000|20101225023346.000|CC1|THE SOUTH AND EAST, IMPACTS     
20101225023346.000|20101225023348.000|CC1|IOWA, ILLINOIS, INDIANA AND IT  
20101225023348.000|20101225023348.000|CC1|IS GOING TO CONTINUE TO DIGGING 
20101225023348.000|20101225023353.000|CC1|SOUTH.                          
20101225023353.000|20101225023354.000|CC1|THERE ARE CURRENTLY WINTER      
20101225023354.000|20101225023355.000|CC1|WEATHER ADVISORIES FOR POTENTIAL
20101225023355.000|20101225023356.000|CC1|OF SNOW ALL THE WAY INTO        
20101225023356.000|20101225023356.000|CC1|NORTHERN GEORGIA AND THROUGH    
20101225023356.000|20101225023357.000|CC1|PORTIONS OF THE CAROLINAS.      
20101225023357.000|20101225023358.000|CC1|DAVID?                          
20101225023358.000|20101225023359.000|CC1|>> AND I KNOW THE STORM IS      
20101225023359.000|20101225023400.000|CC1|HEADED FAR EAST, AND YOU WERE   
20101225023400.000|20101225023402.000|CC1|TELLING ME EARLIER WHEN WE WERE 
20101225023402.000|20101225023403.000|CC1|TALKING IN THE NEWS ROOM THAT   
20101225023403.000|20101225023404.000|CC1|THE TIMING OF THIS IS WHAT MOST 
20101225023404.000|20101225023406.000|CC1|CONCERNS YOU.                   
20101225023406.000|20101225023406.000|XDS|%   LENGTH: 1:01:00 of 1:30:00
20101225023406.000|20101225023408.000|CC1|>> THAT'S EXACTLY RIGHT.        
20101225023408.000|20101225023409.000|CC1|YOU KNOW, OVER THE LAST THREE   
20101225023409.000|20101225023410.000|CC1|HOURS, WE WATCHED AS THE SNOW   
20101225023410.000|20101225023412.000|CC1|HAS BEEN PUSHING TO THE SOUTH   
20101225023412.000|20101225023415.000|CC1|AND EAST, BUT IT IS LIKELY TO   
20101225023415.000|20101225023416.000|CC1|MERGE WITH AN AREA OF LOW       
20101225023416.000|20101225023419.000|CC1|PRESSURE BY SUNDAY AND INTO     
20101225023419.000|20101225023420.000|CC1|MONDAY WHICH COULD POTENTIALLY  
20101225023420.000|20101225023424.000|CC1|FORM A MAJOR NOR'EASTER AND THAT
