TOP|20101225023001|2010-12-25_0230_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|002dd574-0fd3-11e0-9146-001517add720
DUR|0:29:27.03
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-24 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:25:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101225023003.000|20101225023019.000|SEG|Type=Story
20101225023003.000|20101225023004.000|CC1|BRINGING THE HOLIDAY SPIRIT TO  
20101225023004.000|20101225023005.000|CC1|PEOPLE WHO ARE SOMETIMES        
20101225023005.000|20101225023006.000|CC1|FORGOTTEN.                      
20101225023006.000|20101225023008.000|CC1|"NIGHTLY NEWS" BEGINS NOW.      
20101225023008.000|20101225023020.000|SEG_01|Type=Commercial
20101225023008.000|20101225023008.000|CC1|     CAPTIONS PAID FOR BY       
20101225023008.000|20101225023019.000|CC1|    NBC-UNIVERSAL TELEVISION    
20101225023019.000|20101225023021.000|SEG|Type=Story
20101225023019.000|20101225023020.000|CC1|>>> GOOD EVENING.               
20101225023020.000|20101225023020.000|SEG_01|Type=Story start
20101225023020.000|20101225023020.000|CC1|I'M CARL QUINTANILLA IN TONIGHT 
20101225023020.000|20101225023021.000|CC1|FOR BRIAN WILLIAMS.             
20101225023021.000|20101225023232.000|SEG|Type=Story
20101225023021.000|20101225023023.000|CC1|>>> ON THIS CHRISTMAS EVE, AS   
20101225023023.000|20101225023025.000|CC1|AMERICANS RUSH HOME FOR THE     
20101225023025.000|20101225023026.000|CC1|HOLIDAYS, THE WEATHER IS        
20101225023026.000|20101225023027.000|CC1|THREATENING TO COMPLICATE       
20101225023027.000|20101225023028.000|CC1|THINGS.                         
20101225023028.000|20101225023030.000|CC1|SNOW IN THE MIDWEST AND THE     
20101225023030.000|20101225023031.000|CC1|SOUTH HAS PROMPTED HUNDREDS OF  
20101225023031.000|20101225023033.000|CC1|FLIGHT CANCELLATIONS.           
20101225023033.000|20101225023034.000|CC1|EUROPEAN FLIGHTS IN PARIS HAVE  
20101225023034.000|20101225023035.000|CC1|TURNED INTO NIGHTMARES.         
20101225023035.000|20101225023038.000|CC1|ALL THAT ON TOP OF A NEW        
20101225023038.000|20101225023039.000|CC1|SECURITY MEASURE WHICH COULD    
20101225023039.000|20101225023041.000|CC1|IMPACT YOUR NEXT SCREENING AT   
20101225023041.000|20101225023042.000|CC1|THE AIRPORT.                    
20101225023042.000|20101225023044.000|CC1|NBC'S RON MOTT IS LIVE TONIGHT  
20101225023044.000|20101225023045.000|CC1|IN ATLANTA'S JACKSON AIRPORT.   
20101225023045.000|20101225023046.000|CC1|RON, GOOD EVENING.              
20101225023046.000|20101225023047.000|CC1|>> Reporter: CARL, GOOD EVENING 
20101225023047.000|20101225023048.000|CC1|TO YOU.                         
20101225023048.000|20101225023050.000|CC1|THE WEATHER DIDN'T CAUSE A LOT  
20101225023050.000|20101225023051.000|CC1|OF HAVOC TODAY FOR AIR TRAVEL,  
20101225023051.000|20101225023052.000|CC1|BUT TOMORROW COULD BE A MUCH    
20101225023052.000|20101225023053.000|CC1|DIFFERENT STORY.                
20101225023053.000|20101225023055.000|CC1|FOR ALL OF YOU FLYING OVER THE  
20101225023055.000|20101225023057.000|CC1|HOLIDAYS, EXPECT TO SEE         
20101225023057.000|20101225023057.000|CC1|SOMETHING NEW AT SECURITY       
20101225023057.000|20101225023100.000|CC1|CHECKPOINTS.                    
20101225023100.000|20101225023101.000|CC1|THERMOSES ARE THE LATEST ITEMS  
20101225023101.000|20101225023103.000|CC1|TO DRAW SPECIAL ATTENTION FROM  
20101225023103.000|20101225023104.000|CC1|THE TSA.                        
20101225023104.000|20101225023106.000|CC1|CONCERN WOULD BE TERRORISTS MAY 
20101225023106.000|20101225023107.000|CC1|TRY TO HIDE EXPLOSIVES INSIDE.  
20101225023107.000|20101225023110.000|CC1|AS A RESULT, INSULATED BEVERAGE 
20101225023110.000|20101225023112.000|CC1|CONTAINERS COULD FACE ADDITIONAL
20101225023112.000|20101225023113.000|CC1|SCREENING.                      
20101225023113.000|20101225023115.000|CC1|>> IT'S JUST ANOTHER HASSLE WE  
20101225023115.000|20101225023117.000|CC1|HAVE TO DEAL WITH.              
20101225023117.000|20101225023119.000|CC1|>> Reporter: LAST CHRISTMAS, A  
20101225023119.000|20101225023120.000|CC1|NIGERIAN MAN FAILED TO DETONATE 
20101225023120.000|20101225023123.000|CC1|A BOMB HIDDEN IN HIS UNDERWEAR. 
20101225023123.000|20101225023125.000|CC1|>> THIS IS A VERY GOOD VEHICLE  
20101225023125.000|20101225023127.000|CC1|FOR AN IMPROVISED EXPLOSIVE.    
20101225023127.000|20101225023128.000|CC1|>> Reporter: ANALYST MICHAEL    
20101225023128.000|20101225023130.000|CC1|SHEEHAN CAUTIONS TRAVELERS NOT  
20101225023130.000|20101225023132.000|CC1|TO READ TOO MUCH INTO THIS      
20101225023132.000|20101225023133.000|CC1|LATEST WARNING.                 
20101225023133.000|20101225023135.000|CC1|>> THIS HAPPENS EVERY YEAR BUT  
20101225023135.000|20101225023137.000|CC1|DOESN'T NECESSARILY MEAN THERE'S
20101225023137.000|20101225023138.000|CC1|SPECIFIC INFORMATION REGARDING  
20101225023138.000|20101225023140.000|CC1|AN ATTACK AGAINST THE UNITED    
20101225023140.000|20101225023140.000|CC1|STATES.                         
20101225023140.000|20101225023142.000|CC1|>> Reporter: ALL ACROSS THE     
20101225023142.000|20101225023144.000|CC1|U.S., HOLIDAY TRAVEL IS TESTING 
20101225023144.000|20101225023145.000|CC1|PATIENCE, DRIVING SKILLS AND    
20101225023145.000|20101225023147.000|CC1|WALLETS.                        
20101225023147.000|20101225023149.000|CC1|AND A POWERFUL WINTER STORM     
20101225023149.000|20101225023150.000|CC1|DUMPED SNOW ON MINNESOTA AND    
20101225023150.000|20101225023150.000|CC1|IOWA.                           
20101225023150.000|20101225023152.000|CC1|A SYSTEM MOVING INTO THE SOUTH  
20101225023152.000|20101225023154.000|CC1|AND EAST.                       
20101225023154.000|20101225023155.000|CC1|NATIONWIDE, GAS PRICES HAVE HIT 
20101225023155.000|20101225023157.000|CC1|$3 A GALLON, A CHRISTMAS FIRST. 
20101225023157.000|20101225023200.000|CC1|>> IT IS A LITTLE INSANE.       
20101225023200.000|20101225023202.000|CC1|$3 TNT 26 FOR A GALLON OF GAS.  
20101225023202.000|20101225023203.000|CC1|>> Reporter: TODAY, MOST OF THE 
20101225023203.000|20101225023205.000|CC1|HOLIDAY RUSH APPEARS ALREADY    
20101225023205.000|20101225023206.000|CC1|OVER, AT LEAST FOR NOW.         
20101225023206.000|20101225023208.000|CC1|LIGHT TRAFFIC IN CHICAGO.       
20101225023208.000|20101225023210.000|CC1|>> PLANE RIDE WAS GOOD.         
20101225023210.000|20101225023211.000|CC1|NO REAL DELAYS ANYWHERE.        
20101225023211.000|20101225023213.000|CC1|>> Reporter: AT THE WORLD'S     
20101225023213.000|20101225023214.000|CC1|BUSIEST AIRPORT IN ATLANTA,     
20101225023214.000|20101225023215.000|CC1|SMOOTH SAILING THROUGH SECURITY,
20101225023215.000|20101225023218.000|CC1|UNDER TEN MINUTES.              
20101225023218.000|20101225023220.000|CC1|IT MAY NOT BE SMOOTH SAILING FOR
20101225023220.000|20101225023220.000|CC1|LONG.                           
20101225023220.000|20101225023222.000|CC1|IT'S SUPPOSED TO SNOW IN ATLANTA
20101225023222.000|20101225023223.000|CC1|TOMORROW.                       
20101225023223.000|20101225023224.000|CC1|ALREADY, DELTA AIRLINES HAS     
20101225023224.000|20101225023226.000|CC1|CANCELED SOME 500 FLIGHTS, ABOUT
20101225023226.000|20101225023228.000|CC1|300 OF THOSE SET TO TAKE OFF    
20101225023228.000|20101225023229.000|CC1|FROM ATLANTA.                   
20101225023229.000|20101225023229.000|CC1|CARL?                           
20101225023229.000|20101225023230.000|CC1|>> RON MOTT IN ATLANTA.         
20101225023230.000|20101225023232.000|CC1|RON, THANKS FOR THAT.           
20101225023232.000|20101225023335.000|SEG|Type=Story
20101225023232.000|20101225023233.000|CC1|>>> SO WHO WILL HAVE A WHITE    
20101225023233.000|20101225023235.000|CC1|CHRISTMAS AND WHERE MIGHT THE   
20101225023235.000|20101225023236.000|CC1|TRAVEL HEADACHES BE FOR THE REST
20101225023236.000|20101225023237.000|CC1|OF THE WEEKEND?                 
20101225023237.000|20101225023241.000|CC1|FOR THAT, WE TURN TO THE WEATHER
20101225023241.000|20101225023243.000|CC1|CHANNEL'S SAMANTHA MOORE.       
20101225023243.000|20101225023245.000|CC1|>> ABOUT HALF OF THE NATION WILL
20101225023245.000|20101225023250.000|CC1|HAVE A WHITE CHRISTMAS.         
20101225023250.000|20101225023252.000|CC1|THE LAST FEW DAYS, THAT LOW IS  
20101225023252.000|20101225023253.000|CC1|GOING TO BE MOVING ACROSS THE   
20101225023253.000|20101225023255.000|CC1|SOUTH, TRANSITIONS TO RAIN TO   
20101225023255.000|20101225023257.000|CC1|SLEET TO SNOW ACROSS THE ATLANTA
20101225023257.000|20101225023259.000|CC1|AREA, IN THROUGH CHARLOTTE AND  
20101225023259.000|20101225023301.000|CC1|RALEIGH-DURHAM, AS WE HEAD INTO 
