TOP|20101226020001|2010-12-26_0200_US_KNBC_KNBC_Saturday_News
COL|Communication Studies Archive, UCLA 
UID|2a403bee-109c-11e0-b655-001517add60e
DUR|0:59:29.19
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-25 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:25:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101226020013.000|20101226020029.000|SEG|Type=Story
20101226020013.000|20101226020014.000|CC1|>>> SOUTHERN CALIFORNIA IS STILL
20101226020014.000|20101226020016.000|CC1|CLEANING UP AFTER A RECENT      
20101226020016.000|20101226020016.000|CC1|DEVASTATING STORM.              
20101226020016.000|20101226020019.000|CC1|NOW NEW CONCERNS AS A CHRISTMAS 
20101226020019.000|20101226020019.000|CC1|NIGHT STORM BARRELS INTO        
20101226020019.000|20101226020029.000|CC1|SOUTHERN CALIFORNIA.            
20101226020029.000|20101226020220.000|SEG|Type=Story
20101226020029.000|20101226020031.000|CC1|>>> GOOD EVENING TO YOU AND     
20101226020031.000|20101226020033.000|CC1|MERRY CHRISTMAS.                
20101226020033.000|20101226020034.000|CC1|SOUTHERN CALIFORNIA'S SHORT     
20101226020034.000|20101226020035.000|CC1|BREAK FROM THE RAIN WILL END    
20101226020035.000|20101226020036.000|CC1|SOMETIME TONIGHT.               
20101226020036.000|20101226020037.000|CC1|ANOTHER STORM IS HEADING OUR    
20101226020037.000|20101226020038.000|CC1|WAY.                            
20101226020038.000|20101226020039.000|CC1|LET'S GIVE YOU A LIVE LOOK FROM 
20101226020039.000|20101226020041.000|CC1|OUR CAMERA THERE AT SNOW SUMMIT.
20101226020041.000|20101226020042.000|CC1|IT WAS DEFINITELY A WHITE       
20101226020042.000|20101226020043.000|CC1|CHRISTMAS FOR SKIERS AND        
20101226020043.000|20101226020044.000|CC1|SNOWBOARDERS ALIKE.             
20101226020044.000|20101226020045.000|CC1|WHAT ABOUT THOSE OF US LIVING IN
20101226020045.000|20101226020047.000|CC1|THE LOWER ELEVATIONS?           
20101226020047.000|20101226020048.000|CC1|CARL BELL IS HERE WITH THE      
20101226020048.000|20101226020050.000|CC1|LATEST ON WHAT WE CAN ALL       
20101226020050.000|20101226020050.000|CC1|EXPECT.                         
20101226020050.000|20101226020052.000|CC1|MERRY CHRISTMAS, CARL.          
20101226020052.000|20101226020055.000|CC1|>> HEY, MERRY CHRISTMAS.        
20101226020055.000|20101226020058.000|CC1|THE STORM ITSELF JUST WEST OF   
20101226020058.000|20101226020058.000|CC1|LAX RIGHT NOW.                  
20101226020058.000|20101226020100.000|CC1|IT'S JUST ENTERING THE SANTA    
20101226020100.000|20101226020101.000|CC1|MONICA BAY.                     
20101226020101.000|20101226020103.000|CC1|LAX IS DRY RIGHT NOW, BUT JUST  
20101226020103.000|20101226020105.000|CC1|TO THE WEST OF THERE, YOU'LL SEE
20101226020105.000|20101226020106.000|CC1|THE RAINFALL.                   
20101226020106.000|20101226020108.000|CC1|JUST SITTING WEST OF LAX.       
20101226020108.000|20101226020109.000|CC1|IT'S MARCHING TOWARDS THE EAST, 
20101226020109.000|20101226020113.000|CC1|BUT AS IT DOES, YOU CAN SEE     
20101226020113.000|20101226020116.000|CC1|THERE IS LIGHT RAIN, BUT THE    
20101226020116.000|20101226020121.000|CC1|AREAS OF YELLOW AND ORANGE ARE  
20101226020121.000|20101226020121.000|CC1|HEAVIER RAIN.                   
20101226020121.000|20101226020123.000|CC1|THE WEATHER SERVICE HAS JUST    
20101226020123.000|20101226020129.000|CC1|ISSUED AN URBAN AND SMALL-STREAM
20101226020129.000|20101226020129.000|CC1|FLOOD ADVISORY FOR THOUSAND OAKS
20101226020129.000|20101226020132.000|CC1|AND VENTURA COUNTY AS THAT      
20101226020132.000|20101226020133.000|CC1|RAINFALL BAND COMES ON SHORE.   
20101226020133.000|20101226020136.000|CC1|WE'VE HAD PLENTY OF RAIN AHEAD  
20101226020136.000|20101226020138.000|CC1|OF THIS WEATHER SYSTEM.         
20101226020138.000|20101226020139.000|CC1|ADDITIONAL RAINFALL COULD       
20101226020139.000|20101226020140.000|CC1|TRIGGER SOME PROBLEMS.          
20101226020140.000|20101226020142.000|CC1|AS YOU CAN SEE, NOTHING COMING  
20101226020142.000|20101226020144.000|CC1|IN EAST OF MALIBU JUST YET.     
20101226020144.000|20101226020145.000|CC1|BUT IT IS JUST OFFSHORE,        
20101226020145.000|20101226020147.000|CC1|BEGINNING TO MOVE ON SHORE.     
20101226020147.000|20101226020149.000|CC1|OUR OTHER SHOT WE'LL TAKE A LOOK
20101226020149.000|20101226020150.000|CC1|AT WILL BE SATELLITE THAT WILL  
20101226020150.000|20101226020152.000|CC1|SHOW YOU THE BAND OF CLOUDS     
20101226020152.000|20101226020154.000|CC1|SITTING OFFSHORE AND OUR WEATHER
20101226020154.000|20101226020156.000|CC1|HEADLINES INTO THIS EVENING.    
20101226020156.000|20101226020157.000|CC1|BASICALLY, RAIN AND SNOW.       
20101226020157.000|20101226020159.000|CC1|SNOW HAS PROMPTED A WINTER      
20101226020159.000|20101226020201.000|CC1|WEATHER ADVISORY FOR OUR LOCAL  
20101226020201.000|20101226020202.000|CC1|MOUNTAINS.                      
20101226020202.000|20101226020204.000|CC1|BLOWING SNOW, REDUCED           
20101226020204.000|20101226020205.000|CC1|VISIBILITIES COULD BE HAZARDOUS 
20101226020205.000|20101226020207.000|CC1|AT TIMES.                       
20101226020207.000|20101226020208.000|CC1|AND THE FLOOD ADVISORY FOR      
20101226020208.000|20101226020211.000|CC1|VENTURA COUNTY.                 
20101226020211.000|20101226020212.000|CC1|WE'LL PROBABLY START POSTING    
20101226020212.000|20101226020213.000|CC1|WATCHES AND ADVISORIES AS THE   
20101226020213.000|20101226020214.000|CC1|STORM MOVES FROM THE WEST OVER  
20101226020214.000|20101226020215.000|CC1|TOWARD THE EAST.                
20101226020215.000|20101226020217.000|CC1|I'LL BE BACK WITH THE EXTENDED  
20101226020217.000|20101226020219.000|CC1|FORECAST IN A FEW MINUTES.      
20101226020219.000|20101226020219.000|CC1|CHRIS?                          
20101226020219.000|20101226020220.000|CC1|>> ALL RIGHT, THANK YOU.        
20101226020220.000|20101226020449.000|SEG|Type=Story
20101226020220.000|20101226020222.000|CC1|>>> THE LATEST RAIN IS A CONCERN
20101226020222.000|20101226020225.000|CC1|TO THOSE LIVING IN THE FLOOD    
20101226020225.000|20101226020226.000|CC1|ZONES.                          
20101226020226.000|20101226020228.000|CC1|THE THREAT OF MUDSLIDES STILL   
20101226020228.000|20101226020231.000|CC1|VERY REAL.                      
20101226020231.000|20101226020232.000|CC1|HI, GINA.                       
20101226020232.000|20101226020233.000|CC1|>> HEY THERE, CHRIS.            
20101226020233.000|20101226020235.000|CC1|I TALKED TO SEVERAL OF THE      
20101226020235.000|20101226020235.000|CC1|NEIGHBORS HERE.                 
20101226020235.000|20101226020237.000|CC1|A LOT OF THEM DIDN'T EVEN KNOW  
20101226020237.000|20101226020239.000|CC1|THAT WAS SUPPOSED TO RAIN       
20101226020239.000|20101226020241.000|CC1|TONIGHT.                        
20101226020241.000|20101226020242.000|CC1|WHEN THEY LEARNED THAT WE COULD 
20101226020242.000|20101226020244.000|CC1|GET UP TO AN INCH AND A HALF    
20101226020244.000|20101226020246.000|CC1|HERE TONIGHT INTO TOMORROW,     
20101226020246.000|20101226020248.000|CC1|THEIR GENERAL REACTION WAS,     
20101226020248.000|20101226020249.000|CC1|WELL, HERE WE GO AGAIN.         
20101226020249.000|20101226020251.000|CC1|WE'LL JUST HAVE TO SEE WHAT     
20101226020251.000|20101226020251.000|CC1|HAPPENS.                        
20101226020251.000|20101226020252.000|CC1|RIGHT NOW THERE IS A LOT OF FOG 
20101226020252.000|20101226020253.000|CC1|UP HERE.                        
20101226020253.000|20101226020254.000|CC1|NO RAIN YET.                    
20101226020254.000|20101226020256.000|CC1|EVERYONE UP HERE KNOWS THOSE    
20101226020256.000|20101226020258.000|CC1|HILLS ARE COMPLETELY SATURATED. 
20101226020258.000|20101226020300.000|CC1|NO ONE CAN PREDICT WHAT A LITTLE
20101226020300.000|20101226020302.000|CC1|BIT MORE RAIN WILL DO.          
20101226020302.000|20101226020304.000|CC1|ONE OF THOSE WHO IS BETTER      
20101226020304.000|20101226020310.000|CC1|PREPARED THAN OTHERS IS DALE    
20101226020310.000|20101226020310.000|CC1|REVIS.                          
20101226020310.000|20101226020312.000|CC1|NOW THAT THE BIG WEEK-LONG STORM
20101226020312.000|20101226020315.000|CC1|HAS COME AND GONE, HE FEELS LIKE
20101226020315.000|20101226020316.000|CC1|THE WORST IS OVER.              
20101226020316.000|20101226020317.000|CC1|BUT UP HERE HE SAYS YOU JUST    
20101226020317.000|20101226020318.000|CC1|HAVE TO BE PREPARED FOR         
20101226020318.000|20101226020320.000|CC1|EVERYTHING.                     
20101226020320.000|20101226020321.000|CC1|>> YOU NEVER KNOW.              
20101226020321.000|20101226020323.000|CC1|BECAUSE WHEN WE HAD THE FLOOD,  
20101226020323.000|20101226020325.000|CC1|THEY DIDN'T SAY ANYTHING ABOUT  
20101226020325.000|20101226020325.000|CC1|RAIN.                           
20101226020325.000|20101226020326.000|CC1|THEY SAID SOME LOCAL DRIZZLE.   
20101226020326.000|20101226020329.000|CC1|THE NEXT MORNING, WE HAD A      
20101226020329.000|20101226020329.000|CC1|FLOOD.                          
20101226020329.000|20101226020332.000|CC1|MOTHER NATURE CAN ACT IN STRANGE
20101226020332.000|20101226020332.000|CC1|WAYS.                           
20101226020332.000|20101226020334.000|CC1|>> HOW ARE YOU GETTING PREPARED 
20101226020334.000|20101226020335.000|CC1|OR BEING PREPARED FOR THIS      
20101226020335.000|20101226020336.000|CC1|TONIGHT?                        
20101226020336.000|20101226020338.000|CC1|>> I'VE GOT THE BOARDS ON THE   
20101226020338.000|20101226020338.000|CC1|WINDOWS.                        
20101226020338.000|20101226020340.000|CC1|YOU KNOW, AND AN INCH AND A HALF
20101226020340.000|20101226020342.000|CC1|AN HOUR, WE'LL HAVE A BIG MESS. 
20101226020342.000|20101226020344.000|CC1|AN INCH IN TEN HOURS ISN'T A    
20101226020344.000|20101226020345.000|CC1|PROBLEM.                        
20101226020345.000|20101226020347.000|CC1|>> BACK IN FEBRUARY, WE DID HAVE
20101226020347.000|20101226020349.000|CC1|ABOUT ONE TO TWO INCHES EVERY   
20101226020349.000|20101226020349.000|CC1|HOUR.                           
20101226020349.000|20101226020352.000|CC1|THAT CAUSED THIS SEVERE         
20101226020352.000|20101226020352.000|CC1|FLOODING.                       
20101226020352.000|20101226020354.000|CC1|DALE RECALLS HE WENT TO BED     
20101226020354.000|20101226020355.000|CC1|THINKING THEY WERE JUST GOT TO  
20101226020355.000|20101226020357.000|CC1|GET A DRIZZLE AND HE WASN'T     
20101226020357.000|20101226020358.000|CC1|WORRIED.                        
20101226020358.000|20101226020400.000|CC1|THAT'S WHY HE'S PLAYING IT VERY 
20101226020400.000|20101226020401.000|CC1|CAUTIOUSLY.                     
20101226020401.000|20101226020402.000|CC1|THIS PAST WEEK, REVIS SAID THEY 
20101226020402.000|20101226020406.000|CC1|GOT 17 INCHES OF RAIN UP HERE.  
20101226020406.000|20101226020407.000|CC1|AND EVEN THOUGH MORE RAIN IS    
20101226020407.000|20101226020409.000|CC1|FORECAST FOR TONIGHT INTO       
20101226020409.000|20101226020410.000|CC1|TOMORROW, MOST OF THE NEIGHBORS 
20101226020410.000|20101226020413.000|CC1|HERE ARE REALLY HAVING A GREAT  
20101226020413.000|20101226020414.000|CC1|CHRISTMAS CELEBRATION AND THEY  
20101226020414.000|20101226020416.000|CC1|WON'T LET A LITTLE BIT MORE     
20101226020416.000|20101226020418.000|CC1|DRIZZLE OR RAIN COME WHAT MAY   
20101226020418.000|20101226020420.000|CC1|DAMPEN THE HOLIDAY SPIRIT.      
20101226020420.000|20101226020423.000|CC1|GINA KIM, CHANNEL 4 NEWS.       
20101226020423.000|20101226020425.000|CC1|>> HEY, ARE THEY STILL ONLY     
20101226020425.000|20101226020426.000|CC1|LETTING LOCAL RESIDENTS TO THAT 
20101226020426.000|20101226020427.000|CC1|LOCATION?                       
20101226020427.000|20101226020428.000|CC1|IS THERE A SHERIFF'S DEPUTY, A  
20101226020428.000|20101226020431.000|CC1|PATROL CAR THERE?               
20101226020431.000|20101226020432.000|CC1|>> NO.                          
20101226020432.000|20101226020433.000|CC1|THE RESIDENTS HAVE NOT GOTTEN   
20101226020433.000|20101226020434.000|CC1|NOTICE FROM THE SHERIFF'S       
20101226020434.000|20101226020436.000|CC1|DEPUTIES SAYING THAT ANY KIND OF
20101226020436.000|20101226020437.000|CC1|LAW ENFORCEMENT ACTION IS       
20101226020437.000|20101226020438.000|CC1|HAPPENING TONIGHT.              
20101226020438.000|20101226020440.000|CC1|EVERYONE IS ALLOWED UP HERE.    
20101226020440.000|20101226020442.000|CC1|THEY STILL HAVE THOSE K-RAIL    
20101226020442.000|20101226020444.000|CC1|BARRIERS, THOUGH, SET UP HERE   
20101226020444.000|20101226020446.000|CC1|CLOSE TO -- AS YOU GET CLOSER TO
20101226020446.000|20101226020447.000|CC1|THE HILLSIDE.                   
20101226020447.000|20101226020447.000|CC1|>> ALL RIGHT.                   
20101226020447.000|20101226020449.000|CC1|GINA, THANK YOU.                
20101226020449.000|20101226020557.000|SEG|Type=Story
20101226020449.000|20101226020451.000|CC1|>>> WELL, THE MOST ANTICIPATED  
20101226020451.000|20101226020453.000|CC1|NBA GAME OF THE SEASON WAS A BIG
20101226020453.000|20101226020454.000|CC1|DISAPPOINTMENT.                 
20101226020454.000|20101226020456.000|CC1|THAT'S PUTTING IT MILDLY TONIGHT
20101226020456.000|20101226020457.000|CC1|FOR US LAKERS FANS.             
20101226020457.000|20101226020502.000|CC1|BILL SEWARD IS HERE TONIGHT.    
20101226020502.000|20101226020503.000|CC1|>> CHRISTMAS BASKETBALL HASN'T  
20101226020503.000|20101226020504.000|CC1|REACHED THE LEVEL OF FOOTBALL ON
20101226020504.000|20101226020505.000|CC1|THANKSGIVING, BUT THE NBA       
20101226020505.000|20101226020508.000|CC1|CLAIMING THE HOLIDAYS IT VERY   
20101226020508.000|20101226020508.000|CC1|OWN.                            
20101226020508.000|20101226020510.000|CC1|THE LAKERS WERE THE HEADLINERS, 
20101226020510.000|20101226020511.000|CC1|TAKING ON LeBRON JAMES AND THE  
20101226020511.000|20101226020512.000|CC1|HEAT.                           
20101226020512.000|20101226020513.000|CC1|TITLES ARE NOT WON IN DECEMBER. 
20101226020513.000|20101226020514.000|CC1|CASE IN POINT, LAST YEAR LeBRON 
20101226020514.000|20101226020516.000|CC1|AND THE CAVS BEAT KOBE AND      
20101226020516.000|20101226020518.000|CC1|COMPANY BY 15 ON CHRISTMAS DAY. 
20101226020518.000|20101226020520.000|CC1|BUT THE LAKERS STOOD ALONE IN   
20101226020520.000|20101226020521.000|CC1|JUNE.                           
20101226020521.000|20101226020525.000|CC1|SPEAKING OF THE KING, HAD THE   
20101226020525.000|20101226020526.000|CC1|CUSTOMARY CHALK TOSS BEFORE THE 
20101226020526.000|20101226020528.000|CC1|GAME.                           
20101226020528.000|20101226020533.000|CC1|LeBRON, A FORCE.                
20101226020533.000|20101226020535.000|CC1|TRIPLE-DOUBLE, 27 POINTS, 11    
20101226020535.000|20101226020536.000|CC1|REBOUNDS, TEN ASSISTS.          
20101226020536.000|20101226020539.000|CC1|MIAMI LED BY 21 AT ONE POINT.   
20101226020539.000|20101226020542.000|CC1|KOBE AND PAU GASOL EACH SCORING 
20101226020542.000|20101226020542.000|CC1|17.                             
20101226020542.000|20101226020545.000|CC1|KOBE CALLED FOR THE CHARGE HERE.
20101226020545.000|20101226020546.000|CC1|ALL HEAT ALL THE TIME.          
20101226020546.000|20101226020550.000|CC1|THEY WIN IT GOING AWAY, 96-80.  
20101226020550.000|20101226020551.000|CC1|WE'LL HEAR SOME POST-GAME       
20101226020551.000|20101226020553.000|CC1|COMMENTS FROM THE CHRISTMAS-DAY 
20101226020553.000|20101226020555.000|CC1|KIDS LATER IN SPORTS.           
20101226020555.000|20101226020555.000|CC1|CHRIS?                          
20101226020555.000|20101226020557.000|CC1|>> ALL RIGHT, THANK YOU.        
20101226020557.000|20101226020808.000|SEG|Type=Story
20101226020557.000|20101226020559.000|CC1|>>> WELL, BEFORE THE LAKERS'    
20101226020559.000|20101226020601.000|CC1|LOSS, CELEBRITIES AND LAKERS    
20101226020601.000|20101226020606.000|CC1|FAITHFUL WERE PRETTY EXCITED.   
20101226020606.000|20101226020610.000|CC1|ANDY ADLER SHOWS US HOW THE     
20101226020610.000|20101226020611.000|CC1|CHRISTMAS SPIRIT WAS ALIVE AND  
20101226020611.000|20101226020612.000|CC1|WELL.                           
20101226020612.000|20101226020613.000|CC1|>> Reporter: IT'S CHRISTMAS     
20101226020613.000|20101226020613.000|CC1|MEETS KOBE.                     
20101226020613.000|20101226020615.000|CC1|IT'S LIGHT MEETS ACTION.        
20101226020615.000|20101226020616.000|CC1|IT'S LAKERS TAKING ON THE HEAT. 
20101226020616.000|20101226020619.000|CC1|WHAT DO YOU THINK ABOUT THIS    
20101226020619.000|20101226020620.000|CC1|COMBINATION OF LOS ANGELES, THE 
20101226020620.000|20101226020622.000|CC1|LAKERS AND CHRISTMAS?           
20101226020622.000|20101226020623.000|CC1|>> IT'S TRADITION.              
20101226020623.000|20101226020624.000|CC1|>> Reporter: GEORGE LOPEZ IS    
20101226020624.000|20101226020625.000|CC1|CORRECT.                        
20101226020625.000|20101226020626.000|CC1|IT'S TRADITION.                 
20101226020626.000|20101226020628.000|CC1|AND THE FANS WERE OUT IN FULL   
20101226020628.000|20101226020630.000|CC1|FORCE TO SUPPORT THEIR TEAM.    
20101226020630.000|20101226020634.000|CC1|INCLUDING A FEW FAMILIAR FACES. 
20101226020634.000|20101226020635.000|CC1|WHY DON'T YOU JUST TELL THE HEAT
20101226020635.000|20101226020637.000|CC1|WHAT YOU'RE THINKING RIGHT NOW. 
20101226020637.000|20101226020639.000|CC1|>> THEY'RE ABOUT TO GO THROUGH A
20101226020639.000|20101226020640.000|CC1|COLD WAVE.                      
20101226020640.000|20101226020642.000|CC1|>> IT'S THE BEST WAY TO SPEND   
20101226020642.000|20101226020642.000|CC1|CHRISTMAS.                      
20101226020642.000|20101226020644.000|CC1|I BROUGHT MY GRANDMA AND MY     
20101226020644.000|20101226020645.000|CC1|WHOLE FAMILY.                   
20101226020645.000|20101226020646.000|CC1|I'M HERE WITH A COUPLE OF       
20101226020646.000|20101226020647.000|CC1|FRIENDS.                        
20101226020647.000|20101226020650.000|CC1|THIS IS LIKE -- YOU KNOW, I'VE  
20101226020650.000|20101226020651.000|CC1|GOT A FEELING THAT THE LAKERS   
20101226020651.000|20101226020653.000|CC1|ARE GOING TO WIN THIS THING.    
20101226020653.000|20101226020654.000|CC1|THEY'RE GOING TO PUT OUT THE    
20101226020654.000|20101226020654.000|CC1|HEAT.                           
20101226020654.000|20101226020657.000|CC1|>> Reporter: HOW DO THE LAKERS  
20101226020657.000|20101226020659.000|CC1|FEEL ABOUT PLAYING ON CHRISTMAS?
20101226020659.000|20101226020700.000|CC1|ANDREW BYNUM, NOT THRILLED.     
20101226020700.000|20101226020702.000|CC1|BUT THE GUYS WE SPOKE WITH WERE 
20101226020702.000|20101226020704.000|CC1|FEELING THE HOLIDAY SPIRIT.     
20101226020704.000|20101226020710.000|CC1|WHAT DO YOU WANT FOR CHRISTMAS? 
20101226020710.000|20101226020710.000|CC1|[ INAUDIBLE ]                   
20101226020710.000|20101226020713.000|CC1|SANTA HAS GIVEN YOU WANT YOU    
20101226020713.000|20101226020713.000|CC1|WANT.                           
20101226020713.000|20101226020714.000|CC1|>> THAT'S RIGHT.                
20101226020714.000|20101226020715.000|CC1|>> Reporter: HAS LeBRON BEEN    
20101226020715.000|20101226020717.000|CC1|NAUGHTY OR NICE?                
20101226020717.000|20101226020719.000|CC1|>> I THINK HE'S BEEN -- HE'S    
20101226020719.000|20101226020723.000|CC1|BEEN NAUGHTY, REALLY NAUGHTY.   
20101226020723.000|20101226020724.000|CC1|YOU KNOW, WE HAVE TO WIN BECAUSE
20101226020724.000|20101226020724.000|CC1|OF THAT.                        
20101226020724.000|20101226020726.000|CC1|>> GOOD BASKETBALL PLAYER, GOOD 
20101226020726.000|20101226020727.000|CC1|PERSON.                         
20101226020727.000|20101226020728.000|CC1|>> Reporter: YES, THE HEAT IS   
20101226020728.000|20101226020728.000|CC1|ON.                             
20101226020728.000|20101226020730.000|CC1|AND ALL EYES ARE ON LeBRON.     
20101226020730.000|20101226020735.000|CC1|AND JEREMY PIVENS HAD SOME AGENT
20101226020735.000|20101226020736.000|CC1|ADVICE FOR THE LAKERS.          
20101226020736.000|20101226020737.000|CC1|>> WE WANT TO TRY TO FINISH     
20101226020737.000|20101226020737.000|CC1|STRONG.                         
20101226020737.000|20101226020740.000|CC1|I WANT TO MAKE AS MANY SPORTS   
20101226020740.000|20101226020740.000|CC1|ANALOGIES AS POSSIBLE.          
20101226020740.000|20101226020741.000|CC1|WE'RE GOING TO TAKE IT ONE      
20101226020741.000|20101226020743.000|CC1|QUARTER AT A TIME.              
20101226020743.000|20101226020744.000|CC1|IT'S A TEAM SPORT.              
20101226020744.000|20101226020746.000|CC1|WE'RE GOING TO FOCUS UP.        
20101226020746.000|20101226020748.000|CC1|>> IT'S GOING TO BE PAINFUL,    
20101226020748.000|20101226020750.000|CC1|ESPECIALLY ON CHRISTMAS.        
20101226020750.000|20101226020752.000|CC1|>> Reporter: WHAT DO YOU DO WITH
20101226020752.000|20101226020752.000|CC1|LeBRON JAMES?                   
20101226020752.000|20101226020754.000|CC1|>> YOU REALLY WANT TO KNOW?     
20101226020754.000|20101226020755.000|CC1|>> Reporter: I WANT TO KNOW.    
20101226020755.000|20101226020759.000|CC1|>> YOU SAW THE LAST RAMBO,      
20101226020759.000|20101226020759.000|CC1|RIGHT.                          
20101226020759.000|20101226020802.000|CC1|>> Reporter: AND NOT EVEN RAMBO 
