TOP|20101227170001|2010-12-27_1700_US_FOX-News_Fox_Online
COL|Communication Studies Archive, UCLA 
UID|0ebed57c-11e3-11e0-9f07-001517add60e
DUR|0:59:29.23
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-27 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:26:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101227170003.000|20101227170003.000|XDS|%  NETWORK: Fox News Channel
20101227170004.000|20101227170004.000|XDS|%   RATING: (NOT RATED) (72)
20101227170004.000|20101227175930.000|SEG|Type=Story
20101227170004.000|20101227170006.000|CC1|THE BUSIT AIRPORT I UPND        
20101227170006.000|20101227170007.000|CC1|RUNNG.                          
20101227170007.000|20101227170007.000|CC1|>> Reporter:HAT'S RIGHT, THE    
20101227170007.000|20101227170008.000|CC1|FLIGHTS ARE CANCELLED ON        
20101227170008.000|20101227170009.000|CC1|SATURDAY NIGHT, ALL Y SUNDAY    
20101227170009.000|20101227170011.000|CC1|AND EVEN TIS AFTERNOON.         
20101227170011.000|20101227170013.000|CC1|AND THAT IS LEING HUNDREDS OF   
20101227170013.000|20101227170014.000|CC1|PEOPLE STRANDED AT THE WLD'S    
20101227170014.000|20101227170014.000|XDS|%     CALL: FNC 
20101227170014.000|20101227170017.000|CC1|BUSIEST AIORT.                  
20101227170017.000|20101227170022.000|CC1|RICK: AND THE BLIZZD IS         
20101227170022.000|20101227170024.000|CC1|LEAVING ITMARK ON MARYND,       
20101227170024.000|20101227170024.000|XDS|%    TITLE: News, Fair and Balanced
20101227170024.000|20101227170025.000|CC1|RIGHT, DOUG.                    
20101227170025.000|20101227170025.000|CC1|>>eporter: GREETINGS FROM THE   
20101227170025.000|20101227170027.000|CC1|SUN AND FUN CAPITA OF THE       
20101227170027.000|20101227170029.000|CC1|MIATLANTIC, SURF'S UP, WISH     
20101227170029.000|20101227170031.000|CC1|YOU WERE HERE A LIVEEPORT       
20101227170031.000|20101227170034.000|CC1|FROM A SNOWY OCEAN CITY,OMING   
20101227170034.000|20101227170034.000|CC1|UP.                             
20101227170034.000|20101227170035.000|CC1|RICK: AND, SIX STATES DECLANG   
20101227170035.000|20101227170039.000|CC1|A STATE OF EMERGENCY AER THE    
20101227170039.000|20101227170043.000|CC1|FIRST BLIZZD OF THE SEASON      
20101227170043.000|20101227170044.000|CC1|LEAVES BIND A MESS.             
20101227170044.000|20101227170046.000|CC1|>> WE ARE TRACKING IT AND       
20101227170046.000|20101227170047.000|CC1|BRINGING YOU T LATEST AT THE    
20101227170047.000|20101227170049.000|CC1|EXTREME ATHER CENTER, RICK.     
20101227170049.000|20101227170051.000|CC1|RICK: FULL REPORTS O "HAPPENING 
20101227170051.000|20101227170052.000|CC1|NOW" A ELIZABETH TOPS T HOUR    
20101227170052.000|20101227170054.000|CC1|AND UG, WE'LL GET TO U IN 20    
20101227170054.000|20101227170056.000|CC1|NUTES AND RIA, YOU AREARM       
20101227170056.000|20101227170057.000|CC1|IN THE STUDIO AND 'LL TALK      
20101227170057.000|20101227170059.000|CC1|ABOUT  THE BOTTOM OF THE HOUR.  
20101227170059.000|20101227170100.000|CC1|PATTI ANN: YOU DON HAVE TO BE   
20101227170100.000|20101227170102.000|CC1|IN THE PATH OF THE BLIZZARD TO  
20101227170102.000|20101227170103.000|CC1|GET STUCK AT THE AIRPORT,       
20101227170103.000|20101227170104.000|CC1|WEATR DELAYS ON THE EAST COT    
20101227170104.000|20101227170108.000|CC1|ARE FEL AT AIRPORTS NEAR AND    
20101227170108.000|20101227170109.000|CC1|FAR.                            
20101227170109.000|20101227170111.000|CC1|ELIZABETH  STILL IN             
20101227170111.000|20101227170113.000|CC1|HEARTSVILL JACKSON ATLANTA      
20101227170113.000|20101227170114.000|CC1|INTERNATIONAL AIRPORT AND E     
20101227170114.000|20101227170116.000|CC1|SKIES ARE SUNNY BUT PASSENGERS  
20101227170116.000|20101227170117.000|CC1|ARE STILL STUCK?                
20101227170117.000|20101227170119.000|CC1|>> THEY ARE, THE SKIES ARE SUNNY
20101227170119.000|20101227170120.000|CC1|AND DOT LET IT DECEIVE YOU,     
20101227170120.000|20101227170122.000|CC1|WHAT WE ARE SEEING IS A RIPPLE  
20101227170122.000|20101227170123.000|CC1|EFFECT HER AT THE WOR'S         
20101227170123.000|20101227170124.000|CC1|BUSIEST AIRPORT AND E STORM     
20101227170124.000|20101227170128.000|CC1|YOU SEE,P NORTH, PAST THRGH     
20101227170128.000|20101227170129.000|CC1|ATLANTA, THIWEEKEND, SATURDAY   
20101227170129.000|20101227170130.000|CC1|AND SUNDAY A FLIGHTS ARE        
20101227170130.000|20101227170131.000|CC1|CANCELLED AND E PASSENGERS ARE  
20101227170131.000|20101227170132.000|CC1|STUCK D MANY SAYING THEY        
20101227170132.000|20101227170135.000|CC1|NNOT GET OUT UNTIL TORROW       
20101227170135.000|20101227170136.000|CC1|AFTERNOON.                      
20101227170136.000|20101227170136.000|CC1|AND, NOW WE SPOKE TH THE        
20101227170136.000|20101227170137.000|CC1|AIRLIN AND THEY ARE DOINGLL     
20101227170137.000|20101227170139.000|CC1|THEY CAN TO ACCOMMODATE THE     
20101227170139.000|20101227170140.000|CC1|PASSENGE AND A LOT OF POPLE     
20101227170140.000|20101227170142.000|CC1|WHO MISSED FLIGHTS ARE ON       
20101227170142.000|20101227170144.000|CC1|STAND-BY AND BOOKED  A LATER    
20101227170144.000|20101227170144.000|CC1|TIME.                           
20101227170144.000|20101227170146.000|CC1|PATTI ANN: ARE STRANDED         
20101227170146.000|20101227170148.000|CC1|PASSGERS ABLE TO REBO SOME      
20101227170148.000|20101227170149.000|CC1|OF THESE IGHTS?                 
20101227170149.000|20101227170151.000|CC1|>>WELL, WEAVE TALKED TO THEM    
20101227170151.000|20101227170152.000|CC1|BECAUSE IT IS A EXHAUSTG        
20101227170152.000|20101227170153.000|CC1|PERIENCE, A LOT OF THEM TELL    
20101227170153.000|20101227170155.000|CC1|US THAT E LINES ARE SO LONG,    
20101227170155.000|20101227170156.000|CC1|AND THEYRE HAVG TROUBLE         
20101227170156.000|20101227170158.000|CC1|NAVITING ALL THE WEB SITES,     
20101227170158.000|20101227170200.000|CC1|ESPECIALLY IF THEY US A THIRD   
20101227170200.000|20101227170201.000|CC1|PARTY WEB SITE, OTHER FAMILIES  
20101227170201.000|20101227170202.000|CC1|TELL US EN THEY CALL OTHE       
20101227170202.000|20101227170203.000|CC1|PHONE THEY CANNOT G THROUGH     
20101227170203.000|20101227170205.000|CC1|AND LISTEN TO TWO FAMILIES WE   
20101227170205.000|20101227170206.000|CC1|SPOKE WITH THIS MORNING.        
20101227170206.000|20101227170209.000|CC1|>> WE HAVE BEEN ONHE PHE,       
20101227170209.000|20101227170212.000|CC1|PROBABLY A TE OF 8 HOURS SINCE  
20101227170212.000|20101227170213.000|CC1|SUNDAY AFTNOON AND WE HEN'T     
20101227170213.000|20101227170217.000|CC1|GOTTENHROUGH AND DEA, HAS       
20101227170217.000|20101227170219.000|CC1|REPORTED, SAYING THE ARE --     
20101227170219.000|20101227170220.000|CC1|CALL BACK AT ANOTHE TIME.       
20101227170220.000|20101227170222.000|CC1| CALLED U.S. AIR 4:00 THIS      
20101227170222.000|20101227170227.000|CC1|MORNING, 273 MINUTE WA.         
20101227170227.000|20101227170230.000|CC1|, YOU KNOW,OULD HAVE BEEN       
20101227170230.000|20101227170231.000|CC1|ST OUR FLIGHT TI.               
20101227170231.000|20101227170236.000|CC1|>> Reporter: OA LIGHTER NOTE,   
20101227170236.000|20101227170237.000|CC1|PATTI ANN, THE IS SUPPOSED TO   
20101227170237.000|20101227170239.000|CC1| WARMER WEATHER AS THE SECOND   
20101227170239.000|20101227170240.000|CC1|WA OF PSENGERS TRAVEL           
20101227170240.000|20101227170243.000|CC1|THROUGAND, THINGS THEY HOPE     
20101227170243.000|20101227170246.000|CC1|WILLO MORE SMOOTHLY.            
20101227170246.000|20101227170247.000|CC1|RICK: CAN YOU IMAGINE HEING     
20101227170247.000|20101227170248.000|CC1|THE COMPURIZED VOICE YOUR WAIT  
20101227170248.000|20101227170253.000|CC1|TIME IS EXPTED TO BE 273        
20101227170253.000|20101227170254.000|CC1|MINUTES, WE'LL TALK ABT THE     
20101227170254.000|20101227170256.000|CC1|WEATHER AND A MAJOR BATTLE IS   
20101227170256.000|20101227170258.000|CC1|CREWING ON CITOL HILL           
20101227170258.000|20101227170259.000|CC1|REPUBLICANS ARE SEING THEIR     
20101227170259.000|20101227170302.000|CC1|SITS ON THE HEALTH CARE LA      
20101227170302.000|20101227170303.000|CC1|TO KEEP IT FROM TAKINGEFFECT.   
20101227170303.000|20101227170305.000|CC1|THEY CAN HIT IT WHERE IT HURTS, 
20101227170305.000|20101227170307.000|CC1|IN THE POCKETBOOK, J ANGLE IS   
20101227170307.000|20101227170310.000|CC1|LIVE IN THE D.C. BUREAU AND     
20101227170310.000|20101227170311.000|CC1|REPUBLICANS, MADE CLEAR THEY    
20101227170311.000|20101227170312.000|CC1|INTENDO BLOCK THE FUNDIN THAT   
