TOP|20101227180001|2010-12-27_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|70c02480-11eb-11e0-bf88-001517add720
DUR|0:59:29.16
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-27 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:26:34|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101227180004.000|20101227180007.000|SEG|Type=Story
20101227180004.000|20101227180005.000|CC1|THE NEW YEAR BRING NEW FACES TO 
20101227180005.000|20101227180007.000|CC1|THE WEST WING?                  
20101227180007.000|20101227180240.000|SEG|Type=Story
20101227180007.000|20101227180010.000|CC1|>>> AND THE VOTES ARE IN FOR    
20101227180010.000|20101227180012.000|CC1|AMERICANS MOST ADMIRED MAN AND  
20101227180012.000|20101227180013.000|CC1|WOMAN OF 2010.                  
20101227180013.000|20101227180015.000|CC1|NOT THE WINNER BUT THE RUNNER-UP
20101227180015.000|20101227180016.000|CC1|MAY SURPRISE YOU, ACTUALLY.     
20101227180016.000|20101227180020.000|CC1|BUT FIRST, LET'S GET STARTED    
20101227180020.000|20101227180021.000|CC1|WITH WEATHER AND GO TO          
20101227180021.000|20101227180022.000|CC1|PHILADELPHIA DIGGING ITSELF OUT 
20101227180022.000|20101227180025.000|CC1|FROM UNDER A FOOT OF SNOW TODAY.
20101227180025.000|20101227180026.000|CC1|WEATHER CHANNEL'S JIM CANTORE IS
20101227180026.000|20101227180028.000|CC1|STANDING BY WITH THE LATEST.    
20101227180028.000|20101227180030.000|CC1|HI THERE, JIM.                  
20101227180030.000|20101227180034.000|CC1|>> Reporter: HEY, NORA, WHAT'S  
20101227180034.000|20101227180035.000|CC1|GOING ON?                       
20101227180035.000|20101227180036.000|CC1|FRESH SNOW, GOING BLIND BECAUSE 
20101227180036.000|20101227180039.000|CC1|OF THE REFLECTIVITY OF THE FRESH
20101227180039.000|20101227180043.000|CC1|SNOW PACK.                      
20101227180043.000|20101227180045.000|CC1|PURE WHITE.                     
20101227180045.000|20101227180048.000|CC1|HIGH ALBIDO.                    
20101227180048.000|20101227180051.000|CC1|A LOT OF TRAVELING THROUGH LEER.
20101227180051.000|20101227180053.000|CC1|WHAT MAYORS SAYING, CANTORE,    
20101227180053.000|20101227180055.000|CC1|WE'LL GET IT UP AND RUNNING IN  
20101227180055.000|20101227180055.000|CC1|NO TIME.                        
20101227180055.000|20101227180057.000|CC1|SURE ENOUGH, 3:00 THIS MORNING, 
20101227180057.000|20101227180059.000|CC1|HERE WITH SHOVELS, YOU KNOW,    
20101227180059.000|20101227180101.000|CC1|SIDE BLOWERS, WHATEVER IT TOOK  
20101227180101.000|20101227180102.000|CC1|TO GET THIS PLACE CLEARED FOR   
20101227180102.000|20101227180103.000|CC1|BUSINESS AS USUAL.              
20101227180103.000|20101227180104.000|CC1|NOTHING REALLY HAS BEEN         
20101227180104.000|20101227180104.000|CC1|CANCELLED.                      
20101227180104.000|20101227180106.000|CC1|UP SEE THE TRANSIT SERVICES     
20101227180106.000|20101227180109.000|CC1|WORKING BEHIND ME.              
20101227180109.000|20101227180111.000|CC1|THE AIRPORT HAS ALSO BEEN OPEN  
20101227180111.000|20101227180112.000|CC1|HERE IN PHILADELPHIA.           
20101227180112.000|20101227180113.000|CC1|PICTURES HERE PHILADELPHIA.     
20101227180113.000|20101227180115.000|CC1|OFFICIALLY 12.4 INCHES OF SNOW  
20101227180115.000|20101227180116.000|CC1|HERE NAP IS OVER HALF OF THEIR  
20101227180116.000|20101227180118.000|CC1|ANNUAL AVERAGE SNOWFALL.        
20101227180118.000|20101227180120.000|CC1|THAT'S A LOT OF SNOW IN A       
20101227180120.000|20101227180121.000|CC1|24-HOUR PERIOD.                 
20101227180121.000|20101227180123.000|CC1|IS BECAUSE OF THAT REASON WE HAD
20101227180123.000|20101227180124.000|CC1|THE GAME CANCELLED YESTERDAY BY 
20101227180124.000|20101227180125.000|CC1|THE NFL.                        
20101227180125.000|20101227180126.000|CC1|THE CRUNCH TIME WAS ALWAYS GOING
20101227180126.000|20101227180128.000|CC1|TO BE BETWEEN 3:00 AND MIDNIGHT.
20101227180128.000|20101227180130.000|CC1|AND WE ALWAYS KNEW THAT.        
20101227180130.000|20101227180132.000|CC1|THAT'S WHEN THE MOST INTENSE    
20101227180132.000|20101227180133.000|CC1|SNOWFALL WAS GOING TO COME DOWN.
20101227180133.000|20101227180135.000|CC1|YOU CAN SEE FROM PICTURES OF THE
20101227180135.000|20101227180137.000|CC1|STADIUM LAST NIGHT, JUST A WILD 
20101227180137.000|20101227180137.000|CC1|RIDE.                           
20101227180137.000|20101227180138.000|CC1|ABSOLUTE WILD RIDE.             
20101227180138.000|20101227180140.000|CC1|ALL SORTS OF PROBLEMS ON LOADS. 
20101227180140.000|20101227180141.000|CC1|PEOPLE SLIDING OFF ROADS.       
20101227180141.000|20101227180142.000|CC1|EMERGENCY RESPONDERS TRYING TO  
20101227180142.000|20101227180143.000|CC1|GET TO PEOPLE OUT THERE.        
20101227180143.000|20101227180145.000|CC1|YOU KNOW, DEALING WITH          
20101227180145.000|20101227180146.000|CC1|ACCIDENTS.                      
20101227180146.000|20101227180148.000|CC1|SO THE MORE PEOPLE WE KEPT OFF  
20101227180148.000|20101227180149.000|CC1|THE ROADS THE BETTER, EVEN      
20101227180149.000|20101227180151.000|CC1|THOUGH I'M SURE BOTH YOU AND I  
20101227180151.000|20101227180153.000|CC1|WOULD HAVE LOVED TO SEE THE GAME
20101227180153.000|20101227180155.000|CC1|IN THE SNOW.                    
20101227180155.000|20101227180156.000|CC1|NO QUESTION.                    
20101227180156.000|20101227180157.000|CC1|PROBLEMS IN THE NORTHEASTERN    
20101227180157.000|20101227180159.000|CC1|HUBS EVEN IN LaGUARDIA, THE SUN 
20101227180159.000|20101227180200.000|CC1|IS BACK OUT.                    
20101227180200.000|20101227180202.000|CC1|LIKE IT IS HERE IN PHILADELPHIA.
20101227180202.000|20101227180203.000|CC1|THEY ARE MAKING HAY.            
20101227180203.000|20101227180204.000|CC1|YOU KNOW WHAT I'M SAYING?       
20101227180204.000|20101227180205.000|CC1|TALKING ABOUT GETTING ALL THE   
20101227180205.000|20101227180207.000|CC1|SNOW OFF THE RUNWAYS AS QUICK AS
20101227180207.000|20101227180208.000|CC1|THEY CAN THROUGH HERE.          
20101227180208.000|20101227180210.000|CC1|THAT MEANS EVENTUALLY,          
20101227180210.000|20101227180211.000|CC1|EVENTUALLY, THAT AIRPORT WILL   
20101227180211.000|20101227180211.000|CC1|REOPEN.                         
20101227180211.000|20101227180212.000|CC1|WILL IT BE TONIGHT?             
20101227180212.000|20101227180213.000|CC1|WILL IT BE TOMORROW MORNING?    
20101227180213.000|20101227180216.000|CC1|I DON'T KNOW YET, BUT THERE WILL
20101227180216.000|20101227180221.000|CC1|BE A TREMENDOUS BACKLOG NORA    
20101227180221.000|20101227180223.000|CC1|EASILY LAST THROUGH THURSDAY AT 
20101227180223.000|20101227180224.000|CC1|THIS POINT.                     
20101227180224.000|20101227180225.000|CC1|FLIGHTS SOLD OUT.               
20101227180225.000|20101227180227.000|CC1|THE BACKLOG IS CRANKSING UP.    
20101227180227.000|20101227180228.000|CC1|>> NO DOUBT.                    
20101227180228.000|20101227180230.000|CC1|BACKUP IN FLIGHTS.              
20101227180230.000|20101227180231.000|CC1|CLEARING THE STREETS THERE AND  
20101227180231.000|20101227180233.000|CC1|YOU NEED SUNGLASSES.            
20101227180233.000|20101227180234.000|CC1|PUT THEM ON SO YOU DON'T HURT   
20101227180234.000|20101227180235.000|CC1|YOUR EYES.                      
20101227180235.000|20101227180236.000|CC1|TAKE CARE.                      
20101227180236.000|20101227180237.000|CC1|>> Reporter: NEXT TIME YOU COME 
20101227180237.000|20101227180240.000|CC1|TO ME I'LL HAVE THEM O. THANKS, 
20101227180240.000|20101227180240.000|CC1|JIM.                            
20101227180240.000|20101227180409.000|SEG|Type=Story
20101227180240.000|20101227180241.000|CC1|>>> NOW TO NEW YORK CITY, WHERE 
20101227180241.000|20101227180243.000|CC1|THE BLIZZARD SHUT DOWN AIRPORTS 
20101227180243.000|20101227180244.000|CC1|FORCING WIDESPREAD CANCELLATIONS
20101227180244.000|20101227180246.000|CC1|AND STRANDING THOUSANDS OF      
20101227180246.000|20101227180248.000|CC1|TRAVELERS, BUT SOME GOOD NEWS   
20101227180248.000|20101227180249.000|CC1|NOW FROM THE WEATHER CHANNEL'S  
20101227180249.000|20101227180251.000|CC1|ERIC FISHER AT NEW YORK CITY THE
20101227180251.000|20101227180251.000|CC1|LaGUARDIA AIRPORT.              
20101227180251.000|20101227180253.000|CC1|ERIC?                           
20101227180253.000|20101227180254.000|CC1|>> Reporter: WE HAVE STARTED TO 
20101227180254.000|20101227180256.000|CC1|SEE A FEW CHANGE HERE'S AT      
20101227180256.000|20101227180259.000|CC1|LaGUARDIA BP NUMBER ONE, THE SUN
20101227180259.000|20101227180259.000|CC1|0 OUT.                          
20101227180259.000|20101227180300.000|CC1|FAIRLY COMFORTABLE IF YOU'RE NOT
20101227180300.000|20101227180301.000|CC1|IN THE WIND.                    
20101227180301.000|20101227180303.000|CC1|NUMBER TWO, I SEE A HUMAN BEING,
20101227180303.000|20101227180307.000|CC1|OR TWO, BEHIND ME ALONG THE     
20101227180307.000|20101227180307.000|CC1|WALK.                           
20101227180307.000|20101227180310.000|CC1|NOT MANY OVER THE LAST 18 HOURS.
20101227180310.000|20101227180311.000|CC1|FOLKS DIDN'T BOTHER COMING.     
20101227180311.000|20101227180313.000|CC1|CLOSED THROUGHOUT THE DAY AND   
20101227180313.000|20101227180314.000|CC1|ESSENTIALLY LAST NIGHT BECAUSE  
20101227180314.000|20101227180315.000|CC1|THE WEATHER, ONCE IT TURNED     
20101227180315.000|20101227180317.000|CC1|SOUTH WHESHGS A SLEW OF PROBLEMS
20101227180317.000|20101227180318.000|CC1|AROUND HERE.                    
20101227180318.000|20101227180319.000|CC1|OVER 2,000 CANCELLED FLIGHTS SO 
20101227180319.000|20101227180320.000|CC1|FARS WITH THINK STORM.          
20101227180320.000|20101227180321.000|CC1|2,000 FLIGHTS, HOW MANY PEOPLE  
20101227180321.000|20101227180322.000|CC1|ON THE FLIGHTS?                 
20101227180322.000|20101227180324.000|CC1|HOW MANY FLIGHTS TRYING TO COME 
20101227180324.000|20101227180324.000|CC1|INTO THE AIRPORT?               
20101227180324.000|20101227180326.000|CC1|YOU'RE TALKING ABOUT A WHOLE BE 
20101227180326.000|20101227180328.000|CC1|IN OF PEOPLE WHO WERE TRAVEL    
20101227180328.000|20101227180329.000|CC1|WEARY TRYING TO GET HOME AFTER  
20101227180329.000|20101227180330.000|CC1|THE HOLIDAY WEEKEND AND SOME OF 
20101227180330.000|20101227180334.000|CC1|THOSE PEOPLE ARE NOT GOING TO BE
20101227180334.000|20101227180336.000|CC1|ABLE TO GET BACK UNTIL WEDNESDAY
20101227180336.000|20101227180337.000|CC1|OR THURSDAY OF THIS WEEK AS MOST
20101227180337.000|20101227180338.000|CC1|OF THE FLIGHTS OUT OF HERE ARE  
20101227180338.000|20101227180340.000|CC1|BOOKED AND NOT EVEN TRYING UNTIL
20101227180340.000|20101227180341.000|CC1|4:00 THIS AFTERNOON.            
20101227180341.000|20101227180342.000|CC1|HOPEFULLY QUESTION GET ON THE   
20101227180342.000|20101227180344.000|CC1|ROAD TO RVRY STARTING THEN.     
20101227180344.000|20101227180346.000|CC1|I WOULD EXPECT BIG DELAYS       
20101227180346.000|20101227180347.000|CC1|THROUGH THIS EVENING, THROUGH   
20101227180347.000|20101227180349.000|CC1|THE DAY TOMORROW WITH AIRLINES  
20101227180349.000|20101227180351.000|CC1|STRUGGLING TO GET THINGS BACK ON
20101227180351.000|20101227180352.000|CC1|THEIR NORMAL SCHEDULE AROUND    
20101227180352.000|20101227180353.000|CC1|HERE.                           
20101227180353.000|20101227180354.000|CC1|FOLKS INHABITING THE TERMINAL   
20101227180354.000|20101227180356.000|CC1|ITSELF, SLEEPING THERE          
20101227180356.000|20101227180356.000|CC1|OVERNIGHT.                      
20101227180356.000|20101227180357.000|CC1|BEEN IN HOTELS AROUND THE CITY  
20101227180357.000|20101227180400.000|CC1|AND IT IS LOOKING FOR A WAY OUT.
