TOP|20101228000001|2010-12-28_0000_US_FOX-News_Report_with_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|bb4d2dd6-121d-11e0-b2a9-001517add60e
DUR|0:59:29.33
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-27 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:26:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101228000003.000|20101228000003.000|XDS|%     CALL: FNC 
20101228000004.000|20101228000004.000|XDS|%   RATING: (NOT RATED) (72)
20101228000003.000|20101228005930.000|SEG|Type=Story
20101228000003.000|20101228000004.000|CC1|>> Shannon: AT DOESN'T LOOK     
20101228000005.000|20101228000005.000|XDS|%  NETWORK: Fox News Channel
20101228000004.000|20101228000005.000|CC1|GUIDE.                          
20101228000005.000|20101228000006.000|CC1|THAT'S "SPECL REPORT" HERE      
20101228000006.000|20101228000006.000|CC1|FR WASHINGTON.                  
20101228000006.000|20101228000016.000|CC1|SEE U HERE TOMORROW NIGHT       
20101228000016.000|20101228000017.000|CC1|>> Harris:HE BLIZZARD IS GONE   
20101228000017.000|20101228000019.000|CC1|BUT THE MISERYOULD DRAG ON FOR  
20101228000019.000|20101228000019.000|CC1|DA.                             
20101228000019.000|20101228000022.000|CC1|IN ONE CITY, STRANDEDPASSENGERS 
20101228000022.000|20101228000022.000|CC1|REVOLT.                         
20101228000022.000|20101228000023.000|CC1|I'M HARR FAULKNER IN TONIGHT    
20101228000024.000|20101228000024.000|XDS|%    TITLE: News, Fair and Balanced
20101228000023.000|20101228000024.000|CC1|FOR SHEPARDMITH.                
20101228000024.000|20101228000032.000|CC1|THE WS STARTS NOW.              
20101228000032.000|20101228000033.000|CC1|THOUSANDS OFMERICANS ACROSS     
20101228000033.000|20101228000037.000|CC1|THCOUNTRY GOINGOWHERE FAST.     
20101228000037.000|20101228000039.000|CC1|EVEN SPOTS WITHO SNOW FEELI     
20101228000039.000|20101228000040.000|CC1|THEAIN.                         
20101228000040.000|20101228000042.000|CC1|>> I FREAKED OUT.               
20101228000042.000|20101228000042.000|CC1|[ LAUGHTER ]                    
20101228000042.000|20101228000045.000|CC1|>> TRE IS NOTHING I CAN D SO    
20101228000045.000|20101228000046.000|CC1|WE'RE HER                       
20101228000046.000|20101228000047.000|CC1|WE'RE JUSGOING TO MAKE THE      
20101228000047.000|20101228000047.000|CC1|BEST OUT OF IT?                 
20101228000047.000|20101228000049.000|CC1|>> I REALLY DON'T WANT TO GO TO 
20101228000049.000|20101228000050.000|CC1|WORK TODAY.                     
20101228000050.000|20101228000051.000|CC1|AT'S SORT OF A NICE LITTLE      
20101228000051.000|20101228000053.000|CC1|DEAL.                           
20101228000053.000|20101228000053.000|CC1|>>OW THERE IS WORD SOME         
20101228000053.000|20101228000058.000|CC1|TRAVELERS MAY GET THE WHOLE WEEK
20101228000058.000|20101228000100.000|CC1|F.                              
20101228000100.000|20101228000102.000|CC1|PLUS,  MYSTERY AT THE HOME OF   
20101228000102.000|20101228000105.000|CC1|AN ERR TO THE BUDWEISER FORTUNE 
20101228000105.000|20101228000108.000|CC1|>> THE GIRL IS NOT WAKING UP.   
20101228000108.000|20101228000109.000|CC1|>>T'S NOT THE FIRST TIME HE     
20101228000109.000|20101228000111.000|CC1|HAS BE CONNECTED TOOMAN'S       
20101228000111.000|20101228000115.000|CC1|DEATH.                          
20101228000115.000|20101228000117.000|CC1|BUT WE BEGIN TOGHT WITH A FOX   
20101228000117.000|20101228000118.000|CC1|NEWS WEATHERLERT.               
20101228000118.000|20101228000121.000|CC1|THE WIN SLL KICKING AS THE      
20101228000121.000|20101228000124.000|CC1|EA COAST TRI TO DIG OUT FROM    
20101228000124.000|20101228000126.000|CC1|A BLIARD.                       
20101228000126.000|20101228000128.000|CC1|SNOW BLOWERS, SHOVELS, PLO ALL  
20101228000128.000|20101228000131.000|CC1|HARD AT WORK MOVING SOME TWO    
20101228000131.000|20101228000132.000|CC1|FEET OF SNOW?                   
20101228000132.000|20101228000134.000|CC1|SOME AREAS.                     
20101228000134.000|20101228000136.000|CC1|BROUGHT WHITEHRISTMAS RECORD    
20101228000136.000|20101228000137.000|CC1|ME SPOTS MOVED UP THE COAST     
20101228000137.000|20101228000138.000|CC1|BRINGING TRAVETO THE NORTHEAST  
20101228000138.000|20101228000139.000|CC1|TO A STAND SLL.                 
20101228000139.000|20101228000142.000|CC1|THE SYSTEM ON ITS WAY OUT       
20101228000142.000|20101228000143.000|CC1|TONIGHT.                        
20101228000143.000|20101228000145.000|CC1|OWY, ICY ROADS CAUSED           
20101228000145.000|20101228000146.000|CC1|COUNTLS ACCIDENTS STRANDING     
20101228000146.000|20101228000148.000|CC1|HUNDREDS OFEOPLE ON THE         
20101228000148.000|20101228000148.000|CC1|HIWAYS.                         
20101228000148.000|20101228000149.000|CC1|TRAIN SERVE STILL TOUCH AND GO  
20101228000149.000|20101228000151.000|CC1|IN AEGION WHERE SO MANY PEOPLE  
20101228000151.000|20101228000154.000|CC1|RELY ON THE RAIL TO GET AROUN   
20101228000154.000|20101228000155.000|CC1|SEVERAL NEW YORK CITCOMMUTERS   
20101228000155.000|20101228000156.000|CC1|STUCKOR HOURSVERNIGHT IN THE    
20101228000156.000|20101228000158.000|CC1|MIDDLE OF TIR TRIP ON ABOVE     
20101228000158.000|20101228000203.000|CC1|GROUND SUBWAY AIN WITHOUT ANY   
20101228000203.000|20101228000205.000|CC1|AT YOU.                         
20101228000205.000|20101228000207.000|CC1|NO HT, NO NOTHING.              
20101228000207.000|20101228000209.000|CC1|NOW WE'RE NOT GOINGOWHERE.      
20101228000209.000|20101228000210.000|CC1|>>ID YOU SEE THE I ON THE       
20101228000210.000|20101228000211.000|CC1|DOOR HE WAS SPEAKING THROU?     
20101228000211.000|20101228000213.000|CC1|AIRPORTS AOSS THE NORTHEAST     
20101228000213.000|20101228000215.000|CC1|HAVE FINALLY REOPED TONIGHT     
20101228000215.000|20101228000216.000|CC1|AFTER AIRLINES CANCELLED        
20101228000216.000|20101228000218.000|CC1|THOUSANDS OF FLIGHTS.           
20101228000218.000|20101228000220.000|CC1|PASSENGERS WERE WE CAMPING      
20101228000220.000|20101228000220.000|CC1|OU                              
20101228000220.000|20101228000222.000|CC1|SOME LKY TO GET A COT WHERE     
20101228000222.000|20101228000224.000|CC1|THEY COULD LAY THEIR HEAD.      
20101228000224.000|20101228000225.000|CC1|>> KD OF FRUSTRATI.             
20101228000225.000|20101228000226.000|CC1|I DON'T WANT TGO TO WORK        
20101228000226.000|20101228000227.000|CC1|TODAY.                          
20101228000227.000|20101228000227.000|CC1|TH'S A NICE DEAL.               
20101228000227.000|20101228000228.000|CC1|GOOD EXCUSE.                    
20101228000228.000|20101228000229.000|CC1|WE WIL SEE.                     
20101228000229.000|20101228000230.000|CC1|PEFULLY I GET IN TODAY.         
20101228000230.000|20101228000232.000|CC1|>> SO HE HAS GOT TT GOING FOR   
20101228000232.000|20101228000233.000|CC1|HI                              
20101228000233.000|20101228000234.000|CC1|WELL, NOT LIKELY THAT HE WILL   
20101228000234.000|20101228000234.000|CC1|MAKE ITO WORK.                  
20101228000234.000|20101228000236.000|CC1|IN FACT, T AIRLINES REPORT      
20101228000236.000|20101228000237.000|CC1|TH DON'T EXPEC NORMAL SERVICE   
20101228000237.000|20101228000241.000|CC1|TO RESUME UNTIL LATER INHE      
20101228000241.000|20101228000241.000|CC1|WE.                             
20101228000241.000|20101228000242.000|CC1|TEAM FOX COVERE NOW WITHHE      
20101228000242.000|20101228000245.000|CC1|WINT STO.                       
20101228000245.000|20101228000248.000|CC1|MARIA MOLINA FROMHE FOX         
20101228000248.000|20101228000250.000|CC1|ATHER CTER.                     
20101228000250.000|20101228000253.000|CC1|OUTSIDE THE NEW YORK IN JERSEY. 
20101228000253.000|20101228000254.000|CC1|HEATR, PEOPLE WEREESPERATE      
20101228000254.000|20101228000256.000|CC1|TO SEENY MOVEMENT A AIRPORTS    
20101228000256.000|20101228000256.000|CC1|DAY.                            
20101228000256.000|20101228000257.000|CC1|HOW IS IT LOING WHERE YOU ARE.  
20101228000257.000|20101228000259.000|CC1|>> WELL, I'M BETTING I PROBABLY 
20101228000259.000|20101228000300.000|CC1|LOOKS PRETTY COLDECAUSE IT IS   
20101228000300.000|20101228000301.000|CC1|VERY COLD OUT HERE.             
20101228000301.000|20101228000303.000|CC1|BUT THERE HAS BEENOME           
20101228000303.000|20101228000303.000|CC1|MOVEMENT.                       
20101228000303.000|20101228000306.000|CC1|AS REPORTED AROUN 60 TONIGHT    
20101228000306.000|20101228000310.000|CC1|BY T F.A.A. THEY SAID FLIGH     
20101228000310.000|20101228000311.000|CC1|WERE SCHEDUL TO START TAKING    
20101228000311.000|20101228000313.000|CC1|OFF HERE INEWARK.               
20101228000313.000|20101228000314.000|CC1|APPARENTLY THAT S HAPPENED AND  
20101228000314.000|20101228000315.000|CC1|K AND LAGUARDIA.                
20101228000315.000|20101228000317.000|CC1|AT LEAST A LITTLE BIT OF GOOD   
20101228000317.000|20101228000318.000|CC1|NEWS FORLLHESE PASSENGS         
20101228000318.000|20101228000322.000|CC1|SHOW- WHO HAVE BEEN STRAND      
20101228000322.000|20101228000322.000|CC1|OUT HE.                         
20101228000322.000|20101228000324.000|CC1|ALL OFHESE FOLKS TING TOET      
20101228000324.000|20101228000325.000|CC1|OUOF THE APORT BECAUSE THAT     
20101228000325.000|20101228000327.000|CC1|IS SOME OF THOSE PEOPLE THAT YOU
20101228000327.000|20101228000328.000|CC1|REFERENCED W HAVE BEEN OUT      
20101228000328.000|20101228000330.000|CC1|HE WAITING HOU ON END, SE       
20101228000330.000|20101228000332.000|CC1|27 HOURS, 30 HOUR 34 HOURS.     
20101228000332.000|20101228000333.000|CC1|WELL, THEY HAVE GIVEN UP.       
20101228000333.000|20101228000335.000|CC1|THEY HAVE DECIDED THEY ARE      
20101228000335.000|20101228000336.000|CC1|EITHER GOI TO GO IT ALONE OR    
20101228000336.000|20101228000338.000|CC1|FINDOME OTHER TYPE OF           
20101228000338.000|20101228000339.000|CC1|TRANSPORTATION TO GET THEM WHERE
20101228000339.000|20101228000340.000|CC1|TH WANT TO GOONIGHT.            
20101228000340.000|20101228000343.000|CC1|GIVING UP ON THE AIR TRAVEL.    
20101228000343.000|20101228000348.000|CC1|AND MANY PEOPLE BEING TOL       
20101228000348.000|20101228000349.000|CC1|SCHEDULED DAYS FROM NOW.        
20101228000349.000|20101228000350.000|CC1|THAT'S WHY.                     
20101228000350.000|20101228000351.000|CC1|LET'S TAKE A LOOK WHAT'S GOING  
20101228000351.000|20101228000352.000|CC1|ON INSIDE THE AIRPORT.          
20101228000352.000|20101228000355.000|CC1|PEOPLE LINING THE WALLS.        
20101228000355.000|20101228000355.000|CC1|WALL-TO-WALL PEOPLE.            
20101228000355.000|20101228000356.000|CC1|IT PACKED.                      
20101228000356.000|20101228000358.000|CC1|LINES ARE EXTENSIVE AND THEY ARE
20101228000358.000|20101228000358.000|CC1|LONG.                           
20101228000358.000|20101228000359.000|CC1|SOME OF TH ALMOST GOING         
20101228000359.000|20101228000402.000|CC1|OUTSIDE OF THE FRONT DOORS.     
20101228000402.000|20101228000403.000|CC1|CONTINENTAL'S HU IS HERE AT     
20101228000403.000|20101228000404.000|CC1|NEWARK.                         
20101228000404.000|20101228000405.000|CC1|THEY H TO SHUT DOWN.            
20101228000405.000|20101228000407.000|CC1|THEY HAD TO SCRUB 8 FLIGHTS.    
20101228000407.000|20101228000409.000|CC1|IT'S THEAME SCENE AT AIRPORTS   
20101228000409.000|20101228000411.000|CC1|ALL ACROSS THE NORTHEAST.       
20101228000411.000|20101228000413.000|CC1|NEARLY 7,000 FLITS CANCELLED    
20101228000413.000|20101228000414.000|CC1|LEAVINMANY STRANDED UNT THE     
20101228000414.000|20101228000415.000|CC1|END OF THEEEK.                  
20101228000415.000|20101228000416.000|CC1|THIS IS  NIGHTMARE FOR PEOPLE   
20101228000416.000|20101228000417.000|CC1|TRYING TO GET HOME.             
20101228000417.000|20101228000419.000|CC1|SOME PEOPLE,ELIEVE IT OR NOT,   
20101228000419.000|20101228000420.000|CC1|THEY ARE MANAGING TO TAKE IT IN 
