TOP|20101228150001|2010-12-28_1500_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|76354aa2-129b-11e0-bd31-001517add6fa
DUR|0:59:29.46
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-28 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:27:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101228150006.000|20101228150006.000|XDS|%  NETWORK: ABC
20101228150006.000|20101228150006.000|XDS|%   RATING: (NOT RATED) (72)
20101228150007.000|20101228150007.000|XDS|%    TITLE: AMERICA THIS MORNING
20101228150007.000|20101228150007.000|XDS|%     CALL:   
20101228150007.000|20101228150007.000|XDS|% TIMECODE: 12/28 7:30
20101228150007.000|20101228150007.000|XDS|%   LENGTH: 2:22:00 of 2:30:00
20101228150008.000|20101228150036.000|SEG|Type=Story
20101228150008.000|20101228150009.000|CC1|>>> GOOD MORNING, AMERICA.      
20101228150009.000|20101228150009.000|XDS|%    TITLE:   
20101228150009.000|20101228150009.000|CC1|I'M ROBIN ROBERTS.              
20101228150009.000|20101228150011.000|CC1|>> AND I'M CHRIS CUOMO.         
20101228150012.000|20101228150012.000|XDS|%    TITLE: GOOD MORNING AMERICA
20101228150012.000|20101228150012.000|XDS|% TIMECODE: 12/28 10:00
20101228150012.000|20101228150012.000|XDS|%   LENGTH: 0:00:00 of 2:00:00
20101228150011.000|20101228150013.000|CC1|IT'S TUESDAY, DECEMBER 28th.    
20101228150013.000|20101228150015.000|CC1|THIS MORNING, THE GREAT DIGOUT. 
20101228150015.000|20101228150017.000|CC1|THE SNOW IS OVER BUT NEW YORK   
20101228150017.000|20101228150018.000|CC1|CITY STILL FROZEN IN ITS TRACKS.
20101228150018.000|20101228150019.000|CC1|ANOTHER TOUGH COMMUTE IN THE    
20101228150019.000|20101228150021.000|CC1|NORTHEAST.                      
20101228150021.000|20101228150024.000|CC1|AIRPORTS REOPENING BUT THOUSANDS
20101228150024.000|20101228150025.000|CC1|STILL STRANDED FAR FROM HOME.   
20101228150025.000|20101228150028.000|CC1|AND IF YOUR CAR IS STUCK, DON'T 
20101228150028.000|20101228150030.000|CC1|LET THIS HAPPEN TO YOU.         
20101228150032.000|20101228150032.000|XDS|%   LENGTH: 0:00:00 of 2:00:00
20101228150030.000|20101228150033.000|CC1|>> ARE YOU OUT OF YOUR MIND?    
20101228150035.000|20101228150035.000|XDS|%   LENGTH: 0:00:00 of 2:00:00
20101228150033.000|20101228150036.000|CC1|WHAT ARE YOU DOING?             
20101228150036.000|20101228150042.000|SEG|Type=Story
20101228150036.000|20101228150037.000|CC1|>>> ALSO THIS MORNING, OUTSIDE  
20101228150037.000|20101228150038.000|CC1|THE LINES.                      
20101228150038.000|20101228150040.000|CC1|THE PRESIDENT'S SURPRISING      
20101228150040.000|20101228150040.000|CC1|COMMENTS ABOUT QUARTERBACK      
20101228150040.000|20101228150042.000|CC1|MICHAEL VICK.                   
20101228150042.000|20101228150058.000|SEG|Type=Story
20101228150042.000|20101228150048.000|CC1|>>> THE WHISTLEBLOWER PILOT.    
20101228150048.000|20101228150051.000|CC1|HE UNMASKED THREATS TO AIRPORT  
20101228150051.000|20101228150053.000|CC1|SECURITY AND LANDED IN BIG      
20101228150053.000|20101228150056.000|CC1|TROUBLE WITH THE FEDS.          
20101228150056.000|20101228150057.000|CC1|NOW, HE FINALLY REVEALS HIS     
20101228150057.000|20101228150058.000|CC1|IDENTITY IN HIS FIRST NATIONAL  
20101228150058.000|20101228150058.000|CC1|INTERVIEW ON "GMA."             
20101228150058.000|20101228150115.000|SEG|Type=Story
20101228150058.000|20101228150059.000|CC1|>>> AND ON THIN ICE.            
20101228150059.000|20101228150100.000|CC1|WE'VE SEEN IT ALL BUT WHAT ABOUT
20101228150100.000|20101228150100.000|XDS|%   LENGTH: 0:01:00 of 2:00:00
20101228150100.000|20101228150100.000|CC1|THIS?                           
20101228150100.000|20101228150102.000|CC1|THIS CALF STRANDED ON A FROZEN  
20101228150102.000|20101228150104.000|CC1|POND, BLOWN BACK TO SHORE BY A  
20101228150104.000|20101228150115.000|CC1|HELICOPTER PILOT.               
20101228150115.000|20101228150133.000|SEG|Type=Story
20101228150115.000|20101228150117.000|CC1|>>> GOOD MORNING, EVERYONE.     
20101228150117.000|20101228150118.000|CC1|THE CALF IS FINE.               
20101228150118.000|20101228150120.000|CC1|QUICK THINKING BY THE HELICOPTER
20101228150120.000|20101228150121.000|CC1|PILOT, WHO ALSO, A COUPLE YEARS 
20101228150121.000|20101228150122.000|CC1|AGO, HELPED A HORSE.            
20101228150122.000|20101228150123.000|CC1|NO, A DEER.                     
20101228150123.000|20101228150124.000|CC1|GET BACK TO SHORE, THE SAME KIND
20101228150124.000|20101228150125.000|CC1|OF WAY.                         
20101228150125.000|20101228150126.000|CC1|>> IT CAN'T BE EASY.            
20101228150126.000|20101228150127.000|CC1|THAT'S A SKILL MOVE.            
20101228150127.000|20101228150128.000|CC1|>> WE'LL HAVE MORE ON THAT.     
20101228150128.000|20101228150129.000|CC1|WE'RE GLAD TO HAVE CHRIS CUOMO  
20101228150129.000|20101228150132.000|CC1|BACK WITH US THIS MORNING, AS   
20101228150132.000|20101228150133.000|CC1|GEORGE TAKES A LITTLE TIME OFF. 
20101228150133.000|20101228150440.000|SEG|Type=Story
20101228150133.000|20101228150135.000|CC1|>>> BUT THE SITUATION HERE, IN  
20101228150135.000|20101228150137.000|CC1|THE NORTHEAST, AND THE CITY THAT
20101228150137.000|20101228150139.000|CC1|NEVER SLEEPS, STILL TENUOUS.    
20101228150139.000|20101228150140.000|CC1|SNOWDRIFTS THAT HAVE PILED UP   
20101228150140.000|20101228150141.000|CC1|LIKE SAND DUNES, CHRIS.         
20101228150141.000|20101228150143.000|CC1|>> THE SNOW IS ALL OVER THE     
20101228150143.000|20101228150143.000|CC1|PLACE AND THE SNOW IS THE LEAST 
20101228150143.000|20101228150146.000|CC1|OF IT.                          
20101228150146.000|20101228150147.000|CC1|DIGGING OUT IS A GENTLE WORD FOR
20101228150147.000|20101228150147.000|CC1|WHAT'S GOING ON.                
20101228150147.000|20101228150149.000|CC1|THE STREETS ARE FULL.           
20101228150149.000|20101228150150.000|CC1|MANY NOT PLOWED YET.            
20101228150150.000|20101228150152.000|CC1|BUT ALL OVER THE EAST COAST,    
20101228150152.000|20101228150153.000|CC1|FOLKS ARE STRUGGLING TO GET BACK
20101228150153.000|20101228150154.000|CC1|ON THEIR FEET.                  
20101228150154.000|20101228150155.000|CC1|COMMUTES ARE GOING TO BE        
20101228150155.000|20101228150156.000|CC1|DIFFICULT TODAY AND FOR DAYS TO 
20101228150156.000|20101228150157.000|CC1|COME.                           
20101228150157.000|20101228150158.000|CC1|>> AND THOUSANDS OF TRAVELERS   
20101228150158.000|20101228150159.000|CC1|ALL ACROSS THE COUNTRY ARE STILL
20101228150159.000|20101228150200.000|CC1|STUCK TODAY.                    
20101228150200.000|20101228150201.000|CC1|STRANDED, STRESSED OUT IN       
20101228150201.000|20101228150203.000|CC1|AIRPORTS.                       
20101228150203.000|20101228150203.000|XDS|%   LENGTH: 0:02:00 of 2:00:00
20101228150203.000|20101228150205.000|CC1|AS WE SEE, THEY'RE STARTING TO  
20101228150205.000|20101228150207.000|CC1|REOPEN SLOWLY IN THE NORTHEAST. 
20101228150207.000|20101228150208.000|CC1|FLIGHT TRACKER SHOWS PLANES ARE 
20101228150208.000|20101228150211.000|CC1|BACK IN THE AIR THIS MORNING.   
20101228150211.000|20101228150212.000|CC1|BUT MANY ARE STUCK UNTIL FRIDAY,
20101228150212.000|20101228150213.000|CC1|WHICH, OF COURSE, IS NEW YEAR'S 
20101228150213.000|20101228150214.000|CC1|EVE.                            
20101228150214.000|20101228150215.000|CC1|WE'LL TELL YOU HOW THEY MIGHT   
20101228150215.000|20101228150217.000|CC1|GET HOME A LITTLE QUICKER.      
20101228150217.000|20101228150218.000|CC1|WE HAVE TEAM COVERAGE, STARTING 
20101228150218.000|20101228150219.000|CC1|WITH JEREMY HUBBARD, WHO IS IN  
20101228150219.000|20101228150220.000|CC1|BOSTON AGAIN THIS MORNING FOR   
20101228150220.000|20101228150220.000|CC1|US.                             
20101228150220.000|20101228150222.000|CC1|GOOD MORNING, JEREMY.           
20101228150222.000|20101228150223.000|CC1|>> Reporter: ROBIN, GOOD        
20101228150223.000|20101228150224.000|CC1|MORNING.                        
20101228150224.000|20101228150228.000|CC1|STILL SEVERAL CANCELED FLIGHTS  
20101228150228.000|20101228150231.000|CC1|HERE AT BOSTON LOGAN AIRPORT    
20101228150231.000|20101228150232.000|CC1|THIS MORNING.                   
20101228150232.000|20101228150233.000|CC1|GETTING BACK TO NORMAL IS NOT   
20101228150233.000|20101228150237.000|CC1|GOING TO BE EASY.               
20101228150237.000|20101228150239.000|CC1|THERE'S A BIG EFFORT TO GET     
20101228150239.000|20101228150241.000|CC1|AIRPORTS ALONG THE EAST COAST   
20101228150241.000|20101228150244.000|CC1|BACK UP AND RUNNING.            
20101228150244.000|20101228150244.000|CC1|THE DIGGING OUT HAS BEGUN.      
20101228150244.000|20101228150245.000|CC1|BUT WITH BELOW-AVERAGE          
20101228150245.000|20101228150246.000|CC1|TEMPERATURES FORECAST UNTIL     
20101228150246.000|20101228150246.000|CC1|FRIDAY, DON'T EXPECT THE BULK OF
20101228150246.000|20101228150247.000|CC1|THIS SNOW TO MELT UNTIL THE     
20101228150247.000|20101228150248.000|CC1|WEEKEND.                        
20101228150248.000|20101228150248.000|CC1|AND IT WAS A SNOWFALL FOR THE   
20101228150248.000|20101228150249.000|CC1|RECORD BOOKS.                   
20101228150249.000|20101228150251.000|CC1|IN PARTS OF NEW YORK CITY, OVER 
20101228150251.000|20101228150252.000|CC1|TWO FEET OF SNOW, COUPLED WITH  
20101228150252.000|20101228150256.000|CC1|60-MILE-AN-HOUR WINDS.          
20101228150256.000|20101228150257.000|CC1|UNION COUNTY, NEW JERSEY, WAS   
20101228150257.000|20101228150259.000|CC1|THE HARDEST HIT IN THE STATE,   
20101228150259.000|20101228150300.000|CC1|WITH 32 INCHES.                 
20101228150300.000|20101228150301.000|CC1|LAST NIGHT, ABANDONED CARS STILL
20101228150301.000|20101228150303.000|CC1|LITTERED THE ROAD.              
20101228150303.000|20101228150304.000|CC1|AND MORE THAN 18 INCHES FELL IN 
20101228150304.000|20101228150305.000|CC1|BOSTON.                         
20101228150305.000|20101228150308.000|CC1|OVERNIGHT, NEW YORK'S THREE,    
20101228150308.000|20101228150308.000|CC1|MAIN AIRPORTS BEGAN REOPENING.  
20101228150308.000|20101228150308.000|XDS|%   LENGTH: 0:03:00 of 2:00:00
20101228150308.000|20101228150310.000|CC1|BUT NOW FACE REBOOKING          
20101228150310.000|20101228150311.000|CC1|PASSENGERS FROM NEARLY 7,000    
20101228150311.000|20101228150313.000|CC1|CANCELED FLIGHTS.               
20101228150313.000|20101228150314.000|CC1|A PROCESS THAT'S LIKELY TO DRAG 
20101228150314.000|20101228150316.000|CC1|ON UNTIL FRIDAY.                
20101228150316.000|20101228150317.000|CC1|AT BOSTON'S LOGAN AIRPORT, WE   
20101228150317.000|20101228150319.000|CC1|WERE GIVEN RARE ACCESS TO THE   
20101228150319.000|20101228150320.000|CC1|TARMAC, WHERE CREWS WILL BE IN  
20101228150320.000|20101228150322.000|CC1|CLEANUP MODE THE ENTIRE WEEK.   
20101228150322.000|20101228150324.000|CC1|IF YOU HAD TO GUESS THE NUMBER  
20101228150324.000|20101228150326.000|CC1|OF TONS OF SNOW THAT'S BEEN     
20101228150326.000|20101228150326.000|CC1|MOVED OUT THERE OVER THE LAST   
20101228150326.000|20101228150327.000|CC1|FEW HOURS, ANY IDEA?            
20101228150327.000|20101228150328.000|CC1|>> HUNDREDS.                    
20101228150328.000|20101228150330.000|CC1|>> Reporter: AND ONCE THE SNOW  
20101228150330.000|20101228150331.000|CC1|STOPPED IN THE COASTAL          
20101228150331.000|20101228150339.000|CC1|MASSACHUSETTS TOWN OF SCITUATE, 
20101228150339.000|20101228150344.000|CC1|MASSIVE FLOODING CAME, TO TO    
20101228150344.000|20101228150346.000|CC1|30-FOOT WAVES CAME IN AND GUSHES
20101228150346.000|20101228150348.000|CC1|INTO THE STREETS.               
20101228150348.000|20101228150348.000|CC1|>> I HAVEN'T SEEN ANYTHING LIKE 
20101228150348.000|20101228150349.000|CC1|THIS IN A LONG TIME.            
20101228150349.000|20101228150350.000|CC1|THIS WAS PRETTY INTENSE.        
20101228150350.000|20101228150351.000|CC1|>> Reporter: IN NEW YORK CITY,  
20101228150351.000|20101228150351.000|CC1|THERE'S A BACKLOG OF 1,300 911  
20101228150351.000|20101228150352.000|CC1|CALLS, AS EMERGENCY VEHICLES GOT
20101228150352.000|20101228150357.000|CC1|STUCK, DELAYING RESPONSE TIME.  
20101228150357.000|20101228150358.000|CC1|EMS WORKERS FROM NEW JERSEY ARE 
20101228150358.000|20101228150359.000|CC1|BEING BROUGHT IN TODAY.         
20101228150359.000|20101228150402.000|CC1|>> OH, MY GOD.                  
20101228150402.000|20101228150403.000|CC1|OH, MY GOD!                     
20101228150403.000|20101228150404.000|CC1|>> Reporter: AND LISTEN TO THIS 
20101228150404.000|20101228150404.000|CC1|YOUTUBE VIDEO.                  
20101228150404.000|20101228150405.000|CC1|>> ARE YOU OUT OF YOUR MIND?    
20101228150405.000|20101228150406.000|CC1|WHAT ARE YOU DOING?             
20101228150406.000|20101228150406.000|CC1|>> Reporter: THAT'S A NEW YORK  
20101228150406.000|20101228150408.000|CC1|SANITATION VEHICLE CRUNCHING A  
20101228150408.000|20101228150410.000|CC1|PARKED SUV, AS STUNNED ONLOOKERS
20101228150411.000|20101228150411.000|XDS|%   LENGTH: 0:04:00 of 2:00:00
20101228150410.000|20101228150412.000|CC1|FROM BROOKLYN GO BALLISTIC.     
20101228150412.000|20101228150421.000|CC1|>> THAT IS ABSOLUTELY INSANE.   
20101228150421.000|20101228150423.000|CC1|ARE YOU OUT OF YOUR MIND?       
