TOP|20101229010001|2010-12-29_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|47876bf0-12ef-11e0-b4b1-001517add60e
DUR|0:59:29.76
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-28 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:28:29|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229010014.000|20101229010016.000|SEG|Type=Story
20101229010014.000|20101229010015.000|CC1|.                               
20101229010015.000|20101229010016.000|CC1|>> Hoy                          
20101229010016.000|20101229010113.000|SEG|Type=Story
20101229010016.000|20101229010018.000|CC1|>>> Hoy en primer impacto       
20101229010018.000|20101229010022.000|CC1|Víctimas de un explosivo ataque,
20101229010022.000|20101229010026.000|CC1|en un mercado ilegal de fuegos  
20101229010026.000|20101229010027.000|CC1|artificiales.                   
20101229010027.000|20101229010032.000|CC1|-  Corre despavorido para no    
20101229010032.000|20101229010033.000|CC1|morir a más cada.               
20101229010033.000|20101229010037.000|CC1|-  Buscan a 3 pistoleros que    
20101229010037.000|20101229010038.000|CC1|robaron en una tienda.          
20101229010038.000|20101229010040.000|CC1|-  Un concurrido aeropuerto y un
20101229010040.000|20101229010043.000|CC1|tren subterráneo se vuelven un  
20101229010043.000|20101229010043.000|CC1|infierno para cientos de        
20101229010043.000|20101229010045.000|CC1|pasajeros                       
20101229010045.000|20101229010047.000|CC1|-  Dentro de esta cápsula un    
20101229010047.000|20101229010048.000|CC1|ingeniero asegura poder resistir
20101229010048.000|20101229010052.000|CC1|el fin del mundo y salir ileso. 
20101229010052.000|20101229010054.000|CC1|Conozca los rituales que        
20101229010054.000|20101229010055.000|CC1|realizan muchos para recibir el 
20101229010055.000|20101229010057.000|CC1|Año Nuevo, cargados de energía  
20101229010057.000|20101229010100.000|CC1|positiva.                       
20101229010100.000|20101229010101.000|CC1|La situación se complica cada   
20101229010101.000|20101229010103.000|CC1|vez más para Calimba, ahora son 
20101229010103.000|20101229010105.000|CC1|2 las menores que lo acusan de  
20101229010105.000|20101229010106.000|CC1|violación.                      
20101229010106.000|20101229010113.000|CC1|Ahora mismo, en primer impacto. 
20101229010113.000|20101229010141.000|SEG|Type=Story
20101229010113.000|20101229010117.000|CC1|>>> Sin imaginar el peligro,    
20101229010117.000|20101229010120.000|CC1|uniformados decomisan fuegos    
20101229010120.000|20101229010121.000|CC1|artificiales ilegales en un     
20101229010121.000|20101229010121.000|CC1|mercado                         
20101229010121.000|20101229010123.000|CC1|En medio de la confusión un     
20101229010123.000|20101229010125.000|CC1|vendedor enfurecido los ataca   
20101229010125.000|20101229010128.000|CC1|con explosivos y los deja al    
20101229010128.000|20101229010130.000|CC1|borde de la muerte.             
20101229010130.000|20101229010132.000|CC1|Que tal amigos, les habla       
20101229010132.000|20101229010134.000|CC1|Verónica del castillo,          
